Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	8	476	95	96	ARANAÐME 	0.125
2	9	Si4b1	B4b1	313	313	1	4	952	95	96	.	0.375
3	9	Do5	C5	318	318	2	16	476	95	96	.	0.5
4	9	Re5	D5	327	327	1	8	476	95	78	.	0.625
5	9	Mi5b3	E5b4	333	332	1	8	476	95	78	.	0.75
6	9	Do5	C5	318	318	1	8	476	95	78	.	0.875
7	9	Si4b1	B4b1	313	313	1	8	476	95	78	.	1
8	9	Re5	D5	327	327	1	1	3810	95	78	.	2
9	9	Re5	D5	327	327	1	8	476	95	78	.	2.125
10	9	Fa5#3	F5#4	343	344	4	16	952	95	96	.	2.375
11	9	Sol5	G5	349	349	2	16	476	95	96	.	2.5
12	9	La5#3	A5#4	361	362	1	8	476	95	96	.	2.625
13	9	Si5b1	B5b1	366	366	1	8	476	95	96	.	2.75
14	9	Sol5	G5	349	349	1	8	476	95	96	.	2.875
15	9	La5#3	A5#4	361	362	1	8	476	95	96	.	3
16	9	Si5b1	B5b1	366	366	1	1	3810	95	96	.	4
17	9	La5	A5	358	358	1	8	476	95	96	.	4.125
18	9	Sol5	G5	349	349	1	16	238	95	96	.	4.1875
19	9	La5	A5	358	358	1	16	238	95	96	.	4.25
20	9	Sol5	G5	349	349	2	16	476	95	96	.	4.375
21	9	Fa5#3	F5#4	343	344	1	8	476	95	96	.	4.5
22	9	Fa5#3	F5#4	343	344	2	16	476	95	96	.	4.625
23	9	Mi5b3	E5b4	333	332	1	16	238	95	96	.	4.6875
24	9	Fa5#3	F5#4	343	344	1	16	238	95	96	.	4.75
25	9	Mi5b3	E5b4	333	332	2	16	476	95	96	.	4.875
26	9	Re5	D5	327	327	1	8	476	95	96	.	5
27	9	Fa5#3	F5#4	343	344	3	8	1429	95	96	.	5.375
28	9	Mi5b3	E5b4	333	332	1	8	476	95	96	.	5.5
29	9	Re5	D5	327	327	1	8	476	95	96	.	5.625
30	9	Do5	C5	318	318	1	8	476	95	96	.	5.75
31	9	Si4b1	B4b1	313	313	1	4	952	95	96	.	6
32	9	Fa5#3	F5#4	343	344	1	8	476	95	96	.	6.125
33	9	Mi5b3	E5b4	333	332	1	16	238	95	96	.	6.1875
34	9	Fa5#3	F5#4	343	344	1	16	238	95	96	.	6.25
35	9	Mi5b3	E5b4	333	332	1	8	476	95	96	.	6.375
36	9	Re5	D5	327	327	1	8	476	95	96	.	6.5
37	9	Re5	D5	327	327	2	16	476	95	96	.	6.625
38	9	Do5	C5	318	318	1	16	238	95	96	.	6.6875
39	9	Re5	D5	327	327	1	16	238	95	96	.	6.75
40	9	Do5	C5	318	318	1	8	476	95	96	.	6.875
41	9	Si4b1	B4b1	313	313	1	8	476	95	96	.	7
42	9	Si4b1	B4b1	313	313	3	8	1429	95	96	.	7.375
43	9	Si4b1	B4b1	313	313	1	8	476	95	96	.	7.5
44	9	Sol4	G4	296	296	1	16	238	95	96	.	7.5625
45	9	Si4b1	B4b1	313	313	1	16	238	95	96	.	7.625
46	9	Sol4	G4	296	296	1	8	476	95	96	.	7.75
47	9	Si4b1	B4b1	313	313	1	4	952	95	96	.	8
48	9	Sol4	G4	296	296	1	8	476	95	96	.	8.125
49	9	Si4b1	B4b1	313	313	1	4	952	95	96	.	8.375
50	9	Si4b1	B4b1	313	313	1	8	476	95	96	.	8.5
51	9	Sol4	G4	296	296	1	16	238	95	96	.	8.5625
52	9	Si4b1	B4b1	313	313	1	16	238	95	96	.	8.625
53	9	Sol4	G4	296	296	1	8	476	95	78	.	8.75
54	9	Si4b1	B4b1	313	313	1	4	952	95	78	.	9
55	9	Do5	C5	318	318	1	8	476	99	78	Ah 	9.125
56	9	Re5	D5	327	327	7	8	3334	95	96		10
57	9			-1	-1	1	8	476	100	0		10.125
58	9	Re5	D5	327	327	1	4	952	99	96	ah 	10.375
59	9	Do5	C5	318	318	1	8	476	99	96		10.5
60	9	Si4b1	B4b1	313	313	1	4	952	99	96		10.75
61	9	Mi5b3	E5b4	333	332	3	32	357	99	96		10.84375
62	9	Re5	D5	327	327	1	32	119	99	96		10.875
63	9	Mi5b3	E5b4	333	332	1	8	476	95	78		11
64	9			-1	-1	1	8	476	100	82		11.125
65	9	Fa5#3	F5#4	343	344	1	4	952	99	86	ah 	11.375
66	9	Mi5b3	E5b4	333	332	1	8	476	99	90		11.5
67	9	Re5	D5	327	327	1	4	952	99	94		11.75
68	9	Sol5	G5	349	349	3	32	357	99	98		11.84375
69	9	Fa5#3	F5#4	343	344	1	32	119	99	102		11.875
70	9	Sol5	G5	349	349	1	8	476	95	106		12
71	9			-1	-1	1	8	476	100	110		12.125
72	9	Sol5	G5	349	349	1	8	476	99	114	ah 	12.25
73	9	Fa5#3	F5#4	343	344	1	8	476	99	96		12.375
74	9	Mi5b3	E5b4	333	332	1	8	476	99	96		12.5
75	9	Re5	D5	327	327	1	8	476	99	96		12.625
76	9	Do5	C5	318	318	1	8	476	99	96		12.75
77	9	Si4b1	B4b1	313	313	1	8	476	99	96		12.875
78	9	La4#4	A4#4	309	309	1	8	476	99	96		13
79	9	Si4b1	B4b1	313	313	1	2	1905	95	96		13.5
80	4	Sol4	G4	296	296	1	16	238	95	96	.	13.5625
81	9	Si4b1	B4b1	313	313	1	16	238	95	96		13.625
82	4	Sol4	G4	296	296	1	8	476	95	96	.	13.75
83	9	Si4b1	B4b1	313	313	1	4	952	95	96	.	14
84	4	Sol4	G4	296	296	1	8	476	95	96	SAZ	14.125
85	9	Si4b1	B4b1	313	313	1	4	952	50	96	.	14.375
86	9	Si4b1	B4b1	313	313	1	8	476	95	96	.	14.5
87	4	Sol4	G4	296	296	1	4	952	95	96	.	14.75
88	9	Si4b1	B4b1	313	313	1	4	952	50	96	.	15
89	9	Si4b1	B4b1	313	313	1	8	476	95	96	Þu 	15.125
90	9	Sol5	G5	349	349	1	8	476	99	96	göð	15.25
91	9	Fa5#3	F5#4	343	344	1	8	476	99	96		15.375
92	9	Mi5b3	E5b4	333	332	1	8	476	99	96		15.5
93	9	Re5	D5	327	327	1	8	476	99	96	süm 	15.625
94	9	Mi5b3	E5b4	333	332	1	8	476	99	96		15.75
95	9	Fa5#3	F5#4	343	344	3	16	714	99	96	yýr	15.9375
96	9	Mi5b3	E5b4	333	332	1	16	238	95	96		16
97	9	Fa5#3	F5#4	343	344	1	16	238	99	96	tý	16.0625
98	9	Mi5b3	E5b4	333	332	1	16	238	95	96		16.125
99	9	Re5	D5	327	327	1	4	952	99	96	lýp 	16.375
100	9	Do5	C5	318	318	1	8	476	95	96		16.5
101	9	Re5	D5	327	327	1	16	238	99	96	bak	16.5625
102	9	Do5	C5	318	318	1	16	238	99	96		16.625
103	9	Si4b1	B4b1	313	313	1	16	238	99	96		16.6875
104	9	La4#4	A4#4	309	309	1	16	238	95	96		16.75
105	9	Si4b1	B4b1	313	313	1	4	952	50	96	san 	17
106	9	Si4b1	B4b1	313	313	1	8	476	95	96	di	17.125
107	9	Re5	D5	327	327	1	8	476	99	96	ken	17.25
108	9	Do5	C5	318	318	1	8	476	99	96		17.375
109	9	Mi5b3	E5b4	333	332	2	16	476	95	96		17.5
110	9	Re5	D5	327	327	1	8	476	99	96	ler 	17.625
111	9	Fa5#3	F5#4	343	344	2	16	476	95	96		17.75
112	9	Mi5b3	E5b4	333	332	1	8	476	99	96	ay	17.875
113	9	Sol5	G5	349	349	1	8	476	95	96		18
114	9	Fa5#3	F5#4	343	344	1	16	238	99	96	ný 	18.0625
115	9	Mi5b3	E5b4	333	332	1	16	238	95	96		18.125
116	9	Re5	D5	327	327	1	4	952	99	96	gül	18.375
117	9	Mi5b3	E5b4	333	332	1	16	238	99	96		18.4375
118	9	Re5	D5	327	327	1	16	238	95	96		18.5
119	9	Re5	D5	327	327	1	16	238	99	96	den	18.5625
120	9	Do5	C5	318	318	1	16	238	99	96		18.625
121	9	Do5	C5	318	318	1	16	238	99	96		18.6875
122	9	Si4b1	B4b1	313	313	1	16	238	95	96		18.75
123	9	Do5	C5	318	318	1	4	952	95	96	dir  	19
124	9	Re5	D5	327	327	1	8	476	95	96	di	19.125
125	9	La5	A5	358	358	1	8	476	99	96	ken	19.25
126	9	Sol5	G5	349	349	1	8	476	99	96		19.375
127	9	Fa5#3	F5#4	343	344	2	16	476	95	96		19.5
128	9	Fa5#3	F5#4	343	344	1	8	476	99	96	ler 	19.625
129	9	Sol5	G5	349	349	1	8	476	95	96		19.75
130	9	Fa5#3	F5#4	343	344	1	16	238	99	96	ay	19.8125
131	9	Mi5b3	E5b4	333	332	1	16	238	99	96		19.875
132	9	Mi5b3	E5b4	333	332	1	16	238	99	96		19.9375
133	9	Re5	D5	327	327	1	16	238	95	96		20
134	9	Re5	D5	327	327	1	8	476	95	96	ný 	20.125
135	9	Fa5#3	F5#4	343	344	2	16	476	99	96	gül	20.25
136	9	Mi5b3	E5b4	333	332	1	8	476	99	96		20.375
137	9	Fa5#3	F5#4	343	344	1	16	238	99	96		20.4375
138	9	Sol5	G5	349	349	1	16	238	95	96		20.5
139	9	Fa5#3	F5#4	343	344	1	16	238	99	96	den	20.5625
140	9	Mi5b3	E5b4	333	332	1	16	238	99	96		20.625
141	9	Mi5b3	E5b4	333	332	1	16	238	99	96		20.6875
142	9	Re5	D5	327	327	1	16	238	95	96		20.75
143	9	Re5	D5	327	327	1	4	952	95	96	dir  	21
144	9	Do5	C5	318	318	1	24	159	95	96	SAZ	21.04167
145	9	Si4b1	B4b1	313	313	1	24	159	95	96	.	21.08333
146	9	Do5	C5	318	318	1	24	159	95	96	.	21.125
147	9	Mi5b3	E5b4	333	332	2	16	476	95	96	.	21.25
148	9	Re5	D5	327	327	1	24	159	95	96	.	21.29167
149	9	Do5	C5	318	318	1	24	159	95	96	.	21.33333
150	9	Re5	D5	327	327	1	24	159	95	96	.	21.375
151	9	Fa5#3	F5#4	343	344	2	16	476	95	96	.	21.5
152	9	Mi5b3	E5b4	333	332	1	24	159	95	96	.	21.54167
153	9	Re5	D5	327	327	1	24	159	95	96	.	21.58333
154	9	Mi5b3	E5b4	333	332	1	24	159	95	96	.	21.625
155	9	Sol5	G5	349	349	1	8	476	95	96	.	21.75
156	9	Fa5#3	F5#4	343	344	1	24	159	95	96	.	21.79167
157	9	Mi5b3	E5b4	333	332	1	24	159	95	96	.	21.83333
158	9	Fa5#3	F5#4	343	344	1	24	159	95	96	.	21.875
159	9	La5	A5	358	358	1	8	476	95	96	.	22
160	9	Sol5	G5	349	349	1	8	476	95	96	.	22.125
161	9	Si5b5	B5b5	362	362	1	16	238	95	96	.	22.1875
162	9	La5	A5	358	358	1	16	238	95	96	.	22.25
163	9	La5	A5	358	358	1	16	238	95	96	.	22.3125
164	9	Sol5	G5	349	349	1	16	238	95	96	.	22.375
165	9	Sol5	G5	349	349	1	16	238	95	96	.	22.4375
166	9	Fa5#3	F5#4	343	344	1	16	238	95	96	.	22.5
167	9	Fa5#3	F5#4	343	344	1	16	238	95	96	.	22.5625
168	9	Mi5b3	E5b4	333	332	1	16	238	95	96	.	22.625
169	9	Mi5b3	E5b4	333	332	1	16	238	95	96	.	22.6875
170	9	Re5	D5	327	327	1	16	238	95	96	.	22.75
171	9	Re5	D5	327	327	1	4	952	95	96	.	23
172	9	Fa5#3	F5#4	343	344	1	8	476	95	96	Þi	23.125
173	9	Fa5#3	F5#4	343	344	3	8	1429	95	96	kâ	23.5
174	9	Fa5#3	F5#4	343	344	1	4	952	50	96	yet 	23.75
175	9	Fa5#3	F5#4	343	344	1	8	476	99	96	bil	23.875
176	9	Mi5b3	E5b4	333	332	1	16	238	99	96		23.9375
177	9	Re5	D5	327	327	1	16	238	95	96		24
178	9	Sol5	G5	349	349	1	8	476	95	96	me	24.125
179	9	Sol5	G5	349	349	1	8	476	99	96	yen 	24.25
180	9	Fa5#3	F5#4	343	344	1	8	476	99	96		24.375
181	9	Mi5b3	E5b4	333	332	1	8	476	99	96		24.5
182	9	Re5	D5	327	327	1	16	238	99	96	kal	24.5625
183	9	Do5	C5	318	318	1	16	238	99	96		24.625
184	9	Re5	D5	327	327	1	16	238	99	96		24.6875
185	9	Mi5b3	E5b4	333	332	1	16	238	95	96		24.75
186	9	Fa5#3	F5#4	343	344	1	4	952	95	96	bim 	25
187	9	Fa5#3	F5#4	343	344	1	16	238	99	96	ka	25.0625
188	11	Mi5b3	E5b4	333	332	1	16	238	95	96		25.125
189	9	Mi5b3	E5b4	333	332	1	8	476	95	96	nar 	25.25
190	9			-1	-1	1	4	952	100	0		25.5
191	9	Do5	C5	318	318	1	4	952	95	96	hep 	25.75
192	9	Mi5b3	E5b4	333	332	1	4	952	99	96	ay	26
193	9	Re5	D5	327	327	1	16	238	99	96	ný 	26.0625
194	9	Mi5b3	E5b4	333	332	1	16	238	95	96		26.125
