Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	1	Sol5	G5	349	349	1	4	714	95	96	(Ah) 	0.2
2	9	Fa5	F5	340	340	1	8	357	95	96	Gü	0.3
3	9	Sol5	G5	349	349	1	4	714	95	96	müþ 	0.5
4	9	Sol5	G5	349	349	1	4	714	95	96	tel	0.7
5	9	Sol5	G5	349	349	3	8	1071	95	96	ler	1
6	9	Sol5	G5	349	349	1	8	357	99	96	le 	1.1
7	9	La5b5	A5b5	353	353	1	8	357	99	96		1.2
8	9	Si5b5	B5b5	362	362	1	8	357	95	96		1.3
9	9	Sol5	G5	349	349	1	8	357	99	96	ör	1.4
10	9	Fa5	F5	340	340	1	8	357	95	96		1.5
11	9	Mi5b5	E5b5	331	331	1	4	714	99	96	sem 	1.7
12	9	Sol5	G5	349	349	1	4	714	95	96		1.9
13	9			-1	-1	1	8	357	100	0		2
14	9			-1	-1	1	4	714	100	0		2.2
15	9	Fa5	F5	340	340	1	8	357	95	96	sa	2.3
16	9	Sol5	G5	349	349	1	8	357	99	96	çý	2.4
17	9	Fa5	F5	340	340	1	8	357	95	96		2.5
18	9	Mi5b5	E5b5	331	331	1	8	357	99	96	nýn 	2.6
19	9	Re5	D5	327	327	1	8	357	95	96		2.7
20	9	Do5	C5	318	318	1	4	714	99	96	her 	2.9
21	9	Si4b5	B4b5	309	309	1	8	357	95	96		3
22	9	Do5	C5	318	318	3	16	536	99	96	te	3.15
23	9	Si4b5	B4b5	309	309	1	16	179	99	96		3.2
24	9	La4b5	A4b5	300	300	1	8	357	95	96		3.3
25	9	La4b5	A4b5	300	300	1	8	357	99	96	li	3.4
26	9	Sol4	G4	296	296	1	8	357	95	96		3.5
27	9	Sol4	G4	296	296	1	8	357	99	96	ni  	3.6
28	9	Fa4	F4	287	287	1	8	357	99	96		3.7
29	9	Sol4	G4	296	296	1	4	714	95	96		3.9
30	9	Fa4	F4	287	287	1	8	357	95	96	SAZ	4
31	9	Sol4	G4	296	296	1	4	714	95	96	.	4.2
32	9	Sol4	G4	296	296	1	8	357	95	96	sa	4.3
33	9	La4b5	A4b5	300	300	1	8	357	99	96	çý	4.4
34	9	Si4b5	B4b5	309	309	1	8	357	95	96		4.5
35	9	Do5	C5	318	318	1	8	357	99	96	nýn 	4.6
36	9	Re5	D5	327	327	1	8	357	95	96		4.7
37	9	Mi5b1	E5b1	335	335	1	8	357	99	96	her 	4.8
38	9	Fa5	F5	340	340	1	8	357	99	96		4.9
39	9	Sol5	G5	349	349	1	8	357	95	96		5
40	9	Sol5	G5	349	349	3	16	536	99	96	te	5.15
41	9	Fa5	F5	340	340	1	16	179	99	96		5.2
42	9	Mi5b5	E5b5	331	331	1	8	357	95	96		5.3
43	9	Fa5	F5	340	340	1	8	357	99	96	li	5.4
44	9	Sol5	G5	349	349	1	8	357	95	96		5.5
45	9	Sol5	G5	349	349	1	2	1429	95	96	ni  	5.9
46	9			-1	-1	1	8	357	100	0		6
47	9	Sol5	G5	349	349	1	8	357	95	96	SAZ	6.1
48	9	Fa5	F5	340	340	1	8	357	95	96	.	6.2
49	9	Mi5b5	E5b5	331	331	1	8	357	95	96	.	6.3
50	9	Re5	D5	327	327	1	8	357	95	96	.	6.4
51	9	Do5	C5	318	318	1	8	357	95	96	.	6.5
52	9	Si4b5	B4b5	309	309	1	8	357	95	96	.	6.6
53	9	La4b5	A4b5	300	300	1	8	357	95	96	.	6.7
54	9	Sol4	G4	296	296	3	16	536	95	96	.	6.85
55	9	Re5	D5	327	327	1	16	179	95	96	.	6.9
56	9	Mi5b5	E5b5	331	331	1	16	179	95	96	.	6.95
57	9	Fa5	F5	340	340	1	16	179	95	96	.	7
58	52			0	0	1	8	0	127	41		7.1
59	1	Sol5	G5	349	349	1	4	714	95	96	(Ah) 	7.3
60	9	Fa5	F5	340	340	1	8	357	95	96	Gü	7.4
61	9	Sol5	G5	349	349	1	4	714	95	96	müþ 	7.6
62	9	Sol5	G5	349	349	1	4	714	95	96	tel	7.8
63	9	Sol5	G5	349	349	3	8	1071	95	96	ler	8.1
64	9	Sol5	G5	349	349	1	8	357	99	96	le 	8.2
65	9	La5b5	A5b5	353	353	1	8	357	99	96		8.3
66	9	Si5b5	B5b5	362	362	1	8	357	95	96		8.4
67	9	Sol5	G5	349	349	1	8	357	99	96	ör	8.5
68	9	Fa5	F5	340	340	1	8	357	95	96		8.6
69	9	Mi5b5	E5b5	331	331	1	4	714	99	96	sem 	8.8
70	9	Sol5	G5	349	349	1	4	714	95	96		9
71	9			-1	-1	1	8	357	100	0		9.1
72	9			-1	-1	1	4	714	100	0		9.3
73	9	Fa5	F5	340	340	1	8	357	95	96	sa	9.4
74	9	Sol5	G5	349	349	1	8	357	99	96	çý	9.5
75	9	Fa5	F5	340	340	1	8	357	95	96		9.6
76	9	Mi5b5	E5b5	331	331	1	8	357	99	96	nýn 	9.7
77	9	Re5	D5	327	327	1	8	357	95	96		9.8
78	9	Do5	C5	318	318	1	4	714	99	96	her 	10
79	9	Si4b5	B4b5	309	309	1	8	357	95	96		10.1
80	9	Do5	C5	318	318	3	16	536	99	96	te	10.25
81	9	Si4b5	B4b5	309	309	1	16	179	99	96		10.3
82	9	La4b5	A4b5	300	300	1	8	357	95	96		10.4
83	9	La4b5	A4b5	300	300	1	8	357	99	96	li	10.5
84	9	Sol4	G4	296	296	1	8	357	95	96		10.6
85	9	Sol4	G4	296	296	1	8	357	99	96	ni  	10.7
86	9	Fa4	F4	287	287	1	8	357	99	96		10.8
87	9	Sol4	G4	296	296	1	4	714	95	96		11
88	9	Fa4	F4	287	287	1	8	357	95	96	SAZ	11.1
89	9	Sol4	G4	296	296	1	4	714	95	96	.	11.3
90	9	Sol4	G4	296	296	1	8	357	95	96	sa	11.4
91	9	La4b5	A4b5	300	300	1	8	357	99	96	çý	11.5
92	9	Si4b5	B4b5	309	309	1	8	357	95	96		11.6
93	9	Do5	C5	318	318	1	8	357	99	96	nýn 	11.7
94	9	Re5	D5	327	327	1	8	357	95	96		11.8
95	9	Mi5b1	E5b1	335	335	1	8	357	99	96	her 	11.9
96	9	Fa5	F5	340	340	1	8	357	99	96		12
97	9	Sol5	G5	349	349	1	8	357	95	96		12.1
98	9	Sol5	G5	349	349	3	16	536	99	96	te	12.25
99	9	Fa5	F5	340	340	1	16	179	99	96		12.3
100	9	Mi5b5	E5b5	331	331	1	8	357	95	96		12.4
101	9	Fa5	F5	340	340	1	8	357	99	96	li	12.5
102	9	Sol5	G5	349	349	1	8	357	95	96		12.6
103	9	Sol5	G5	349	349	1	2	1429	95	96	ni  	13
104	9			-1	-1	1	8	357	100	0		13.1
105	9	Sol5	G5	349	349	1	4	714	95	96	SAZ	13.3
106	9	La5b5	A5b5	353	353	1	8	357	95	96	.	13.4
107	9	Sol5	G5	349	349	1	8	357	95	96	.	13.5
108	9	Fa5	F5	340	340	1	8	357	95	96	.	13.6
109	9	Mi5b1	E5b1	335	335	1	8	357	95	96	.	13.7
110	9	Fa5	F5	340	340	1	8	357	95	96	.	13.8
111	9	Sol5	G5	349	349	1	4	714	95	96	.	14
112	9			-1	-1	1	8	357	100	0		14.1
113	9	Fa5	F5	340	340	3	8	1071	95	96	Kim	14.4
114	9	Sol5	G5	349	349	1	4	714	95	96	se 	14.6
115	9	Sol5	G5	349	349	1	4	714	95	96	a	14.8
116	9	Sol5	G5	349	349	1	4	714	99	96	la	15
117	9	Fa5	F5	340	340	1	8	357	95	96		15.1
118	9	Fa5	F5	340	340	1	8	357	99	96	maz 	15.2
119	9	Sol5	G5	349	349	1	8	357	99	96		15.3
120	9	La5b5	A5b5	353	353	1	8	357	95	96		15.4
121	9	Fa5	F5	340	340	1	8	357	99	96	ben	15.5
122	9	Mi5b5	E5b5	331	331	1	8	357	95	96		15.6
123	10	Re5	D5	327	327	1	8	357	99	96	den 	15.7
124	8	Sol5	G5	349	349	0	0	0	99	96		15.7
125	9	Fa5	F5	340	340	1	8	357	99	96		15.8
126	9	Mi5b5	E5b5	331	331	3	8	1071	95	96		16.1
127	9	Re5	D5	327	327	1	8	357	99	96	kal	16.2
128	9	Mi5b5	E5b5	331	331	1	8	357	99	96		16.3
129	9	Fa5	F5	340	340	1	8	357	95	96		16.4
130	9	Sol5	G5	349	349	1	8	357	99	96	bim	16.5
131	9	La5b5	A5b5	353	353	1	8	357	95	96		16.6
132	9	Fa5	F5	340	340	1	8	357	99	96	de	16.7
133	9	Mi5b5	E5b5	331	331	1	8	357	95	96		16.8
134	9	Re5	D5	327	327	1	4	714	99	96	ki 	17
135	9	Do5	C5	318	318	1	8	357	95	96		17.1
136	9	Do5	C5	318	318	1	8	357	99	96	ye	17.2
137	9	Si4b5	B4b5	309	309	1	8	357	95	96		17.3
138	9	Re5	D5	327	327	1	8	357	99	96	ri	17.4
139	9	Do5	C5	318	318	1	8	357	99	96		17.5
140	9	Si4b5	B4b5	309	309	1	8	357	95	96		17.6
141	9	Si4b5	B4b5	309	309	5	8	1785	95	96	ni  	18.1
142	9	Do5	C5	318	318	3	8	1071	95	96	kal	18.4
143	9	Sol4	G4	296	296	1	4	714	101	96	bim	18.6
144	9	Mi5b5	E5b5	331	331	1	4	714	95	96	de	18.8
145	9	Re5	D5	327	327	1	8	357	99	96	ki 	18.9
146	9	Do5	C5	318	318	1	8	357	99	96		19
147	9	Si4b5	B4b5	309	309	1	8	357	95	96		19.1
148	9	Do5	C5	318	318	1	8	357	99	96	ye	19.2
149	9	Si4b5	B4b5	309	309	1	8	357	99	96		19.3
150	9	La4b5	A4b5	300	300	1	8	357	95	96		19.4
151	9	La4b5	A4b5	300	300	1	8	357	99	96	ri	19.5
152	9	Sol4	G4	296	296	1	8	357	95	96		19.6
153	9	Sol4	G4	296	296	5	8	1785	95	96	ni  	20.1
154	9	Sol5	G5	349	349	1	4	714	95	96	SAZ	20.3
155	9	La5b5	A5b5	353	353	1	8	357	95	96	.	20.4
156	9	Sol5	G5	349	349	1	8	357	95	96	.	20.5
157	9	Fa5	F5	340	340	1	8	357	95	96	.	20.6
158	9	Mi5b1	E5b1	335	335	1	8	357	95	96	.	20.7
159	9	Fa5	F5	340	340	1	8	357	95	96	.	20.8
160	9	Sol5	G5	349	349	1	4	714	95	96	.	21
161	9			-1	-1	1	8	357	100	0		21.1
162	9	Fa5	F5	340	340	3	8	1071	95	96	Kim	21.4
163	9	Sol5	G5	349	349	1	4	714	95	96	se 	21.6
164	9	Sol5	G5	349	349	1	4	714	95	96	a	21.8
165	9	Sol5	G5	349	349	1	4	714	99	96	la	22
166	9	Fa5	F5	340	340	1	8	357	95	96		22.1
167	9	Fa5	F5	340	340	1	8	357	99	96	maz 	22.2
168	9	Sol5	G5	349	349	1	8	357	99	96		22.3
169	9	La5b5	A5b5	353	353	1	8	357	95	96		22.4
170	9	Fa5	F5	340	340	1	8	357	99	96	ben	22.5
171	9	Mi5b5	E5b5	331	331	1	8	357	95	96		22.6
172	10	Re5	D5	327	327	1	8	357	99	96	den 	22.7
173	8	Sol5	G5	349	349	0	0	0	99	96		22.7
174	9	Fa5	F5	340	340	1	8	357	99	96		22.8
175	9	Mi5b5	E5b5	331	331	3	8	1071	95	96		23.1
176	9	Re5	D5	327	327	1	8	357	99	96	kal	23.2
177	9	Mi5b5	E5b5	331	331	1	8	357	99	96		23.3
178	9	Fa5	F5	340	340	1	8	357	95	96		23.4
179	9	Sol5	G5	349	349	1	8	357	99	96	bim	23.5
180	9	La5b5	A5b5	353	353	1	8	357	95	96		23.6
181	9	Fa5	F5	340	340	1	8	357	99	96	de	23.7
182	9	Mi5b5	E5b5	331	331	1	8	357	95	96		23.8
183	9	Re5	D5	327	327	1	4	714	99	96	ki 	24
184	9	Do5	C5	318	318	1	8	357	95	96		24.1
185	9	Do5	C5	318	318	1	8	357	99	96	ye	24.2
186	9	Si4b5	B4b5	309	309	1	8	357	95	96		24.3
187	9	Re5	D5	327	327	1	8	357	99	96	ri	24.4
188	9	Do5	C5	318	318	1	8	357	99	96		24.5
189	9	Si4b5	B4b5	309	309	1	8	357	95	96		24.6
