Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5#5	F5#5	345	345	3	8	1154	95	96	1. HANE	0.375
2	9	Si5	B5	367	367	1	24	128	95	96		0.4166667
3	9	La5	A5	358	358	1	24	128	95	96		0.4583333
4	9	Sol5	G5	349	349	1	24	128	95	96		0.5
5	9	Sol5	G5	349	349	1	2	1538	95	96		1
6	9	Sol5	G5	349	349	1	4	769	95	96		1.25
7	9	La5	A5	358	358	1	8	385	95	96		1.375
8	9	Si5	B5	367	367	1	8	385	95	96		1.5
9	9	La5	A5	358	358	1	4	769	95	96		1.75
10	9	Sol5	G5	349	349	1	4	769	95	96		2
11	9	La5	A5	358	358	1	16	192	95	96		2.0625
12	9	Sol5	G5	349	349	1	16	192	95	96		2.125
13	9	Fa5#5	F5#5	345	345	1	16	192	95	96		2.1875
14	9	Mi5	E5	336	336	1	16	192	95	96		2.25
15	9	Fa5#5	F5#5	345	345	1	8	385	95	96		2.375
16	9	Sol5	G5	349	349	1	8	385	95	96		2.5
17	9	Fa5#5	F5#5	345	345	1	8	385	95	96		2.625
18	8	La5	A5	358	358	0	0	0	95	96		2.625
19	9	Sol5	G5	349	349	1	16	192	95	96		2.6875
20	9	Fa5#5	F5#5	345	345	1	16	192	95	96		2.75
21	9	Mi5	E5	336	336	1	4	769	95	96		3
22	9			-1	-1	1	8	385	100	0		3.125
23	9	Sol5	G5	349	349	1	8	385	95	96		3.25
24	9	Fa5#5	F5#5	345	345	1	8	385	95	96		3.375
25	9	Mi5	E5	336	336	1	8	385	95	96		3.5
26	9	La5	A5	358	358	1	4	769	95	96		3.75
27	9	Sol5	G5	349	349	1	8	385	95	96		3.875
28	9	Fa5#5	F5#5	345	345	1	8	385	95	96		4
29	9	Mi5	E5	336	336	1	16	192	95	96		4.0625
30	9	Fa5#5	F5#5	345	345	1	16	192	95	96		4.125
31	9	Sol5	G5	349	349	1	4	769	95	96		4.375
32	9	Fa5	F5	340	340	1	16	192	95	96		4.4375
33	9	Mi5	E5	336	336	1	16	192	95	96		4.5
34	9	Mi5	E5	336	336	3	16	577	95	96		4.6875
35	9	Re5	D5	327	327	1	16	192	95	96		4.75
36	9	Fa5#5	F5#5	345	345	1	16	192	95	96		4.8125
37	9	Mi5	E5	336	336	1	16	192	95	96		4.875
38	9	Re5	D5	327	327	1	16	192	95	96		4.9375
39	9	Do5#4	C5#4	322	322	1	16	192	95	96		5
40	9	Re5	D5	327	327	1	4	769	95	96		5.25
41	9	Mi5	E5	336	336	1	8	385	95	96		5.375
42	9	Fa5#5	F5#5	345	345	1	8	385	95	96		5.5
43	9	Sol5	G5	349	349	1	8	385	95	96		5.625
44	9	La5	A5	358	358	1	8	385	95	96		5.75
45	9	Sol5	G5	349	349	1	8	385	95	96		5.875
46	9	Si5	B5	367	367	1	8	385	95	96		6
47	9	La5	A5	358	358	3	16	577	95	96		6.1875
48	9	Sol5	G5	349	349	1	16	192	95	96		6.25
49	9	Fa5#5	F5#5	345	345	1	8	385	95	96		6.375
50	9	Sol5	G5	349	349	1	8	385	95	96		6.5
