Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	8	417	95	96	ARANAÐME	6.666667E-02
2	9	Re5	D5	327	327	1	8	417	95	96	.	0.1333333
3	9	Re5	D5	327	327	1	8	417	95	96	.	0.2
4	9	Re5	D5	327	327	3	16	625	95	96	.	0.3
5	9	Do5	C5	318	318	1	16	208	95	96	.	0.3333333
6	9	Re5	D5	327	327	1	16	208	95	96	.	0.3666667
7	9	Mi5	E5	336	336	1	16	208	95	96	.	0.4
8	9	Do5	C5	318	318	1	8	417	95	96	.	0.4666667
9	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	0.5
10	9	La4	A4	305	305	1	16	208	95	96	.	0.5333334
11	9	La4	A4	305	305	1	16	208	95	96	.	0.5666667
12	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	0.6
13	9	Do5	C5	318	318	1	16	208	95	96	.	0.6333333
14	9	Re5	D5	327	327	1	16	208	95	96	.	0.6666667
15	9	Do5	C5	318	318	1	16	208	95	96	.	0.7
16	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	0.7333333
17	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	0.7666667
18	9	La4	A4	305	305	1	16	208	95	96	.	0.8
19	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	0.8333333
20	11	La4	A4	305	305	1	16	208	95	96	.	0.8666667
21	9	La4	A4	305	305	1	4	833	95	96	.	1
22	52			0	0	1	8	0	127	17		1.066667
23	9	Do5	C5	318	318	1	8	417	95	96	ARANAÐME	1.133333
24	9	Re5	D5	327	327	1	8	417	95	96	.	1.2
25	9	Re5	D5	327	327	1	8	417	95	96	.	1.266667
26	9	Re5	D5	327	327	3	16	625	95	96	.	1.366667
27	9	Do5	C5	318	318	1	16	208	95	96	.	1.4
28	9	Re5	D5	327	327	1	16	208	95	96	.	1.433333
29	9	Mi5	E5	336	336	1	16	208	95	96	.	1.466667
30	9	Do5	C5	318	318	1	8	417	95	96	.	1.533333
31	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	1.566667
32	9	La4	A4	305	305	1	16	208	95	96	.	1.6
33	9	La4	A4	305	305	1	16	208	95	96	.	1.633333
34	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	1.666667
35	9	Do5	C5	318	318	1	16	208	95	96	.	1.7
36	9	Re5	D5	327	327	1	16	208	95	96	.	1.733333
37	9	Do5	C5	318	318	1	16	208	95	96	.	1.766667
38	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	1.8
39	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	1.833333
40	9	La4	A4	305	305	1	16	208	95	96	.	1.866667
41	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	1.9
42	11	La4	A4	305	305	1	16	208	95	96	.	1.933333
43	9	La4	A4	305	305	1	4	833	95	96	.	2.066667
44	9	Fa5#3	F5#4	343	344	1	8	417	95	96	Sö	2.133333
45	9	Sol5	G5	349	349	1	8	417	95	96	ðü	2.2
46	9	La5	A5	358	358	1	8	417	95	96	dün 	2.266667
47	9	La5	A5	358	358	1	4	833	95	96	yap	2.4
48	9	Do6	C6	371	371	1	16	208	99	96	ra	2.433333
49	9	Si5b1	B5b1	366	366	1	16	208	95	96		2.466667
50	9	La5	A5	358	358	3	16	625	99	96	ðý 	2.566667
51	9	Sol5	G5	349	349	1	16	208	95	96		2.6
52	9	Fa5#3	F5#4	343	344	1	8	417	95	96	na	2.666667
53	9	Sol5	G5	349	349	1	8	417	95	96	rin	2.733333
54	9	Fa5#3	F5#4	343	344	1	4	833	95	96	dir 	2.866667
55	9	Sol5	G5	349	349	1	16	208	99	96	na	2.9
56	9	Fa5#3	F5#4	343	344	1	16	208	95	96		2.933333
57	9	Mi5	E5	336	336	3	16	625	99	96	rin  	3.033333
58	9	Re5	D5	327	327	1	16	208	95	96		3.066667
59	9	Re5	D5	327	327	1	8	417	95	96	Sö	3.133333
60	9	Fa5#3	F5#4	343	344	1	16	208	99	96	ðü	3.166667
61	9	Sol5	G5	349	349	1	16	208	95	96		3.2
62	9	La5	A5	358	358	1	8	417	95	96	dün 	3.266667
63	9	La5	A5	358	358	1	4	833	95	96	yap	3.4
64	9	Do6	C6	371	371	1	16	208	99	96	ra	3.433333
65	9	Si5b1	B5b1	366	366	1	16	208	95	96		3.466667
66	9	La5	A5	358	358	3	16	625	99	96	ðý 	3.566667
67	9	Sol5	G5	349	349	1	16	208	95	96		3.6
68	9	Fa5#3	F5#4	343	344	1	8	417	95	96	na	3.666667
69	9	Sol5	G5	349	349	1	8	417	95	96	rin	3.733333
70	9	Fa5#3	F5#4	343	344	1	4	833	95	96	dir 	3.866667
71	9	Sol5	G5	349	349	1	16	208	99	96	na	3.9
72	9	Fa5#3	F5#4	343	344	1	16	208	95	96		3.933333
73	9	Mi5	E5	336	336	3	16	625	95	96	rin  	4.033333
74	9			-1	-1	1	16	208	100	0		4.066667
75	9	Re5	D5	327	327	1	8	417	95	96	Ý	4.133333
76	9	Re5	D5	327	327	1	8	417	95	96	çe	4.2
77	9	Re5	D5	327	327	1	8	417	95	96	rim 	4.266667
78	10	Re5	D5	327	327	3	16	625	99	96	ya	4.366667
79	8	Mi5	E5	336	336	0	0	0	99	96		4.366667
80	9	Do5	C5	318	318	1	16	208	95	96		4.4
81	9	Re5	D5	327	327	1	16	208	99	96	ný	4.433333
82	9	Mi5	E5	336	336	1	16	208	95	96		4.466667
83	7	Do5	C5	318	318	2	16	417	99	96	yor 	4.533333
84	9	Si4b2	B4b1	312	313	1	16	208	99	96		4.566667
85	9	La4	A4	305	305	1	16	208	95	96		4.6
86	9	La4	A4	305	305	1	16	208	99	96	dý	4.633333
87	9	Si4b2	B4b1	312	313	1	16	208	95	96		4.666667
88	9	Do5	C5	318	318	1	16	208	99	96	þa	4.7
89	9	Re5	D5	327	327	1	16	208	95	96		4.733333
90	9	Do5	C5	318	318	1	16	208	99	96	rým 	4.766667
91	9	Si4b2	B4b1	312	313	1	16	208	99	96		4.8
92	9	Si4b2	B4b1	312	313	1	16	208	99	96		4.833333
93	9	La4	A4	305	305	1	16	208	95	96		4.866667
94	9	Si4b2	B4b1	312	313	1	16	208	99	96	se	4.9
95	11	La4	A4	305	305	1	16	208	95	96		4.933333
96	9	La4	A4	305	305	1	4	833	95	96	rin  	5.066667
97	9	Re5	D5	327	327	1	8	417	95	96	Ý	5.133333
98	9	Re5	D5	327	327	1	8	417	95	96	çe	5.2
99	9	Re5	D5	327	327	1	8	417	95	96	rim 	5.266667
100	10	Re5	D5	327	327	3	16	625	99	96	ya	5.366667
101	8	Mi5	E5	336	336	0	0	0	99	96		5.366667
102	9	Do5	C5	318	318	1	16	208	95	96		5.4
103	9	Re5	D5	327	327	1	16	208	99	96	ný	5.433333
104	9	Mi5	E5	336	336	1	16	208	95	96		5.466667
105	7	Do5	C5	318	318	2	16	417	99	96	yor 	5.533333
106	9	Si4b2	B4b1	312	313	1	16	208	99	96		5.566667
107	9	La4	A4	305	305	1	16	208	95	96		5.6
108	9	La4	A4	305	305	1	16	208	99	96	dý	5.633333
109	9	Si4b2	B4b1	312	313	1	16	208	95	96		5.666667
110	9	Do5	C5	318	318	1	16	208	99	96	þa	5.7
111	9	Re5	D5	327	327	1	16	208	95	96		5.733333
112	9	Do5	C5	318	318	1	16	208	99	96	rým 	5.766667
113	9	Si4b2	B4b1	312	313	1	16	208	99	96		5.8
114	9	Si4b2	B4b1	312	313	1	16	208	99	96		5.833333
115	9	La4	A4	305	305	1	16	208	95	96		5.866667
116	9	Si4b2	B4b1	312	313	1	16	208	99	96	se	5.9
117	11	La4	A4	305	305	1	16	208	95	96		5.933333
118	9	La4	A4	305	305	1	4	833	95	96	rin  	6.066667
119	9	Fa5#3	F5#4	343	344	1	8	417	95	96	Zey	6.133333
120	9	Sol5	G5	349	349	1	8	417	95	96	ne	6.2
121	9	La5	A5	358	358	1	8	417	95	96	bi 	6.266667
122	9	La5	A5	358	358	1	4	833	95	96	bu 	6.4
123	9	Do6	C6	371	371	1	16	208	99	96	haf	6.433333
124	9	Si5b1	B5b1	366	366	1	16	208	95	96		6.466667
125	9	La5	A5	358	358	3	16	625	99	96	ta 	6.566667
126	9	Sol5	G5	349	349	1	16	208	95	96		6.6
127	9	Fa5#3	F5#4	343	344	1	8	417	95	96	et	6.666667
128	9	Sol5	G5	349	349	1	8	417	95	96	ti	6.733333
129	9	Fa5#3	F5#4	343	344	1	4	833	95	96	ler 	6.866667
130	9	Sol5	G5	349	349	1	16	208	99	96	ge	6.9
131	9	Fa5#3	F5#4	343	344	1	16	208	95	96		6.933333
132	9	Mi5	E5	336	336	3	16	625	99	96	lin  	7.033333
133	9	Re5	D5	327	327	1	16	208	95	96		7.066667
134	9	Re5	D5	327	327	1	8	417	95	96	Zey	7.133333
135	9	Fa5#3	F5#4	343	344	1	16	208	99	96	ne	7.166667
136	9	Sol5	G5	349	349	1	16	208	95	96		7.2
137	9	La5	A5	358	358	1	8	417	95	96	bi 	7.266667
138	9	La5	A5	358	358	1	4	833	95	96	bu 	7.4
139	9	Do6	C6	371	371	1	16	208	99	96	haf	7.433333
140	9	Si5b1	B5b1	366	366	1	16	208	95	96		7.466667
141	9	La5	A5	358	358	3	16	625	99	96	ta 	7.566667
142	9	Sol5	G5	349	349	1	16	208	95	96		7.6
143	9	Fa5#3	F5#4	343	344	1	8	417	95	96	et	7.666667
144	9	Sol5	G5	349	349	1	8	417	95	96	ti	7.733333
145	9	Fa5#3	F5#4	343	344	1	4	833	95	96	ler 	7.866667
146	9	Sol5	G5	349	349	1	16	208	99	96	ge	7.9
147	9	Fa5#3	F5#4	343	344	1	16	208	95	96		7.933333
148	9	Mi5	E5	336	336	3	16	625	95	96	lin  	8.033334
149	9			-1	-1	1	16	208	100	0		8.066667
150	9	Do5	C5	318	318	1	8	417	95	96	Zey	8.133333
151	9	Re5	D5	327	327	1	8	417	95	96	ne	8.2
152	9	Re5	D5	327	327	1	8	417	95	96	bim 	8.266666
153	10	Re5	D5	327	327	3	16	625	99	96	Zey	8.366667
154	8	Mi5	E5	336	336	0	0	0	99	96		8.366667
155	9	Do5	C5	318	318	1	16	208	95	96		8.4
156	9	Re5	D5	327	327	1	16	208	99	96	ne	8.433333
157	9	Mi5	E5	336	336	1	16	208	95	96		8.466666
158	9	Do5	C5	318	318	1	16	208	99	96	bim 	8.5
159	9	Do5	C5	318	318	1	16	208	99	96		8.533334
160	9	Si4b2	B4b1	312	313	1	16	208	99	96		8.566667
161	9	La4	A4	305	305	1	16	208	95	96		8.6
162	9	La4	A4	305	305	1	16	208	99	96	an	8.633333
163	9	Si4b2	B4b1	312	313	1	16	208	95	96		8.666667
164	9	Do5	C5	318	318	1	16	208	99	96	lý 	8.7
165	9	Re5	D5	327	327	1	16	208	95	96		8.733334
166	9	Do5	C5	318	318	1	16	208	99	96	Zey	8.766666
167	9	Si4b2	B4b1	312	313	1	16	208	99	96		8.8
168	9	Si4b2	B4b1	312	313	1	16	208	99	96		8.833333
169	9	La4	A4	305	305	1	16	208	95	96		8.866667
170	9	Si4b2	B4b1	312	313	1	16	208	99	96	ne	8.9
171	11	La4	A4	305	305	1	16	208	95	96		8.933333
172	9	La4	A4	305	305	1	4	833	95	96	bim  	9.066667
173	9	Do5	C5	318	318	1	8	417	95	96	Üç 	9.133333
174	9	Re5	D5	327	327	1	8	417	95	96	kö	9.2
175	9	Re5	D5	327	327	1	8	417	95	96	yün 	9.266666
176	10	Re5	D5	327	327	3	16	625	99	96	i	9.366667
177	8	Mi5	E5	336	336	0	0	0	99	96		9.366667
178	9	Do5	C5	318	318	1	16	208	95	96		9.4
179	9	Re5	D5	327	327	1	16	208	99	96	çin	9.433333
180	9	Mi5	E5	336	336	1	16	208	95	96		9.466666
181	9	Do5	C5	318	318	1	16	208	99	96	de 	9.5
182	9	Do5	C5	318	318	1	16	208	99	96		9.533334
183	9	Si4b2	B4b1	312	313	1	16	208	99	96		9.566667
184	9	La4	A4	305	305	1	16	208	95	96		9.6
185	9	La4	A4	305	305	1	16	208	99	96	þan	9.633333
186	9	Si4b2	B4b1	312	313	1	16	208	95	96		9.666667
187	9	Do5	C5	318	318	1	16	208	99	96	lý 	9.7
188	9	Re5	D5	327	327	1	16	208	95	96		9.733334
189	9	Do5	C5	318	318	1	16	208	99	96	Zey	9.766666
190	9	Si4b2	B4b1	312	313	1	16	208	99	96		9.8
191	9	Si4b2	B4b1	312	313	1	16	208	99	96		9.833333
192	9	La4	A4	305	305	1	16	208	95	96		9.866667
193	9	Si4b2	B4b1	312	313	1	16	208	99	96	ne	9.9
194	11	La4	A4	305	305	1	16	208	95	96		9.933333
195	9	La4	A4	305	305	1	4	833	95	96	bim  	10.06667
196	9	Do5	C5	318	318	1	8	417	95	96	Zey	10.13333
197	9	Re5	D5	327	327	1	8	417	95	96	ne	10.2
198	9	Re5	D5	327	327	1	8	417	95	96	bim 	10.26667
199	10	Re5	D5	327	327	3	16	625	99	96	Zey	10.36667
200	8	Mi5	E5	336	336	0	0	0	99	96		10.36667
201	9	Do5	C5	318	318	1	16	208	95	96		10.4
202	9	Re5	D5	327	327	1	16	208	99	96	ne	10.43333
203	9	Mi5	E5	336	336	1	16	208	95	96		10.46667
204	9	Do5	C5	318	318	1	16	208	99	96	bim 	10.5
205	9	Do5	C5	318	318	1	16	208	99	96		10.53333
206	9	Si4b2	B4b1	312	313	1	16	208	99	96		10.56667
207	9	La4	A4	305	305	1	16	208	95	96		10.6
