Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	3	8	2250	95	96	Âh	0.375
2	9	Si4b4	B4b4	310	310	1	8	750	95	96		0.5
3	9	Si4b4	B4b4	310	310	1	8	750	95	96		0.625
4	9	Re5	D5	327	327	1	4	1500	95	96	Bir	0.875
5	9	Re5	D5	327	327	1	8	750	95	96	pe	1
6	9	Re5	D5	327	327	1	2	3000	95	96	rî	1.5
7	9	Mi5b4	E5b4	332	332	3	16	1125	95	96	dir	1.6875
8	9	Re5	D5	327	327	1	16	375	95	96		1.75
9	9	Do5#4	C5#4	322	322	1	8	750	95	96		1.875
10	9	Re5	D5	327	327	1	8	750	95	96		2
11	9	Do5#4	C5#4	322	322	1	8	750	95	96		2.125
12	9	Re5	D5	327	327	1	8	750	95	96		2.25
13	9	Si4b4	B4b4	310	310	1	8	750	95	96		2.375
14	9			-1	-1	1	8	750	100	0		2.5
15	9	Mi5b4	E5b4	332	332	1	4	1500	95	96	çeh	2.75
16	9	Mi5b4	E5b4	332	332	1	4	1500	95	96	re	3
17	9			-1	-1	1	8	750	100	0		3.125
18	9	La5	A5	358	358	1	4	1500	95	96	mâ	3.375
19	9	Sol5	G5	349	349	1	8	750	95	96		3.5
20	9	La5	A5	358	358	1	4	1500	95	96		3.75
21	9	Si5b4	B5b4	363	363	1	4	1500	95	96		4
22	9	La5	A5	358	358	1	8	750	95	96	vi	4.125
23	9	Sol5	G5	349	349	1	8	750	95	96		4.25
24	9	Fa5#4	F5#4	344	344	1	8	750	95	96		4.375
25	9	Mi5b4	E5b4	332	332	1	8	750	95	96		4.5
26	9	La5	A5	358	358	1	4	1500	95	96	göz	4.75
27	9	Sol5	G5	349	349	1	8	750	95	96		4.875
28	9	Fa5#4	F5#4	344	344	1	8	750	95	96		5
29	9	Mi5#4	E5#4	340	340	1	8	750	95	96	ler	5.125
30	9	Fa5#4	F5#4	344	344	3	8	2250	95	96		5.5
31	9	Fa5#4	F5#4	344	344	1	4	1500	95	96		5.75
32	9	Sol5	G5	349	349	1	4	1500	95	96	a	6
33	9	Fa5#4	F5#4	344	344	1	8	750	95	96	man	6.125
34	9	Mi5b4	E5b4	332	332	1	8	750	95	96		6.25
35	9	Re5	D5	327	327	3	16	1125	95	96		6.4375
36	9	Do5#4	C5#4	322	322	1	16	375	95	96		6.5
37	9	Si4b4	B4b4	310	310	3	8	2250	95	96		6.875
38	9			-1	-1	1	8	750	100	0		7
39	9			-1	-1	1	8	750	100	0		7.125
40	9	Si4b4	B4b4	310	310	1	4	1500	95	96	göz	7.375
41	9	Si4b4	B4b4	310	310	1	8	750	95	96	ler	7.5
42	9	Mi5b4	E5b4	332	332	3	8	2250	95	96	en	7.875
43	9	Re5	D5	327	327	1	8	750	95	96		8
44	9	Re5	D5	327	327	1	8	750	95	96	gin	8.125
45	9	Si5b4	B5b4	363	363	1	8	750	95	96		8.25
46	9	La5	A5	358	358	1	8	750	95	96		8.375
47	9	Sol5	G5	349	349	1	8	750	95	96		8.5
48	9	Fa5#4	F5#4	344	344	1	8	750	95	96		8.625
49	9	Mi5b4	E5b4	332	332	1	8	750	95	96		8.75
50	9	Re5	D5	327	327	3	16	1125	95	96		8.9375
51	9	Do5#4	C5#4	322	322	1	16	375	95	96		9
52	9	Si4b4	B4b4	310	310	1	8	750	95	96		9.125
53	9	Re5	D5	327	327	1	4	1500	95	96	bir	9.375
54	9	Re5	D5	327	327	1	8	750	95	96	su	9.5
55	9	Re5	D5	327	327	3	8	2250	95	96	dur	9.875
56	9			-1	-1	1	8	750	100	0		10
57	9			-1	-1	1	8	750	100	0		10.125
58	9	Si4b4	B4b4	310	310	1	4	1500	95	96	göz	10.375
59	9	Sol4	G4	296	296	1	8	750	95	96	ler	10.5
60	9	Si4b4	B4b4	310	310	3	8	2250	95	96	en	10.875
61	9	La4	A4	305	305	1	8	750	95	96		11
62	9	La4	A4	305	305	1	8	750	95	96	gin	11.125
63	9	Si4b4	B4b4	310	310	1	8	750	95	96		11.25
64	8	Mi5b4	E5b4	332	332	0	0	0	95	96		11.25
65	9	Re5	D5	327	327	1	8	750	95	96		11.375
66	9	Do5#4	C5#4	322	322	1	8	750	95	96		11.5
67	9	Si4b4	B4b4	310	310	3	16	1125	95	96		11.6875
68	9	La4	A4	305	305	1	16	375	95	96		11.75
69	9	Sol4	G4	296	296	1	4	1500	95	96		12
70	9			-1	-1	1	8	750	100	0		12.125
71	8	La5	A5	358	358	0	0	0	95	96		12.125
72	9	Sol5	G5	349	349	1	8	750	95	96	bir	12.25
73	9	Fa5#4	F5#4	344	344	1	8	750	95	96		12.375
74	9	Mi5b4	E5b4	332	332	1	8	750	95	96		12.5
75	9	Re5	D5	327	327	1	4	1500	95	96		12.75
76	9	Mi5b4	E5b4	332	332	1	4	1500	95	96		13
77	9	Do5#4	C5#4	322	322	1	8	750	95	96	su	13.125
78	8	Mi5b4	E5b4	332	332	0	0	0	95	96		13.125
79	9	Re5	D5	327	327	3	8	2250	95	96	dur	13.5
80	9	Re5	D5	327	327	3	8	2250	95	96		13.875
81	9			-1	-1	1	8	750	100	0		14
82	9	Fa5#4	F5#4	344	344	1	8	750	95	96	Be	14.125
83	9	Sol5	G5	349	349	1	4	1500	95	96	nim	14.375
84	9	Fa5#4	F5#4	344	344	1	8	750	95	96		14.5
85	9	Sol5	G5	349	349	1	4	1500	95	96		14.75
86	9	La5	A5	358	358	1	4	1500	95	96	câ	15
87	8	Re6	D6	380	380	0	0	0	95	96		15
88	9	Do6	C6	371	371	1	8	750	95	96	nım	15.125
89	9	Si5b4	B5b4	363	363	1	8	750	95	96		15.25
90	9	La5	A5	358	358	1	8	750	95	96		15.375
91	9	Sol5	G5	349	349	1	8	750	95	96		15.5
92	9	Fa5#4	F5#4	344	344	1	8	750	95	96		15.625
93	8	Sol5	G5	349	349	0	0	0	95	96		15.625
94	9	Fa5#4	F5#4	344	344	1	16	375	95	96		15.6875
95	9	Mi5#4	E5#4	340	340	1	16	375	95	96		15.75
96	9	Fa5#4	F5#4	344	344	1	4	1500	95	96		16
97	9	Re5	D5	327	327	1	8	750	95	96	a	16.125
