Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	3	4	2500	100	0		0.3333333
2	9	Re4	D4	274	274	1	8	417	95	96	Fe	0.3888889
3	9	Re4	D4	274	274	1	8	417	95	96	ra	0.4444444
4	9	Sol4	G4	296	296	1	4	833	95	96		0.5555556
5	9	Sol4	G4	296	296	1	8	417	95	96	yi	0.6111111
6	9	Sol4	G4	296	296	1	8	417	95	96	dir 	0.6666667
7	9	Sol4	G4	296	296	1	2	1667	95	96		0.8888889
8	9			-1	-1	1	4	833	100	0		1
9	9	La4	A4	305	305	1	4	833	95	96	gý	1.111111
10	9	Si4b4	B4b4	310	310	3	16	625	95	96		1.194444
11	9	La4	A4	305	305	1	16	208	95	96		1.222222
12	9	Si4b4	B4b4	310	310	1	12	278	95	96		1.259259
13	9	La4	A4	305	305	1	12	278	95	96		1.296296
14	9	Si4b4	B4b4	310	310	1	12	278	95	96		1.333333
15	8	Do5#4	C5#4	322	322	0	0	0	95	96		1.333333
16	9	Re5	D5	327	327	3	16	625	95	96	zýn_	1.416667
17	9	Do5#4	C5#4	322	322	1	16	208	95	96		1.444444
18	9	Si4b4	B4b4	310	310	3	16	625	95	96	a	1.527778
19	9	La4	A4	305	305	1	16	208	95	96		1.555556
20	9	Sol4	G4	296	296	1	4	833	95	96		1.666667
21	9	Sol4	G4	296	296	1	4	833	95	96	dý 	1.777778
22	9	La4	A4	305	305	1	8	417	95	96		1.833333
23	9	Si4b4	B4b4	310	310	1	8	417	95	96		1.888889
24	9	La4	A4	305	305	1	8	417	95	96		1.944444
25	9	Si4b4	B4b4	310	310	1	8	417	95	96		2
26	9	Sol4	G4	296	296	1	4	833	95	96		2.111111
27	9	Sol4	G4	296	296	1	8	417	95	96		2.166667
28	9	Fa4#4	F4#4	291	291	1	8	417	95	96		2.222222
29	9	Sol4	G4	296	296	1	16	208	95	96	Fe	2.25
30	9	Re5	D5	327	327	3	16	625	95	96		2.333333
31	9	Re5	D5	327	327	1	4	833	95	96	ra	2.444444
32	9	Re5	D5	327	327	1	4	833	95	96	ye 	2.555556
33	9			-1	-1	1	4	833	100	0		2.666667
34	8	Fa5#4	F5#4	344	344	0	0	0	95	96	de 	2.666667
35	9	Mi5b4	E5b4	332	332	1	4	833	95	96		2.777778
36	9	Re5	D5	327	327	1	4	833	95	96		2.888889
37	9	Do5#4	C5#4	322	322	1	4	833	95	96		3
38	8	Re5	D5	327	327	0	0	0	95	96		3
39	9	Do5#4	C5#4	322	322	1	8	417	95	96	yan	3.055556
40	9	Si4b4	B4b4	310	310	1	16	208	95	96	dým_	3.083333
41	9	La4	A4	305	305	1	16	208	95	96		3.111111
42	9	Si4b4	B4b4	310	310	1	4	833	95	96		3.222222
43	8	La4	A4	305	305	0	0	0	95	96		3.222222
44	9	Si4b4	B4b4	310	310	1	8	417	95	96	a	3.277778
45	9	Si4b4	B4b4	310	310	3	8	1250	95	96	man  	3.444444
46	8	La4	A4	305	305	0	0	0	95	96		3.444444
47	9	Re5	D5	327	327	1	4	833	95	96	Es	3.555556
48	9	Re5	D5	327	327	1	8	417	95	96	me	3.611111
49	9	Do5#4	C5#4	322	322	1	8	417	95	96	ri 	3.666667
50	9	Re5	D5	327	327	3	16	625	95	96	yâ	3.75
51	9	Do5#4	C5#4	322	322	1	16	208	95	96		3.777778
52	9	Do5#4	C5#4	322	322	1	16	208	95	96	rim 	3.805556
53	9	Si4b4	B4b4	310	310	1	16	208	95	96		3.833333
54	9	Si4b4	B4b4	310	310	1	16	208	95	96		3.861111
55	9	La4	A4	305	305	1	16	208	95	96		3.888889
56	9	Sol4	G4	296	296	1	8	417	95	96	de 	3.944444
57	9			-1	-1	1	8	417	100	0		4
58	9	Re4	D4	274	274	1	8	417	95	96	a	4.055555
59	9	Sol4	G4	296	296	1	4	833	95	96	man 	4.166667
60	9	Sol4	G4	296	296	1	8	417	95	96	da 	4.222222
61	9	La4	A4	305	305	1	8	417	95	96	Fe	4.277778
62	9	Si4b4	B4b4	310	310	1	16	208	95	96	ra	4.305555
63	9	La4	A4	305	305	1	16	208	95	96		4.333333
64	9	Sol4	G4	296	296	1	12	278	95	96		4.37037
65	9	Fa4#4	F4#4	291	291	1	12	278	95	96		4.407407
66	9	La4	A4	305	305	1	12	278	95	96		4.444445
67	9	Sol4	G4	296	296	1	2	1667	95	96	yi  	4.666667
68	9	Re4	D4	274	274	1	4	833	95	96		4.777778
69	9	Sol4	G4	296	296	1	8	417	95	96		4.833333
70	9	Fa4#4	F4#4	291	291	1	8	417	95	96		4.888889
71	9	Sol4	G4	296	296	1	4	833	95	96		5
72	9	Sol4	G4	296	296	1	4	833	95	96		5.111111
73	9	Sol4	G4	296	296	1	8	417	95	96		5.166667
74	9	Sol4	G4	296	296	1	8	417	95	96		5.222222
75	9	Re4	D4	274	274	3	16	625	95	96	Türk	5.305555
76	9	Sol4	G4	296	296	1	16	208	95	96		5.333333
77	9	Sol4	G4	296	296	1	8	417	95	96	men 	5.388889
78	9	Sol4	G4	296	296	1	8	417	95	96	de 	5.444445
79	9	La4	A4	305	305	1	8	417	95	96	gý	5.5
80	9	Si4b4	B4b4	310	310	1	16	208	95	96		5.527778
81	9	La4	A4	305	305	1	16	208	95	96		5.555555
82	9	Sol4	G4	296	296	1	16	208	95	96		5.583333
83	9	Fa4#4	F4#4	291	291	1	16	208	95	96		5.611111
84	9	Sol4	G4	296	296	1	8	417	95	96		5.666667
85	9	Sol4	G4	296	296	3	4	2500	95	96	zý 	6
86	9	La4	A4	305	305	1	8	417	95	96	ka	6.055555
87	9	Si4b4	B4b4	310	310	3	8	1250	95	96		6.222222
88	9	La4	A4	305	305	1	8	417	95	96		6.277778
89	9	Si4b4	B4b4	310	310	1	8	417	95	96		6.333333
90	8	Mi5b4	E5b4	332	332	0	0	0	95	96		6.333333
