Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	3	8	1071	95	96	VÝYO 	0.375
2	9	Fa5#4	F5#4	344	344	1	8	357	95	96	.	0.5
3	9	Sol5	G5	349	349	1	8	357	95	96	.	0.625
4	9	Fa5#4	F5#4	344	344	1	8	357	95	96	.	0.75
5	9	Sol5	G5	349	349	1	8	357	95	96	.	0.875
6	9	La5	A5	358	358	1	8	357	95	96	.	1
7	9	Si5b5	B5b5	362	362	1	8	357	95	96	.	1.125
8	9			-1	-1	1	8	357	100	0	.	1.25
9	9	Sol5	G5	349	349	1	8	357	95	96	.	1.375
10	9			-1	-1	1	8	357	100	0	.	1.5
11	9	La5	A5	358	358	1	8	357	95	96	.	1.625
12	9			-1	-1	1	8	357	100	0	.	1.75
13	9	Fa5#4	F5#4	344	344	1	8	357	95	96	.	1.875
14	9			-1	-1	1	8	357	100	0	.	2
15	9	Sol4	G4	296	296	3	8	1071	95	96	ARANAÐME 	2.375
16	9	Fa4#4	F4#4	291	291	1	8	357	95	96	.	2.5
17	9	Sol4	G4	296	296	1	8	357	95	96	.	2.625
18	9	Fa4#4	F4#4	291	291	1	8	357	95	96	.	2.75
19	9	Sol4	G4	296	296	1	8	357	95	96	.	2.875
20	9	La4	A4	305	305	1	8	357	95	96	.	3
21	9	Si4b5	B4b5	309	309	1	8	357	95	96	.	3.125
22	9			-1	-1	1	8	357	100	0	.	3.25
23	9	Sol4	G4	296	296	1	8	357	95	96	.	3.375
24	9			-1	-1	1	8	357	100	0	.	3.5
25	9	La4	A4	305	305	1	8	357	95	96	.	3.625
26	9			-1	-1	1	8	357	100	0	.	3.75
27	9	Fa4#4	F4#4	291	291	1	8	357	95	96	.	3.875
28	9			-1	-1	1	8	357	100	0	.	4
29	9	Sol4	G4	296	296	3	4	2143	95	96	.	4.75
30	9			-1	-1	1	4	714	100	0	.	5
31	9	Sol4	G4	296	296	1	4	714	50	96	Kalp	5.25
32	9	La4	A4	305	305	1	4	714	50	96	ler	5.5
33	9	Si4b5	B4b5	309	309	3	8	1071	50	96	den 	5.875
34	9	La4	A4	305	305	1	8	357	95	96	du	6
35	9	Sol4	G4	296	296	1	4	714	50	96	dak	6.25
36	9	Fa4#4	F4#4	291	291	1	4	714	99	96	la	6.5
37	8	La4	A4	305	305	0	0	0	95	96		6.5
38	9	Sol4	G4	296	296	1	4	714	95	96	ra 	6.75
39	9			-1	-1	1	4	714	100	0		7
40	9			-1	-1	1	8	357	100	0		7.125
41	9	Re5	D5	327	327	1	4	714	95	96	yük	7.375
42	9	Re5	D5	327	327	1	8	357	95	96	se	7.5
43	9	Sol5	G5	349	349	1	2	1429	100	96	len 	8
44	9	Sol5	G5	349	349	1	2	1429	95	96		8.5
45	9			-1	-1	1	8	357	100	0		8.625
46	9	Re5	D5	327	327	1	4	714	95	96	yük	8.875
47	9	Re5	D5	327	327	1	8	357	95	96	se	9
48	9	La5	A5	358	358	1	1	2857	95	96	len 	10
49	9			-1	-1	1	8	357	100	0		10.125
50	9	La5	A5	358	358	1	4	714	95	96	yük	10.375
51	9	Do6	C6	371	371	1	8	357	95	96	se	10.5
52	9	Si5b5	B5b5	362	362	3	8	1071	95	96	len 	10.875
53	9	La5	A5	358	358	1	8	357	95	96	se	11
54	9	Sol5	G5	349	349	1	4	714	95	96	si 	11.25
55	9	Fa5#4	F5#4	344	344	1	4	714	95	96	din	11.5
56	9	Sol5	G5	349	349	1	2	1429	95	96	le  	12
57	9			-1	-1	1	8	357	100	0		12.125
58	9	Re5	D5	327	327	1	8	357	95	96	SAZ 	12.25
59	9	Mi5b5	E5b5	331	331	1	8	357	95	96	.	12.375
60	9	Fa5#4	F5#4	344	344	1	8	357	95	96		12.5
61	9	Sol5	G5	349	349	1	2	1429	95	96		13
62	9			-1	-1	1	8	357	100	0		13.125
63	9	Fa5#4	F5#4	344	344	1	8	357	95	96		13.25
64	9	Sol5	G5	349	349	1	8	357	95	96		13.375
65	9	La5	A5	358	358	1	8	357	95	96		13.5
66	9	Si5b5	B5b5	362	362	1	2	1429	95	96		14
67	9			-1	-1	1	8	357	100	0		14.125
68	9	La5	A5	358	358	1	16	179	95	96		14.1875
69	9	Do6	C6	371	371	1	16	179	95	96		14.25
70	9	Si5b5	B5b5	362	362	1	8	357	95	96		14.375
71	9	La5	A5	358	358	1	16	179	95	96		14.4375
72	9	Si5b5	B5b5	362	362	1	16	179	95	96		14.5
73	9	La5	A5	358	358	1	8	357	95	96		14.625
74	9	Sol5	G5	349	349	1	16	179	95	96		14.6875
75	9	La5	A5	358	358	1	16	179	95	96		14.75
76	9	Sol5	G5	349	349	1	8	357	95	96		14.875
77	9	Fa5#4	F5#4	344	344	1	16	179	95	96		14.9375
78	9	La5	A5	358	358	1	16	179	95	96		15
79	9	Sol5	G5	349	349	3	4	2143	95	96		15.75
80	9			-1	-1	1	4	714	100	0		16
81	9			-1	-1	1	8	357	100	0		16.125
82	9	Re5	D5	327	327	1	4	714	95	96	Bu 	16.375
