Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	909	95	96	ARANAÐME	0.25
2	9	Do5#3	C5#4	321	322	1	16	227	95	96	.	0.3125
3	9	Re5	D5	327	327	1	16	227	95	96	.	0.375
4	9	Mi5	E5	336	336	1	8	455	95	66	.	0.5
5	9	Fa5#5	F5#5	345	345	1	16	227	95	67	.	0.5625
6	9	Sol5#3	G5#4	352	353	1	16	227	95	68	.	0.625
7	12	La5	A5	358	358	1	8	455	95	69	.	0.75
8	9	Sol5#3	G5#4	352	353	1	8	455	95	69	.	0.875
9	9	Fa5#5	F5#5	345	345	1	8	455	95	70	.	1
10	9	Mi5	E5	336	336	1	4	909	95	71	.	1.25
11	9	Fa5#5	F5#5	345	345	1	16	227	95	72	.	1.3125
12	9	Sol5#3	G5#4	352	353	1	16	227	95	73	.	1.375
13	9	La5	A5	358	358	1	8	455	95	74	.	1.5
14	9	Si5	B5	367	367	1	16	227	95	75	.	1.5625
15	9	Do6#3	C6#4	374	375	1	16	227	95	75	.	1.625
16	9	Re6	D6	380	380	1	8	455	95	76	.	1.75
17	9	Do6#3	C6#4	374	375	1	8	455	95	77	.	1.875
18	9	Si5	B5	367	367	1	8	455	95	78	.	2
19	9	La5	A5	358	358	1	4	909	95	79	.	2.25
20	9	Sol5	G5	349	349	1	16	227	95	80	.	2.3125
21	9	Fa5#5	F5#5	345	345	1	16	227	95	81	.	2.375
22	9	Mi5	E5	336	336	1	8	455	95	81	.	2.5
23	9	Re5	D5	327	327	1	16	227	95	82	.	2.5625
24	9	Do5#3	C5#4	321	322	1	16	227	95	83	.	2.625
25	9	Fa5#5	F5#5	345	345	1	8	455	95	84	.	2.75
26	9	Mi5	E5	336	336	1	8	455	95	85	.	2.875
27	9	Re5	D5	327	327	1	8	455	95	86	.	3
28	9	Do5#3	C5#4	321	322	1	4	909	95	87	.	3.25
29	9	La4	A4	305	305	1	8	455	95	87	.	3.375
30	9	Si4	B4	314	314	1	16	227	95	88	.	3.4375
31	9	La4	A4	305	305	1	16	227	95	89	.	3.5
32	9	Si4	B4	314	314	1	16	227	95	90	.	3.5625
33	9	Do5#3	C5#4	321	322	1	16	227	95	91	.	3.625
34	9	Si4	B4	314	314	1	16	227	95	92	.	3.6875
35	9	La4	A4	305	305	1	16	227	95	93	.	3.75
36	9	Sol4#3	G4#4	299	300	1	16	227	95	93	.	3.8125
37	9	Fa4#5	F4#5	292	292	1	16	227	95	94	.	3.875
38	9	Mi4	E4	283	283	1	8	455	95	95	.	4
39	52			0	0	1	8	0	127	96		4.125
40	9	La4	A4	305	305	1	4	909	95	96	ARANAÐME	4.375
41	9	Do5#3	C5#4	321	322	1	16	227	95	96	.	4.4375
42	9	Re5	D5	327	327	1	16	227	95	96	.	4.5
43	9	Mi5	E5	336	336	1	8	455	95	96	.	4.625
44	9	Fa5#5	F5#5	345	345	1	16	227	95	96	.	4.6875
45	9	Sol5#3	G5#4	352	353	1	16	227	95	96	.	4.75
46	12	La5	A5	358	358	1	8	455	95	96	.	4.875
47	9	Sol5#3	G5#4	352	353	1	8	455	95	96	.	5
48	9	Fa5#5	F5#5	345	345	1	8	455	95	96	.	5.125
49	9	Mi5	E5	336	336	1	4	909	95	96	.	5.375
50	9	Fa5#5	F5#5	345	345	1	16	227	95	96	.	5.4375
51	9	Sol5#3	G5#4	352	353	1	16	227	95	96	.	5.5
52	9	La5	A5	358	358	1	8	455	95	96	.	5.625
53	9	Si5	B5	367	367	1	16	227	95	96	.	5.6875
54	9	Do6#3	C6#4	374	375	1	16	227	95	96	.	5.75
55	9	Re6	D6	380	380	1	8	455	95	96	.	5.875
56	9	Do6#3	C6#4	374	375	1	8	455	95	96	.	6
57	9	Si5	B5	367	367	1	8	455	95	96	.	6.125
58	9	La5	A5	358	358	1	4	909	95	96	.	6.375
59	9	Sol5	G5	349	349	1	16	227	95	96	.	6.4375
60	9	Fa5#5	F5#5	345	345	1	16	227	95	96	.	6.5
61	9	Mi5	E5	336	336	1	8	455	95	96	.	6.625
62	9	Re5	D5	327	327	1	16	227	95	96	.	6.6875
63	9	Do5#3	C5#4	321	322	1	16	227	95	96	.	6.75
64	9	Fa5#5	F5#5	345	345	1	8	455	95	96	.	6.875
65	9	Mi5	E5	336	336	1	8	455	95	96	.	7
66	9	Re5	D5	327	327	1	8	455	95	96	.	7.125
67	9	Do5#3	C5#4	321	322	1	4	909	95	96	.	7.375
68	9	La4	A4	305	305	1	8	455	95	96	.	7.5
69	9	Si4	B4	314	314	1	16	227	95	96	.	7.5625
70	9	La4	A4	305	305	1	16	227	95	96	.	7.625
71	9	Si4	B4	314	314	1	16	227	95	96	.	7.6875
72	9	Do5#3	C5#4	321	322	1	16	227	95	96	.	7.75
73	9	La4	A4	305	305	1	4	909	95	96	.	8
74	9			-1	-1	1	8	455	100	0		8.125
75	9	La4	A4	305	305	1	4	909	95	96	Ýf	8.375
76	9	Do5#3	C5#4	321	322	1	16	227	99	96	ti	8.4375
77	9	Re5	D5	327	327	1	16	227	95	96		8.5
78	9	Mi5	E5	336	336	1	8	455	99	96	râ	8.625
79	9	Fa5#5	F5#5	345	345	1	16	227	99	96		8.6875
80	9	Sol5#3	G5#4	352	353	1	16	227	95	96		8.75
81	9	La5	A5	358	358	1	8	455	99	96	kýn	8.875
82	9	Sol5#1	G5	350	349	1	8	455	99	96		9
83	9	Fa5#5	F5#5	345	345	1	8	455	95	96		9.125
84	9	Mi5	E5	336	336	1	8	455	99	96	la 	9.25
85	9	Re5	D5	327	327	1	8	455	95	96		9.375
86	9	Do5#3	C5#4	321	322	1	8	455	95	96	e	9.5
87	9	Mi5	E5	336	336	1	8	455	99	96	fen	9.625
88	8	Sol5	G5	349	349	0	0	0	99	96		9.625
89	9	Fa5#5	F5#5	345	345	1	16	227	99	96		9.6875
90	11	Mi5	E5	336	336	1	16	227	95	96		9.75
91	9	Mi5	E5	336	336	1	4	909	95	96	dim 	10
92	9			-1	-1	1	8	455	100	0		10.125
93	9	Fa5#5	F5#5	345	345	1	8	455	99	96	ben	10.25
94	9	Mi5	E5	336	336	1	8	455	95	96		10.375
95	9	Re5	D5	327	327	1	8	455	95	96	de 	10.5
96	9	Do5#3	C5#4	321	322	1	8	455	99	96	tâ	10.625
97	9	La4	A4	305	305	1	8	455	95	96		10.75
98	9	Si4	B4	314	314	1	8	455	99	96	kat 	10.875
99	9	Do5#3	C5#4	321	322	1	8	455	99	96		11
100	9	Re5	D5	327	327	1	8	455	95	96		11.125
101	9	Do5#3	C5#4	321	322	1	4	909	95	96	kal	11.375
102	9	La4	A4	305	305	1	8	455	95	96	ma	11.5
103	9	Si4	B4	314	314	1	8	455	95	96	dý  	11.625
104	9			-1	-1	1	8	455	100	0		11.75
105	9	Re5	D5	327	327	1	8	455	99	96	ah 	11.875
106	9	Do5#3	C5#4	321	322	1	8	455	99	96		12
107	9	Si4	B4	314	314	1	8	455	95	96		12.125
108	9	La4	A4	305	305	1	4	909	95	96	Ýf	12.375
109	9	Do5#3	C5#4	321	322	1	16	227	99	96	ti	12.4375
110	9	Re5	D5	327	327	1	16	227	95	96		12.5
111	9	Mi5	E5	336	336	1	8	455	99	96	râ	12.625
112	9	Fa5#5	F5#5	345	345	1	16	227	99	96		12.6875
113	9	Sol5#3	G5#4	352	353	1	16	227	95	96		12.75
114	9	La5	A5	358	358	1	8	455	99	96	kýn	12.875
115	9	Sol5#1	G5	350	349	1	8	455	99	96		13
116	9	Fa5#5	F5#5	345	345	1	8	455	95	96		13.125
117	9	Mi5	E5	336	336	1	8	455	99	96	la 	13.25
118	9	Re5	D5	327	327	1	8	455	95	96		13.375
119	9	Do5#3	C5#4	321	322	1	8	455	95	96	e	13.5
120	9	Mi5	E5	336	336	1	8	455	99	96	fen	13.625
121	8	Sol5	G5	349	349	0	0	0	99	96		13.625
122	9	Fa5#5	F5#5	345	345	1	16	227	99	96		13.6875
123	11	Mi5	E5	336	336	1	16	227	95	96		13.75
124	9	Mi5	E5	336	336	1	4	909	95	96	dim 	14
125	9			-1	-1	1	8	455	100	0		14.125
126	9	Fa5#5	F5#5	345	345	1	8	455	99	96	ben	14.25
127	9	Mi5	E5	336	336	1	8	455	95	96		14.375
128	9	Re5	D5	327	327	1	8	455	95	96	de 	14.5
129	9	Do5#3	C5#4	321	322	1	8	455	99	96	tâ	14.625
130	9	La4	A4	305	305	1	8	455	95	96		14.75
131	9	Si4	B4	314	314	1	8	455	99	96	kat 	14.875
132	9	Do5#3	C5#4	321	322	1	8	455	99	96		15
133	9	Re5	D5	327	327	1	8	455	95	96		15.125
134	9	Mi5	E5	336	336	1	8	455	99	96	kal	15.25
135	9	Re5	D5	327	327	1	8	455	95	96		15.375
136	9	Fa5#5	F5#5	345	345	1	16	227	99	96	ma	15.4375
137	11	Mi5	E5	336	336	1	16	227	95	96		15.5
138	9	Mi5	E5	336	336	1	4	909	95	96	dý  	15.75
139	9	Mi5	E5	336	336	1	16	227	95	96	SAZ	15.8125
140	9	Fa5#5	F5#5	345	345	1	16	227	95	96	.	15.875
141	9	Sol5#3	G5#4	352	353	1	16	227	95	96	.	15.9375
142	9	La5	A5	358	358	1	16	227	95	96	.	16
143	9	Si5	B5	367	367	1	8	455	95	96	.	16.125
144	9	Si5	B5	367	367	1	8	455	99	96	Pâ	16.25
145	9	La5	A5	358	358	1	8	455	95	96		16.375
146	9	Si5	B5	367	367	1	8	455	95	96	re 	16.5
147	9	La5	A5	358	358	1	8	455	99	96	pâ	16.625
148	9	Sol5	G5	349	349	1	16	227	99	96		16.6875
149	9	Fa5#5	F5#5	345	345	1	16	227	95	96		16.75
150	9	Mi5	E5	336	336	1	4	909	95	96	re 	17
151	9			-1	-1	1	8	455	100	0		17.125
152	9	Mi5	E5	336	336	1	8	455	99	96	ol	17.25
153	9	Fa5#5	F5#5	345	345	1	8	455	95	96		17.375
154	9	Sol5	G5	349	349	1	16	227	99	96	du 	17.4375
155	9	Fa5#5	F5#5	345	345	1	16	227	95	96		17.5
156	9	Mi5	E5	336	336	1	8	455	99	96	dil 	17.625
157	9	Re5	D5	327	327	1	8	455	95	96		17.75
158	9	Do5#3	C5#4	321	322	1	8	455	99	96	aþk	17.875
159	9	Si4	B4	314	314	1	8	455	99	96		18
160	9	Do5#3	C5#4	321	322	1	8	455	95	96		18.125
161	9	La4	A4	305	305	1	4	909	95	96	ta 	18.375
162	9	Si4	B4	314	314	1	8	455	95	96	mu	18.5
163	9	Si4	B4	314	314	1	4	909	95	96	hab	18.75
164	9	Si4	B4	314	314	1	8	455	99	96	bet 	18.875
165	9	Do5#3	C5#4	321	322	1	8	455	99	96		19
166	9	Re5	D5	327	327	1	8	455	95	96		19.125
167	9	Mi5	E5	336	336	1	16	227	99	96	kal	19.1875
168	9	Re5	D5	327	327	1	16	227	99	96		19.25
169	9	Do5#4	C5#4	322	322	1	16	227	99	96		19.3125
170	9	Si4#3	C5b1	317	317	1	16	227	95	96		19.375
171	9	Re5	D5	327	327	1	16	227	99	96	ma	19.4375
172	11	Do5#3	C5#4	321	322	1	16	227	95	96		19.5
173	9	Do5#3	C5#4	321	322	1	4	909	95	96	dý  	19.75
174	9	Re5	D5	327	327	1	8	455	99	96	ah 	19.875
175	9	Do5#3	C5#4	321	322	1	8	455	99	96		20
176	9	Si4	B4	314	314	1	8	455	95	96		20.125
177	9	Do5#3	C5#4	321	322	1	4	909	95	96	Pâ	20.375
178	9	Re5	D5	327	327	1	8	455	95	96	re 	20.5
179	9	Mi5	E5	336	336	1	8	455	99	96	pâ	20.625
180	8	Sol5	G5	349	349	0	0	0	99	96		20.625
181	9	Fa5#5	F5#5	345	345	1	16	227	99	96		20.6875
182	11	Mi5	E5	336	336	1	16	227	95	96		20.75
183	9	Mi5	E5	336	336	1	4	909	95	96	re 	21
184	9			-1	-1	1	8	455	100	0		21.125
185	9	Mi5	E5	336	336	1	8	455	99	96	ol	21.25
186	9	Fa5#5	F5#5	345	345	1	8	455	95	96		21.375
187	9	Sol5	G5	349	349	1	16	227	99	96	du 	21.4375
188	9	Fa5#5	F5#5	345	345	1	16	227	95	96		21.5
189	9	Mi5	E5	336	336	1	8	455	99	96	dil 	21.625
190	9	Re5	D5	327	327	1	8	455	95	96		21.75
191	9	Do5#3	C5#4	321	322	1	8	455	99	96	aþk	21.875
192	9	Si4	B4	314	314	1	8	455	99	96		22
193	9	Do5#3	C5#4	321	322	1	8	455	95	96		22.125
194	9	La4	A4	305	305	1	4	909	95	96	ta 	22.375
195	9	Si4	B4	314	314	1	8	455	95	96	mu	22.5
