Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	4	833	100	0		0.2
2	9			-1	-1	1	8	417	100	0		0.3
3	9			-1	-1	1	4	833	100	0		0.5
4	9			-1	-1	1	4	833	100	0		0.7
5	9	Mi5	E5	336	336	1	4	833	99	96	Çek	0.9
6	9	Re5	D5	327	327	1	8	417	95	96		1
7	9	Re5	D5	327	327	1	4	833	99	96	miþ 	1.2
8	9	Do5	C5	318	318	1	8	417	95	96		1.3
9	9	Re5	D5	327	327	1	8	417	99	96	yü	1.4
10	9	Mi5	E5	336	336	1	8	417	99	96		1.5
11	9	Re5	D5	327	327	1	8	417	95	96		1.6
12	9	Do5	C5	318	318	1	8	417	95	96	zü	1.7
13	9	Re5	D5	327	327	1	8	417	99	96	ne 	1.8
14	9	Do5	C5	318	318	1	8	417	99	96		1.9
15	9	Si4b2	B4b1	312	313	1	16	208	99	96		1.95
16	9	La4	A4	305	305	1	16	208	99	96		2
17	9	Si4b1	B4b1	313	313	1	4	833	95	96		2.2
18	9	Sol4	G4	296	296	1	8	417	95	96	ni	2.3
19	9	La4	A4	305	305	3	8	1250	95	96	kab_	2.6
20	9	Sol4	G4	296	296	1	8	417	95	96	ý 	2.7
21	9	Re5	D5	327	327	1	4	833	99	96	iþ	2.9
22	9	Do5	C5	318	318	1	16	208	99	96		2.95
23	9	Si4b1	B4b1	313	313	1	16	208	95	96		3
24	9	Si4b1	B4b1	313	313	1	4	833	99	96	ve  	3.2
25	9	La4	A4	305	305	1	16	208	99	96		3.25
26	9	Sol4	G4	296	296	1	16	208	99	96		3.3
27	8	La4	A4	305	305	0	0	0	99	96		3.3
28	9	Sol4	G4	296	296	1	4	833	95	96		3.5
29	9			-1	-1	1	4	833	100	0		3.7
30	9	Mi5	E5	336	336	1	4	833	99	96	Ey 	3.9
31	9	Re5	D5	327	327	1	8	417	95	96		4
32	9	Re5	D5	327	327	1	4	833	99	96	maz	4.2
33	9	Do5	C5	318	318	1	8	417	95	96		4.3
