Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	769	95	96	Ah 	0.125
2	9	Sol4	G4	296	296	1	8	385	99	96	sey	0.1875
3	9	La4	A4	305	305	1	8	385	99	96		0.25
4	9	Sol4	G4	296	296	1	4	769	99	96		0.375
5	9	Fa4#4	F4#4	291	291	1	4	769	99	96		0.5
6	9	Sol4	G4	296	296	1	8	385	99	96		0.5625
7	9	La4	A4	305	305	1	8	385	99	96		0.625
8	9	Sol4	G4	296	296	1	8	385	99	96		0.6875
9	9	Fa4#4	F4#4	291	291	1	8	385	99	96		0.75
10	9	Sol4	G4	296	296	1	4	769	99	96		0.875
11	9	Si4b1	B4b1	313	313	1	4	769	95	96		1
12	9	Do5	C5	318	318	3	16	577	99	96	rey 	1.09375
13	9	Si4b1	B4b1	313	313	1	16	192	99	96		1.125
14	9	La4#4	A4#4	309	309	1	8	385	99	96		1.1875
15	9	Si4b1	B4b1	313	313	1	8	385	99	96		1.25
16	9	La4#4	A4#4	309	309	1	8	385	99	96		1.3125
17	9	Si4b1	B4b1	313	313	1	8	385	99	96		1.375
18	9	Do5	C5	318	318	1	8	385	99	96		1.4375
19	9	Si4b1	B4b1	313	313	1	8	385	99	96		1.5
20	9	Si4b1	B4b1	313	313	3	4	2308	95	96		1.875
21	9			-1	-1	1	4	769	100	0		2
22	9	Si4b1	B4b1	313	313	1	8	385	99	96	rey	2.0625
23	9	Do5	C5	318	318	1	8	385	99	96		2.125
24	9	Si4b1	B4b1	313	313	1	8	385	99	96		2.1875
25	9	La4	A4	305	305	1	8	385	95	96		2.25
26	9	Sol4	G4	296	296	1	4	769	95	96	le 	2.375
27	9	Si4b1	B4b1	313	313	1	4	769	95	96	o 	2.5
28	9	Si4b1	B4b1	313	313	3	16	577	99	96	bil 	2.59375
29	9	La4	A4	305	305	1	16	192	99	96		2.625
30	9	Si4b1	B4b1	313	313	1	8	385	99	96		2.6875
31	9	Do5	C5	318	318	1	8	385	99	96		2.75
32	9	Si4b1	B4b1	313	313	1	4	769	99	96		2.875
33	9	La4	A4	305	305	1	4	769	95	96		3
34	9			-1	-1	1	4	769	100	0		3.125
35	9	La4	A4	305	305	1	8	385	99	96	bil	3.1875
36	9	Si4b1	B4b1	313	313	1	8	385	99	96		3.25
37	9	Do5	C5	318	318	1	4	769	99	96		3.375
38	9	Re5	D5	327	327	1	4	769	95	96		3.5
39	9			-1	-1	1	8	385	100	0		3.5625
40	9	Do5	C5	318	318	1	4	769	99	96	lur 	3.6875
41	9	Si4b1	B4b1	313	313	1	8	385	99	96		3.75
42	9	Si4b1	B4b1	313	313	3	16	577	99	96		3.84375
43	9	La4	A4	305	305	1	16	192	99	96		3.875
44	9	Sol4	G4	296	296	1	4	769	99	96		4
45	9	La4	A4	305	305	1	8	385	99	96		4.0625
46	9	Do5	C5	318	318	1	8	385	99	96		4.125
47	9	Si4b1	B4b1	313	313	1	8	385	99	96		4.1875
48	9	La4	A4	305	305	1	8	385	99	96		4.25
49	9	Sol4	G4	296	296	3	16	577	99	96		4.34375
50	9	Fa4#4	F4#4	291	291	1	16	192	99	96		4.375
51	9	Mi4	E4	283	283	1	8	385	99	96		4.4375
52	9	Fa4#4	F4#4	291	291	1	8	385	99	96		4.5
53	9	Sol4	G4	296	296	3	8	1154	95	96		4.6875
54	9			-1	-1	1	8	385	100	0		4.75
55	9	Re5	D5	327	327	3	16	577	99	96	lur 	4.84375
56	9	Do5	C5	318	318	1	16	192	99	96		4.875
57	9	Si4b1	B4b1	313	313	1	8	385	95	96		4.9375
58	9	Re5	D5	327	327	1	8	385	95	96	be	5
59	9	Do5	C5	318	318	1	4	769	99	96	den 	5.125
60	9	Re5	D5	327	327	1	2	1538	99	96		5.375
61	9	Mi5	E5	336	336	1	4	769	95	96		5.5
62	9			-1	-1	1	8	385	100	0		5.5625
63	9	Re5	D5	327	327	1	4	769	99	96	ta	5.6875
64	9	Do5	C5	318	318	1	8	385	99	96		5.75
65	9	Si4b1	B4b1	313	313	3	16	577	99	96		5.84375
66	9	La4	A4	305	305	1	16	192	99	96		5.875
67	9	Sol4	G4	296	296	1	8	385	99	96		5.9375
68	9	Mi5	E5	336	336	1	8	385	99	96		6
69	9	Re5	D5	327	327	1	2	1538	95	96		6.25
70	9	Mi5	E5	336	336	1	8	385	99	96	ze 	6.3125
71	9	Re5	D5	327	327	1	8	385	95	96		6.375
72	9	Do5	C5	318	318	1	8	385	99	96	Fi	6.4375
73	9	Si4b1	B4b1	313	313	1	8	385	95	96		6.5
74	9	Do5	C5	318	318	3	16	577	99	96	ren	6.59375
75	9	Si4b1	B4b1	313	313	1	16	192	99	96		6.625
76	9	Do5	C5	318	318	1	8	385	99	96		6.6875
77	9	Re5	D5	327	327	1	8	385	99	96		6.75
78	9	Do5	C5	318	318	1	8	385	99	96		6.8125
79	9	Re5	D5	327	327	1	8	385	99	96		6.875
80	9	Do5	C5	318	318	1	8	385	99	96		6.9375
81	9	Si4b1	B4b1	313	313	1	8	385	99	96		7
82	9	Si4b1	B4b1	313	313	1	4	769	99	96		7.125
83	9	La4	A4	305	305	1	8	385	99	96		7.1875
84	9	Si4b1	B4b1	313	313	1	8	385	99	96		7.25
85	9	Do5	C5	318	318	1	4	769	99	96		7.375
86	9	Re5	D5	327	327	1	4	769	95	96		7.5
87	9			-1	-1	1	8	385	100	0		7.5625
88	9	Do5	C5	318	318	1	4	769	99	96	gi  	7.6875
89	9	Si4b1	B4b1	313	313	1	8	385	99	96		7.75
90	9	Si4b1	B4b1	313	313	3	16	577	99	96		7.84375
91	9	La4	A4	305	305	1	16	192	99	96		7.875
92	9	Sol4	G4	296	296	1	4	769	95	96		8
93	9			-1	-1	1	8	385	100	0		8.0625
94	9	Sol4	G4	296	296	1	4	769	95	96	Ye 	8.1875
95	9	Fa4#4	F4#4	291	291	1	8	385	95	96	le 	8.25
96	9	Sol4	G4	296	296	1	4	769	95	96	lel 	8.375
97	9	Si4b1	B4b1	313	313	1	4	769	95	96	lel 	8.5
98	9	Re5	D5	327	327	1	8	385	95	96	le 	8.5625
99	9	Do5	C5	318	318	1	8	385	95	96	le 	8.625
100	9	Si4b1	B4b1	313	313	1	8	385	95	96	le 	8.6875
101	9	La4	A4	305	305	1	8	385	95	96	le 	8.75
102	9	Do5	C5	318	318	1	4	769	95	96	lel 	8.875
103	9	Si4b1	B4b1	313	313	1	4	769	95	96	li 	9
104	9			-1	-1	1	8	385	100	0		9.0625
105	9	Re5	D5	327	327	1	4	769	95	96	te 	9.1875
106	9	Mi5	E5	336	336	1	8	385	95	96	re 	9.25
107	9	Re5	D5	327	327	1	4	769	95	96	lel 	9.375
108	9	Si4b1	B4b1	313	313	1	4	769	95	96	lel 	9.5
