Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	8	500	95	96	ARANAÐME	0.125
2	9	Do5	C5	318	318	1	4	1000	95	96	.	0.375
3	9	Re5	D5	327	327	1	8	500	95	96	.	0.5
4	9	Fa5	F5	340	340	3	32	375	95	96	.	0.59375
5	9	Mi5	E5	336	336	1	32	125	95	96	.	0.625
6	9	Re5	D5	327	327	1	16	250	95	96	.	0.6875
7	9	Do5	C5	318	318	1	16	250	95	96	.	0.75
8	9	Si4b1	B4b1	313	313	3	32	375	95	96	.	0.84375
9	9	La4	A4	305	305	1	32	125	95	96	.	0.875
10	9	Sol4	G4	296	296	1	8	500	95	96	.	1
11	9			-1	-1	1	16	250	100	0	.	1.0625
12	9	Sol5	G5	349	349	1	16	250	95	96	.	1.125
13	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	1.1875
14	9	Sol5	G5	349	349	1	16	250	95	96	.	1.25
15	9			-1	-1	1	16	250	100	0	.	1.3125
16	9	Fa5	F5	340	340	1	16	250	95	96	.	1.375
17	9	Mi5	E5	336	336	1	16	250	95	96	.	1.4375
18	9	Fa5	F5	340	340	1	16	250	95	96	.	1.5
19	9	Mi5	E5	336	336	1	16	250	95	96	.	1.5625
20	9	Re5	D5	327	327	1	8	500	95	96	.	1.6875
21	9	Do5	C5	318	318	1	16	250	95	96	.	1.75
22	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	1.8125
23	9	Do5	C5	318	318	1	16	250	95	96	.	1.875
24	9	Re5	D5	327	327	1	8	500	95	96	.	2
25	9			-1	-1	1	16	250	100	0	.	2.0625
26	9	Fa5	F5	340	340	1	16	250	95	96	.	2.125
27	9	Mi5	E5	336	336	1	16	250	95	96	.	2.1875
28	9	Fa5	F5	340	340	1	16	250	95	96	.	2.25
29	9			-1	-1	1	16	250	100	0	.	2.3125
30	9	Mi5	E5	336	336	1	16	250	95	96	.	2.375
31	9	Re5	D5	327	327	1	16	250	95	96	.	2.4375
32	9	Mi5	E5	336	336	1	16	250	95	96	.	2.5
33	9	Re5	D5	327	327	1	16	250	95	96	.	2.5625
34	9	Do5	C5	318	318	1	8	500	95	96	.	2.6875
35	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	2.75
36	9	La4	A4	305	305	1	16	250	95	96	.	2.8125
37	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	2.875
38	9	Do5	C5	318	318	1	8	500	95	96	.	3
39	9			-1	-1	1	16	250	100	0	.	3.0625
40	9	Mi5	E5	336	336	1	16	250	95	96	.	3.125
41	9	Re5	D5	327	327	1	16	250	95	96	.	3.1875
42	9	Do5	C5	318	318	1	16	250	95	96	.	3.25
43	9			-1	-1	1	16	250	100	0	.	3.3125
44	9	Re5	D5	327	327	1	16	250	95	96	.	3.375
45	9	Do5	C5	318	318	1	16	250	95	96	.	3.4375
46	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	3.5
47	9			-1	-1	1	16	250	100	0	.	3.5625
48	9	La4	A4	305	305	1	16	250	95	96	.	3.625
49	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	3.6875
50	9	Do5	C5	318	318	1	16	250	95	96	.	3.75
51	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	3.8125
52	9	Do5	C5	318	318	1	16	250	95	96	.	3.875
53	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	3.9375
54	9	La4	A4	305	305	1	16	250	95	96	.	4
55	9			-1	-1	1	16	250	100	0	.	4.0625
56	9	Re5	D5	327	327	1	16	250	95	96	.	4.125
57	9	Do5	C5	318	318	1	16	250	95	96	.	4.1875
58	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	4.25
59	9			-1	-1	1	16	250	100	0	.	4.3125
60	9	Do5	C5	318	318	1	16	250	95	96	.	4.375
61	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	4.4375
62	9	La4	A4	305	305	1	16	250	95	96	.	4.5
63	9			-1	-1	1	16	250	100	0	.	4.5625
64	9	Sol4	G4	296	296	1	16	250	95	96	.	4.625
65	9	La4	A4	305	305	1	16	250	95	96	.	4.6875
66	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	4.75
67	9	La4	A4	305	305	1	16	250	95	96	.	4.8125
68	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	4.875
69	9	La4	A4	305	305	1	16	250	95	96	.	4.9375
70	9	Sol4	G4	296	296	1	16	250	95	96	.	5
71	9	Fa4#4	F4#4	291	291	3	32	375	95	96	.	5.09375
72	9	Mi4	E4	283	283	1	32	125	95	96	.	5.125
73	9	Re4	D4	274	274	1	8	500	95	96	.	5.25
74	9	Sol4	G4	296	296	1	8	500	95	96	.	5.375
75	9	La4	A4	305	305	1	8	500	95	96	.	5.5
76	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	5.5625
77	9	La4	A4	305	305	1	16	250	95	96	.	5.625
78	9	Do5	C5	318	318	1	16	250	95	96	.	5.6875
79	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	5.75
80	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	5.8125
81	9	La4	A4	305	305	1	16	250	95	96	.	5.875
82	9	La4	A4	305	305	1	16	250	95	96	.	5.9375
83	9	Sol4	G4	296	296	1	16	250	95	96	.	6
84	9	Sol4	G4	296	296	1	8	500	95	96	.	6.125
85	9	Re5	D5	327	327	1	4	1000	95	96	.	6.375
86	9	Do5	C5	318	318	1	16	250	95	96	.	6.4375
87	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	6.5
88	9	La4	A4	305	305	1	16	250	95	96	.	6.5625
