Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	500	100	0		0.125
2	9	Re5	D5	327	327	1	16	250	95	96	ARANAÐME	0.1875
3	9	Mi5	E5	336	336	1	16	250	95	96	.	0.25
4	9	Re5	D5	327	327	1	16	250	95	96	.	0.3125
5	9	Mi5	E5	336	336	1	16	250	95	96	.	0.375
6	9	Re5	D5	327	327	1	16	250	95	96	.	0.4375
7	9	Do5	C5	318	318	1	16	250	95	96	.	0.5
8	9	Do5	C5	318	318	3	32	375	95	96	.	0.59375
9	9	Si4b1	B4b1	313	313	1	32	125	95	96	.	0.625
10	9	La4	A4	305	305	1	16	250	95	96	.	0.6875
11	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	0.75
12	9	Do5	C5	318	318	1	4	1000	50	96	.	1
13	9			-1	-1	1	8	500	100	0	.	1.125
14	9	Do5	C5	318	318	1	16	250	95	96	.	1.1875
15	9	Re5	D5	327	327	1	16	250	95	96	.	1.25
16	9	Do5	C5	318	318	1	16	250	95	96	.	1.3125
17	9	Re5	D5	327	327	1	16	250	95	96	.	1.375
18	9	Do5	C5	318	318	1	16	250	95	96	.	1.4375
19	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	1.5
20	9	Si4b1	B4b1	313	313	3	32	375	95	96	.	1.59375
21	9	La4	A4	305	305	1	32	125	95	96	.	1.625
22	9	Sol4	G4	296	296	1	16	250	95	96	.	1.6875
23	9	La4	A4	305	305	1	16	250	95	96	.	1.75
24	9	Si4b1	B4b1	313	313	1	4	1000	50	96	.	2
25	9			-1	-1	1	8	500	100	0		2.125
26	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	2.1875
27	9	Do5	C5	318	318	1	16	250	95	96	.	2.25
28	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	2.3125
29	9	Do5	C5	318	318	1	16	250	95	96	.	2.375
30	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	2.4375
31	9	La4	A4	305	305	1	16	250	95	96	.	2.5
32	9	Re5	D5	327	327	1	16	250	95	96	.	2.5625
33	9	Do5	C5	318	318	1	16	250	95	96	.	2.625
34	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	2.6875
35	9	La4	A4	305	305	1	16	250	95	96	.	2.75
36	9	Sol4	G4	296	296	1	4	1000	95	96	.	3
37	52			0	0	1	8	0	120	0		3.125
38	9			-1	-1	1	8	500	100	0		3.25
39	9	Re5	D5	327	327	1	16	250	95	96	ARANAÐME	3.3125
40	9	Mi5	E5	336	336	1	16	250	95	96	.	3.375
41	9	Re5	D5	327	327	1	16	250	95	96	.	3.4375
42	9	Mi5	E5	336	336	1	16	250	95	96	.	3.5
43	9	Re5	D5	327	327	1	16	250	95	96	.	3.5625
44	9	Do5	C5	318	318	1	16	250	95	96	.	3.625
45	9	Do5	C5	318	318	3	32	375	95	96	.	3.71875
46	9	Si4b1	B4b1	313	313	1	32	125	95	96	.	3.75
47	9	La4	A4	305	305	1	16	250	95	96	.	3.8125
48	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	3.875
49	9	Do5	C5	318	318	1	4	1000	50	96	.	4.125
50	9			-1	-1	1	8	500	100	0	.	4.25
51	9	Do5	C5	318	318	1	16	250	95	96	.	4.3125
52	9	Re5	D5	327	327	1	16	250	95	96	.	4.375
