Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	1071	95	96	1. HANE	0.2
2	9	La4	A4	305	305	1	16	268	95	96		0.25
3	9	Si4b1	B4b1	313	313	1	16	268	95	96		0.3
4	9	Sol4	G4	296	296	1	4	1071	95	96		0.5
5	9	La4	A4	305	305	1	16	268	95	96		0.55
6	9	Si4b1	B4b1	313	313	1	16	268	95	96		0.6
7	9	La4	A4	305	305	1	16	268	95	96		0.65
8	9	Sol4	G4	296	296	1	16	268	95	96		0.7
9	9	Fa4#4	F4#4	291	291	1	16	268	95	96		0.75
10	9	Mi4	E4	283	283	1	16	268	95	96		0.8
11	9	Re4	D4	274	274	1	4	1071	95	96		1
12	9	Mi4	E4	283	283	1	4	1071	95	96		1.2
13	9	Re4	D4	274	274	1	8	536	95	96		1.3
14	9	Mi4	E4	283	283	1	16	268	95	96		1.35
15	9	Fa4#4	F4#4	291	291	1	16	268	95	96		1.4
16	9	Re4	D4	274	274	1	16	268	95	96		1.45
17	9	Mi4	E4	283	283	1	16	268	95	96		1.5
18	9	Fa4#4	F4#4	291	291	1	16	268	95	96		1.55
19	9	Sol4	G4	296	296	1	16	268	95	96		1.6
20	9	Mi4	E4	283	283	1	16	268	95	96		1.65
21	9	Fa4#4	F4#4	291	291	1	16	268	95	96		1.7
22	9	Sol4	G4	296	296	1	4	1071	95	96		1.9
23	9			-1	-1	1	8	536	100	0		2
24	9	Sol4	G4	296	296	1	4	1071	95	96		2.2
25	9	La4	A4	305	305	1	16	268	95	96		2.25
26	9	Si4b1	B4b1	313	313	1	16	268	95	96		2.3
27	9	Sol4	G4	296	296	3	16	804	95	96		2.45
28	9	Do5	C5	318	318	1	16	268	95	96		2.5
29	9	Si4b1	B4b1	313	313	1	8	536	95	96		2.6
30	9	Do5	C5	318	318	1	8	536	95	96		2.7
31	9	Re5	D5	327	327	1	16	268	95	96		2.75
32	9	Mi5	E5	336	336	1	16	268	95	96		2.8
33	9	Re5	D5	327	327	1	8	536	95	96		2.9
34	9	Do5	C5	318	318	1	8	536	95	96		3
35	9	Si4b1	B4b1	313	313	1	16	268	95	96		3.05
36	9	Do5	C5	318	318	1	16	268	95	96		3.1
37	9	Si4b1	B4b1	313	313	1	16	268	95	96		3.15
38	9	La4	A4	305	305	1	16	268	95	96		3.2
39	9	Sol4	G4	296	296	1	8	536	95	96		3.3
40	9	La4	A4	305	305	1	16	268	95	96		3.35
41	9	Si4b1	B4b1	313	313	1	16	268	95	96		3.4
42	9	La4	A4	305	305	1	16	268	95	96		3.45
43	9	Sol4	G4	296	296	1	16	268	95	96		3.5
44	9	La4	A4	305	305	1	8	536	95	96		3.6
45	9	Si4b1	B4b1	313	313	1	8	536	95	96		3.7
46	9	Sol4	G4	296	296	1	4	1071	95	96		3.9
47	9			-1	-1	1	8	536	100	0		4
48	9	Re4	D4	274	274	1	16	268	95	96		4.05
49	9	Mi4	E4	283	283	1	16	268	95	96		4.1
50	9	Fa4#4	F4#4	291	291	1	16	268	95	96	TESLÝM	4.15
51	9	Sol4	G4	296	296	1	16	268	95	96		4.2
52	9	La4	A4	305	305	1	16	268	95	96		4.25
53	9	Si4b1	B4b1	313	313	1	16	268	95	96		4.3
54	9	Sol4	G4	296	296	3	16	804	95	96		4.45
55	9	Do5	C5	318	318	1	16	268	95	96		4.5
56	9	Si4b1	B4b1	313	313	1	8	536	95	96		4.6
57	9	Do5	C5	318	318	1	8	536	95	96		4.7
58	9	Re5	D5	327	327	1	4	1071	95	96		4.9
59	9			-1	-1	1	8	536	100	0		5
60	9	Mi5	E5	336	336	1	16	268	95	96		5.05
61	9	Fa5#4	F5#4	344	344	1	16	268	95	96		5.1
62	9	Mi5	E5	336	336	1	16	268	95	96		5.15
63	9	Fa5#4	F5#4	344	344	1	16	268	95	96		5.2
64	9	Sol5	G5	349	349	1	8	536	95	96		5.3
65	9	La5	A5	358	358	1	8	536	95	96		5.4
66	9	Sol5	G5	349	349	1	16	268	95	96		5.45
67	9	Fa5#4	F5#4	344	344	1	16	268	95	96		5.5
68	9	La5	A5	358	358	1	16	268	95	96		5.55
69	9	Sol5	G5	349	349	1	16	268	95	96		5.6
70	9	Fa5	F5	340	340	1	16	268	95	96		5.65
71	9	Mi5	E5	336	336	1	16	268	95	96		5.7
72	9	Re5	D5	327	327	1	16	268	95	96		5.75
73	9	Mi5	E5	336	336	1	16	268	95	96		5.8
74	9	Re5	D5	327	327	1	8	536	95	96		5.9
75	9	Do5	C5	318	318	1	8	536	95	96		6
76	9	Si4b1	B4b1	313	313	1	16	268	95	96		6.05
77	9	Do5	C5	318	318	1	16	268	95	96		6.1
78	9	Si4b1	B4b1	313	313	1	16	268	95	96		6.15
79	9	Do5	C5	318	318	1	16	268	95	96		6.2
80	9	Re5	D5	327	327	1	16	268	95	96		6.25
81	9	Mi5	E5	336	336	1	16	268	95	96		6.3
82	9	Fa5	F5	340	340	1	16	268	95	96		6.35
