Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5	F5	340	340	1	1	4000	95	96		1
2	9	Do5	C5	318	318	1	4	1000	95	96		1.25
3	9	Fa5	F5	340	340	1	2	2000	95	96		1.75
4	9	Mi5b1	E5b1	335	335	1	4	1000	95	96		2
5	9	Fa5	F5	340	340	1	4	1000	95	96		2.25
6	9	La5b4	A5b4	354	354	3	8	1500	95	96		2.625
7	9	Sol5	G5	349	349	1	8	500	95	96		2.75
8	9	Fa5	F5	340	340	1	2	2000	95	96		3.25
9	8	La5b4	A5b4	354	354	0	0	0	95	96		3.25
10	9	Fa5	F5	340	340	1	8	500	95	96		3.375
11	9	Mi5b1	E5b1	335	335	1	8	500	95	96		3.5
12	9	Re5b4	D5b4	323	323	1	8	500	95	96		3.625
13	9	Do5	C5	318	318	1	8	500	95	96		3.75
14	9	Re5b4	D5b4	323	323	3	8	1500	95	96		4.125
15	9			-1	-1	1	8	500	100	0		4.25
16	9	Si4b1	B4b1	313	313	3	8	1500	95	96		4.625
17	9	Do5	C5	318	318	1	8	500	95	96		4.75
18	8	Mi5b1	E5b1	335	335	0	0	0	95	96		4.75
19	9	Do5	C5	318	318	1	8	500	95	96		4.875
20	9	Si4b1	B4b1	313	313	1	8	500	95	96		5
21	9	La4b4	A4b4	301	301	1	8	500	95	96		5.125
22	9	Sol4	G4	296	296	1	8	500	95	96		5.25
23	9	Fa4	F4	287	287	1	2	2000	95	96		5.75
24	9	La4b4	A4b4	301	301	3	8	1500	95	96		6.125
25	9			-1	-1	1	8	500	100	0		6.25
26	9	Fa4	F4	287	287	1	4	1000	95	96		6.5
27	9	Sol4	G4	296	296	1	2	2000	95	96		7
28	9	Sol4	G4	296	296	1	2	2000	95	96		7.5
29	9	Sol4	G4	296	296	1	4	1000	95	96		7.75
30	9	La4b4	A4b4	301	301	1	4	1000	95	96		8
31	9	Si4b1	B4b1	313	313	1	4	1000	95	96		8.25
32	9	Do5	C5	318	318	1	4	1000	95	96		8.5
33	9	Re5b4	D5b4	323	323	1	2	2000	95	96		9
34	9	Re5b4	D5b4	323	323	3	8	1500	95	96		9.375
35	9	Do5	C5	318	318	1	8	500	95	96		9.5
36	9	Fa5	F5	340	340	1	8	500	95	96		9.625
37	9	Mi5b1	E5b1	335	335	1	8	500	95	96		9.75
38	9	Re5b4	D5b4	323	323	1	4	1000	95	96		10
39	9	Re5b4	D5b4	323	323	1	4	1000	95	96		10.25
40	9	Do5	C5	318	318	1	4	1000	95	96		10.5
41	9	Si4b1	B4b1	313	313	1	2	2000	95	96		11
42	9	Do5	C5	318	318	3	8	1500	95	96		11.375
43	9			-1	-1	1	8	500	100	0		11.5
44	9			-1	-1	1	4	1000	100	0		11.75
45	9	Fa4	F4	287	287	3	8	1500	95	96		12.125
46	9	Sol4	G4	296	296	1	8	500	95	96		12.25
47	8	Si4b1	B4b1	313	313	0	0	0	95	96		12.25
48	9	La4b4	A4b4	301	301	1	8	500	95	96		12.375
49	9	Sol4	G4	296	296	1	8	500	95	96		12.5
50	9	La4b4	A4b4	301	301	1	4	1000	95	96		12.75
51	9	Fa5	F5	340	340	3	4	3000	95	96		13.5
52	9	Mi5b1	E5b1	335	335	1	4	1000	95	96		13.75
53	9	Re5b4	D5b4	323	323	1	4	1000	95	96		14
54	9	Do5	C5	318	318	1	4	1000	95	96		14.25
55	9	Si4b1	B4b1	313	313	1	4	1000	95	96		14.5
56	9	La4b4	A4b4	301	301	1	4	1000	95	96		14.75
57	9	La4b4	A4b4	301	301	1	2	2000	95	96		15.25
58	9	La4b4	A4b4	301	301	1	4	1000	95	96		15.5
59	9	Sol4	G4	296	296	1	4	1000	95	96		15.75
60	9	Fa4	F4	287	287	1	8	500	95	96		15.875
61	9	Mi4b1	E4b1	282	282	1	8	500	95	96		16
62	9	Fa4	F4	287	287	1	2	2000	95	96		16.5
63	9			-1	-1	1	4	1000	100	0		16.75
64	9			-1	-1	1	4	1000	100	0		17
65	9	Fa4	F4	287	287	1	4	1000	95	96		17.25
66	9	Si4b5	B4b5	309	309	1	2	2000	95	96		17.75
67	9	La4	A4	305	305	1	4	1000	95	96		18
68	9	La4	A4	305	305	3	4	3000	95	96		18.75
69	9	La4	A4	305	305	1	4	1000	95	96		19
70	9	La4	A4	305	305	1	4	1000	95	96		19.25
71	9	Si4b5	B4b5	309	309	1	4	1000	95	96		19.5
