Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa4	F4	287	287	1	8	333	95	96		0.1428571
2	9			-1	-1	1	8	333	100	0		0.2857143
3	9	Fa4	F4	287	287	1	8	333	95	96		0.4285714
4	9			-1	-1	1	8	333	100	0		0.5714286
5	9	Fa4	F4	287	287	3	8	1000	95	96		1
6	9	Fa4	F4	287	287	1	8	333	95	96		1.142857
7	9			-1	-1	1	8	333	100	0		1.285714
8	9	Fa4	F4	287	287	1	8	333	95	96		1.428571
9	9			-1	-1	1	8	333	100	0		1.571429
10	9	Fa4	F4	287	287	3	8	1000	95	96		2
11	9	Fa4	F4	287	287	1	8	333	95	96		2.142857
12	9			-1	-1	1	8	333	100	0		2.285714
13	9	Fa4	F4	287	287	1	8	333	95	96		2.428571
14	9			-1	-1	1	8	333	100	0		2.571429
15	9	Fa4	F4	287	287	3	8	1000	95	96		3
16	9	Fa4	F4	287	287	1	8	333	95	96		3.142857
17	9			-1	-1	1	8	333	100	0		3.285714
18	9	Fa4	F4	287	287	1	8	333	95	96		3.428571
19	9			-1	-1	1	8	333	100	0		3.571429
20	9	Fa4	F4	287	287	3	8	1000	95	96		4
21	9	Fa4	F4	287	287	1	8	333	95	96		4.142857
22	9			-1	-1	1	8	333	100	0		4.285714
23	9	Fa4	F4	287	287	1	8	333	95	96		4.428571
24	9			-1	-1	1	8	333	100	0		4.571429
25	9	Fa4	F4	287	287	1	8	333	95	96		4.714286
26	9	Mi4b1	E4b1	282	282	1	8	333	95	96		4.857143
27	9	Re4b4	D4b4	270	270	1	8	333	95	96		5
28	9	Fa4	F4	287	287	1	8	333	95	96		5.142857
29	9			-1	-1	1	8	333	100	0		5.285714
30	9	Fa4	F4	287	287	1	8	333	95	96		5.428571
31	9			-1	-1	1	8	333	100	0		5.571429
32	9	Fa4	F4	287	287	1	8	333	95	96		5.714286
33	9	Mi4b1	E4b1	282	282	1	8	333	95	96		5.857143
34	9	Re4b4	D4b4	270	270	1	8	333	95	96		6
