Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	500	50	96	ARANAÐME	0.2222222
2	9	Si4b1	B4b1	313	313	1	4	500	50	96	.	0.4444444
3	9	Re5	D5	327	327	1	4	500	50	96	.	0.6666667
4	9	Do5	C5	318	318	1	8	250	95	96	.	0.7777778
5	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	0.8888889
6	9	Do5	C5	318	318	1	8	250	95	96	.	1
7	9	Re5	D5	327	327	1	4	500	95	96	.	1.222222
8	9	Re5	D5	327	327	1	4	500	95	96	.	1.444444
9	9	Re5	D5	327	327	1	4	500	95	96	.	1.666667
10	9	Re5	D5	327	327	1	8	250	95	96	.	1.777778
11	9	Mi5b1	E5b1	335	335	1	8	250	95	96	.	1.888889
12	9	Fa5#4	F5#4	344	344	1	8	250	95	96	.	2
13	9	Sol5	G5	349	349	1	4	500	95	96	.	2.222222
14	9	Sol5	G5	349	349	1	4	500	95	96	.	2.444444
15	9	Sol5	G5	349	349	1	4	500	95	96	.	2.666667
16	9	Fa5	F5	340	340	1	8	250	95	96	.	2.777778
17	9	Mi5b1	E5b1	335	335	1	8	250	95	96	.	2.888889
18	9	Re5	D5	327	327	1	8	250	95	96	.	3
19	9	Fa5	F5	340	340	3	16	375	95	96	.	3.166667
20	9	Mi5b1	E5b1	335	335	1	16	125	95	96	.	3.222222
21	9	Re5	D5	327	327	1	8	250	95	96	.	3.333333
22	9	Do5	C5	318	318	1	8	250	95	96	.	3.444444
23	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	3.555556
24	9	La4#4	A4#4	309	309	1	8	250	95	96	.	3.666667
25	9	Si4b1	B4b1	313	313	1	4	500	95	96	.	3.888889
26	9			-1	-1	1	8	250	100	0		4
27	52			0	0	1	8	0	127	113		4.111111
28	9	Sol4	G4	296	296	1	4	500	50	96	ARANAÐME	4.333333
29	9	Si4b1	B4b1	313	313	1	4	500	50	96	.	4.555555
30	9	Re5	D5	327	327	1	4	500	50	96	.	4.777778
31	9	Do5	C5	318	318	1	8	250	95	96	.	4.888889
32	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	5
33	9	Do5	C5	318	318	1	8	250	95	96	.	5.111111
34	9	Re5	D5	327	327	1	4	500	95	96	.	5.333333
35	9	Re5	D5	327	327	1	4	500	95	96	.	5.555555
36	9	Re5	D5	327	327	1	4	500	95	96	.	5.777778
37	9	Re5	D5	327	327	1	8	250	95	96	.	5.888889
38	9	Mi5b1	E5b1	335	335	1	8	250	95	96	.	6
39	9	Fa5#4	F5#4	344	344	1	8	250	95	96	.	6.111111
40	9	Sol5	G5	349	349	1	4	500	95	96	.	6.333333
41	9	Sol5	G5	349	349	1	4	500	95	96	.	6.555555
42	9	Sol5	G5	349	349	1	4	500	95	96	.	6.777778
43	9	Fa5	F5	340	340	1	8	250	95	96	.	6.888889
44	9	Mi5b1	E5b1	335	335	1	8	250	95	96	.	7
45	9	Re5	D5	327	327	1	8	250	95	96	.	7.111111
46	9	Fa5	F5	340	340	3	16	375	95	96	.	7.277778
47	9	Mi5b1	E5b1	335	335	1	16	125	95	96	.	7.333333
48	9	Re5	D5	327	327	1	8	250	95	96	.	7.444445
49	9	Do5	C5	318	318	1	8	250	95	96	.	7.555555
50	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	7.666667
51	9	La4#4	A4#4	309	309	1	8	250	95	96	.	7.777778
52	9	Si4b1	B4b1	313	313	1	4	500	95	96	.	8
53	9			-1	-1	1	8	250	100	0		8.111111
54	9			-1	-1	1	4	500	100	0		8.333333
55	9	Si4b1	B4b1	313	313	1	8	250	95	96	Se	8.444445
56	9	Si4b1	B4b1	313	313	1	8	250	95	96	ni 	8.555555
57	9	Si4b1	B4b1	313	313	1	4	500	95	96	her 	8.777778
58	9	Re5	D5	327	327	3	8	750	95	96	dem 	9.111111
59	9	Re5	D5	327	327	1	16	125	99	96	a	9.166667
60	9	Do5	C5	318	318	1	16	125	99	96		9.222222
61	9	Re5	D5	327	327	1	16	125	99	96		9.277778
62	9	Mi5b1	E5b1	335	335	1	16	125	95	96		9.333333
63	9	Re5	D5	327	327	1	8	250	99	96	ný	9.444445
64	9	Do5	C5	318	318	1	8	250	95	96		9.555555
65	9	Si4b1	B4b1	313	313	1	8	250	99	96	yo	9.666667
66	9	La4#4	A4#4	309	309	1	8	250	95	96		9.777778
67	9	Si4b1	B4b1	313	313	1	4	500	95	96	rum  	10
68	9			-1	-1	1	8	250	100	0		10.11111
69	9			-1	-1	1	4	500	100	0		10.33333
70	9	Re5	D5	327	327	1	8	250	95	96	Söz	10.44444
71	9	Mi5b1	E5b1	335	335	1	8	250	95	96	le	10.55556
72	9	Mi5b1	E5b1	335	335	1	8	250	99	96	ri	10.66667
73	9	Re5	D5	327	327	1	8	250	95	96		10.77778
74	9	Sol5	G5	349	349	1	8	250	99	96	ne 	10.88889
75	9	Fa5	F5	340	340	1	8	250	99	96		11
76	9	Mi5b1	E5b1	335	335	1	8	250	95	96		11.11111
77	9	Re5	D5	327	327	1	4	500	95	96	ka	11.33333
78	9	Re5	D5	327	327	1	8	250	99	96	ný	11.44444
79	9	Do5	C5	318	318	1	8	250	95	96		11.55556
80	9	Si4b1	B4b1	313	313	1	8	250	99	96	yo	11.66667
81	9	Do5	C5	318	318	1	8	250	95	96		11.77778
82	9	Re5	D5	327	327	1	4	500	99	96	rum  	12
83	9	Do5	C5	318	318	1	8	250	95	96		12.11111
84	9	Si4b1	B4b1	313	313	1	4	500	95	96		12.33333
85	9	Si4b1	B4b1	313	313	1	8	250	95	96	Se	12.44444
86	9	Si4b1	B4b1	313	313	1	8	250	95	96	ni	12.55556
87	9	Si4b1	B4b1	313	313	1	4	500	95	96	her	12.77778
88	9	Re5	D5	327	327	3	8	750	95	96	dem	13.11111
89	9	Re5	D5	327	327	1	16	125	99	96	a	13.16667
90	9	Do5	C5	318	318	1	16	125	99	96		13.22222
91	9	Re5	D5	327	327	1	16	125	99	96		13.27778
92	9	Mi5b1	E5b1	335	335	1	16	125	95	96		13.33333
93	9	Re5	D5	327	327	1	8	250	99	96	rý	13.44444
94	9	Do5	C5	318	318	1	8	250	95	96		13.55556
95	9	Si4b1	B4b1	313	313	1	8	250	99	96	yo	13.66667
96	9	La4#4	A4#4	309	309	1	8	250	95	96		13.77778
97	9	Si4b1	B4b1	313	313	3	8	750	95	96	rum	14.11111
98	9			-1	-1	1	4	500	100	0		14.33333
99	9	Re5	D5	327	327	1	8	250	95	96	Söz	14.44444
100	9	Mi5b1	E5b1	335	335	1	8	250	95	96	le	14.55556
101	9	Mi5b1	E5b1	335	335	1	8	250	99	96	ri	14.66667
102	9	Re5	D5	327	327	1	8	250	95	96		14.77778
103	9	Sol5	G5	349	349	1	8	250	99	96	ne	14.88889
104	9	Fa5#1	F5#1	341	341	1	8	250	99	96		15
105	9	Mi5b1	E5b1	335	335	1	8	250	95	96		15.11111
106	9	Re5	D5	327	327	1	4	500	95	96	ka	15.33333
107	9	Re5	D5	327	327	1	8	250	99	96	ný	15.44444
108	9	Do5	C5	318	318	1	8	250	95	96		15.55556
109	9	Si4b1	B4b1	313	313	1	8	250	99	96	yo	15.66667
110	9	Do5	C5	318	318	1	8	250	95	96		15.77778
111	9	Re5	D5	327	327	1	8	250	99	96	rum	15.88889
112	9	Mi5b1	E5b1	335	335	1	8	250	99	96		16
113	9	Sol5	G5	349	349	1	8	250	95	96		16.11111
114	9	Fa5	F5	340	340	1	4	500	95	96		16.33333
115	9	Fa5	F5	340	340	1	8	250	95	96	Rah	16.44444
116	9	Fa5	F5	340	340	1	8	250	95	96	me	16.55556
117	9	Fa5	F5	340	340	1	4	500	95	96	de	16.77778
118	9	Fa5	F5	340	340	1	8	250	99	96	cek	16.88889
119	9	Fa5	F5	340	340	1	8	250	99	96		17
120	9	Mi5b1	E5b1	335	335	1	8	250	95	96		17.11111
121	9	Mi5b1	E5b1	335	335	1	4	500	95	96	sa	17.33333
122	9	Mi5b1	E5b1	335	335	1	8	250	99	96	ný	17.44444
123	9	Re5	D5	327	327	1	8	250	95	96		17.55556
124	9	Re5	D5	327	327	1	16	125	99	96	yo	17.61111
125	9	Do5	C5	318	318	1	16	125	99	96		17.66667
126	9	Re5	D5	327	327	1	8	250	95	96		17.77778
127	9	Mi5b1	E5b1	335	335	1	16	125	99	96	rum	17.83333
128	9	Fa5	F5	340	340	1	16	125	99	96		17.88889
129	9	Mi5b1	E5b1	335	335	1	16	125	99	96		17.94444
130	9	Fa5	F5	340	340	1	16	125	99	96		18
131	9	Re5	D5	327	327	1	16	125	99	96		18.05556
132	9	Mi5b1	E5b1	335	335	1	16	125	99	96		18.11111
133	9	Do5	C5	318	318	1	4	500	95	96		18.33333
134	9	Re5	D5	327	327	1	8	250	95	96	Sa	18.44444
135	9	Mi5b1	E5b1	335	335	1	8	250	95	96	na 	18.55556
136	9	Mi5b1	E5b1	335	335	1	8	250	99	96	ben 	18.66667
137	9	Re5	D5	327	327	1	8	250	95	96		18.77778
138	9	Fa5	F5	340	340	1	8	250	99	96	al	18.88889
139	9	Mi5b1	E5b1	335	335	1	8	250	99	96		19
140	9	Re5	D5	327	327	1	8	250	95	96		19.11111
141	9	Re5	D5	327	327	1	16	125	99	96	da	19.16667
142	9	Do5	C5	318	318	1	16	125	99	96		19.22222
143	9	Re5	D5	327	327	1	16	125	99	96		19.27778
144	9	Mi5b1	E5b1	335	335	1	16	125	95	96		19.33333
145	9	Re5	D5	327	327	1	8	250	99	96	ný	19.44444
146	9	Do5	C5	318	318	1	8	250	95	96		19.55556
147	9	Si4b1	B4b1	313	313	1	8	250	99	96	yo	19.66667
148	9	Do5	C5	318	318	1	8	250	95	96		19.77778
149	9	Re5	D5	327	327	1	8	250	99	96	rum	19.88889
150	9	Mi5b1	E5b1	335	335	1	8	250	99	96		20
151	9	Sol5	G5	349	349	1	8	250	99	96		20.11111
152	9	Fa5	F5	340	340	1	4	500	95	96		20.33333
153	9	Fa5	F5	340	340	1	8	250	95	96	Rah	20.44444
154	9	Fa5	F5	340	340	1	8	250	95	96	me	20.55556
155	9	Fa5	F5	340	340	1	4	500	95	96	de	20.77778
156	9	Fa5	F5	340	340	1	8	250	99	96	cek	20.88889
157	9	Fa5	F5	340	340	1	8	250	99	96		21
158	9	Mi5b1	E5b1	335	335	1	8	250	95	96		21.11111
159	9	Mi5b1	E5b1	335	335	1	4	500	95	96	sa	21.33333
160	9	Mi5b1	E5b1	335	335	1	8	250	99	96	ný	21.44444
161	9	Re5	D5	327	327	1	8	250	95	96		21.55556
162	9	Re5	D5	327	327	1	16	125	99	96	yo	21.61111
163	9	Do5	C5	318	318	1	16	125	99	96		21.66667
164	9	Re5	D5	327	327	1	8	250	95	96		21.77778
165	9	Mi5b1	E5b1	335	335	1	16	125	99	96	rum	21.83333
166	9	Fa5	F5	340	340	1	16	125	99	96		21.88889
167	9	Mi5b1	E5b1	335	335	1	16	125	99	96		21.94444
168	9	Fa5	F5	340	340	1	16	125	99	96		22
169	9	Re5	D5	327	327	1	16	125	99	96		22.05556
170	9	Mi5b1	E5b1	335	335	1	16	125	99	96		22.11111
171	9	Do5	C5	318	318	1	4	500	95	96		22.33333
172	9	Re5	D5	327	327	1	8	250	95	96	Sa	22.44444
173	9	Mi5b1	E5b1	335	335	1	8	250	95	96	na 	22.55556
174	9	Mi5b1	E5b1	335	335	1	8	250	99	96	ben 	22.66667
175	9	Re5	D5	327	327	1	8	250	95	96		22.77778
176	9	Fa5	F5	340	340	1	8	250	99	96	al	22.88889
177	9	Mi5b1	E5b1	335	335	1	8	250	99	96		23
178	9	Re5	D5	327	327	1	8	250	95	96		23.11111
179	9	Re5	D5	327	327	1	16	125	99	96	da	23.16667
180	9	Do5	C5	318	318	1	16	125	99	96		23.22222
181	9	Re5	D5	327	327	1	16	125	99	96		23.27778
182	9	Mi5b1	E5b1	335	335	1	16	125	95	96		23.33333
183	9	Re5	D5	327	327	1	8	250	99	96	ný	23.44444
184	9	Do5	C5	318	318	1	8	250	95	96		23.55556
185	9	Si4b1	B4b1	313	313	1	8	250	99	96	yo	23.66667
186	9	La4#4	A4#4	309	309	1	8	250	95	96		23.77778
187	9	Si4b1	B4b1	313	313	1	4	500	95	96	rum	24
188	9			-1	-1	1	8	250	100	0		24.11111
189	9	Sol4	G4	296	296	1	4	500	50	96	ARANAÐME	24.33333
190	9	Si4b1	B4b1	313	313	1	4	500	50	96	.	24.55556
191	9	Re5	D5	327	327	1	4	500	50	96	.	24.77778
192	9	Do5	C5	318	318	1	8	250	95	96	.	24.88889
193	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	25
194	9	Do5	C5	318	318	1	8	250	95	96	.	25.11111
195	9	Re5	D5	327	327	1	4	500	95	96	.	25.33333
196	9	Re5	D5	327	327	1	4	500	95	96	.	25.55556
197	9	Re5	D5	327	327	1	4	500	95	96	.	25.77778
198	9	Re5	D5	327	327	1	8	250	95	96	.	25.88889
199	9	Mi5b1	E5b1	335	335	1	8	250	95	96	.	26
200	9	Fa5#4	F5#4	344	344	1	8	250	95	96	.	26.11111
201	9	Sol5	G5	349	349	1	4	500	95	96	.	26.33333
202	9	Sol5	G5	349	349	1	4	500	95	96	.	26.55556
203	9	Sol5	G5	349	349	1	4	500	95	96	.	26.77778
204	9	Fa5	F5	340	340	1	8	250	95	96	.	26.88889
205	9	Mi5b1	E5b1	335	335	1	8	250	95	96	.	27
206	9	Re5	D5	327	327	1	8	250	95	96	.	27.11111
207	9	Fa5	F5	340	340	3	16	375	95	96	.	27.27778
208	9	Mi5b1	E5b1	335	335	1	16	125	95	96	.	27.33333
209	9	Re5	D5	327	327	1	8	250	95	96	.	27.44444
210	9	Do5	C5	318	318	1	8	250	95	96	.	27.55556
211	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	27.66667
212	9	La4#4	A4#4	309	309	1	8	250	95	96	.	27.77778
213	9	Si4b1	B4b1	313	313	1	4	500	95	96	.	28
214	9			-1	-1	1	8	250	100	0		28.11111
215	9	Sol4	G4	296	296	1	4	500	50	96	ARANAÐME	28.33333
216	9	Si4b1	B4b1	313	313	1	4	500	50	96	.	28.55556
217	9	Re5	D5	327	327	1	4	500	50	96	.	28.77778
218	9	Do5	C5	318	318	1	8	250	95	96	.	28.88889
219	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	29
220	9	Do5	C5	318	318	1	8	250	95	96	.	29.11111
221	9	Re5	D5	327	327	1	4	500	95	96	.	29.33333
222	9	Re5	D5	327	327	1	4	500	95	96	.	29.55556
223	9	Re5	D5	327	327	1	4	500	95	96	.	29.77778
224	9	Re5	D5	327	327	1	8	250	95	96	.	29.88889
225	9	Mi5b1	E5b1	335	335	1	8	250	95	96	.	30
226	9	Fa5#4	F5#4	344	344	1	8	250	95	96	.	30.11111
227	9	Sol5	G5	349	349	1	4	500	95	96	.	30.33333
228	9	Sol5	G5	349	349	1	4	500	95	96	.	30.55556
229	9	Sol5	G5	349	349	1	4	500	95	96	.	30.77778
230	9	Fa5	F5	340	340	1	8	250	95	96	.	30.88889
231	9	Mi5b1	E5b1	335	335	1	8	250	95	96	.	31
232	9	Re5	D5	327	327	1	8	250	95	96	.	31.11111
233	9	Fa5	F5	340	340	3	16	375	95	96	.	31.27778
234	9	Mi5b1	E5b1	335	335	1	16	125	95	96	.	31.33333
235	9	Re5	D5	327	327	1	8	250	95	96	.	31.44444
236	9	Do5	C5	318	318	1	8	250	95	96	.	31.55556
237	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	31.66667
238	9	La4#4	A4#4	309	309	1	8	250	95	96	.	31.77778
239	9	Si4b1	B4b1	313	313	1	4	500	95	96	.	32
240	9			-1	-1	1	8	250	100	0		32.11111
241	9			-1	-1	1	4	500	100	0		32.33333
242	9	Si4b1	B4b1	313	313	1	8	250	95	96	Se	32.44444
243	9	Si4b1	B4b1	313	313	1	8	250	95	96	ni 	32.55556
244	9	Si4b1	B4b1	313	313	1	4	500	95	96	her 	32.77778
245	9	Re5	D5	327	327	3	8	750	95	96	dem 	33.11111
246	9	Re5	D5	327	327	1	16	125	99	96	a	33.16667
247	9	Do5	C5	318	318	1	16	125	99	96		33.22222
248	9	Re5	D5	327	327	1	16	125	99	96		33.27778
249	9	Mi5b1	E5b1	335	335	1	16	125	95	96		33.33333
250	9	Re5	D5	327	327	1	8	250	99	96	ný	33.44444
251	9	Do5	C5	318	318	1	8	250	95	96		33.55556
252	9	Si4b1	B4b1	313	313	1	8	250	99	96	yo	33.66667
253	9	La4#4	A4#4	309	309	1	8	250	95	96		33.77778
254	9	Si4b1	B4b1	313	313	1	4	500	95	96	rum  	34
255	9			-1	-1	1	8	250	100	0		34.11111
256	9			-1	-1	1	4	500	100	0		34.33333
257	9	Re5	D5	327	327	1	8	250	95	96	Söz	34.44444
258	9	Mi5b1	E5b1	335	335	1	8	250	95	96	le	34.55556
259	9	Mi5b1	E5b1	335	335	1	8	250	99	96	ri	34.66667
260	9	Re5	D5	327	327	1	8	250	95	96		34.77778
261	9	Sol5	G5	349	349	1	8	250	99	96	ne 	34.88889
262	9	Fa5	F5	340	340	1	8	250	99	96		35
263	9	Mi5b1	E5b1	335	335	1	8	250	95	96		35.11111
264	9	Re5	D5	327	327	1	4	500	95	96	ka	35.33333
265	9	Re5	D5	327	327	1	8	250	99	96	ný	35.44444
266	9	Do5	C5	318	318	1	8	250	95	96		35.55556
267	9	Si4b1	B4b1	313	313	1	8	250	99	96	yo	35.66667
268	9	Do5	C5	318	318	1	8	250	95	96		35.77778
269	9	Re5	D5	327	327	1	4	500	99	96	rum  	36
270	9	Do5	C5	318	318	1	8	250	95	96		36.11111
271	9	Si4b1	B4b1	313	313	1	4	500	95	96		36.33333
272	9	Si4b1	B4b1	313	313	1	8	250	95	96	Se	36.44444
273	9	Si4b1	B4b1	313	313	1	8	250	95	96	ni	36.55556
274	9	Si4b1	B4b1	313	313	1	4	500	95	96	her	36.77778
275	9	Re5	D5	327	327	3	8	750	95	96	dem	37.11111
276	9	Re5	D5	327	327	1	16	125	99	96	a	37.16667
277	9	Do5	C5	318	318	1	16	125	99	96		37.22222
278	9	Re5	D5	327	327	1	16	125	99	96		37.27778
279	9	Mi5b1	E5b1	335	335	1	16	125	95	96		37.33333
280	9	Re5	D5	327	327	1	8	250	99	96	rý	37.44444
281	9	Do5	C5	318	318	1	8	250	95	96		37.55556
282	9	Si4b1	B4b1	313	313	1	8	250	99	96	yo	37.66667
283	9	La4#4	A4#4	309	309	1	8	250	95	96		37.77778
284	9	Si4b1	B4b1	313	313	3	8	750	95	96	rum	38.11111
285	9			-1	-1	1	4	500	100	0		38.33333
286	9	Re5	D5	327	327	1	8	250	95	96	Söz	38.44444
287	9	Mi5b1	E5b1	335	335	1	8	250	95	96	le	38.55556
