Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	8	500	95	96	ARANAÐME	0.125
2	9	Do5	C5	318	318	1	16	250	95	96	.	0.1875
3	9	Do5	C5	318	318	1	16	250	95	96	.	0.25
4	9	Do5	C5	318	318	1	8	500	95	96	.	0.375
5	9	Do5	C5	318	318	1	16	250	95	96	.	0.4375
6	9	Si4	B4	314	314	1	16	250	95	96	.	0.5
7	9	Si4	B4	314	314	1	16	250	95	96	.	0.5625
8	9	Si4	B4	314	314	1	16	250	95	96	.	0.625
9	9	Si4	B4	314	314	1	16	250	95	96	.	0.6875
10	9	La4	A4	305	305	1	16	250	95	96	.	0.75
11	9	Si4	B4	314	314	1	16	250	95	96	.	0.8125
12	9	Si4	B4	314	314	1	16	250	95	96	.	0.875
13	9	La4	A4	305	305	1	32	125	95	96	.	0.90625
14	9	Sol4	G4	296	296	1	32	125	95	96	.	0.9375
15	9	La4	A4	305	305	1	32	125	95	96	.	0.96875
16	9	Sol4	G4	296	296	1	32	125	95	96	.	1
17	9	Sol4	G4	296	296	3	32	375	95	96	.	1.09375
18	9	Si4	B4	314	314	1	32	125	95	96	.	1.125
19	9	La4	A4	305	305	1	16	250	95	96	.	1.1875
20	9	Si4	B4	314	314	1	16	250	95	96	.	1.25
21	9	Sol4	G4	296	296	1	8	500	95	96	.	1.375
22	9	La4	A4	305	305	1	16	250	95	96	.	1.4375
23	9	Fa4#5	F4#5	292	292	1	16	250	95	96	.	1.5
24	9	Sol4	G4	296	296	3	16	750	95	96	.	1.6875
25	9	Sol4	G4	296	296	1	16	250	95	96	.	1.75
26	9	Sol4	G4	296	296	1	8	500	95	96	.	1.875
27	9	Sol4	G4	296	296	1	8	500	95	96	.	2
28	52			0	0	1	4	0	60	0		2.25
29	9	Do5	C5	318	318	1	8	500	95	96	ARANAÐME	2.375
30	9	Do5	C5	318	318	1	16	250	95	96	.	2.4375
31	9	Do5	C5	318	318	1	16	250	95	96	.	2.5
32	9	Do5	C5	318	318	1	8	500	95	96	.	2.625
