Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si4b2	B4b1	312	313	1	16	278	95	96	ARANAÐME	7.142857E-02
2	9	Do5	C5	318	318	1	16	278	95	96	.	0.1428571
3	9	Re5	D5	327	327	1	4	1111	95	96	.	0.4285714
4	9	Do5	C5	318	318	1	32	139	95	96	.	0.4642857
5	9	Re5	D5	327	327	1	32	139	95	96	.	0.5
6	9	Si4b2	B4b1	312	313	1	32	139	95	96	.	0.5357143
7	9	Do5	C5	318	318	1	32	139	95	96	.	0.5714286
8	9	La4	A4	305	305	1	8	556	95	96	.	0.7142857
9	9	Do5	C5	318	318	1	32	139	95	96	.	0.75
10	9	Re5	D5	327	327	1	32	139	95	96	.	0.7857143
11	9	Si4b2	B4b1	312	313	1	32	139	95	96	.	0.8214286
12	9	Do5	C5	318	318	1	32	139	95	96	.	0.8571429
13	9	La4	A4	305	305	1	8	556	95	96	.	1
14	9	Si4b2	B4b1	312	313	1	16	278	95	96	.	1.071429
15	9	Do5	C5	318	318	1	16	278	95	96	.	1.142857
16	9	Re5	D5	327	327	1	4	1111	95	96	.	1.428571
17	9	Re5	D5	327	327	1	24	185	95	96	.	1.47619
18	9	Si4b2	B4b1	312	313	1	24	185	95	96	.	1.52381
19	9	Do5	C5	318	318	1	24	185	95	96	.	1.571429
20	9	La4	A4	305	305	1	8	556	95	96	.	1.714286
21	9	Do5	C5	318	318	1	32	139	95	96	.	1.75
22	9	Re5	D5	327	327	1	32	139	95	96	.	1.785714
23	9	Si4b2	B4b1	312	313	1	32	139	95	96	.	1.821429
24	9	Do5	C5	318	318	1	32	139	95	96	.	1.857143
25	9	La4	A4	305	305	1	8	556	95	96	.	2
26	9	Si4b2	B4b1	312	313	1	16	278	95	96	.	2.071429
27	9	Do5	C5	318	318	1	16	278	95	96	.	2.142857
28	9	Re5	D5	327	327	1	4	1111	95	96	.	2.428571
29	9	Do5	C5	318	318	1	32	139	95	96	.	2.464286
30	9	Re5	D5	327	327	1	32	139	95	96	.	2.5
31	9	Si4b2	B4b1	312	313	1	32	139	95	96	.	2.535714
32	9	Do5	C5	318	318	1	32	139	95	96	.	2.571429
33	9	La4	A4	305	305	1	8	556	95	96	.	2.714286
34	9	Do5	C5	318	318	1	16	278	95	96	.	2.785714
35	9	Si4b2	B4b1	312	313	1	16	278	95	96	.	2.857143
36	9	Do5	C5	318	318	1	16	278	95	96	.	2.928571
37	9	Si4b2	B4b1	312	313	1	16	278	95	96	.	3
38	9	Si4b2	B4b1	312	313	1	16	278	95	96	.	3.071429
39	11	La4	A4	305	305	1	16	278	95	96	.	3.142857
40	9	La4	A4	305	305	1	4	1111	95	96	.	3.428571
41	9	La4	A4	305	305	1	4	1111	95	96	.	3.714286
42	9	La4	A4	305	305	1	4	1111	95	96	.	4
43	9	Si4b2	B4b1	312	313	1	16	278	95	96	.	4.071429
44	9	Do5	C5	318	318	1	16	278	95	96	.	4.142857
45	9	Re5	D5	327	327	1	4	1111	95	96	.	4.428571
46	9	Do5	C5	318	318	1	32	139	95	96	.	4.464286
47	9	Re5	D5	327	327	1	32	139	95	96	.	4.5
48	9	Si4b2	B4b1	312	313	1	32	139	95	96	.	4.535714
49	9	Do5	C5	318	318	1	32	139	95	96	.	4.571429
50	9	La4	A4	305	305	1	8	556	95	96	.	4.714286
51	9	Do5	C5	318	318	1	16	278	95	96	.	4.785714
