Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	3	16	500	95	96	ARANAÐME	0.375
2	9	Do5	C5	318	318	1	16	167	95	96	.	0.5
3	9	Re5	D5	327	327	1	8	333	95	96	.	0.75
4	9	Mi5	E5	336	336	1	8	333	95	96	.	1
5	9	Re5	D5	327	327	1	16	167	95	96	.	1.125
6	9	Mi5	E5	336	336	1	16	167	95	96	.	1.25
7	9	Re5	D5	327	327	1	16	167	95	96	.	1.375
8	9	Do5	C5	318	318	1	16	167	95	96	.	1.5
9	9	Si4b2	B4b1	312	313	1	4	667	95	96	.	2
10	7	Do5	C5	318	318	3	16	500	95	96	.	2.375
11	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	2.5
12	9	Do5	C5	318	318	1	8	333	95	96	.	2.75
13	9	Re5	D5	327	327	1	8	333	95	96	.	3
14	9	Do5	C5	318	318	1	16	167	95	96	.	3.125
15	9	Re5	D5	327	327	1	16	167	95	96	.	3.25
16	9	Do5	C5	318	318	1	16	167	95	96	.	3.375
17	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	3.5
18	9	La4	A4	305	305	1	4	667	95	96	.	4
19	9	Do5	C5	318	318	1	16	167	95	96	.	4.125
20	9	Si4b2	B4b1	312	313	1	8	333	95	96	.	4.375
21	9	La4	A4	305	305	1	16	167	95	96	.	4.5
22	9	Si4b2	B4b1	312	313	1	8	333	95	96	.	4.75
23	9	Do5	C5	318	318	1	8	333	95	96	.	5
24	12	Si4b2	B4b1	312	313	3	16	500	95	96	.	5.375
25	9	La4	A4	305	305	1	16	167	95	96	.	5.5
26	9	Sol4	G4	296	296	1	8	333	95	96	.	5.75
27	9	Si4b2	B4b1	312	313	1	8	333	95	96	.	6
28	9	La4	A4	305	305	3	8	1000	95	96	.	6.75
29	9	Mi5	E5	336	336	1	8	333	95	96	.	7
30	9	Re5	D5	327	327	1	16	167	95	96	.	7.125
31	9	Mi5	E5	336	336	1	16	167	95	96	.	7.25
32	9	Re5	D5	327	327	1	16	167	95	96	.	7.375
33	9	Do5	C5	318	318	1	16	167	95	96	.	7.5
34	9	Re5	D5	327	327	1	4	667	95	96	.	8
35	52			0	0	1	4	0	90	0		8.5
36	9	Re5	D5	327	327	3	16	500	95	96	ARANAÐME	8.875
37	9	Do5	C5	318	318	1	16	167	95	96	.	9
38	9	Re5	D5	327	327	1	8	333	95	96	.	9.25
39	9	Mi5	E5	336	336	1	8	333	95	96	.	9.5
40	9	Re5	D5	327	327	1	16	167	95	96	.	9.625
41	9	Mi5	E5	336	336	1	16	167	95	96	.	9.75
42	9	Re5	D5	327	327	1	16	167	95	96	.	9.875
43	9	Do5	C5	318	318	1	16	167	95	96	.	10
44	9	Si4b2	B4b1	312	313	1	4	667	95	96	.	10.5
45	7	Do5	C5	318	318	3	16	500	95	96	.	10.875
46	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	11
47	9	Do5	C5	318	318	1	8	333	95	96	.	11.25
48	9	Re5	D5	327	327	1	8	333	95	96	.	11.5
49	9	Do5	C5	318	318	1	16	167	95	96	.	11.625
50	9	Re5	D5	327	327	1	16	167	95	96	.	11.75
51	9	Do5	C5	318	318	1	16	167	95	96	.	11.875
52	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	12
