Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	8	333	50	78	ARANAÐME	0.25
2	9	Re5	D5	327	327	1	16	167	95	66	.	0.375
3	9	Do5#3	C5#4	321	322	1	16	167	95	67	.	0.5
4	9	Re5	D5	327	327	1	16	167	95	68	.	0.625
5	9	Do5#3	C5#4	321	322	1	16	167	95	69	.	0.75
6	9	Re5	D5	327	327	1	16	167	95	70	.	0.875
7	9	Si4	B4	314	314	1	16	167	95	71	.	1
8	9	La4	A4	305	305	1	16	167	95	72	.	1.125
9	9	Si4	B4	314	314	1	16	167	95	72	.	1.25
10	9	La4	A4	305	305	1	16	167	95	73	.	1.375
11	9	Sol4	G4	296	296	1	16	167	95	74	.	1.5
12	9	Fa4#3	F4#4	290	291	1	16	167	95	75	.	1.625
13	9	Mi4	E4	283	283	1	16	167	95	76	.	1.75
14	9	Re4	D4	274	274	1	8	333	95	77	.	2
15	9	Re5	D5	327	327	1	8	333	50	78	.	2.25
16	9	Re5	D5	327	327	1	16	167	95	96	.	2.375
17	9	La4	A4	305	305	1	16	167	95	96	.	2.5
18	9	Si4	B4	314	314	1	16	167	95	96	.	2.625
19	9	La4	A4	305	305	1	16	167	95	96	.	2.75
20	9	Si4	B4	314	314	1	16	167	95	96	.	2.875
21	9	Do5#3	C5#4	321	322	1	16	167	95	96	.	3
22	9	Re5	D5	327	327	1	16	167	95	96	.	3.125
23	9	Mi5	E5	336	336	1	16	167	95	66	.	3.25
24	9	Fa5#3	F5#4	343	344	1	16	167	95	68	.	3.375
25	9	Mi5	E5	336	336	1	16	167	95	70	.	3.5
26	9	Re5	D5	327	327	1	16	167	95	72	.	3.625
27	9	Do5#3	C5#4	321	322	1	16	167	95	74	.	3.75
28	9	Re5	D5	327	327	1	8	333	95	76	.	4
29	9	Re5	D5	327	327	1	8	333	50	78	.	4.25
30	9	Re5	D5	327	327	1	16	167	95	96	.	4.375
31	9	Do5#3	C5#4	321	322	1	16	167	95	66	.	4.5
32	9	Re5	D5	327	327	1	16	167	95	76	.	4.625
33	9	Do5#3	C5#4	321	322	1	16	167	95	85	.	4.75
34	9	Re5	D5	327	327	1	16	167	95	95	.	4.875
35	9	Si4	B4	314	314	1	16	167	95	104	.	5
36	9	La4	A4	305	305	1	16	167	95	114	.	5.125
37	9	Si4	B4	314	314	1	16	167	95	96	.	5.25
38	9	La4	A4	305	305	1	16	167	95	96	.	5.375
39	9	Sol4	G4	296	296	1	16	167	95	96	.	5.5
40	9	Fa4#3	F4#4	290	291	1	8	333	95	96	.	5.75
41	9	La4	A4	305	305	1	8	333	95	66	.	6
42	9	Fa4#3	F4#4	290	291	1	8	333	95	68	.	6.25
43	9	Re4	D4	274	274	1	16	167	95	69	.	6.375
44	9	Fa4#3	F4#4	290	291	1	16	167	95	71	.	6.5
45	9	Mi4	E4	283	283	1	8	333	95	73	.	6.75
46	9	Do4#3	C4#4	268	269	1	16	167	95	75	.	6.875
47	9	Mi4	E4	283	283	1	16	167	95	76	.	7
48	9	Re4	D4	274	274	3	32	250	95	78	.	7.1875
49	9	Mi4	E4	283	283	1	32	83	95	96	.	7.25
50	9	Fa4#3	F4#4	290	291	1	16	167	95	96	.	7.375
51	9	Sol4	G4	296	296	1	16	167	95	66	.	7.5
52	9	La4	A4	305	305	1	16	167	95	68	.	7.625
53	9	Si4b2	B4b1	312	313	1	16	167	95	70	.	7.75
54	9	Do5#3	C5#4	321	322	1	16	167	95	72	.	7.875
55	9	Mi5	E5	336	336	1	16	167	95	74	.	8
56	52			0	0	1	4	0	90	76		8.5
57	9	Re5	D5	327	327	1	8	333	50	78	ARANAÐME	8.75
58	9	Re5	D5	327	327	1	16	167	95	66	.	8.875
59	9	Do5#3	C5#4	321	322	1	16	167	95	67	.	9
60	9	Re5	D5	327	327	1	16	167	95	68	.	9.125
61	9	Do5#3	C5#4	321	322	1	16	167	95	69	.	9.25
62	9	Re5	D5	327	327	1	16	167	95	70	.	9.375
63	9	Si4	B4	314	314	1	16	167	95	71	.	9.5
64	9	La4	A4	305	305	1	16	167	95	72	.	9.625
65	9	Si4	B4	314	314	1	16	167	95	72	.	9.75
66	9	La4	A4	305	305	1	16	167	95	73	.	9.875
67	9	Sol4	G4	296	296	1	16	167	95	74	.	10
68	9	Fa4#3	F4#4	290	291	1	16	167	95	75	.	10.125
69	9	Mi4	E4	283	283	1	16	167	95	76	.	10.25
70	9	Re4	D4	274	274	1	8	333	95	77	.	10.5
71	9	Re5	D5	327	327	1	8	333	50	78	.	10.75
72	9	Re5	D5	327	327	1	16	167	95	96	.	10.875
73	9	La4	A4	305	305	1	16	167	95	96	.	11
74	9	Si4	B4	314	314	1	16	167	95	96	.	11.125
75	9	La4	A4	305	305	1	16	167	95	96	.	11.25
76	9	Si4	B4	314	314	1	16	167	95	96	.	11.375
77	9	Do5#3	C5#4	321	322	1	16	167	95	96	.	11.5
78	9	Re5	D5	327	327	1	16	167	95	96	.	11.625
79	9	Mi5	E5	336	336	1	16	167	95	66	.	11.75
80	9	Fa5#3	F5#4	343	344	1	16	167	95	68	.	11.875
81	9	Mi5	E5	336	336	1	16	167	95	70	.	12
82	9	Re5	D5	327	327	1	16	167	95	72	.	12.125
83	9	Do5#3	C5#4	321	322	1	16	167	95	74	.	12.25
84	9	Re5	D5	327	327	1	8	333	95	76	.	12.5
85	9	Re5	D5	327	327	1	8	333	50	78	.	12.75
86	9	Re5	D5	327	327	1	16	167	95	96	.	12.875
87	9	Do5#3	C5#4	321	322	1	16	167	95	66	.	13
88	9	Re5	D5	327	327	1	16	167	95	76	.	13.125
89	9	Do5#3	C5#4	321	322	1	16	167	95	85	.	13.25
90	9	Re5	D5	327	327	1	16	167	95	95	.	13.375
91	9	Si4	B4	314	314	1	16	167	95	104	.	13.5
92	9	La4	A4	305	305	1	16	167	95	114	.	13.625
93	9	Si4	B4	314	314	1	16	167	95	96	.	13.75
