Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	625	100	0		0.125
2	9	Do5	C5	318	318	1	4	1250	95	96	Hay	0.375
3	9	Re5	D5	327	327	1	8	625	95	96	li 	0.5
4	9	Re5	D5	327	327	1	2	2500	95	96	dem	1
5	9	Mi5	E5	336	336	1	4	1250	99	96	dir 	1.25
6	9	Fa5	F5	340	340	1	4	1250	99	96		1.5
7	9	Fa5	F5	340	340	1	8	625	99	96		1.625
8	9	Mi5	E5	336	336	1	4	1250	99	96		1.875
9	9	Mi5	E5	336	336	1	16	312	99	96		1.9375
10	9	Re5	D5	327	327	1	16	312	95	96		2
11	9			-1	-1	1	8	625	100	0		2.125
12	9	Re5	D5	327	327	1	16	312	99	96	ki 	2.1875
13	9	Mi5	E5	336	336	1	16	312	95	96		2.25
14	9	Re5	D5	327	327	1	8	625	99	96	cü	2.375
15	9	Mi5	E5	336	336	1	8	625	95	96		2.5
16	9	Do5	C5	318	318	1	8	625	99	96	da	2.625
17	9	Re5	D5	327	327	1	8	625	99	96		2.75
18	9	Do5	C5	318	318	1	8	625	99	96		2.875
19	9	Si4b2	B4b1	312	313	1	8	625	95	96		3
20	9	Do5	C5	318	318	1	8	625	99	96	yý 	3.125
21	9	Re5	D5	327	327	1	16	312	99	96		3.1875
22	9	Mi5	E5	336	336	1	16	312	99	96		3.25
23	9	Fa5	F5	340	340	1	24	208	99	96		3.291667
24	9	Mi5	E5	336	336	1	24	208	99	96		3.333333
25	9	Re5	D5	327	327	1	24	208	99	96		3.375
26	9	Do5	C5	318	318	1	16	312	99	96		3.4375
27	9	Si4b2	B4b1	312	313	1	16	312	99	96		3.5
28	9	La4	A4	305	305	1	2	2500	95	96		4
29	9			-1	-1	1	8	625	100	0		4.125
30	9	La4	A4	305	305	1	4	1250	95	96	kuy_	4.375
31	9	Fa5	F5	340	340	1	8	625	95	96	i 	4.5
32	9	Fa5	F5	340	340	3	16	938	99	96	yar 	4.6875
33	9	Mi5	E5	336	336	1	16	312	99	96		4.75
34	9	Fa5	F5	340	340	1	4	1250	95	96		5
35	9			-1	-1	1	8	625	100	0		5.125
36	9	Mi5	E5	336	336	1	16	312	99	96	ol	5.1875
37	9	Fa5	F5	340	340	1	16	312	99	96		5.25
38	9	Mi5	E5	336	336	1	8	625	99	96		5.375
39	9	Fa5	F5	340	340	1	16	312	99	96		5.4375
40	9	Sol5	G5	349	349	1	16	312	99	96		5.5
41	9	Fa5	F5	340	340	1	16	312	99	96		5.5625
42	9	Mi5	E5	336	336	1	16	312	99	96		5.625
43	9	Re5	D5	327	327	1	16	312	99	96		5.6875
44	9	Mi5	E5	336	336	1	16	312	99	96		5.75
45	9	Re5	D5	327	327	1	4	1250	99	96		6
46	9	Re5	D5	327	327	1	16	312	99	96		6.0625
47	9	La5	A5	358	358	1	16	312	99	96		6.125
48	9	Sol5	G5	349	349	1	16	312	99	96		6.1875
49	9	Fa5#3	F5#4	343	344	1	16	312	99	96		6.25
50	9	Mi5b3	E5b4	333	332	1	16	312	99	96		6.3125
51	9	Re5	D5	327	327	1	16	312	99	96		6.375
52	9	Do5	C5	318	318	1	16	312	99	96		6.4375
53	9	Si4b2	B4b1	312	313	1	16	312	99	96		6.5
54	9	Do5	C5	318	318	1	2	2500	95	96		7
55	9			-1	-1	1	8	625	100	0		7.125
56	9	Mi5b3	E5b4	333	332	1	4	1250	99	96	dum 	7.375
57	9	Mi5b3	E5b4	333	332	1	16	312	99	96		7.4375
58	9	Re5	D5	327	327	1	16	312	99	96		7.5
59	9	Mi5b3	E5b4	333	332	1	24	208	99	96		7.541667
60	9	Re5	D5	327	327	1	24	208	99	96		7.583333
61	9	Do5	C5	318	318	1	24	208	99	96		7.625
62	9	Do5	C5	318	318	1	24	208	99	96		7.666667
63	9	Si4b2	B4b1	312	313	1	24	208	99	96		7.708333
64	9	Do5	C5	318	318	1	24	208	99	96		7.75
65	9	Re5	D5	327	327	1	16	312	99	96		7.8125
66	9	Do5	C5	318	318	1	16	312	99	96		7.875
67	9	Re5	D5	327	327	1	32	156	99	96		7.90625
68	9	Fa5	F5	340	340	1	32	156	95	96		7.9375
69	9	Mi5	E5	336	336	1	32	156	99	96	gö	7.96875
70	9	Re5	D5	327	327	1	32	156	95	96		8
71	9	Do5	C5	318	318	1	16	312	99	96	nül  	8.0625
72	9	Re5	D5	327	327	3	16	938	99	96		8.25
73	9	Re5	D5	327	327	1	4	1250	95	96		8.5
74	9	Re5	D5	327	327	1	24	208	95	96	SAZ 	8.541667
75	9	Re5	D5	327	327	1	24	208	95	96	.	8.583333
76	9	Do5	C5	318	318	1	24	208	95	96	.	8.625
77	9	Do5	C5	318	318	1	16	312	95	96	.	8.6875
78	9	Si4b2	B4b1	312	313	1	16	312	95	96	.	8.75
79	9	Do5	C5	318	318	1	24	208	95	96	.	8.791667
80	9	Do5	C5	318	318	1	24	208	95	96	.	8.833333
81	9	Si4b2	B4b1	312	313	1	24	208	95	96	.	8.875
82	9	Si4b2	B4b1	312	313	1	8	625	95	96	.	9
83	9			-1	-1	1	8	625	100	0		9.125
84	9	Mi5	E5	336	336	1	8	625	99	96	Baht_	9.25
85	9	Re5	D5	327	327	1	8	625	95	96		9.375
86	9	Re5	D5	327	327	1	16	312	99	96	ý 	9.4375
87	9	Do5	C5	318	318	1	16	312	95	96		9.5
88	9	Do5	C5	318	318	3	16	938	99	96	nâ	9.6875
89	9	Si4b2	B4b1	312	313	1	16	312	99	96		9.75
90	9	Si4b2	B4b1	312	313	3	16	938	99	96		9.9375
91	9	La4	A4	305	305	1	16	312	95	96		10
92	9	La4	A4	305	305	1	2	2500	99	96	sa	10.5
93	9	La4	A4	305	305	1	8	625	99	96		10.625
94	9	Si4b2	B4b1	312	313	1	16	312	99	96		10.6875
95	9	Do5	C5	318	318	1	16	312	99	96		10.75
96	9	Si4b2	B4b1	312	313	1	16	312	99	96		10.8125
97	9	La4	A4	305	305	1	16	312	99	96		10.875
98	9	Sol4	G4	296	296	1	8	625	95	96		11
99	9			-1	-1	1	8	625	100	0		11.125
100	9	La4	A4	305	305	1	16	312	99	96	zýn 	11.1875
101	9	Si4b2	B4b1	312	313	1	16	312	99	96		11.25
102	9	La4	A4	305	305	1	8	625	95	96		11.375
103	9	Si4b2	B4b1	312	313	1	8	625	95	96	e	11.5
104	9	Do5	C5	318	318	1	8	625	99	96	lin	11.625
105	9	Si4b2	B4b1	312	313	1	16	312	99	96		11.6875
106	9	La4	A4	305	305	1	16	312	99	96		11.75
107	9	Si4b2	B4b1	312	313	1	16	312	99	96		11.8125
108	9	Do5	C5	318	318	1	16	312	99	96		11.875
109	9	Re5	D5	327	327	1	16	312	99	96		11.9375
110	9	Mi5	E5	336	336	1	16	312	95	96		12
111	9	Re5	D5	327	327	1	16	312	99	96	den 	12.0625
112	9	Do5	C5	318	318	3	16	938	99	96		12.25
113	9	Do5	C5	318	318	1	2	2500	99	96		12.75
114	9	Do5	C5	318	318	1	24	208	99	96		12.79167
115	9	Do5	C5	318	318	1	24	208	99	96		12.83333
116	9	Si4b2	B4b1	312	313	1	24	208	99	96		12.875
117	9	Si4b2	B4b1	312	313	1	24	208	99	96		12.91667
118	9	La4#4	A4#4	309	309	1	24	208	99	96		12.95833
119	9	Si4b2	B4b1	312	313	1	24	208	95	96		13
120	9			-1	-1	1	8	625	100	0		13.125
121	9	Sol4	G4	296	296	1	16	312	99	96	zâr_	13.1875
122	9	La4	A4	305	305	1	16	312	95	96		13.25
123	9	Sol4	G4	296	296	1	8	625	95	96	ý 	13.375
124	9	La4	A4	305	305	1	8	625	95	96	zâr 	13.5
125	9	La4	A4	305	305	1	2	2500	99	96	ol	14
126	9	La5	A5	358	358	1	2	2500	99	96		14.5
127	9	La5	A5	358	358	1	16	312	99	96		14.5625
128	9	Sol5	G5	349	349	1	16	312	99	96		14.625
129	9	Sol5	G5	349	349	1	8	625	99	96		14.75
130	9	Sol5	G5	349	349	1	16	312	99	96		14.8125
131	9	Fa5	F5	340	340	1	16	312	99	96		14.875
132	9	Fa5	F5	340	340	1	8	625	99	96		15
133	9	Fa5	F5	340	340	1	8	625	99	96		15.125
134	9	Mi5	E5	336	336	1	4	1250	99	96		15.375
135	9	Mi5	E5	336	336	1	16	312	99	96		15.4375
136	9	Re5	D5	327	327	1	16	312	99	96		15.5
137	9	Mi5	E5	336	336	1	16	312	99	96		15.5625
138	9	Re5	D5	327	327	1	16	312	99	96		15.625
139	9	Do5	C5	318	318	1	16	312	99	96		15.6875
140	9	Re5	D5	327	327	1	16	312	99	96		15.75
141	9	Do5	C5	318	318	1	8	625	99	96		15.875
142	9	Si4b2	B4b1	312	313	1	24	208	99	96		15.91667
143	9	La4	A4	305	305	1	24	208	99	96		15.95833
144	9	Si4b2	B4b1	312	313	1	24	208	95	96		16
145	9			-1	-1	1	8	625	100	0		16.125
146	9	Fa5	F5	340	340	1	16	312	99	96	dun 	16.1875
147	9	Mi5	E5	336	336	1	16	312	99	96		16.25
148	9	Re5	D5	327	327	1	8	625	99	96		16.375
149	9	Do5	C5	318	318	1	16	312	99	96		16.4375
150	9	Si4b2	B4b1	312	313	1	16	312	99	96		16.5
151	9	La4	A4	305	305	1	16	312	99	96		16.5625
152	9	Fa5	F5	340	340	1	16	312	99	96		16.625
153	9	Mi5	E5	336	336	1	16	312	99	96		16.6875
154	9	Re5	D5	327	327	1	16	312	99	96		16.75
155	9	Re5	D5	327	327	1	8	625	95	96		16.875
156	9	Do5	C5	318	318	1	16	312	99	96	gö	16.9375
157	9	Si4b2	B4b1	312	313	1	16	312	95	96		17
158	9	La4	A4	305	305	1	32	156	99	96	nül  	17.03125
159	9	Si4b2	B4b1	312	313	1	32	156	99	96		17.0625
160	9	La4	A4	305	305	1	16	312	99	96		17.125
161	9	La4	A4	305	305	3	8	1875	99	96		17.5
162	9	La4	A4	305	305	1	2	2500	95	96		18
163	9			-1	-1	1	8	625	100	0		18.125
164	9	Sol5	G5	349	349	1	4	1250	95	96	Bir 	18.375
165	9	La5	A5	358	358	1	8	625	95	96	za	18.5
166	9	La5	A5	358	358	1	2	2500	95	96	man	19
167	9	La5	A5	358	358	1	24	208	99	96	lar 	19.04167
168	9	Si5b2	B5b1	365	366	1	24	208	99	96		19.08333
169	9	La5	A5	358	358	1	24	208	99	96		19.125
170	9	La5	A5	358	358	3	8	1875	99	96		19.5
171	9	La5	A5	358	358	1	24	208	99	96		19.54167
172	9	Si5b2	B5b1	365	366	1	24	208	99	96		19.58333
173	9	La5	A5	358	358	1	24	208	99	96		19.625
174	9	Si5b2	B5b1	365	366	1	8	625	99	96		19.75
175	9	Do6	C6	371	371	3	16	938	99	96		19.9375
176	9	Mi6	E6	389	389	1	16	312	99	96		20
177	9	Re6	D6	380	380	1	16	312	99	96		20.0625
178	9	Do6	C6	371	371	1	16	312	99	96		20.125
179	9	Si5b2	B5b1	365	366	1	16	312	99	96		20.1875
180	9	La5	A5	358	358	1	16	312	99	96		20.25
181	9	Sol5	G5	349	349	1	16	312	99	96		20.3125
182	9	Fa5#3	F5#4	343	344	1	16	312	99	96		20.375
183	9	Sol5	G5	349	349	3	8	1875	95	96		20.75
184	9			-1	-1	1	4	1250	100	0		21
185	9			-1	-1	1	8	625	100	0		21.125
186	9	La5	A5	358	358	1	8	625	99	96	ger	21.25
187	9	Si5b2	B5b1	365	366	1	8	625	95	96		21.375
188	9	Do6	C6	371	371	1	8	625	95	96	çi 	21.5
189	9			-1	-1	1	16	312	100	0		21.5625
190	9	Si5b2	B5b1	365	366	1	16	312	99	96	ben 	21.625
191	9	La5	A5	358	358	1	16	312	99	96		21.6875
192	9	Sol5	G5	349	349	1	16	312	99	96		21.75
193	9	La5	A5	358	358	1	8	625	99	96		21.875
194	9	Si5b2	B5b1	365	366	1	8	625	95	96		22
195	9	Do6	C6	371	371	1	2	2500	99	96	de 	22.5
196	9	Do6	C6	371	371	3	8	1875	99	96		22.875
197	9	Si5b2	B5b1	365	366	1	24	208	99	96		22.91667
198	9	La5	A5	358	358	1	24	208	99	96		22.95833
199	9	Si5b2	B5b1	365	366	1	24	208	95	96		23
200	9			-1	-1	1	8	625	100	0		23.125
201	9	Mi6	E6	389	389	1	16	312	99	96	bah	23.1875
202	9	Mi6	E6	389	389	1	16	312	99	96		23.25
203	9	Re6	D6	380	380	1	8	625	95	96		23.375
204	9	Do6	C6	371	371	1	16	312	99	96	ti	23.4375
205	9	Si5b2	B5b1	365	366	1	16	312	95	96		23.5
206	9	Si5b2	B5b1	365	366	1	16	312	99	96	yar 	23.5625
207	9	La5	A5	358	358	1	16	312	99	96		23.625
208	9	La5	A5	358	358	1	4	1250	99	96		23.875
209	9	La5	A5	358	358	1	16	312	99	96		23.9375
210	9	Sol5	G5	349	349	1	16	312	95	96		24
211	9			-1	-1	1	16	312	100	0		24.0625
212	9	Do6	C6	371	371	1	16	312	99	96	ol	24.125
213	9	Si5b2	B5b1	365	366	1	16	312	99	96		24.1875
214	9	La5	A5	358	358	1	16	312	99	96		24.25
