Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi5	E5	336	336	1	8	556	95	96		0.1666667
2	9	Fa5	F5	340	340	1	8	556	95	96		0.3333333
3	9	Mi5	E5	336	336	1	8	556	95	96		0.5
4	9	Re5	D5	327	327	1	8	556	95	96		0.6666667
5	9	Do5	C5	318	318	1	8	556	95	96		0.8333333
6	9	Si4	B4	314	314	1	8	556	95	96		1
7	9	Do5	C5	318	318	1	8	556	95	96		1.166667
8	9	Si4	B4	314	314	1	8	556	95	96		1.333333
9	9	Do5	C5	318	318	1	8	556	95	96		1.5
10	9	Re5	D5	327	327	1	8	556	95	96		1.666667
11	9	Mi5	E5	336	336	1	4	1111	95	96		2
12	9	Sol4	G4	296	296	1	8	556	95	96		2.166667
13	9	La4	A4	305	305	1	8	556	95	96		2.333333
14	9	Si4	B4	314	314	1	8	556	95	96		2.5
15	9	Do5	C5	318	318	1	8	556	95	96		2.666667
16	9	Re5	D5	327	327	1	8	556	95	96		2.833333
17	9	Mi5	E5	336	336	1	8	556	95	96		3
18	9	Do5	C5	318	318	1	8	556	95	96		3.166667
19	9	Re5	D5	327	327	1	8	556	95	96		3.333333
20	9	Do5	C5	318	318	1	8	556	95	96		3.5
21	9	Re5	D5	327	327	1	8	556	95	96		3.666667
22	9	Mi5	E5	336	336	1	4	1111	95	96		4
23	9	Mi5	E5	336	336	1	8	556	95	96		4.166667
24	9	Fa5	F5	340	340	1	8	556	95	96		4.333333
25	9	Mi5	E5	336	336	1	8	556	95	96		4.5
26	9	Re5	D5	327	327	1	8	556	95	96		4.666667
27	9	Do5	C5	318	318	1	8	556	95	96		4.833333
28	9	Si4	B4	314	314	1	8	556	95	96		5
29	9	Do5	C5	318	318	1	8	556	95	96		5.166667
30	9	Si4	B4	314	314	1	8	556	95	96		5.333333
31	9	Do5	C5	318	318	1	8	556	95	96		5.5
32	9	Re5	D5	327	327	1	8	556	95	96		5.666667
33	9	Mi5	E5	336	336	1	4	1111	95	96		6
34	9	La4	A4	305	305	1	8	556	95	96		6.166667
35	9	Sol4	G4	296	296	1	8	556	95	96		6.333333
36	9	La4	A4	305	305	1	8	556	95	96		6.5
37	9	Do5	C5	318	318	1	8	556	95	96		6.666667
38	9	Re5	D5	327	327	1	8	556	95	96		6.833333
39	9	Si4	B4	314	314	1	8	556	95	96		7
40	9	Do5	C5	318	318	1	8	556	95	96		7.166667
41	9	La4	A4	305	305	1	8	556	95	96		7.333333
42	9	Si4	B4	314	314	1	8	556	95	96		7.5
43	9	Sol4	G4	296	296	1	8	556	95	96		7.666667
44	9	La4	A4	305	305	1	4	1111	95	96		8
45	9	La4	A4	305	305	1	8	556	95	96		8.166667
46	9	Sol4	G4	296	296	1	8	556	95	96		8.333333
47	9	La4	A4	305	305	1	8	556	95	96		8.5
48	9	Si4	B4	314	314	1	8	556	95	96		8.666667
49	9	Do5	C5	318	318	1	4	1111	95	96		9
50	9	Si4	B4	314	314	1	8	556	95	96		9.166667
51	9	Do5	C5	318	318	1	8	556	95	96		9.333333
52	9	Re5	D5	327	327	1	8	556	95	96		9.5
53	9	Si4	B4	314	314	1	8	556	95	96		9.666667
54	9	Do5	C5	318	318	1	8	556	95	96		9.833333
55	9	Si4	B4	314	314	1	8	556	95	96		10
56	9	La4	A4	305	305	1	8	556	95	96		10.16667
57	9	Sol4	G4	296	296	1	8	556	95	96		10.33333
58	9	La4	A4	305	305	1	8	556	95	96		10.5
59	9	Si4	B4	314	314	1	8	556	95	96		10.66667
60	9	Do5	C5	318	318	1	4	1111	95	96		11
61	9	Si4	B4	314	314	1	8	556	95	96		11.16667
62	9	Do5	C5	318	318	1	8	556	95	96		11.33333
63	9	Re5	D5	327	327	1	8	556	95	96		11.5
64	9	Si4	B4	314	314	1	8	556	95	96		11.66667
65	9	Do5	C5	318	318	1	4	1111	95	96		12
66	9	Do5	C5	318	318	1	8	556	95	96		12.16667
67	9	Si4	B4	314	314	1	8	556	95	96		12.33333
68	9	Do5	C5	318	318	1	8	556	95	96		12.5
69	9	Re5	D5	327	327	1	8	556	95	96		12.66667
70	9	Mi5	E5	336	336	1	4	1111	95	96		13
71	9	Mi5	E5	336	336	1	8	556	95	96		13.16667
72	9	Fa5	F5	340	340	1	8	556	95	96		13.33333
73	9	Mi5	E5	336	336	1	8	556	95	96		13.5
74	9	Re5	D5	327	327	1	8	556	95	96		13.66667
75	9	Do5	C5	318	318	1	8	556	95	96		13.83333
76	9	Si4	B4	314	314	1	8	556	95	96		14
77	9	La4	A4	305	305	1	8	556	95	96		14.16667
78	9	Sol4	G4	296	296	1	8	556	95	96		14.33333
79	9	La4	A4	305	305	1	8	556	95	96		14.5
80	9	Do5	C5	318	318	1	8	556	95	96		14.66667
81	9	Re5	D5	327	327	1	8	556	95	96		14.83333
82	9	Si4	B4	314	314	1	8	556	95	96		15
83	9	Do5	C5	318	318	1	8	556	95	96		15.16667
84	9	La4	A4	305	305	1	8	556	95	96		15.33333
85	9	Si4	B4	314	314	1	8	556	95	96		15.5
86	9	Sol4	G4	296	296	1	8	556	95	96		15.66667
87	9	La4	A4	305	305	1	4	1111	95	96		16
88	9	Sol4	G4	296	296	1	8	556	95	96		16.16667
89	9	La4	A4	305	305	1	8	556	95	96		16.33333
90	9	Si4	B4	314	314	1	8	556	95	96		16.5
91	9	Do5	C5	318	318	1	8	556	95	96		16.66667
92	9	Re5	D5	327	327	1	8	556	95	96		16.83333
93	9	Mi5	E5	336	336	1	8	556	95	96		17
94	9	Fa5#4	F5#4	344	344	1	8	556	95	96		17.16667
95	9	Sol5	G5	349	349	1	8	556	95	96		17.33333
96	9	Fa5#4	F5#4	344	344	1	8	556	95	96		17.5
97	9	Sol5	G5	349	349	1	8	556	95	96		17.66667
98	9	La5	A5	358	358	1	4	1111	95	96		18
99	9	La5	A5	358	358	1	8	556	95	96		18.16667
100	9	Si5b1	B5b1	366	366	1	8	556	95	96		18.33333
101	9	Do6	C6	371	371	1	8	556	95	96		18.5
102	9	Si5b1	B5b1	366	366	1	8	556	95	96		18.66667
103	9	La5	A5	358	358	1	4	1111	95	96		19
104	9	Sol5	G5	349	349	1	8	556	95	96		19.16667
105	9	Fa5#4	F5#4	344	344	1	8	556	95	96		19.33333
106	9	Sol5	G5	349	349	1	8	556	95	96		19.5
107	9	Fa5#4	F5#4	344	344	1	8	556	95	96		19.66667
108	9	Mi5	E5	336	336	1	4	1111	95	96		20
109	9	Mi5	E5	336	336	3	8	1667	95	96		20.5
110	9	La5	A5	358	358	1	8	556	95	96		20.66667
111	9	Mi5	E5	336	336	1	4	1111	95	96		21
112	9	Re5	D5	327	327	1	8	556	95	96		21.16667
113	9	Do5	C5	318	318	1	8	556	95	96		21.33333
114	9	Re5	D5	327	327	1	8	556	95	96		21.5
115	9	Do5	C5	318	318	1	8	556	95	96		21.66667
116	9	Si4	B4	314	314	1	4	1111	95	96		22
117	9	La4	A4	305	305	1	8	556	95	96		22.16667
118	9	Sol4	G4	296	296	1	8	556	95	96		22.33333
119	9	La4	A4	305	305	1	8	556	95	96		22.5
120	9	Do5	C5	318	318	1	8	556	95	96		22.66667
121	9	Re5	D5	327	327	1	8	556	95	96		22.83333
122	9	Si4	B4	314	314	1	8	556	95	96		23
123	9	Do5	C5	318	318	1	8	556	95	96		23.16667
124	9	La4	A4	305	305	1	8	556	95	96		23.33333
125	9	Si4	B4	314	314	1	8	556	95	96		23.5
126	9	Sol4	G4	296	296	1	8	556	95	96		23.66667
127	9	La4	A4	305	305	1	4	1111	95	96		24
128	9	La4	A4	305	305	1	4	1111	95	96		24.33333
129	9	La4	A4	305	305	1	4	1111	95	96		24.66667
130	9	Mi5	E5	336	336	1	4	1111	95	96		25
131	9	Mi5	E5	336	336	1	8	556	95	96		25.16667
132	9	Re5	D5	327	327	1	8	556	95	96		25.33333
133	9	Do5	C5	318	318	1	8	556	95	96		25.5
134	9	Re5	D5	327	327	1	8	556	95	96		25.66667
135	9	Mi5	E5	336	336	1	4	1111	95	96		26
136	9	La4	A4	305	305	1	4	1111	95	96		26.33333
137	9	La4	A4	305	305	1	4	1111	95	96		26.66667
138	9	Mi5	E5	336	336	1	4	1111	95	96		27
139	9	Re5	D5	327	327	1	8	556	95	96		27.16667
140	9	Do5	C5	318	318	1	8	556	95	96		27.33333
141	9	Si4	B4	314	314	1	8	556	95	96		27.5
142	9	Do5	C5	318	318	1	8	556	95	96		27.66667
143	9	Re5	D5	327	327	1	4	1111	95	96		28
144	9	Si4	B4	314	314	1	8	556	95	96		28.16667
145	9	Do5	C5	318	318	1	8	556	95	96		28.33333
146	9	Re5	D5	327	327	1	8	556	95	96		28.5
147	9	Mi5	E5	336	336	1	8	556	95	96		28.66667
148	9	Do5	C5	318	318	1	8	556	95	96		28.83333
149	9	Re5	D5	327	327	1	8	556	95	96		29
150	9	Mi5	E5	336	336	3	8	1667	95	96		29.5
151	9	Re5	D5	327	327	1	8	556	95	96		29.66667
152	9	Mi5	E5	336	336	1	4	1111	95	96		30
153	9	La4	A4	305	305	1	4	1111	95	96		30.33333
154	9	La4	A4	305	305	1	4	1111	95	96		30.66667
155	9	Mi5	E5	336	336	1	4	1111	95	96		31
156	9	Mi5	E5	336	336	1	8	556	95	96		31.16667
157	9	Re5	D5	327	327	1	8	556	95	96		31.33333
158	9	Do5	C5	318	318	1	8	556	95	96		31.5
159	9	Re5	D5	327	327	1	8	556	95	96		31.66667
160	9	Mi5	E5	336	336	1	4	1111	95	96		32
161	9	La4	A4	305	305	1	4	1111	95	96		32.33333
162	9	La4	A4	305	305	1	4	1111	95	96		32.66667
163	9	Mi5	E5	336	336	1	4	1111	95	96		33
164	9	Re5	D5	327	327	1	8	556	95	96		33.16667
