Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	4	500	95	96	ARANAÐME	0.25
2	9	Mi5	E5	336	336	1	8	250	95	90	.	0.375
3	9	Fa5	F5	340	340	1	8	250	95	96	.	0.5
4	9	Mi5	E5	336	336	1	8	250	95	90	.	0.625
5	9	Re5	D5	327	327	1	8	250	95	96	.	0.75
6	9	Do5	C5	318	318	1	8	250	95	90	.	0.875
7	9	Si4	B4	314	314	1	8	250	95	90	.	1
8	9	Do5	C5	318	318	1	4	500	95	96	.	1.25
9	9	Re5	D5	327	327	1	8	250	95	90	.	1.375
10	9	Mi5	E5	336	336	1	8	250	95	96	.	1.5
11	9	Re5	D5	327	327	1	8	250	95	90	.	1.625
12	9	Do5	C5	318	318	1	8	250	95	96	.	1.75
13	9	Si4	B4	314	314	1	8	250	95	90	.	1.875
14	9	La4	A4	305	305	1	8	250	95	90	.	2
15	9	Si4	B4	314	314	1	4	500	95	96	.	2.25
16	9	Do5	C5	318	318	1	8	250	95	90	.	2.375
17	9	Re5	D5	327	327	1	4	500	95	96	.	2.625
18	9	Mi5	E5	336	336	1	4	500	95	96	.	2.875
19	9			-1	-1	1	8	250	100	0		3
20	7	Re5	D5	327	327	3	8	750	95	96	.	3.375
21	9	Do5	C5	318	318	1	8	250	95	96	.	3.5
22	9	Si4	B4	314	314	1	8	250	95	96	.	3.625
23	9	Do5	C5	318	318	1	4	500	95	96	.	3.875
24	9			-1	-1	1	8	250	100	0		4
25	9	Si4	B4	314	314	1	4	500	95	96	.	4.25
26	9	Re5	D5	327	327	1	8	250	95	90	.	4.375
27	9	Do5	C5	318	318	1	8	250	95	96	.	4.5
28	9	Si4	B4	314	314	1	8	250	95	90	.	4.625
29	9	La4	A4	305	305	1	8	250	95	96	.	4.75
30	9	Sol4#4	G4#4	300	300	1	8	250	95	90	.	4.875
31	9	Si4	B4	314	314	1	8	250	95	90	.	5
32	9	La4	A4	305	305	3	8	750	95	96	.	5.375
33	9	Do5	C5	318	318	1	8	250	95	96	.	5.5
34	9	Re5	D5	327	327	1	8	250	95	90	.	5.625
35	9	Mi5	E5	336	336	3	8	750	95	96	.	6
36	52			0	0	1	8	0	127	113		6.125
37	9	Re5	D5	327	327	1	4	500	95	96	ARANAÐME	6.375
38	9	Mi5	E5	336	336	1	8	250	95	90	.	6.5
39	9	Fa5	F5	340	340	1	8	250	95	96	.	6.625
40	9	Mi5	E5	336	336	1	8	250	95	90	.	6.75
41	9	Re5	D5	327	327	1	8	250	95	96	.	6.875
42	9	Do5	C5	318	318	1	8	250	95	90	.	7
43	9	Si4	B4	314	314	1	8	250	95	90	.	7.125
44	9	Do5	C5	318	318	1	4	500	95	96	.	7.375
45	9	Re5	D5	327	327	1	8	250	95	90	.	7.5
46	9	Mi5	E5	336	336	1	8	250	95	96	.	7.625
47	9	Re5	D5	327	327	1	8	250	95	90	.	7.75
48	9	Do5	C5	318	318	1	8	250	95	96	.	7.875
49	9	Si4	B4	314	314	1	8	250	95	90	.	8
50	9	La4	A4	305	305	1	8	250	95	90	.	8.125
51	9	Si4	B4	314	314	1	4	500	95	96	.	8.375
52	9	Do5	C5	318	318	1	8	250	95	90	.	8.5
53	9	Re5	D5	327	327	1	4	500	95	96	.	8.75
54	9	Mi5	E5	336	336	1	4	500	95	96	.	9
55	9			-1	-1	1	8	250	100	0		9.125
56	7	Re5	D5	327	327	3	8	750	95	96	.	9.5
57	9	Do5	C5	318	318	1	8	250	95	96	.	9.625
58	9	Si4	B4	314	314	1	8	250	95	96	.	9.75
59	9	Do5	C5	318	318	1	4	500	95	96	.	10
60	9			-1	-1	1	8	250	100	0		10.125
61	9	Si4	B4	314	314	1	4	500	95	96	.	10.375
62	9	Re5	D5	327	327	1	8	250	95	90	.	10.5
63	9	Do5	C5	318	318	1	8	250	95	96	.	10.625
64	9	Si4	B4	314	314	1	8	250	95	90	.	10.75
65	9	La4	A4	305	305	1	8	250	95	96	.	10.875
66	9	Sol4#4	G4#4	300	300	1	8	250	95	90	.	11
67	9	Si4	B4	314	314	1	8	250	95	90	.	11.125
68	9	La4	A4	305	305	1	4	500	95	96	.	11.375
69	9	Mi4	E4	283	283	1	8	250	95	90	.	11.5
70	9	Fa4#1	F4#1	288	288	1	8	250	95	96	.	11.625
71	9	Mi4	E4	283	283	1	8	250	95	90	.	11.75
72	9	La4	A4	305	305	3	8	750	95	96	.	12.125
73	9	Mi5	E5	336	336	1	8	250	95	96	Ba	12.25
74	9	Mi5	E5	336	336	1	8	250	99	90	na 	12.375
75	9	Fa5	F5	340	340	1	8	250	95	90		12.5
76	9	Sol5	G5	349	349	1	8	250	99	96	bir 	12.625
77	9	Mi5	E5	336	336	1	8	250	95	90		12.75
78	9	Mi5	E5	336	336	3	8	750	95	96	aþk 	13.125
79	9	Re5	D5	327	327	1	8	250	95	96	ma	13.25
80	9	Re5	D5	327	327	1	8	250	99	90	sa	13.375
81	9	Mi5	E5	336	336	1	8	250	95	90		13.5
82	10	Re5	D5	327	327	1	8	250	95	96	lýn	13.625
83	8	Mi5	E5	336	336	0	0	0	95	96		13.625
84	9	Do5	C5	318	318	1	8	250	95	96		13.75
85	9	Do5	C5	318	318	3	8	750	95	96	dan 	14.125
86	9	Re5	D5	327	327	1	4	500	95	96	þar	14.375
87	9	Mi5	E5	336	336	1	8	250	95	90	ký	14.5
88	9	Fa5	F5	340	340	1	4	500	95	96	lar 	14.75
89	9	Sol5	G5	349	349	3	8	750	95	96	söy	15.125
90	7	Fa5	F5	340	340	3	8	750	99	96	le 	15.5
91	7	La5	A5	358	358	4	8	1000	95	96		16
92	9			-1	-1	1	8	250	100	0		16.125
93	9	Sol5	G5	349	349	1	4	500	95	96	þar	16.375
94	9	La5	A5	358	358	1	8	250	95	90	ký	16.5
95	9	Si5	B5	367	367	1	4	500	95	96	lar 	16.75
96	9	La5	A5	358	358	3	8	750	95	96	söy	17.125
97	9	Mi5	E5	336	336	1	4	500	95	96	le 	17.375
98	9	Re5	D5	327	327	1	8	250	95	90	SAZ	17.5
99	9	Do5	C5	318	318	1	8	250	95	96	.	17.625
100	9	Si4	B4	314	314	1	8	250	95	90	.	17.75
101	9	La4	A4	305	305	3	8	750	95	96	.	18.125
102	9	Mi5	E5	336	336	1	8	250	95	96	Ba	18.25
103	9	Mi5	E5	336	336	1	8	250	99	90	na 	18.375
104	9	Fa5	F5	340	340	1	8	250	95	90		18.5
105	9	Sol5	G5	349	349	1	8	250	99	96	bir 	18.625
106	9	Mi5	E5	336	336	1	8	250	95	90		18.75
107	9	Mi5	E5	336	336	3	8	750	95	96	aþk 	19.125
108	9	Re5	D5	327	327	1	8	250	95	96	ma	19.25
109	9	Re5	D5	327	327	1	8	250	99	90	sa	19.375
110	9	Mi5	E5	336	336	1	8	250	95	90		19.5
111	10	Re5	D5	327	327	1	8	250	95	96	lýn	19.625
112	8	Mi5	E5	336	336	0	0	0	95	96		19.625
113	9	Do5	C5	318	318	1	8	250	95	96		19.75
114	9	Do5	C5	318	318	3	8	750	95	96	dan 	20.125
115	9	Re5	D5	327	327	1	4	500	95	96	þar	20.375
116	9	Mi5	E5	336	336	1	8	250	95	90	ký	20.5
117	9	Fa5	F5	340	340	1	4	500	95	96	lar 	20.75
118	9	Sol5	G5	349	349	3	8	750	95	96	söy	21.125
