Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	769	95	96	1. HANE	0.2
2	9	Do5	C5	318	318	1	32	96	95	96		0.225
3	9	Si4	B4	314	314	1	32	96	95	96		0.25
4	9	Do5	C5	318	318	1	16	192	95	96		0.3
5	9	Mi5	E5	336	336	1	4	769	95	96		0.5
6	9	Re5	D5	327	327	1	16	192	95	96		0.55
7	9	Do5	C5	318	318	1	32	96	95	96		0.575
8	9	Si4	B4	314	314	1	32	96	95	96		0.6
9	9	Do5	C5	318	318	1	16	192	95	96		0.65
10	9	La5	A5	358	358	1	16	192	95	96		0.7
11	9	Sol5	G5	349	349	1	16	192	95	96		0.75
12	8	La5	A5	358	358	0	0	0	95	96		0.75
13	9	Sol5	G5	349	349	1	16	192	95	96		0.8
14	9	Fa5	F5	340	340	1	16	192	95	96		0.85
15	9	Mi5	E5	336	336	1	16	192	95	96		0.9
16	9	Re5	D5	327	327	1	16	192	95	96		0.95
17	9	Do5	C5	318	318	1	16	192	95	96		1
18	9	Si4	B4	314	314	1	16	192	95	96		1.05
19	9	Do5	C5	318	318	1	16	192	95	96		1.1
20	9	Re5	D5	327	327	1	16	192	95	96		1.15
21	9	Si4	B4	314	314	1	16	192	95	96		1.2
22	9	Do5	C5	318	318	1	16	192	95	96		1.25
23	9	Re5	D5	327	327	1	16	192	95	96		1.3
24	9	Mi5	E5	336	336	3	32	288	95	96		1.375
25	9	Re5	D5	327	327	1	32	96	95	96		1.4
26	9	Do5	C5	318	318	1	8	385	95	96		1.5
27	9	Re5	D5	327	327	3	32	288	95	96		1.575
28	9	Do5	C5	318	318	1	32	96	95	96		1.6
29	9	Si4	B4	314	314	1	8	385	95	96		1.7
30	9	Do5	C5	318	318	3	32	288	95	96		1.775
31	9	Si4	B4	314	314	1	32	96	95	96		1.8
32	9	La4	A4	305	305	1	16	192	95	96		1.85
33	9	Mi5	E5	336	336	1	16	192	95	96		1.9
34	9	La4	A4	305	305	1	16	192	95	96		1.95
35	9	La4	A4	305	305	1	16	192	95	96		2
36	9	Mi5b4	E5b4	332	332	1	16	192	95	96		2.05
37	8	Fa5#4	F5#4	344	344	0	0	0	95	96		2.05
38	9	Mi5b4	E5b4	332	332	1	16	192	95	96		2.1
39	8	Fa5#4	F5#4	344	344	0	0	0	95	96		2.1
40	9	Mi5b4	E5b4	332	332	1	16	192	95	96		2.15
41	9	Re5	D5	327	327	1	16	192	95	96		2.2
42	9	Do5	C5	318	318	1	8	385	95	96		2.3
43	9	Sol5	G5	349	349	3	32	288	95	96		2.375
44	9	Fa5#4	F5#4	344	344	1	32	96	95	96		2.4
45	9	Sol5	G5	349	349	1	8	385	95	96		2.5
46	9	La5	A5	358	358	3	32	288	95	96		2.575
47	9	Sol5	G5	349	349	1	32	96	95	96		2.6
48	9	La5	A5	358	358	1	8	385	95	96		2.7
49	9			-1	-1	1	16	192	100	0		2.75
50	9	Fa5	F5	340	340	1	16	192	95	96		2.8
51	9	Mi5	E5	336	336	1	16	192	95	96		2.85
52	9	Re5	D5	327	327	1	16	192	95	96		2.9
53	9	Do5	C5	318	318	1	16	192	95	96		2.95
54	9	Si4	B4	314	314	1	16	192	95	96		3
55	9	La4	A4	305	305	1	16	192	95	96		3.05
56	9	Si4	B4	314	314	1	16	192	95	96		3.1
57	9	Do5	C5	318	318	1	16	192	95	96		3.15
58	9	La4	A4	305	305	1	16	192	95	96		3.2
59	9	Si4	B4	314	314	1	16	192	95	96		3.25
60	9	Do5	C5	318	318	1	16	192	95	96		3.3
61	9	Re5	D5	327	327	1	16	192	95	96		3.35
62	9	Do5	C5	318	318	1	16	192	95	96		3.4
63	9	Si4	B4	314	314	1	16	192	95	96		3.45
64	9	Fa5	F5	340	340	1	16	192	95	96		3.5
65	9	Mi5	E5	336	336	1	16	192	95	96		3.55
66	9	Re5	D5	327	327	1	16	192	95	96		3.6
67	9	Sol5	G5	349	349	1	16	192	95	96		3.65
68	9	Fa5	F5	340	340	1	16	192	95	96		3.7
69	9	Mi5	E5	336	336	1	8	385	95	96		3.8
70	9	Re5	D5	327	327	1	16	192	95	96		3.85
71	9	Do5	C5	318	318	1	16	192	95	96		3.9
72	9	Si4	B4	314	314	1	16	192	95	96		3.95
73	9	La4	A4	305	305	1	16	192	95	96		4
74	52			0	0	1	8	0	127	29		4.1
75	9	Sol4	G4	296	296	1	4	769	95	96	1. HANE	4.3
76	9	Do5	C5	318	318	1	32	96	95	96		4.325
