Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5	F5	340	340	3	8	1500	95	96	ARANAÐME 	0.3333333
2	9	La5	A5	358	358	1	8	500	95	96	.	0.4444444
3	9	Sol5	G5	349	349	1	8	500	95	96	.	0.5555556
4	9	Fa5	F5	340	340	1	8	500	95	96	.	0.6666667
5	9	Mi5	E5	336	336	1	4	1000	95	96	.	0.8888889
6	9	Re5	D5	327	327	1	8	500	95	96	.	1
7	9	Do5	C5	318	318	3	8	1500	95	96	.	1.333333
8	9	Mi5b5	E5b5	331	331	1	8	500	95	96	.	1.444444
9	9	Re5	D5	327	327	1	8	500	95	96	.	1.555556
10	9	Do5	C5	318	318	1	8	500	95	96	.	1.666667
11	9	Si4b5	B4b5	309	309	1	4	1000	95	96	.	1.888889
12	9	La4	A4	305	305	1	8	500	95	96	.	2
13	9	La4	A4	305	305	3	8	1500	95	96	.	2.333333
14	9	Re5	D5	327	327	1	8	500	95	96	.	2.444444
15	9	Do5	C5	318	318	1	8	500	95	96	.	2.555556
16	9	Si4b5	B4b5	309	309	1	8	500	95	96	.	2.666667
17	9	La4	A4	305	305	1	4	1000	95	96	.	2.888889
18	9	Sol4	G4	296	296	1	8	500	95	96	.	3
19	9	La4	A4	305	305	3	16	750	95	96	.	3.166667
20	9	Sol4	G4	296	296	1	16	250	95	96	.	3.222222
21	9	Fa4	F4	287	287	1	8	500	95	96	.	3.333333
22	9	Mi4	E4	283	283	1	8	500	95	96	.	3.444444
23	9	Fa4	F4	287	287	1	4	1000	95	96	.	3.666667
24	9	Do5	C5	318	318	1	8	500	95	96	.	3.777778
25	9	Re5	D5	327	327	1	8	500	95	96	.	3.888889
26	9	Mi5	E5	336	336	1	8	500	95	96	.	4
27	52			0	0	1	8	0	120	0		4.111111
28	9	Fa5	F5	340	340	3	8	1500	95	96	ARANAÐME 	4.444445
29	9	La5	A5	358	358	1	8	500	95	96	.	4.555555
30	9	Sol5	G5	349	349	1	8	500	95	96	.	4.666667
31	9	Fa5	F5	340	340	1	8	500	95	96	.	4.777778
32	9	Mi5	E5	336	336	1	4	1000	95	96	.	5
33	9	Re5	D5	327	327	1	8	500	95	96	.	5.111111
34	9	Do5	C5	318	318	3	8	1500	95	96	.	5.444445
35	9	Mi5b5	E5b5	331	331	1	8	500	95	96	.	5.555555
36	9	Re5	D5	327	327	1	8	500	95	96	.	5.666667
37	9	Do5	C5	318	318	1	8	500	95	96	.	5.777778
38	9	Si4b5	B4b5	309	309	1	4	1000	95	96	.	6
39	9	La4	A4	305	305	1	8	500	95	96	.	6.111111
40	9	La4	A4	305	305	3	8	1500	95	96	.	6.444445
41	9	Re5	D5	327	327	1	8	500	95	96	.	6.555555
42	9	Do5	C5	318	318	1	8	500	95	96	.	6.666667
43	9	Si4b5	B4b5	309	309	1	8	500	95	96	.	6.777778
44	9	La4	A4	305	305	1	4	1000	95	96	.	7
45	9	Sol4	G4	296	296	1	8	500	95	96	.	7.111111
46	9	La4	A4	305	305	3	16	750	95	96	.	7.277778
47	9	Sol4	G4	296	296	1	16	250	95	96	.	7.333333
48	9	Fa4	F4	287	287	1	8	500	95	96	.	7.444445
49	9	Mi4	E4	283	283	1	8	500	95	96	.	7.555555
50	9	Fa4	F4	287	287	1	8	500	95	96	.	7.666667
51	9	Mi4	E4	283	283	1	8	500	95	96	.	7.777778
52	9	Fa4	F4	287	287	1	4	1000	95	96	.	8
53	9			-1	-1	1	8	500	100	0		8.111111
54	9	Do5	C5	318	318	1	2	2000	95	96	Ya	8.555555
55	9	Re5	D5	327	327	1	8	500	99	96	nar 	8.666667
56	9	Mi5	E5	336	336	1	8	500	99	96		8.777778
57	9	Fa5	F5	340	340	1	4	1000	99	96		9
58	9	Sol5	G5	349	349	1	8	500	95	96		9.111111
59	9	La5	A5	358	358	3	16	750	99	96	si	9.277778
60	9	Sol5	G5	349	349	1	16	250	99	96		9.333333
61	9	Fa5	F5	340	340	1	8	500	99	96		9.444445
62	9	Mi5	E5	336	336	1	8	500	95	96		9.555555
63	9	Fa5	F5	340	340	1	4	1000	99	96	nem 	9.777778
64	9	Sol5	G5	349	349	1	4	1000	95	96		10
65	9			-1	-1	1	8	500	100	0		10.11111
66	9	Do5	C5	318	318	1	2	2000	95	96	be	10.55556
67	9	Re5	D5	327	327	1	16	250	99	96	nim 	10.61111
68	9	Do5	C5	318	318	1	16	250	99	96		10.66667
69	9	Re5	D5	327	327	1	8	500	99	96		10.77778
70	9	Mi5	E5	336	336	1	8	500	99	96		10.88889
71	9	Fa5	F5	340	340	1	8	500	99	96		11
72	9	Sol5	G5	349	349	1	8	500	95	96		11.11111
73	9	La5	A5	358	358	3	16	750	99	96	her 	11.27778
74	9	Sol5	G5	349	349	1	16	250	99	96		11.33333
75	9	Fa5	F5	340	340	1	8	500	99	96		11.44444
76	9	Mi5	E5	336	336	1	8	500	95	96		11.55556
77	9	Fa5	F5	340	340	1	4	1000	99	96	bâr  	11.77778
78	9	Sol5	G5	349	349	1	4	1000	95	96		12
79	9			-1	-1	1	8	500	100	0		12.11111
80	9	Do5	C5	318	318	1	2	2000	95	96	Ya	12.55556
81	9	Re5	D5	327	327	1	8	500	99	96	nar 	12.66667
82	9	Mi5	E5	336	336	1	8	500	99	96		12.77778
83	9	Fa5	F5	340	340	1	4	1000	99	96		13
84	9	Sol5	G5	349	349	1	8	500	95	96		13.11111
85	9	La5	A5	358	358	3	16	750	99	96	si	13.27778
86	9	Sol5	G5	349	349	1	16	250	99	96		13.33333
87	9	Fa5	F5	340	340	1	8	500	99	96		13.44444
88	9	Mi5	E5	336	336	1	8	500	95	96		13.55556
89	9	Fa5	F5	340	340	1	4	1000	99	96	nem 	13.77778
90	9	Sol5	G5	349	349	1	4	1000	95	96		14
91	9			-1	-1	1	8	500	100	0		14.11111
92	9	Do5	C5	318	318	1	2	2000	95	96	be	14.55556
93	9	Re5	D5	327	327	1	16	250	99	96	nim 	14.61111
94	9	Do5	C5	318	318	1	16	250	99	96		14.66667
95	9	Re5	D5	327	327	1	8	500	99	96		14.77778
96	9	Mi5	E5	336	336	1	8	500	99	96		14.88889
97	9	Fa5	F5	340	340	1	8	500	99	96		15
98	9	Sol5	G5	349	349	1	8	500	95	96		15.11111
99	9	La5	A5	358	358	3	16	750	99	96	her 	15.27778
100	9	Sol5	G5	349	349	1	16	250	99	96		15.33333
101	9	Fa5	F5	340	340	1	8	500	99	96		15.44444
102	9	Mi5	E5	336	336	1	8	500	95	96		15.55556
103	9	Fa5	F5	340	340	1	8	500	99	96	bâr  	15.66667
104	9	Mi5	E5	336	336	1	8	500	99	96		15.77778
105	9	Fa5	F5	340	340	1	4	1000	95	96		16
106	9			-1	-1	1	8	500	100	0		16.11111
107	9	Do5	C5	318	318	3	8	1500	99	96	Ne 	16.44444
