Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	417	100	0		0.125
2	9	Do5	C5	318	318	1	16	208	99	96	Yak	0.1875
3	9	Re5b3	D5b4	324	323	1	16	208	99	96		0.25
4	9	Do5	C5	318	318	1	8	417	99	96		0.375
5	9	Si4b2	B4b1	312	313	1	8	417	95	96		0.5
6	9	Do5	C5	318	318	1	16	208	99	96	tý 	0.5625
7	9	Re5b3	D5b4	324	323	1	16	208	99	96		0.625
8	9	Do5	C5	318	318	1	16	208	99	96		0.6875
9	9	Si4b2	B4b1	312	313	1	16	208	99	96		0.75
10	9	La4	A4	305	305	1	8	417	95	96		0.875
11	9	Si4b2	B4b1	312	313	1	8	417	95	96	ci	1
12	9	Do5	C5	318	318	1	16	208	99	96	hâ	1.0625
13	9	Si4b2	B4b1	312	313	1	16	208	99	96		1.125
14	9	Do5	C5	318	318	1	16	208	99	96		1.1875
15	9	Mi5	E5	336	336	1	16	208	99	96		1.25
16	9	Re5b3	D5b4	324	323	1	8	417	99	96		1.375
17	9	Do5	C5	318	318	1	8	417	95	96		1.5
18	9	Do5	C5	318	318	1	16	208	99	96	ný 	1.5625
19	9	Si4b2	B4b1	312	313	1	16	208	99	96		1.625
20	9	Si4b2	B4b1	312	313	1	16	208	99	96		1.6875
21	9	La4	A4	305	305	1	16	208	99	96		1.75
22	9	La4	A4	305	305	1	4	833	95	96		2
23	9			-1	-1	1	8	417	100	0		2.125
24	9	Do5	C5	318	318	1	4	833	99	96	â	2.375
25	9	Re5b3	D5b4	324	323	1	8	417	99	96		2.5
26	9	Mi5	E5	336	336	3	16	625	99	96		2.6875
27	9	Do5	C5	318	318	1	16	208	99	96		2.75
28	9	Re5b3	D5b4	324	323	1	8	417	95	96		2.875
29	9	Si4b2	B4b1	312	313	1	8	417	95	96	te	3
30	9	Do5	C5	318	318	3	8	1250	95	96	þin  	3.375
31	9	Sol4	G4	296	296	1	8	417	95	96	SAZ 	3.5
32	9	La4	A4	305	305	1	8	417	95	96	.	3.625
33	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	3.75
34	9	Do5	C5	318	318	1	4	833	95	96	.	4
35	9			-1	-1	1	8	417	100	0		4.125
36	9	Do5	C5	318	318	1	16	208	99	96	Bir 	4.1875
37	9	Re5b3	D5b4	324	323	1	16	208	99	96		4.25
38	9	Mi5	E5	336	336	1	8	417	99	96		4.375
39	9	Fa5	F5	340	340	1	8	417	95	96		4.5
40	9	Sol5	G5	349	349	1	8	417	99	96	ta	4.625
41	9	Fa5	F5	340	340	1	16	208	99	96		4.6875
42	9	Mi5	E5	336	336	1	16	208	99	96		4.75
43	9	La5b4	A5b4	354	354	1	8	417	95	96		4.875
44	9	Sol5	G5	349	349	1	16	208	99	96	ne	4.9375
45	9	Fa5	F5	340	340	1	16	208	95	96		5
46	9	Sol5	G5	349	349	1	8	417	99	96	sin 	5.125
47	9	Fa5	F5	340	340	1	16	208	99	96		5.1875
48	9	Mi5	E5	336	336	1	16	208	99	96		5.25
49	9	Fa5	F5	340	340	1	8	417	99	96		5.375
50	9	Mi5	E5	336	336	1	16	208	99	96		5.4375
51	9	Re5b3	D5b4	324	323	1	16	208	99	96		5.5
52	9	Do5	C5	318	318	1	16	208	99	96		5.5625
53	9	Re5b3	D5b4	324	323	1	32	104	99	96		5.59375
54	9	Mi5	E5	336	336	1	32	104	99	96		5.625
55	9	Re5b3	D5b4	324	323	1	16	208	99	96		5.6875
56	9	Do5	C5	318	318	1	16	208	99	96		5.75
57	9	Do5	C5	318	318	3	32	312	99	96		5.84375
58	9	Si4b2	B4b1	312	313	1	32	104	99	96		5.875
59	9	La4	A4	305	305	1	8	417	95	96		6
60	9			-1	-1	1	8	417	100	0		6.125
61	9	La4	A4	305	305	1	16	208	99	96	yok	6.1875
62	9	Si4b2	B4b1	312	313	1	16	208	99	96		6.25
63	9	Do5	C5	318	318	1	8	417	99	96		6.375
64	9	Si4b2	B4b1	312	313	1	16	208	99	96		6.4375
65	9	La4	A4	305	305	1	16	208	95	96		6.5
66	9	La4	A4	305	305	3	16	625	99	96	tur 	6.6875
67	9	Sol4	G4	296	296	1	16	208	99	96		6.75
68	9	Fa4#4	F4#4	291	291	1	8	417	95	96		6.875
69	9	Si4b1	B4b1	313	313	1	8	417	95	96	e	7
70	9	La4	A4	305	305	1	8	417	99	96	þin  	7.125
71	9	Sol4	G4	296	296	1	4	833	99	96		7.375
72	9	La4	A4	305	305	1	24	139	99	96		7.416667
73	9	Sol4	G4	296	296	1	24	139	99	96		7.458333
74	9	Fa4#4	F4#4	291	291	1	24	139	99	96		7.5
75	9	Fa4#4	F4#4	291	291	1	4	833	95	96		7.75
76	9			-1	-1	1	4	833	100	0		8
77	9			-1	-1	1	8	417	100	0		8.125
78	9	Fa5#4	F5#4	344	344	1	4	833	99	96	Ol	8.375
79	9	La5	A5	358	358	1	8	417	95	96		8.5
80	9	Sol5	G5	349	349	1	8	417	99	96	dum 	8.625
81	9	Fa5#4	F5#4	344	344	1	16	208	99	96		8.6875
82	9	Mi5	E5	336	336	1	16	208	95	96		8.75
83	9	Re5	D5	327	327	1	4	833	95	96	se	9
84	9	Fa5#4	F5#4	344	344	1	8	417	99	96	nin 	9.125
85	9	Sol5	G5	349	349	1	4	833	99	96		9.375
86	9	Fa5	F5	340	340	1	16	208	99	96		9.4375
87	9	Mi5	E5	336	336	1	16	208	99	96		9.5
88	9	Mi5	E5	336	336	1	16	208	99	96		9.5625
89	9	Re5b3	D5b4	324	323	1	16	208	99	96		9.625
90	9	Re5b3	D5b4	324	323	1	16	208	99	96		9.6875
91	9	Do5	C5	318	318	1	16	208	99	96		9.75
