Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	3	16	938	99	96	Aþ	0.3
2	9	Re5	D5	327	327	1	16	312	95	96		0.4
3	9	Re5	D5	327	327	1	4	1250	99	96	kýn	0.8
4	9	Do5	C5	318	318	1	8	625	95	96		1
5	9	Re5	D5	327	327	1	8	625	95	96	la 	1.2
6	8	Fa5	F5	340	340	0	0	0	95	96		1.2
7	9	Mi5	E5	336	336	1	16	312	99	96	ha	1.3
8	9	Re5	D5	327	327	1	16	312	95	96		1.4
9	9	Re5	D5	327	327	3	8	1875	95	96	râb 	2
10	9	Do5	C5	318	318	1	8	625	99	96	kal	2.2
11	9	Si4b2	B4b1	312	313	1	16	312	99	96		2.3
12	9	La4	A4	305	305	1	16	312	99	96		2.4
13	9	La4	A4	305	305	1	8	625	99	96		2.6
14	9	Si4b2	B4b1	312	313	1	8	625	99	96		2.8
15	9	Do5	C5	318	318	1	16	312	99	96		2.9
16	9	Re5	D5	327	327	1	16	312	95	96		3
17	9	Do5	C5	318	318	1	16	312	99	96	bi	3.1
18	9	Si4b2	B4b1	312	313	1	16	312	95	96		3.2
19	9	Si4b2	B4b1	312	313	1	16	312	99	96	mi 	3.3
20	9	La4	A4	305	305	1	16	312	95	96		3.4
21	9	La4	A4	305	305	3	8	1875	95	96	bir 	4
22	9	La4	A4	305	305	1	16	312	99	96	lah	4.1
23	9	Sol4	G4	296	296	1	16	312	99	96		4.2
24	9	La4	A4	305	305	1	16	312	99	96		4.3
25	9	Si4b2	B4b1	312	313	1	16	312	99	96		4.4
26	9	Do5	C5	318	318	1	16	312	99	96		4.5
27	9	Re5	D5	327	327	1	16	312	99	96		4.6
28	9	Mi5	E5	336	336	1	16	312	99	96		4.7
29	9	Fa5	F5	340	340	1	16	312	99	96		4.8
30	9	Mi5	E5	336	336	1	16	312	99	96		4.9
31	9	Sol5	G5	349	349	1	16	312	99	96		5
32	9	Fa5	F5	340	340	1	8	625	99	96		5.2
33	9	Mi5	E5	336	336	1	8	625	99	96		5.4
34	8	Fa5	F5	340	340	0	0	0	99	96		5.4
35	9	Mi5	E5	336	336	1	8	625	99	96		5.6
36	9	Re5	D5	327	327	1	8	625	99	96		5.8
37	9	Do5	C5	318	318	1	8	625	95	96		6
38	9	Sol5	G5	349	349	1	8	625	95	96	za 	6.2
39	9	Fa5	F5	340	340	1	16	312	99	96	se	6.3
40	9	Mi5	E5	336	336	1	16	312	95	96		6.4
41	9	Mi5	E5	336	336	1	8	625	99	96	vin	6.6
42	9	Re5	D5	327	327	1	8	625	99	96		6.8
43	8	Fa5	F5	340	340	0	0	0	99	96		6.8
44	9	Mi5	E5	336	336	1	16	312	99	96		6.9
45	9	Re5	D5	327	327	1	16	312	95	96		7
46	9	Re5	D5	327	327	1	4	1250	95	96	dir  	7.4
47	9	Do5	C5	318	318	1	8	625	95	96	SAZ	7.6
48	9	Si4b2	B4b1	312	313	1	8	625	95	96	.	7.8
49	9	La4	A4	305	305	1	8	625	95	96	.	8
50	52			0	0	1	8	0	96	0		8.2
51	9	Do5	C5	318	318	3	16	938	99	96	Aþ	8.5
52	9	Re5	D5	327	327	1	16	312	95	96		8.6
53	9	Re5	D5	327	327	1	4	1250	99	96	kýn	9
54	9	Do5	C5	318	318	1	8	625	95	96		9.2
55	9	Re5	D5	327	327	1	8	625	95	96	la 	9.4
56	8	Fa5	F5	340	340	0	0	0	95	96		9.4
57	9	Mi5	E5	336	336	1	16	312	99	96	ha	9.5
58	9	Re5	D5	327	327	1	16	312	95	96		9.6
59	9	Re5	D5	327	327	3	8	1875	95	96	râb 	10.2
60	9	Do5	C5	318	318	1	8	625	99	96	kal	10.4
61	9	Si4b2	B4b1	312	313	1	16	312	99	96		10.5
62	9	La4	A4	305	305	1	16	312	99	96		10.6
63	9	La4	A4	305	305	1	8	625	99	96		10.8
64	9	Si4b2	B4b1	312	313	1	8	625	99	96		11
65	9	Do5	C5	318	318	1	16	312	99	96		11.1
66	9	Re5	D5	327	327	1	16	312	95	96		11.2
67	9	Do5	C5	318	318	1	16	312	99	96	bi	11.3
68	9	Si4b2	B4b1	312	313	1	16	312	95	96		11.4
69	9	Si4b2	B4b1	312	313	1	16	312	99	96	mi 	11.5
70	9	La4	A4	305	305	1	16	312	95	96		11.6
71	9	La4	A4	305	305	3	8	1875	95	96	bir 	12.2
72	9	La4	A4	305	305	1	16	312	99	96	lah	12.3
73	9	Sol4	G4	296	296	1	16	312	99	96		12.4
74	9	La4	A4	305	305	1	16	312	99	96		12.5
75	9	Si4b2	B4b1	312	313	1	16	312	99	96		12.6
76	9	Do5	C5	318	318	1	16	312	99	96		12.7
77	9	Re5	D5	327	327	1	16	312	99	96		12.8
78	9	Mi5	E5	336	336	1	16	312	99	96		12.9
79	9	Fa5	F5	340	340	1	16	312	99	96		13
80	9	Mi5	E5	336	336	1	16	312	99	96		13.1
81	9	Sol5	G5	349	349	1	16	312	99	96		13.2
82	9	Fa5	F5	340	340	1	8	625	99	96		13.4
83	9	Mi5	E5	336	336	1	8	625	99	96		13.6
84	8	Fa5	F5	340	340	0	0	0	99	96		13.6
85	9	Mi5	E5	336	336	1	8	625	99	96		13.8
86	9	Re5	D5	327	327	1	8	625	99	96		14
87	9	Do5	C5	318	318	1	8	625	95	96		14.2
88	9	Sol5	G5	349	349	1	8	625	95	96	za 	14.4
89	9	Fa5	F5	340	340	1	16	312	99	96	se	14.5
90	9	Mi5	E5	336	336	1	16	312	95	96		14.6
91	9	Mi5	E5	336	336	1	8	625	99	96	vin	14.8
92	9	Re5	D5	327	327	1	8	625	99	96		15
93	8	Fa5	F5	340	340	0	0	0	99	96		15
94	9	Mi5	E5	336	336	1	16	312	99	96		15.1
95	9	Re5	D5	327	327	1	16	312	95	96		15.2
96	9	Re5	D5	327	327	1	4	1250	95	96	dir  	15.6
97	9	Sol4	G4	296	296	1	16	312	95	96	SAZ	15.7
98	9	La4	A4	305	305	1	16	312	95	96	.	15.8
99	9	Si4b2	B4b1	312	313	1	16	312	95	96	.	15.9
