Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	2	1667	100	0		0.2222222
2	9			-1	-1	1	8	417	100	0		0.2777778
3	9	Sol4	G4	296	296	1	4	833	95	96		0.3888889
4	9	Do5	C5	318	318	1	8	417	95	96		0.4444444
5	9	Mi5	E5	336	336	1	2	1667	95	96		0.6666667
6	9	Fa5	F5	340	340	1	4	833	95	96		0.7777778
7	9	Mi5	E5	336	336	1	4	833	95	96		0.8888889
8	9	Re5	D5	327	327	1	8	417	95	96		0.9444444
9	9	Mi5	E5	336	336	1	8	417	95	96		1
10	9	Re5	D5	327	327	1	16	208	95	96		1.027778
11	9	Do5	C5	318	318	1	16	208	95	96		1.055556
12	9	Do5	C5	318	318	1	16	208	95	96		1.083333
13	9	Si4	B4	314	314	1	16	208	95	96		1.111111
14	9	Do5	C5	318	318	3	8	1250	95	96		1.277778
15	9	Do5	C5	318	318	1	4	833	95	96		1.388889
16	9	Do5	C5	318	318	1	16	208	95	96		1.416667
17	9	Si4	B4	314	314	1	16	208	95	96		1.444444
18	9	Si4	B4	314	314	3	16	625	95	96		1.527778
19	9	La4	A4	305	305	1	16	208	95	96		1.555556
20	9	Do5	C5	318	318	1	16	208	95	96		1.583333
21	9	Si4	B4	314	314	1	16	208	95	96		1.611111
22	9	La4	A4	305	305	1	16	208	95	96		1.638889
23	9	Sol4#4	G4#4	300	300	1	16	208	95	96		1.666667
24	9	La4	A4	305	305	1	4	833	95	96		1.777778
25	9	La4	A4	305	305	1	16	208	95	96		1.805556
26	9	Si4	B4	314	314	1	16	208	95	96		1.833333
27	9	Do5	C5	318	318	1	16	208	95	96		1.861111
28	9	Re5	D5	327	327	1	16	208	95	96		1.888889
29	9	Mi5	E5	336	336	1	4	833	95	96		2
30	9			-1	-1	1	8	417	100	0		2.055556
31	9	La5	A5	358	358	1	8	417	95	96		2.111111
32	9	Sol5	G5	349	349	1	8	417	95	96		2.166667
33	9	Fa5	F5	340	340	1	8	417	95	96		2.222222
34	9	Mi5	E5	336	336	3	16	625	95	96		2.305556
35	9	Re5	D5	327	327	1	16	208	95	96		2.333333
36	9	Mi5	E5	336	336	1	16	208	95	96		2.361111
37	9	Re5	D5	327	327	1	16	208	95	96		2.388889
38	9	Do5	C5	318	318	1	16	208	95	96		2.416667
39	9	Si4	B4	314	314	1	16	208	95	96		2.444444
40	9	Do5	C5	318	318	1	4	833	95	96		2.555556
41	9	Re5	D5	327	327	1	4	833	95	96		2.666667
42	9	Mi5	E5	336	336	1	4	833	95	96		2.777778
43	9	Re5	D5	327	327	1	8	417	95	96		2.833333
44	9	Mi5	E5	336	336	1	4	833	95	96		2.944444
45	9	Re5	D5	327	327	1	8	417	95	96		3
46	9			-1	-1	1	8	417	100	0		3.055556
47	9	Do6	C6	371	371	1	8	417	95	96		3.111111
48	9	Si5	B5	367	367	1	8	417	95	96		3.166667
49	9	La5	A5	358	358	1	8	417	95	96		3.222222
50	9	Sol5	G5	349	349	3	16	625	95	96		3.305556
51	9	Fa5	F5	340	340	1	16	208	95	96		3.333333
52	9	Sol5	G5	349	349	1	16	208	95	96		3.361111
53	9	Fa5	F5	340	340	1	16	208	95	96		3.388889
54	9	Fa5	F5	340	340	1	16	208	99	96		3.416667
55	9	Mi5	E5	336	336	1	16	208	95	96		3.444444
56	9	Mi5	E5	336	336	1	2	1667	95	96		3.666667
57	9	Mi5	E5	336	336	1	8	417	95	96		3.722222
58	9	Fa5	F5	340	340	1	16	208	95	96		3.75
59	9	Sol5	G5	349	349	1	16	208	95	96		3.777778
60	9	Fa5	F5	340	340	1	16	208	95	96		3.805556
61	9	Mi5	E5	336	336	1	16	208	95	96		3.833333
62	9	Re5	D5	327	327	1	8	417	95	96		3.888889
63	9	Do5	C5	318	318	1	8	417	95	96		3.944444
64	9	Re5	D5	327	327	1	8	417	95	96		4
65	9	Mi5	E5	336	336	3	16	625	95	96		4.083333
66	9	Fa5	F5	340	340	1	16	208	95	96		4.111111
67	9	Mi5	E5	336	336	1	16	208	95	96		4.138889
68	9	Re5	D5	327	327	1	16	208	95	96		4.166667
69	9	Mi5	E5	336	336	1	8	417	95	96		4.222222
70	9			-1	-1	1	8	417	100	0		4.277778
71	9	Re5	D5	327	327	1	4	833	95	96		4.388889
72	9	La5	A5	358	358	1	8	417	95	96		4.444445
73	9	Sol5	G5	349	349	1	8	417	95	96		4.5
74	9	Fa5	F5	340	340	1	8	417	95	96		4.555555
75	9	Mi5	E5	336	336	1	8	417	95	96		4.611111
