Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	4	333	100	0		0.2
2	9	Sol5	G5	349	349	1	8	167	95	96	Sý	0.3
3	9	Sol5	G5	349	349	1	4	333	95	96	ra	0.5
4	9	Sol5	G5	349	349	1	4	333	95	96	lý 	0.7
5	9	Sol5	G5	349	349	3	8	500	95	96	dað	1
6	9	Sol5	G5	349	349	1	4	333	95	96	la	1.2
7	9	Fa5#3	F5#4	343	344	1	8	167	99	96	rýn 	1.3
8	9	Mi5	E5	336	336	1	4	333	95	96		1.5
9	9	Fa5#3	F5#4	343	344	1	4	333	95	96	ka	1.7
10	9	Sol5	G5	349	349	3	8	500	95	96	rý  	2
11	9			-1	-1	1	4	333	100	0		2.2
12	9	Sol5	G5	349	349	1	8	167	95	96	Yi	2.3
13	9	Sol5	G5	349	349	1	4	333	95	96	tir	2.5
14	9	Sol5	G5	349	349	1	8	167	99	96	mi	2.6
15	9	La5	A5	358	358	1	8	167	95	96		2.7
16	9	Fa5#3	F5#4	343	344	1	4	333	99	96	þem 	2.9
17	9	Mi5	E5	336	336	1	8	167	95	96		3
18	9	Fa5#3	F5#4	343	344	1	8	167	99	96	naz	3.1
19	9	Sol5	G5	349	349	1	8	167	99	96		3.2
20	9	Mi5	E5	336	336	1	8	167	95	96		3.3
21	9	Mi5	E5	336	336	1	8	167	99	96	lý 	3.4
22	9	Re5	D5	327	327	1	8	167	95	96		3.5
23	9	Mi5	E5	336	336	1	8	167	99	96	yâ	3.6
24	9	Fa5	F5	340	340	1	8	167	95	96		3.7
25	9	Re5	D5	327	327	3	8	500	95	96	ri  	4
26	9			-1	-1	1	4	333	100	0		4.2
27	9	Sol5	G5	349	349	1	8	167	95	96	Yâ	4.3
28	9	Sol5	G5	349	349	1	4	333	95	96	rim 	4.5
29	9	Sol5	G5	349	349	1	4	333	95	96	se	4.7
30	9	Sol5	G5	349	349	3	8	500	95	96	ni 	5
31	9	Sol5	G5	349	349	1	4	333	95	96	yi	5.2
32	9	Fa5#3	F5#4	343	344	1	8	167	99	96	ti	5.3
33	9	Mi5	E5	336	336	1	4	333	95	96		5.5
