Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	385	100	0		0.25
2	9	Do5	C5	318	318	1	16	192	95	96	ARANAÐME	0.375
3	9	Re5	D5	327	327	1	16	192	95	96	.	0.5
4	9	Mi5	E5	336	336	1	8	385	95	96	.	0.75
5	9	Mi5	E5	336	336	1	16	192	95	96	.	0.875
6	9	Re5	D5	327	327	1	16	192	95	96	.	1
7	9	Re5	D5	327	327	1	16	192	95	96	.	1.125
8	9	Do5	C5	318	318	1	16	192	95	96	.	1.25
9	9	Mi5	E5	336	336	1	8	385	95	96	.	1.5
10	9	Mi5	E5	336	336	1	16	192	95	96	.	1.625
11	9	Re5	D5	327	327	1	16	192	95	96	.	1.75
12	9	Re5	D5	327	327	1	16	192	95	96	.	1.875
13	9	Do5	C5	318	318	1	16	192	95	96	.	2
14	9	Do5	C5	318	318	1	16	192	95	96	.	2.125
15	9	Si4b2	B4b1	312	313	1	16	192	95	96	.	2.25
16	9	Re5	D5	327	327	1	16	192	95	96	.	2.375
17	9	Re5	D5	327	327	1	16	192	95	96	.	2.5
18	9	Re5	D5	327	327	1	16	192	95	96	.	2.625
19	9	Do5	C5	318	318	1	16	192	95	96	.	2.75
20	9	Do5	C5	318	318	1	16	192	95	96	.	2.875
21	9	Si4b2	B4b1	312	313	1	16	192	95	96	.	3
22	9	Si4b2	B4b1	312	313	1	16	192	95	96	.	3.125
23	9	La4	A4	305	305	1	16	192	95	96	.	3.25
24	9	La4	A4	305	305	1	16	192	95	96	.	3.375
25	9	Do5	C5	318	318	1	16	192	95	96	.	3.5
26	9	Do5	C5	318	318	1	16	192	95	96	.	3.625
27	9	Si4b2	B4b1	312	313	1	16	192	95	96	.	3.75
28	9	Re5	D5	327	327	1	16	192	95	96	.	3.875
29	9	Si4b2	B4b1	312	313	1	16	192	95	96	.	4
30	9	Si4b2	B4b1	312	313	1	16	192	95	96	.	4.125
31	9	La4	A4	305	305	3	16	577	95	96	.	4.5
32	9	La4	A4	305	305	1	4	769	95	96	.	5
33	52			0	0	1	4	0	78	0		5.5
34	9			-1	-1	1	8	385	100	0		5.75
