Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	625	95	96	Hâk 	0.1111111
2	9	Re5	D5	327	327	1	4	625	95	96	hâk 	0.2222222
3	9	Si4b4	B4b4	310	310	1	8	312	99	96	di	0.2777778
4	9	Re5	D5	327	327	1	8	312	95	96		0.3333333
5	9	Do5#4	C5#4	322	322	3	8	937	99	96	yen 	0.5
6	9	Si4b4	B4b4	310	310	1	8	312	95	96		0.5555556
7	9	Mi5	E5	336	336	1	8	312	99	96	â	0.6111111
8	9	Re5	D5	327	327	1	8	312	95	96		0.6666667
9	9	Do5#4	C5#4	322	322	1	8	312	99	96	þýk	0.7222222
10	9	Si4b4	B4b4	310	310	1	8	312	95	96		0.7777778
11	9	La4	A4	305	305	3	8	937	99	96	lar  	0.9444444
12	9	Sol4	G4	296	296	1	8	312	95	96		1
13	52			0	0	1	8	0	127	65		1.055556
14	9	La4	A4	305	305	1	4	625	95	96	Hâk 	1.166667
15	9	Re5	D5	327	327	1	4	625	95	96	hâk 	1.277778
16	9	Si4b4	B4b4	310	310	1	8	312	99	96	di	1.333333
17	9	Re5	D5	327	327	1	8	312	95	96		1.388889
18	9	Do5#4	C5#4	322	322	3	8	937	99	96	yen 	1.555556
19	9	Si4b4	B4b4	310	310	1	8	312	95	96		1.611111
20	9	Mi5	E5	336	336	1	8	312	99	96	â	1.666667
21	9	Re5	D5	327	327	1	8	312	95	96		1.722222
22	9	Do5#4	C5#4	322	322	1	8	312	99	96	þýk	1.777778
23	9	Si4b4	B4b4	310	310	1	8	312	95	96		1.833333
24	9	La4	A4	305	305	3	8	937	99	96	lar  	2
25	9	Sol4	G4	296	296	1	8	312	95	96		2.055556
26	51			0	0	8	8	0	17	0		2.055556
27	52			0	0	1	8	0	127	41		2.180556
28	9	La4	A4	305	305	1	4	714	95	96	Ci	2.430556
29	9	La4	A4	305	305	1	8	357	99	96	ðer	2.555556
30	9	Si4b4	B4b4	310	310	1	8	357	95	96		2.680556
31	9	Do5#4	C5#4	322	322	1	8	357	99	96	le	2.805556
32	9	Si4b4	B4b4	310	310	1	8	357	95	96		2.930556
33	9	La4	A4	305	305	1	8	357	99	96	ri 	3.055556
34	9	Sol4	G4	296	296	1	8	357	95	96		3.180556
35	9	La4	A4	305	305	1	8	357	99	96	ya	3.305556
36	9	Si4b4	B4b4	310	310	1	16	179	99	96		3.368056
37	9	Do5#4	C5#4	322	322	1	16	179	95	96		3.430556
38	9	Si4b4	B4b4	310	310	1	8	357	99	96	nýk	3.555556
39	9	La4	A4	305	305	1	8	357	95	96		3.680556
40	9	La4	A4	305	305	1	4	714	95	96	lar  	3.930556
41	9			-1	-1	1	4	714	100	0		4.180555
42	9	La4	A4	305	305	1	4	714	95	96	Ci	4.430555
43	9	La4	A4	305	305	1	8	357	99	96	ðer	4.555555
44	9	Si4b4	B4b4	310	310	1	8	357	95	96		4.680555
45	9	Do5#4	C5#4	322	322	1	8	357	99	96	le	4.805555
46	9	Si4b4	B4b4	310	310	1	8	357	95	96		4.930555
47	9	La4	A4	305	305	1	8	357	99	96	ri 	5.055555
48	9	Sol4	G4	296	296	1	8	357	95	96		5.180555
49	9	La4	A4	305	305	1	8	357	99	96	ya	5.305555
50	9	Si4b4	B4b4	310	310	1	16	179	99	96		5.368055
51	9	Do5#4	C5#4	322	322	1	16	179	95	96		5.430555
52	9	Si4b4	B4b4	310	310	1	8	357	99	96	nýk	5.555555
53	9	La4	A4	305	305	1	8	357	95	96		5.680555
54	9	La4	A4	305	305	1	4	714	95	96	lar  	5.930555
55	9			-1	-1	1	4	714	100	0		6.180555
56	51			0	0	18	8	0	127	28		6.180555
57	52			0	0	1	8	0	127	65		6.236111
58	9	La4	A4	305	305	1	4	625	95	96	Se	6.347222
59	9	Re5	D5	327	327	1	4	625	95	96	her	6.458333
60	9	Si4b4	B4b4	310	310	1	8	312	99	96	de 	6.513889
61	9	Re5	D5	327	327	1	8	312	95	96		6.569445
62	9	Do5#4	C5#4	322	322	3	8	937	99	96	u	6.736111
63	9	La4	A4	305	305	1	8	312	95	96		6.791667
64	9	Mi5	E5	336	336	1	8	312	99	96	ya	6.847222
65	9	Re5	D5	327	327	1	8	312	95	96		6.902778
66	9	Do5#4	C5#4	322	322	1	8	312	99	96	nýk	6.958333
67	9	Si4b4	B4b4	310	310	1	8	312	95	96		7.013889
68	9	La4	A4	305	305	3	8	937	99	96	lar  	7.180555
69	9	Sol4	G4	296	296	1	8	312	95	96		7.236111
70	9	La4	A4	305	305	1	4	625	95	96	Se	7.347222
71	9	Re5	D5	327	327	1	4	625	95	96	her	7.458333
72	9	Si4b4	B4b4	310	310	1	8	312	99	96	de 	7.513889
73	9	Re5	D5	327	327	1	8	312	95	96		7.569445
74	9	Do5#4	C5#4	322	322	3	8	937	99	96	u	7.736111
75	9	La4	A4	305	305	1	8	312	95	96		7.791667
76	9	Mi5	E5	336	336	1	8	312	99	96	ya	7.847222
77	9	Re5	D5	327	327	1	8	312	95	96		7.902778
78	9	Do5#4	C5#4	322	322	1	8	312	99	96	nýk	7.958333
79	9	Si4b4	B4b4	310	310	1	8	312	95	96		8.013889
80	9	La4	A4	305	305	3	8	937	99	96	lar  	8.180555
81	9	Sol4	G4	296	296	1	8	312	95	96		8.236111
82	51			0	0	8	8	0	17	0		8.236111
83	52			0	0	1	8	0	127	41		8.361111
84	9	Sol4	G4	296	296	1	4	714	95	96	Nak	8.611111
85	9	La4	A4	305	305	1	8	357	99	96	þî	8.736111
86	9	Si4b4	B4b4	310	310	1	8	357	95	96		8.861111
87	9	Do5#4	C5#4	322	322	1	8	357	99	96	ben	8.986111
88	9	Si4b4	B4b4	310	310	1	8	357	95	96		9.111111
89	9	La4	A4	305	305	1	8	357	99	96	dî	9.236111
90	9	Sol4	G4	296	296	1	8	357	95	96		9.361111
91	9	La4	A4	305	305	1	8	357	99	96	ler	9.486111
92	9	Si4b4	B4b4	310	310	1	16	179	99	96		9.548611
93	9	Do5#4	C5#4	322	322	1	16	179	95	96		9.611111
94	9	Si4b4	B4b4	310	310	1	8	357	99	96	dir 	9.736111
95	9	La4	A4	305	305	1	8	357	95	96		9.861111
96	9	La4	A4	305	305	1	4	714	95	96	bu  	10.11111
97	9			-1	-1	1	4	714	100	0		10.36111
98	9	Sol4	G4	296	296	1	4	714	95	96	Lâ	10.61111
99	9	La4	A4	305	305	1	8	357	99	96	i	10.73611
100	9	Si4b4	B4b4	310	310	1	8	357	95	96		10.86111
101	9	Do5#4	C5#4	322	322	1	8	357	99	96	lâ	10.98611
102	9	Si4b4	B4b4	310	310	1	8	357	95	96		11.11111
103	9	La4	A4	305	305	1	8	357	99	96	he 	11.23611
104	9	Sol4	G4	296	296	1	8	357	95	96		11.36111
105	9	La4	A4	305	305	1	8	357	99	96	il	11.48611
106	9	Si4b4	B4b4	310	310	1	16	179	99	96		11.54861
107	9	Do5#4	C5#4	322	322	1	16	179	95	96		11.61111
108	9	Si4b4	B4b4	310	310	1	8	357	99	96	lâ 	11.73611
109	9	La4	A4	305	305	1	8	357	95	96		11.86111
110	9	La4	A4	305	305	1	4	714	95	96	hû  	12.11111
111	9			-1	-1	1	4	714	100	0		12.36111
