Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	1053	95	96	ARANAÐME 	0.1666667
2	9	La5	A5	358	358	1	4	1053	95	96	.	0.3333333
3	9	La5	A5	358	358	3	16	789	95	96	.	0.4583333
4	9	Sol5#4	G5#4	353	353	1	16	263	95	96	.	0.5
5	9	Fa5#1	F5#1	341	341	1	16	263	95	96	.	0.5416667
6	9	Mi5	E5	336	336	1	16	263	95	96	.	0.5833333
7	9	Fa5#1	F5#1	341	341	1	16	263	95	96	.	0.625
8	9	Sol5#4	G5#4	353	353	1	16	263	95	96	.	0.6666667
9	9	La5	A5	358	358	1	2	2105	95	96	.	1
10	9			-1	-1	1	8	526	100	0	.	1.083333
11	9	Sol5#4	G5#4	353	353	1	16	263	95	96	.	1.125
12	9	La5	A5	358	358	1	16	263	95	96	.	1.166667
13	9	Si5	B5	367	367	1	8	526	95	96	.	1.25
14	9	Do6	C6	371	371	1	8	526	95	96	.	1.333333
15	9	Si5	B5	367	367	1	8	526	95	96	.	1.416667
16	9	La5	A5	358	358	1	16	263	95	96	.	1.458333
17	9	Si5	B5	367	367	1	16	263	95	96	.	1.5
18	9	La5	A5	358	358	1	8	526	95	96	.	1.583333
19	9	Sol5#4	G5#4	353	353	1	8	526	95	96	.	1.666667
20	9	La5	A5	358	358	1	16	263	95	96	.	1.708333
21	9	Sol5#4	G5#4	353	353	1	16	263	95	96	.	1.75
22	9	Fa5#1	F5#1	341	341	1	16	263	95	96	.	1.791667
23	9	Sol5#4	G5#4	353	353	1	16	263	95	96	.	1.833333
24	9	Fa5#1	F5#1	341	341	1	8	526	95	96	.	1.916667
25	9	Mi5	E5	336	336	1	8	526	95	96	.	2
26	9			-1	-1	1	8	526	100	0	.	2.083333
27	9	Mi5	E5	336	336	1	16	263	95	96	.	2.125
28	9	Fa5#4	F5#4	344	344	1	16	263	95	96	.	2.166667
29	9	Sol5	G5	349	349	1	8	526	95	96	.	2.25
30	9	La5	A5	358	358	1	8	526	95	96	.	2.333333
31	9	Sol5	G5	349	349	1	8	526	95	96	.	2.416667
32	9	Fa5	F5	340	340	1	8	526	95	96	.	2.5
33	9	Mi5	E5	336	336	1	8	526	95	96	.	2.583333
34	9	Re5	D5	327	327	1	8	526	95	96	.	2.666667
35	9	Do5#4	C5#4	322	322	1	16	263	95	96	.	2.708333
36	9	Re5	D5	327	327	1	16	263	95	96	.	2.75
37	9	Mi5	E5	336	336	1	16	263	95	96	.	2.791667
38	9	Fa5	F5	340	340	1	16	263	95	96	.	2.833333
39	9	Mi5	E5	336	336	1	16	263	95	96	.	2.875
40	9	Re5	D5	327	327	1	16	263	95	96	.	2.916667
41	9	Do5#4	C5#4	322	322	1	16	263	95	96	.	2.958333
42	9	Si4b4	B4b4	310	310	1	16	263	95	96	.	3
43	9	La4	A4	305	305	3	16	789	95	96	.	3.125
44	9	La5	A5	358	358	1	16	263	95	96	.	3.166667
45	9	Sol5	G5	349	349	1	16	263	95	96	.	3.208333
46	9	Fa5	F5	340	340	1	16	263	95	96	.	3.25
47	9	Mi5	E5	336	336	1	16	263	95	96	.	3.291667
48	9	Re5	D5	327	327	1	16	263	95	96	.	3.333333
49	9	Do5#4	C5#4	322	322	3	16	789	95	96	.	3.458333
50	9	Si4b4	B4b4	310	310	1	16	263	95	96	.	3.5
51	9	Do5#4	C5#4	322	322	1	16	263	95	96	.	3.541667
52	9	Si4b4	B4b4	310	310	1	16	263	95	96	.	3.583333
53	9	Si4b4	B4b4	310	310	1	16	263	95	96	.	3.625
54	9	La4	A4	305	305	1	16	263	95	96	.	3.666667
55	9	La4	A4	305	305	1	2	2105	95	96	.	4
56	52			0	0	1	4	0	57	0		4.166667
57	9	La4	A4	305	305	1	4	1053	95	96	ARANAÐME 	4.333333
58	9	La5	A5	358	358	1	4	1053	95	96	.	4.5
59	9	La5	A5	358	358	3	16	789	95	96	.	4.625
