Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	4	741	95	96		0.25
2	9	Fa5#4	F5#4	344	344	1	8	370	99	96		0.375
3	9	Sol5	G5	349	349	1	8	370	99	96		0.5
4	9	Sol5	G5	349	349	3	8	1111	99	96		0.875
5	9	Sol5	G5	349	349	1	16	185	99	96		0.9375
6	9	Fa5#4	F5#4	344	344	1	16	185	99	96		1
7	9	La5	A5	358	358	1	16	185	99	96		1.0625
8	9	Sol5	G5	349	349	1	16	185	99	96		1.125
9	9	Sol5	G5	349	349	1	16	185	99	96		1.1875
10	9	Fa5#4	F5#4	344	344	1	16	185	95	96		1.25
11	9	Sol5	G5	349	349	1	8	370	99	96		1.375
12	9	La5	A5	358	358	1	8	370	99	96		1.5
13	9	La5	A5	358	358	1	4	741	95	96		1.75
14	9	Sol5	G5	349	349	1	8	370	99	96		1.875
15	9	La5	A5	358	358	1	8	370	99	96		2
16	9	Sol5	G5	349	349	1	4	741	99	96		2.25
17	9	Fa5#4	F5#4	344	344	1	4	741	95	96		2.5
18	9	Sol5	G5	349	349	1	16	185	99	96		2.5625
19	9	Fa5#4	F5#4	344	344	1	16	185	99	96		2.625
20	9	Mi5b4	E5b4	332	332	1	16	185	99	96		2.6875
21	9	Fa5#4	F5#4	344	344	1	16	185	99	96		2.75
22	9	Mi5b4	E5b4	332	332	1	8	370	99	96		2.875
23	9	Fa5#4	F5#4	344	344	1	8	370	99	96		3
24	9	Sol5	G5	349	349	1	16	185	99	96		3.0625
25	9	Fa5#4	F5#4	344	344	1	16	185	99	96		3.125
26	9	Mi5b4	E5b4	332	332	1	16	185	99	96		3.1875
27	9	Re5	D5	327	327	1	16	185	99	96		3.25
28	9	Re5	D5	327	327	1	16	185	99	96		3.3125
29	9	Do5	C5	318	318	1	16	185	99	96		3.375
30	9	Do5	C5	318	318	1	16	185	99	96		3.4375
31	9	Si4b1	B4b1	313	313	1	16	185	99	96		3.5
32	9	Do5	C5	318	318	1	4	741	95	96		3.75
33	9	Re5	D5	327	327	1	8	370	99	96		3.875
34	9	Mi5b4	E5b4	332	332	1	8	370	99	96		4
35	9	Fa5#4	F5#4	344	344	1	4	741	99	96		4.25
36	9	Sol5	G5	349	349	1	4	741	95	96		4.5
37	9			-1	-1	1	8	370	100	0		4.625
38	9	La5	A5	358	358	1	4	741	95	96		4.875
