Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	4	1000	99	96		0.125
2	9	Fa5#4	F5#4	344	344	1	8	500	99	96		0.1875
3	9	La5b4	A5b4	354	354	1	8	500	99	96		0.25
4	9	La5b4	A5b4	354	354	1	16	250	99	96		0.28125
5	9	Sol5	G5	349	349	1	16	250	99	96		0.3125
6	9	Sol5	G5	349	349	1	16	250	99	96		0.34375
7	9	Fa5#4	F5#4	344	344	1	16	250	99	96		0.375
8	9	Sol5	G5	349	349	1	4	1000	95	96		0.5
9	9	Mi5b4	E5b4	332	332	3	16	750	99	96		0.59375
10	9	Re5	D5	327	327	1	16	250	99	96		0.625
11	9	Do5	C5	318	318	1	8	500	99	96		0.6875
12	9	Re5	D5	327	327	1	8	500	99	96		0.75
13	9	Mi5b4	E5b4	332	332	1	8	500	99	96		0.8125
14	8	Fa5#4	F5#4	344	344	1	8	500	99	96		0.875
15	9	Mi5b4	E5b4	332	332	1	16	250	99	96		0.90625
16	9	Re5	D5	327	327	1	16	250	95	96		0.9375
17	9	Re5	D5	327	327	1	16	250	99	96		0.96875
18	9	Do5	C5	318	318	1	16	250	95	96		1
19	9	Do5	C5	318	318	1	16	250	99	96		1.03125
20	9	Si4b1	B4b1	313	313	1	16	250	99	96		1.0625
21	9	Do5	C5	318	318	1	4	1000	95	96		1.1875
22	9	Fa5	F5	340	340	1	16	250	99	96		1.21875
23	9	Sol5	G5	349	349	1	16	250	99	96		1.25
24	9	Fa5	F5	340	340	1	16	250	99	96		1.28125
25	9	Mi5	E5	336	336	1	16	250	99	96		1.3125
26	9	Fa5	F5	340	340	1	4	1000	99	96		1.4375
27	9	Sol5	G5	349	349	1	16	250	99	96		1.46875
28	9	Fa5	F5	340	340	1	16	250	99	96		1.5
29	9	Sol5	G5	349	349	1	8	500	95	96		1.5625
30	9	Mi5b5	E5b5	331	331	3	16	750	99	96		1.65625
31	9	Re5	D5	327	327	1	16	250	99	96		1.6875
32	9	Do5	C5	318	318	1	16	250	99	96		1.71875
33	9	Fa5#4	F5#4	344	344	1	16	250	99	96		1.75
34	9	Mi5b5	E5b5	331	331	1	16	250	99	96		1.78125
35	9	Re5	D5	327	327	1	16	250	99	96		1.8125
36	9	Re5	D5	327	327	1	2	2000	99	96		2.0625
37	9	Re5	D5	327	327	1	16	250	99	96		2.09375
38	9	Fa5#4	F5#4	344	344	1	16	250	99	96		2.125
39	9	Mi5b4	E5b4	332	332	1	16	250	99	96		2.15625
40	9	Re5	D5	327	327	1	16	250	99	96		2.1875
41	9	Re5	D5	327	327	1	16	250	99	96		2.21875
42	9	Do5	C5	318	318	1	16	250	99	96		2.25
43	9	Do5	C5	318	318	1	16	250	99	96		2.28125
44	9	Si4b1	B4b1	313	313	1	16	250	99	96		2.3125
45	9	Do5	C5	318	318	1	4	1000	99	96		2.4375
46	9	Re5	D5	327	327	1	16	250	99	96		2.46875
47	9	Do5	C5	318	318	1	16	250	99	96		2.5
48	9	Re5	D5	327	327	1	8	500	95	96		2.5625
49	9			-1	-1	1	8	500	100	0		2.625
50	9	Mi5b4	E5b4	332	332	1	4	1000	99	96		2.75
51	9	Sol5	G5	349	349	1	8	500	99	96		2.8125
52	9	Fa5#4	F5#4	344	344	1	8	500	99	96		2.875
53	9	Sol5	G5	349	349	1	8	500	95	96		2.9375
54	9	La5b4	A5b4	354	354	1	8	500	95	96		3
55	8	Si5b1	B5b1	366	366	1	8	500	95	96		3.0625
56	9	La5b4	A5b4	354	354	1	16	250	99	96		3.09375
57	9	Sol5	G5	349	349	1	16	250	95	96		3.125
58	9	Fa5#4	F5#4	344	344	1	8	500	99	96		3.1875
59	9	Sol5	G5	349	349	3	8	1500	99	96		3.375
60	9	Re5	D5	327	327	1	16	250	99	96		3.40625
61	9	Mi5b4	E5b4	332	332	1	16	250	99	96		3.4375
62	9	Fa5#4	F5#4	344	344	1	4	1000	99	96		3.5625
63	9	Mi5b4	E5b4	332	332	1	16	250	99	96		3.59375
64	9	Re5	D5	327	327	1	16	250	99	96		3.625
65	9	Do5	C5	318	318	1	16	250	99	96		3.65625
66	9	Re5	D5	327	327	1	16	250	99	96		3.6875
67	9	Mi5b4	E5b4	332	332	1	4	1000	99	96		3.8125
68	9	Re5	D5	327	327	1	16	250	99	96		3.84375
69	9	Do5	C5	318	318	1	16	250	99	96		3.875
70	9	Re5	D5	327	327	1	16	250	99	96		3.90625
71	9	Do5	C5	318	318	1	16	250	99	96		3.9375
72	9	Si4b1	B4b1	313	313	1	16	250	99	96		3.96875
73	9	La4b4	A4b4	301	301	1	16	250	99	96		4
74	9	Sol4	G4	296	296	1	4	1000	95	96		4.125
75	9	Sol5	G5	349	349	1	4	1000	99	96		4.25
76	9	Fa5#4	F5#4	344	344	1	8	500	99	96		4.3125
77	9	La5b4	A5b4	354	354	1	8	500	99	96		4.375
78	9	La5b4	A5b4	354	354	1	16	250	99	96		4.40625
79	9	Sol5	G5	349	349	1	16	250	99	96		4.4375
80	9	Sol5	G5	349	349	1	16	250	99	96		4.46875
81	9	Fa5#4	F5#4	344	344	1	16	250	99	96		4.5
82	9	Sol5	G5	349	349	1	4	1000	95	96		4.625
83	9	Sol5	G5	349	349	3	16	750	99	96		4.71875
84	9	Fa5	F5	340	340	1	16	250	99	96		4.75
85	9	Mi5b4	E5b4	332	332	1	8	500	99	96		4.8125
86	9	Sol5	G5	349	349	1	8	500	99	96		4.875
87	9	Fa5	F5	340	340	1	8	500	99	96		4.9375
88	9	Sol5	G5	349	349	1	8	500	99	96		5
89	9	Fa5	F5	340	340	1	8	500	95	96		5.0625
90	9	Mi5b4	E5b4	332	332	1	8	500	95	96		5.125
91	9	La5b4	A5b4	354	354	1	16	250	99	96		5.15625
92	9	Sol5	G5	349	349	1	16	250	99	96		5.1875
93	9	Fa5#4	F5#4	344	344	1	16	250	99	96		5.21875
94	9	Mi5b4	E5b4	332	332	1	16	250	99	96		5.25
95	9	Re5	D5	327	327	1	8	500	99	96		5.3125
96	9	Mi5b4	E5b4	332	332	1	8	500	99	96		5.375
97	9	Re5	D5	327	327	1	8	500	99	96		5.4375
98	9	Mi5b4	E5b4	332	332	1	8	500	99	96		5.5
99	9	Re5	D5	327	327	1	8	500	99	96		5.5625
100	9	Mi5b4	E5b4	332	332	1	8	500	99	96		5.625
101	9	Fa5#4	F5#4	344	344	1	16	250	99	96		5.65625
102	9	Sol5	G5	349	349	1	16	250	99	96		5.6875
103	9	La5b4	A5b4	354	354	1	4	1000	99	96		5.8125
104	9	Sol5	G5	349	349	1	16	250	99	96		5.84375
105	9	Fa5#4	F5#4	344	344	1	16	250	99	96		5.875
106	9	Fa5#4	F5#4	344	344	1	16	250	99	96		5.90625
107	9	Mi5b4	E5b4	332	332	1	16	250	99	96		5.9375
108	9	Mi5b4	E5b4	332	332	1	16	250	99	96		5.96875
109	9	Re5	D5	327	327	1	16	250	99	96		6
