Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi4	E4	283	283	1	8	400	95	96		0.125
2	9	Sol4	G4	296	296	1	8	400	95	96		0.25
3	9	Si4b2	B4b1	312	313	1	8	400	95	96		0.375
4	9	Mi5	E5	336	336	1	8	400	95	96		0.5
5	9	Mi5	E5	336	336	1	8	400	95	96		0.625
6	9	Si5b2	B5b1	365	366	3	8	1200	95	96		1
7	9	La5	A5	358	358	3	16	600	95	96		1.1875
8	9	Sol5	G5	349	349	1	16	200	95	96		1.25
9	9	La5	A5	358	358	1	16	200	95	96		1.3125
10	9	Sol5	G5	349	349	1	16	200	95	96		1.375
11	9	La5	A5	358	358	1	16	200	95	96		1.4375
12	9	Si5b2	B5b1	365	366	1	16	200	95	96		1.5
13	9	Sol5	G5	349	349	1	4	800	95	96		1.75
14	9	Fa5#3	F5#4	343	344	1	4	800	95	96		2
15	9	Sol5	G5	349	349	1	16	200	95	96		2.0625
16	9	La5	A5	358	358	1	16	200	95	96		2.125
17	9	Si5b2	B5b1	365	366	1	16	200	95	96		2.1875
18	9	La5	A5	358	358	1	16	200	95	96		2.25
19	9	Sol5	G5	349	349	1	8	400	95	96		2.375
20	9	Fa5#3	F5#4	343	344	1	8	400	95	96		2.5
21	9	Sol5	G5	349	349	1	16	200	95	96		2.5625
22	9	La5	A5	358	358	1	16	200	95	96		2.625
23	9	Si5b2	B5b1	365	366	1	16	200	95	96		2.6875
24	9	La5	A5	358	358	1	16	200	95	96		2.75
25	9	Sol5	G5	349	349	1	8	400	95	96		2.875
26	9	Fa5#3	F5#4	343	344	1	8	400	95	96		3
27	9	Sol5	G5	349	349	1	8	400	95	96		3.125
28	9	La5	A5	358	358	1	16	200	95	96		3.1875
29	9	Si5b2	B5b1	365	366	1	16	200	95	96		3.25
30	9	Sol5	G5	349	349	1	8	400	95	96		3.375
31	9	Fa5#3	F5#4	343	344	1	8	400	95	96		3.5
32	9	Mi5	E5	336	336	1	4	800	95	96		3.75
33	9			-1	-1	1	4	800	100	0		4
34	9	Re5	D5	327	327	1	8	400	95	96		4.125
35	9	Mi5	E5	336	336	1	8	400	95	96		4.25
36	9	Mi5	E5	336	336	1	16	200	95	96		4.3125
37	9	Re5	D5	327	327	1	16	200	95	96		4.375
38	9	Mi5	E5	336	336	1	8	400	95	96		4.5
39	9	Mi5	E5	336	336	1	16	200	95	96		4.5625
40	9	Re5	D5	327	327	1	16	200	95	96		4.625
41	9	Mi5	E5	336	336	1	8	400	95	96		4.75
42	9	Fa5#3	F5#4	343	344	1	8	400	95	96		4.875
43	9	Sol5	G5	349	349	1	8	400	95	96		5
44	9	La5	A5	358	358	1	16	200	95	96		5.0625
45	9	Sol5	G5	349	349	1	16	200	95	96		5.125
46	9	La5	A5	358	358	1	16	200	95	96		5.1875
47	9	Si5b2	B5b1	365	366	1	16	200	95	96		5.25
48	9	Sol5	G5	349	349	1	8	400	95	96		5.375
49	9	Si5b2	B5b1	365	366	1	8	400	95	96		5.5
50	9	La5	A5	358	358	3	8	1200	95	96		5.875
51	9	Fa5#3	F5#4	343	344	1	8	400	95	96		6
52	9	Sol5	G5	349	349	1	16	200	95	96		6.0625
53	9	La5	A5	358	358	1	16	200	95	96		6.125
54	9	Si5b2	B5b1	365	366	1	16	200	95	96		6.1875
55	9	La5	A5	358	358	1	16	200	95	96		6.25
56	9	Sol5	G5	349	349	1	16	200	95	96		6.3125
57	9	La5	A5	358	358	1	16	200	95	96		6.375
58	9	Si5b2	B5b1	365	366	1	16	200	95	96		6.4375
59	9	La5	A5	358	358	1	16	200	95	96		6.5
60	9	Sol5	G5	349	349	1	16	200	95	96		6.5625
61	9	La5	A5	358	358	1	16	200	95	96		6.625
62	9	Si5b2	B5b1	365	366	1	16	200	95	96		6.6875
63	9	La5	A5	358	358	1	16	200	95	96		6.75
64	9	Sol5	G5	349	349	1	16	200	95	96		6.8125
65	9	La5	A5	358	358	1	16	200	95	96		6.875
66	9	Si5b2	B5b1	365	366	1	16	200	95	96		6.9375
67	9	La5	A5	358	358	1	16	200	95	96		7
68	9	Sol5	G5	349	349	1	8	400	95	96		7.125
69	9	La5	A5	358	358	1	16	200	95	96		7.1875
70	9	Si5b2	B5b1	365	366	1	16	200	95	96		7.25
71	9	Sol5	G5	349	349	1	8	400	95	96		7.375
72	9	Fa5#3	F5#4	343	344	1	8	400	95	96		7.5
73	9	Mi5	E5	336	336	1	4	800	95	96		7.75
74	9			-1	-1	1	4	800	100	0		8
75	9	Sol5	G5	349	349	1	16	200	95	96		8.0625
76	9	La5	A5	358	358	1	16	200	95	96		8.125
77	9	Si5b2	B5b1	365	366	1	16	200	95	96		8.1875
78	9	La5	A5	358	358	1	16	200	95	96		8.25
79	9	Sol5	G5	349	349	1	16	200	95	96		8.3125
80	9	La5	A5	358	358	1	16	200	95	96		8.375
81	9	Si5b2	B5b1	365	366	1	16	200	95	96		8.4375
82	9	La5	A5	358	358	1	16	200	95	96		8.5
83	9	Sol5	G5	349	349	1	16	200	95	96		8.5625
84	9	La5	A5	358	358	1	16	200	95	96		8.625
85	9	Si5b2	B5b1	365	366	1	16	200	95	96		8.6875
86	9	La5	A5	358	358	1	16	200	95	96		8.75
87	9	Sol5	G5	349	349	1	16	200	95	96		8.8125
88	9	La5	A5	358	358	1	16	200	95	96		8.875
89	9	Si5b2	B5b1	365	366	1	16	200	95	96		8.9375
90	9	La5	A5	358	358	1	16	200	95	96		9
91	9	Sol5	G5	349	349	1	8	400	95	96		9.125
92	9	La5	A5	358	358	1	16	200	95	96		9.1875
93	9	Si5b2	B5b1	365	366	1	16	200	95	96		9.25
94	9	Sol5	G5	349	349	1	8	400	95	96		9.375
95	9	Fa5#3	F5#4	343	344	1	8	400	95	96		9.5
96	9	Mi5	E5	336	336	1	4	800	95	96		9.75
97	9			-1	-1	1	4	800	100	0		10
98	9	Re5	D5	327	327	1	8	400	95	96		10.125
99	9	Mi5	E5	336	336	3	8	1200	95	96		10.5
100	9	La5	A5	358	358	1	8	400	95	96		10.625
101	9	Mi5	E5	336	336	3	8	1200	95	96		11
102	9	Re5	D5	327	327	1	8	400	95	96		11.125
103	9	Mi5	E5	336	336	3	8	1200	95	96		11.5
104	9	La5	A5	358	358	1	8	400	95	96		11.625
105	9	Mi5	E5	336	336	3	8	1200	95	96		12
106	9	Re5	D5	327	327	1	8	400	95	96		12.125
107	9	Mi5	E5	336	336	3	8	1200	95	96		12.5
108	9	La5	A5	358	358	1	8	400	95	96		12.625
109	9	Mi5	E5	336	336	3	8	1200	95	96		13
110	9	Mi5	E5	336	336	3	16	600	95	96		13.1875
111	9	Re5	D5	327	327	1	16	200	95	96		13.25
112	9	Si5b2	B5b1	365	366	1	16	200	95	96		13.3125
113	9	La5	A5	358	358	1	16	200	95	96		13.375
114	9	Sol5	G5	349	349	1	16	200	95	96		13.4375
115	9	Si5b2	B5b1	365	366	1	16	200	95	96		13.5
116	9	La5	A5	358	358	1	8	400	95	96		13.625
117	9	La5	A5	358	358	3	8	1200	95	96		14
118	9	Sol5	G5	349	349	3	16	600	95	96		14.1875
119	9	Si5b2	B5b1	365	366	1	16	200	95	96		14.25
120	9	La5	A5	358	358	1	8	400	95	96		14.375
121	9	Si5b2	B5b1	365	366	1	8	400	95	96		14.5
122	9	Sol5	G5	349	349	3	16	600	95	96		14.6875
123	9	Si5b2	B5b1	365	366	1	16	200	95	96		14.75
124	9	La5	A5	358	358	1	8	400	95	96		14.875
125	9	Si5b2	B5b1	365	366	1	8	400	95	96		15
126	9	Sol5	G5	349	349	1	8	400	95	96		15.125
127	9	La5	A5	358	358	1	16	200	95	96		15.1875
128	9	Si5b2	B5b1	365	366	1	16	200	95	96		15.25
129	9	Sol5	G5	349	349	1	8	400	95	96		15.375
130	9	Fa5#3	F5#4	343	344	1	8	400	95	96		15.5
131	9	Mi5	E5	336	336	1	4	800	95	96		15.75
132	9			-1	-1	1	4	800	100	0		16
133	9	Sol5	G5	349	349	3	16	600	95	96		16.1875
134	9	Si5b2	B5b1	365	366	1	16	200	95	96		16.25
135	9	La5	A5	358	358	1	8	400	95	96		16.375
136	9	Si5b2	B5b1	365	366	1	8	400	95	96		16.5
137	9	Sol5	G5	349	349	3	16	600	95	96		16.6875
138	9	Si5b2	B5b1	365	366	1	16	200	95	96		16.75
139	9	La5	A5	358	358	1	8	400	95	96		16.875
140	9	Si5b2	B5b1	365	366	1	8	400	95	96		17
141	9	Sol5	G5	349	349	1	8	400	95	96		17.125
142	9	La5	A5	358	358	1	16	200	95	96		17.1875
143	9	Si5b2	B5b1	365	366	1	16	200	95	96		17.25
144	9	Sol5	G5	349	349	1	8	400	95	96		17.375
145	9	Fa5#3	F5#4	343	344	1	8	400	95	96		17.5
146	9	Mi5	E5	336	336	1	4	800	95	96		17.75
147	9			-1	-1	1	4	800	100	0		18
148	9	La5	A5	358	358	1	8	400	95	96		18.125
149	9	Mi5	E5	336	336	3	8	1200	95	96		18.5
150	9	Mi5	E5	336	336	1	2	1600	95	96		19
151	9	La5	A5	358	358	1	8	400	95	96		19.125
152	9	Mi5	E5	336	336	3	8	1200	95	96		19.5
153	9	Mi5	E5	336	336	1	2	1600	95	96		20
154	9	La5	A5	358	358	1	8	400	95	96		20.125
155	9	Mi5	E5	336	336	3	8	1200	95	96		20.5
156	9	Mi5	E5	336	336	1	2	1600	95	96		21
157	9	Re5	D5	327	327	1	16	200	95	96		21.0625
158	9	Mi5	E5	336	336	1	16	200	95	96		21.125
159	9	Re5	D5	327	327	1	16	200	95	96		21.1875
160	9	Mi5	E5	336	336	1	16	200	95	96		21.25
161	9	Fa5#3	F5#4	343	344	1	8	400	95	96		21.375
162	9	Sol5	G5	349	349	1	8	400	95	96		21.5
163	9	La5	A5	358	358	3	16	600	95	96		21.6875
164	9	Sol5	G5	349	349	1	16	200	95	96		21.75
165	9	Si5b2	B5b1	365	366	1	8	400	95	96		21.875
166	9	La5	A5	358	358	1	8	400	95	96		22
167	9	La5	A5	358	358	3	16	600	95	96		22.1875
168	9	Sol5	G5	349	349	1	16	200	95	96		22.25
169	9	Si5b2	B5b1	365	366	1	8	400	95	96		22.375
170	9	La5	A5	358	358	1	8	400	95	96		22.5
171	9	La5	A5	358	358	3	8	1200	95	96		22.875
172	9	Mi6	E6	389	389	1	8	400	95	96		23
173	9	Re6	D6	380	380	3	16	600	95	96		23.1875
174	9	Do6	C6	371	371	1	16	200	95	96		23.25
175	9	Si5b2	B5b1	365	366	1	16	200	95	96		23.3125
176	9	Do6	C6	371	371	1	16	200	95	96		23.375
177	9	Re6	D6	380	380	1	8	400	95	96		23.5
178	9	Si5b2	B5b1	365	366	3	16	600	95	96		23.6875
179	9	La5	A5	358	358	1	16	200	95	96		23.75
180	9	Sol5	G5	349	349	1	16	200	95	96		23.8125
181	9	La5	A5	358	358	1	16	200	95	96		23.875
182	9	Si5b2	B5b1	365	366	1	8	400	95	96		24
183	9	Sol5	G5	349	349	3	16	600	95	96		24.1875
184	9	Fa5#3	F5#4	343	344	1	16	200	95	96		24.25
185	9	Mi5	E5	336	336	1	16	200	95	96		24.3125
186	9	Fa5#3	F5#4	343	344	1	16	200	95	96		24.375
187	9	La5	A5	358	358	1	8	400	95	96		24.5
188	9	Mi5	E5	336	336	1	4	800	95	96		24.75
189	9			-1	-1	1	4	800	100	0		25
190	9	Re5	D5	327	327	1	16	200	95	96		25.0625
191	9	Mi5	E5	336	336	1	16	200	95	96		25.125
192	9	Re5	D5	327	327	1	16	200	95	96		25.1875
193	9	Mi5	E5	336	336	1	16	200	95	96		25.25
194	9	Fa5#3	F5#4	343	344	1	8	400	95	96		25.375
195	9	Sol5	G5	349	349	1	8	400	95	96		25.5
196	9	La5	A5	358	358	3	16	600	95	96		25.6875
197	9	Sol5	G5	349	349	1	16	200	95	96		25.75
198	9	Si5b2	B5b1	365	366	1	8	400	95	96		25.875
199	9	La5	A5	358	358	1	8	400	95	96		26
200	9	La5	A5	358	358	3	16	600	95	96		26.1875
201	9	Sol5	G5	349	349	1	16	200	95	96		26.25
202	9	Si5b2	B5b1	365	366	1	8	400	95	96		26.375
203	9	La5	A5	358	358	1	8	400	95	96		26.5
204	9	La5	A5	358	358	3	8	1200	95	96		26.875
205	9	Mi6	E6	389	389	1	8	400	95	96		27
206	9	Re6	D6	380	380	3	16	600	95	96		27.1875
207	9	Do6	C6	371	371	1	16	200	95	96		27.25
208	9	Si5b2	B5b1	365	366	1	16	200	95	96		27.3125
209	9	Do6	C6	371	371	1	16	200	95	96		27.375
210	9	Re6	D6	380	380	1	8	400	95	96		27.5
211	9	Si5b2	B5b1	365	366	3	16	600	95	96		27.6875
212	9	La5	A5	358	358	1	16	200	95	96		27.75
213	9	Sol5	G5	349	349	1	16	200	95	96		27.8125
214	9	La5	A5	358	358	1	16	200	95	96		27.875
215	9	Si5b2	B5b1	365	366	1	8	400	95	96		28
216	9	Sol5	G5	349	349	3	16	600	95	96		28.1875
217	9	Fa5#3	F5#4	343	344	1	16	200	95	96		28.25
218	9	Mi5	E5	336	336	1	16	200	95	96		28.3125
219	9	Fa5#3	F5#4	343	344	1	16	200	95	96		28.375
220	9	La5	A5	358	358	1	8	400	95	96		28.5
221	9	Mi5	E5	336	336	1	4	800	95	96		28.75
222	9			-1	-1	1	4	800	100	0		29
223	9	Re5	D5	327	327	3	16	600	95	96		29.1875
224	9	La5	A5	358	358	1	16	200	95	96		29.25
225	9	Sol5	G5	349	349	1	8	400	95	96		29.375
226	9	La5	A5	358	358	1	8	400	95	96		29.5
227	9	Sol5	G5	349	349	1	8	400	95	96		29.625
228	9	La5	A5	358	358	3	8	1200	95	96		30
229	9	Sol5	G5	349	349	1	16	200	95	96		30.0625
230	9	Si5b2	B5b1	365	366	1	16	200	95	96		30.125
231	9	La5	A5	358	358	1	8	400	95	96		30.25
232	9	Sol5	G5	349	349	1	16	200	95	96		30.3125
233	9	Si5b2	B5b1	365	366	1	16	200	95	96		30.375
234	9	La5	A5	358	358	1	8	400	95	96		30.5
235	9	Sol5	G5	349	349	1	16	200	95	96		30.5625
236	9	Si5b2	B5b1	365	366	1	16	200	95	96		30.625
237	9	La5	A5	358	358	3	8	1200	95	96		31
238	9	Sol5	G5	349	349	1	16	200	95	96		31.0625
239	9	Si5b2	B5b1	365	366	1	16	200	95	96		31.125
240	9	La5	A5	358	358	1	8	400	95	96		31.25
241	9	Sol5	G5	349	349	1	16	200	95	96		31.3125
242	9	Si5b2	B5b1	365	366	1	16	200	95	96		31.375
243	9	La5	A5	358	358	1	8	400	95	96		31.5
244	9	Sol5	G5	349	349	1	16	200	95	96		31.5625
245	9	Si5b2	B5b1	365	366	1	16	200	95	96		31.625
246	9	La5	A5	358	358	3	8	1200	95	96		32
247	9	Sol5	G5	349	349	1	16	200	95	96		32.0625
248	9	Si5b2	B5b1	365	366	1	16	200	95	96		32.125
249	9	La5	A5	358	358	1	8	400	95	96		32.25
250	9	Sol5	G5	349	349	1	16	200	95	96		32.3125
251	9	Si5b2	B5b1	365	366	1	16	200	95	96		32.375
252	9	La5	A5	358	358	1	8	400	95	96		32.5
253	9	Sol5	G5	349	349	1	16	200	95	96		32.5625
254	9	Si5b2	B5b1	365	366	1	16	200	95	96		32.625
255	9	La5	A5	358	358	3	8	1200	95	96		33
256	9	La5	A5	358	358	1	8	400	95	96		33.125
257	9	Re6	D6	380	380	1	16	200	95	96		33.1875
258	9	Do6	C6	371	371	1	16	200	95	96		33.25
259	9	Si5b2	B5b1	365	366	1	8	400	95	96		33.375
260	9	La5	A5	358	358	1	8	400	95	96		33.5
261	9	La5	A5	358	358	1	8	400	95	96		33.625
262	9	Sol5	G5	349	349	1	4	800	95	96		33.875
263	9	Fa5#3	F5#4	343	344	1	8	400	95	96		34
264	9	Sol5	G5	349	349	1	8	400	95	96		34.125
265	9	La5	A5	358	358	1	16	200	95	96		34.1875
266	9	Si5b2	B5b1	365	366	1	16	200	95	96		34.25
267	9	Sol5	G5	349	349	1	8	400	95	96		34.375
268	9	Fa5#3	F5#4	343	344	1	8	400	95	96		34.5
269	9	Mi5	E5	336	336	1	8	400	95	96		34.625
270	9	La5	A5	358	358	3	8	1200	95	96		35
271	9	La5	A5	358	358	1	8	400	95	96		35.125
272	9	Re6	D6	380	380	1	16	200	95	96		35.1875
273	9	Do6	C6	371	371	1	16	200	95	96		35.25
274	9	Si5b2	B5b1	365	366	1	8	400	95	96		35.375
275	9	La5	A5	358	358	1	8	400	95	96		35.5
276	9	La5	A5	358	358	1	8	400	95	96		35.625
277	9	Sol5	G5	349	349	1	4	800	95	96		35.875
