Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi5	E5	336	336	3	16	625	95	96		0.1875
2	9	Mi5	E5	336	336	1	16	208	95	96		0.25
3	9	Mi5	E5	336	336	1	8	417	95	96		0.375
4	9	Mi5	E5	336	336	1	8	417	95	96		0.5
5	9	Mi5	E5	336	336	3	16	625	95	96		0.6875
6	9	Re5	D5	327	327	1	16	208	95	96		0.75
7	9	La5	A5	358	358	1	16	208	95	96		0.8125
8	9	Sol5	G5	349	349	1	16	208	95	96		0.875
9	9	La5	A5	358	358	1	8	417	95	96		1
10	9	Mi5	E5	336	336	3	16	625	95	96		1.1875
11	9	Re5	D5	327	327	1	16	208	95	96		1.25
12	9	La5	A5	358	358	1	16	208	95	96		1.3125
13	9	Sol5	G5	349	349	1	16	208	95	96		1.375
14	9	La5	A5	358	358	1	16	208	95	96		1.4375
15	9	Si5b5	B5b5	362	362	1	16	208	95	96		1.5
16	9	La5	A5	358	358	3	8	1250	95	96		1.875
17	9	Sol5	G5	349	349	1	16	208	95	96		1.9375
18	9	La5	A5	358	358	1	16	208	95	96		2
19	9	La5	A5	358	358	3	16	625	95	96		2.1875
20	9	Si5b5	B5b5	362	362	1	16	208	95	96		2.25
21	9	Sol5	G5	349	349	1	4	833	95	96		2.5
22	9	Fa5#3	F5#4	343	344	1	4	833	95	96		2.75
23	9	Sol5	G5	349	349	1	16	208	95	96		2.8125
24	9	La5	A5	358	358	1	16	208	95	96		2.875
25	9	Si5b5	B5b5	362	362	1	16	208	95	96		2.9375
26	9	La5	A5	358	358	1	16	208	95	96		3
27	9	Sol5	G5	349	349	3	16	625	95	96		3.1875
28	9	La5	A5	358	358	1	16	208	95	96		3.25
29	9	Fa5#3	F5#4	343	344	1	4	833	95	96		3.5
30	9	Mi5	E5	336	336	1	4	833	95	96		3.75
31	9	La5	A5	358	358	1	16	208	95	96		3.8125
32	9	Sol5	G5	349	349	1	16	208	95	96		3.875
33	9	La5	A5	358	358	1	16	208	95	96		3.9375
34	9	Si5b5	B5b5	362	362	1	16	208	95	96		4
35	9	Sol5	G5	349	349	3	16	625	95	96		4.1875
36	9	La5	A5	358	358	1	16	208	95	96		4.25
37	9	Fa5#3	F5#4	343	344	1	4	833	95	96		4.5
38	9	Mi5	E5	336	336	3	16	625	95	96		4.6875
39	9	Re5	D5	327	327	1	16	208	95	96		4.75
40	9	La5	A5	358	358	1	16	208	95	96		4.8125
41	9	Sol5	G5	349	349	1	16	208	95	96		4.875
42	9	La5	A5	358	358	1	16	208	95	96		4.9375
43	9	Si5b5	B5b5	362	362	1	16	208	95	96		5
44	9	Sol5	G5	349	349	3	16	625	95	96		5.1875
45	9	La5	A5	358	358	1	16	208	95	96		5.25
46	9	Fa5#3	F5#4	343	344	1	8	417	95	96		5.375
47	9	Mi5	E5	336	336	1	16	208	95	96		5.4375
48	9	Re5	D5	327	327	1	16	208	95	96		5.5
49	9	Mi5	E5	336	336	1	4	833	95	96		5.75
50	9			-1	-1	1	4	833	100	0		6
51	9	Mi5	E5	336	336	3	16	625	95	96		6.1875
52	9	Mi5	E5	336	336	1	16	208	95	96		6.25
53	9	Mi5	E5	336	336	1	8	417	95	96		6.375
54	9	Mi5	E5	336	336	1	8	417	95	96		6.5
55	9	Mi5	E5	336	336	3	16	625	95	96		6.6875
56	9	Re5	D5	327	327	1	16	208	95	96		6.75
57	9	La5	A5	358	358	1	16	208	95	96		6.8125
58	9	Sol5	G5	349	349	1	16	208	95	96		6.875
