Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	4	714	100	0		0.2
2	9	Si5b5	B5b5	362	362	1	8	357	95	96	Bu 	0.3
3	9	La5b5	A5b5	353	353	1	8	357	99	96	ak	0.4
4	9	Sol5	G5	349	349	1	8	357	95	96		0.5
5	9	La5b5	A5b5	353	353	1	8	357	99	96	þam 	0.6
6	9	Sol5	G5	349	349	1	16	179	99	96		0.65
7	9	Fa5	F5	340	340	1	16	179	99	96		0.7
8	9	Sol5	G5	349	349	3	8	1071	95	96		1
9	9			-1	-1	1	4	714	100	0		1.2
10	9	Sol5	G5	349	349	1	8	357	95	96	bü	1.3
11	9	Do6	C6	371	371	1	4	714	95	96	tün 	1.5
12	9	Si5b5	B5b5	362	362	1	8	357	99	96	mey	1.6
13	9	La5b5	A5b5	353	353	1	8	357	95	96		1.7
14	9	Sol5	G5	349	349	1	4	714	99	96	ha	1.9
15	9	Fa5	F5	340	340	1	8	357	95	96		2
16	9	Fa5	F5	340	340	1	8	357	99	96	ne	2.1
17	9	Sol5	G5	349	349	1	8	357	95	96		2.2
18	9	La5b5	A5b5	353	353	1	8	357	99	96	le	2.3
19	9	Sol5	G5	349	349	1	8	357	99	96		2.4
20	9	Fa5	F5	340	340	1	8	357	95	96		2.5
21	9	Mi5b5	E5b5	331	331	1	8	357	99	96	ri	2.6
22	9	Fa5	F5	340	340	1	8	357	95	96		2.7
23	9	Sol5	G5	349	349	3	8	1071	99	96	ni 	3
24	9	Sol5	G5	349	349	1	8	357	99	96		3.1
25	9	Re5	D5	327	327	1	8	357	95	96		3.2
26	9	Re5	D5	327	327	1	8	357	95	96	do	3.3
27	9	Re5	D5	327	327	1	4	714	95	96	laþ	3.5
28	9	Mi5b5	E5b5	331	331	1	8	357	99	96	tým 	3.6
29	9	Re5	D5	327	327	1	16	179	99	96		3.65
30	9	Do5	C5	318	318	1	16	179	99	96		3.7
31	9	Si4b5	B4b5	309	309	1	8	357	99	96		3.8
32	9	Do5	C5	318	318	1	8	357	99	96		3.9
33	9	Re5	D5	327	327	1	8	357	99	96		4
34	9	Mi5b5	E5b5	331	331	1	4	714	99	96		4.2
35	9	Re5	D5	327	327	1	8	357	99	96		4.3
36	9	Do5	C5	318	318	1	8	357	99	96		4.4
37	9	Si4b5	B4b5	309	309	1	8	357	99	96		4.5
38	9	La4b5	A4b5	300	300	1	8	357	99	96		4.6
39	9	Si4b5	B4b5	309	309	1	8	357	99	96		4.7
40	9	Sol4	G4	296	296	3	8	1071	95	96		5
41	9	Sol5	G5	349	349	3	8	1071	95	96	Ýs	5.3
42	9	Sol5	G5	349	349	1	4	714	95	96	tan	5.5
43	9	Mi5b5	E5b5	331	331	1	4	714	95	96	bul_	5.7
44	9	Sol5	G5	349	349	3	8	1071	95	96	un  	6
45	9	Do6	C6	371	371	5	4	3570	95	96	SAZ	7
46	9	Si5b5	B5b5	362	362	1	16	179	95	96	.	7.05
47	9	Do6	C6	371	371	1	16	179	95	96	.	7.1
48	9	Si5b5	B5b5	362	362	1	16	179	95	96	.	7.15
49	9	Do6	C6	371	371	1	16	179	95	96	.	7.2
50	9	Re6	D6	380	380	1	4	714	95	96	.	7.4
51	9	Do6	C6	371	371	1	16	179	95	96	.	7.45
52	9	Si5b5	B5b5	362	362	1	16	179	95	96	.	7.5
53	9	La5b5	A5b5	353	353	1	16	179	95	96	.	7.55
54	9	Si5b5	B5b5	362	362	1	16	179	95	96	.	7.6
55	9	La5b5	A5b5	353	353	1	16	179	95	96	.	7.65
56	9	Si5b5	B5b5	362	362	1	16	179	95	96	.	7.7
57	9	Do6	C6	371	371	1	4	714	95	96	.	7.9
58	9	Si5b5	B5b5	362	362	1	16	179	95	96	.	7.95
59	9	La5b5	A5b5	353	353	1	16	179	95	96	.	8
60	9	Sol5	G5	349	349	3	16	536	95	96	.	8.15
61	9	Fa5	F5	340	340	1	16	179	95	96	.	8.2
62	9	Mi5b5	E5b5	331	331	1	8	357	95	96	.	8.3
63	9	Re5	D5	327	327	1	8	357	95	96	.	8.4
64	9	Do5	C5	318	318	1	8	357	95	96	.	8.5
65	9	Si4b5	B4b5	309	309	1	8	357	95	96	.	8.6
66	9	La4b5	A4b5	300	300	1	8	357	95	96	.	8.7
67	9	Sol4	G4	296	296	3	8	1071	95	96	.	9
68	52			0	0	1	8	0	127	41		9.1
69	9			-1	-1	1	4	714	100	0		9.3
70	9	Si5b5	B5b5	362	362	1	8	357	95	96	Bu 	9.4
71	9	La5b5	A5b5	353	353	1	8	357	99	96	ak	9.5
72	9	Sol5	G5	349	349	1	8	357	95	96		9.6
73	9	La5b5	A5b5	353	353	1	8	357	99	96	þam 	9.7
74	9	Sol5	G5	349	349	1	16	179	99	96		9.75
75	9	Fa5	F5	340	340	1	16	179	99	96		9.8
76	9	Sol5	G5	349	349	3	8	1071	95	96		10.1
77	9			-1	-1	1	4	714	100	0		10.3
78	9	Sol5	G5	349	349	1	8	357	95	96	bü	10.4
79	9	Do6	C6	371	371	1	4	714	95	96	tün 	10.6
80	9	Si5b5	B5b5	362	362	1	8	357	99	96	mey	10.7
81	9	La5b5	A5b5	353	353	1	8	357	95	96		10.8
82	9	Sol5	G5	349	349	1	4	714	99	96	ha	11
83	9	Fa5	F5	340	340	1	8	357	95	96		11.1
84	9	Fa5	F5	340	340	1	8	357	99	96	ne	11.2
85	9	Sol5	G5	349	349	1	8	357	95	96		11.3
86	9	La5b5	A5b5	353	353	1	8	357	99	96	le	11.4
87	9	Sol5	G5	349	349	1	8	357	99	96		11.5
88	9	Fa5	F5	340	340	1	8	357	95	96		11.6
89	9	Mi5b5	E5b5	331	331	1	8	357	99	96	ri	11.7
90	9	Fa5	F5	340	340	1	8	357	95	96		11.8
91	9	Sol5	G5	349	349	3	8	1071	99	96	ni 	12.1
92	9	Sol5	G5	349	349	1	8	357	99	96		12.2
93	9	Re5	D5	327	327	1	8	357	95	96		12.3
94	9	Re5	D5	327	327	1	8	357	95	96	do	12.4
95	9	Re5	D5	327	327	1	4	714	95	96	laþ	12.6
96	9	Mi5b5	E5b5	331	331	1	8	357	99	96	tým 	12.7
97	9	Re5	D5	327	327	1	16	179	99	96		12.75
98	9	Do5	C5	318	318	1	16	179	99	96		12.8
99	9	Si4b5	B4b5	309	309	1	8	357	99	96		12.9
100	9	Do5	C5	318	318	1	8	357	99	96		13
101	9	Re5	D5	327	327	1	8	357	99	96		13.1
102	9	Mi5b5	E5b5	331	331	1	4	714	99	96		13.3
103	9	Re5	D5	327	327	1	8	357	99	96		13.4
104	9	Do5	C5	318	318	1	8	357	99	96		13.5
105	9	Si4b5	B4b5	309	309	1	8	357	99	96		13.6
106	9	La4b5	A4b5	300	300	1	8	357	99	96		13.7
107	9	Si4b5	B4b5	309	309	1	8	357	99	96		13.8
108	9	Sol4	G4	296	296	3	8	1071	95	96		14.1
109	9	Sol5	G5	349	349	3	8	1071	95	96	Ýs	14.4
110	9	Sol5	G5	349	349	1	4	714	95	96	tan	14.6
111	9	Mi5b5	E5b5	331	331	1	4	714	95	96	bul_	14.8
112	9	Sol5	G5	349	349	3	8	1071	95	96	un  	15.1
113	9	Do6	C6	371	371	5	4	3570	95	96	SAZ	16.1
114	9	Si5b5	B5b5	362	362	1	16	179	95	96	.	16.15
115	9	Do6	C6	371	371	1	16	179	95	96	.	16.2
116	9	Si5b5	B5b5	362	362	1	16	179	95	96	.	16.25
117	9	Do6	C6	371	371	1	16	179	95	96	.	16.3
118	9	Re6	D6	380	380	1	4	714	95	96	.	16.5
119	9	Do6	C6	371	371	1	16	179	95	96	.	16.55
120	9	Si5b5	B5b5	362	362	1	16	179	95	96	.	16.6
121	9	La5b5	A5b5	353	353	1	16	179	95	96	.	16.65
122	9	Si5b5	B5b5	362	362	1	16	179	95	96	.	16.7
123	9	La5b5	A5b5	353	353	1	16	179	95	96	.	16.75
124	9	Si5b5	B5b5	362	362	1	16	179	95	96	.	16.8
125	9	Do6	C6	371	371	1	4	714	95	96	.	17
126	9	Si5b5	B5b5	362	362	1	16	179	95	96	.	17.05
127	9	La5b5	A5b5	353	353	1	16	179	95	96	.	17.1
128	9	Sol5	G5	349	349	1	16	179	95	96	.	17.15
129	9	La5b5	A5b5	353	353	1	16	179	95	96	.	17.2
130	9	Sol5	G5	349	349	1	16	179	95	96	.	17.25
131	9	La5b5	A5b5	353	353	1	16	179	95	96	.	17.3
132	9	Si5b5	B5b5	362	362	1	8	357	95	96	.	17.4
133	9	La5b5	A5b5	353	353	1	8	357	95	96	.	17.5
134	9	Si5b5	B5b5	362	362	1	16	179	95	96	.	17.55
135	9	Do6	C6	371	371	1	16	179	95	96	.	17.6
136	9	Si5b5	B5b5	362	362	1	16	179	95	96	.	17.65
137	9	La5b5	A5b5	353	353	1	16	179	95	96	.	17.7
138	9	Sol5	G5	349	349	1	16	179	95	96	.	17.75
