Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	714	95	96	1. HANE	0.2
2	9	La4	A4	305	305	1	8	357	95	96		0.3
3	9	Si4b5	B4b5	309	309	1	8	357	95	96		0.4
4	9	Do5	C5	318	318	1	8	357	95	96		0.5
5	9	Si4b5	B4b5	309	309	1	16	179	95	96		0.55
6	9	La4	A4	305	305	1	16	179	95	96		0.6
7	9	Sol4	G4	296	296	1	8	357	95	96		0.7
8	9	La4	A4	305	305	1	4	714	95	96		0.9
9	9			-1	-1	1	8	357	100	0		1
10	9	Sol4	G4	296	296	1	4	714	95	96		1.2
11	9	Do5	C5	318	318	1	8	357	95	96		1.3
12	9	Si4b5	B4b5	309	309	1	8	357	95	96		1.4
13	9	La4	A4	305	305	1	8	357	95	96		1.5
14	9	Si4b5	B4b5	309	309	1	8	357	95	96		1.6
15	9	Sol4	G4	296	296	1	8	357	95	96		1.7
16	9	La4	A4	305	305	1	4	714	95	96		1.9
17	9	Si4b5	B4b5	309	309	1	8	357	95	96		2
18	9	Do5	C5	318	318	1	4	714	95	96		2.2
19	9	Si4b5	B4b5	309	309	1	8	357	95	96		2.3
20	9	Do5	C5	318	318	1	16	179	95	96		2.35
21	9	Si4b5	B4b5	309	309	1	16	179	95	96		2.4
22	9	Do5	C5	318	318	1	16	179	95	96		2.45
23	9	Re5	D5	327	327	1	16	179	95	96		2.5
24	9	Re5	D5	327	327	1	8	357	95	96		2.6
25	9	Mi5b5	E5b5	331	331	1	8	357	95	96		2.7
26	9	Re5	D5	327	327	1	4	714	95	96		2.9
27	9	Do5	C5	318	318	1	8	357	95	96		3
28	9	Re5	D5	327	327	1	16	179	95	96		3.05
29	9	Mi5b5	E5b5	331	331	1	8	357	95	96		3.15
30	9	Re5	D5	327	327	1	16	179	95	96		3.2
31	9	Do5	C5	318	318	1	8	357	95	96		3.3
32	9	Si4b5	B4b5	309	309	1	8	357	95	96		3.4
33	9	La4	A4	305	305	1	8	357	95	96		3.5
34	9	Si4b5	B4b5	309	309	1	16	179	95	96		3.55
35	9	La4	A4	305	305	1	8	357	95	96		3.65
36	9	Si4b5	B4b5	309	309	1	16	179	95	96		3.7
37	9	Do5	C5	318	318	1	4	714	95	96		3.9
38	9			-1	-1	1	8	357	100	0		4
39	9	Sol4	G4	296	296	1	4	714	95	96		4.2
40	9	Fa4	F4	287	287	1	8	357	95	96		4.3
41	9	Sol4	G4	296	296	3	16	536	95	96	MÜLÂZÝME 	4.45
42	9	Fa4	F4	287	287	1	16	179	95	96		4.5
43	9	Mi4	E4	283	283	1	8	357	95	96		4.6
44	9	Fa4	F4	287	287	1	8	357	95	96		4.7
45	9	Sol4	G4	296	296	1	4	714	95	96		4.9
46	9			-1	-1	1	8	357	100	0		5
47	9	Do5	C5	318	318	1	4	714	95	96		5.2
48	9	Si4b5	B4b5	309	309	1	8	357	95	96		5.3
49	9	Re5	D5	327	327	1	8	357	95	96		5.4
50	9	Do5	C5	318	318	1	16	179	95	96		5.45
51	9	Re5	D5	327	327	1	16	179	95	96		5.5
52	9	Do5	C5	318	318	1	8	357	95	96		5.6
53	9	Si4b5	B4b5	309	309	1	8	357	95	96		5.7
54	9	La4	A4	305	305	1	4	714	95	96		5.9
55	9			-1	-1	1	8	357	100	0		6
56	9	Si4b5	B4b5	309	309	1	4	714	95	96		6.2
57	9	La4	A4	305	305	1	8	357	95	96		6.3
58	9	Do5	C5	318	318	1	8	357	95	96		6.4
59	9	Si4b5	B4b5	309	309	1	16	179	95	96		6.45
60	9	Do5	C5	318	318	1	16	179	95	96		6.5
61	9	Si4b5	B4b5	309	309	1	8	357	95	96		6.6
62	9	La4	A4	305	305	1	8	357	95	96		6.7
63	9	Sol4	G4	296	296	1	4	714	95	96		6.9
64	9			-1	-1	1	8	357	100	0		7
65	9	La4	A4	305	305	1	4	714	95	96		7.2
66	9	Sol4	G4	296	296	1	8	357	95	96		7.3
67	9	Si4b5	B4b5	309	309	1	8	357	95	96		7.4
68	9	La4	A4	305	305	1	16	179	95	96		7.45
69	9	Si4b5	B4b5	309	309	1	16	179	95	96		7.5
70	9	La4	A4	305	305	1	8	357	95	96		7.6
71	9	Sol4	G4	296	296	1	8	357	95	96		7.7
72	9	Fa4	F4	287	287	1	4	714	95	96		7.9
73	9			-1	-1	1	8	357	100	0		8
74	9	Sol4	G4	296	296	1	4	714	95	96		8.2
75	9	Fa4	F4	287	287	1	8	357	95	96		8.3
76	9	La4	A4	305	305	1	8	357	95	96		8.4
77	9	Sol4	G4	296	296	1	16	179	95	96		8.45
78	9	La4	A4	305	305	1	16	179	95	96		8.5
79	9	Sol4	G4	296	296	1	8	357	95	96		8.6
80	9	Fa4	F4	287	287	1	8	357	95	96		8.7
81	9	Mi4	E4	283	283	1	4	714	95	96		8.9
82	9			-1	-1	1	8	357	100	0		9
83	9	Fa4	F4	287	287	1	8	357	95	96		9.1
84	9	Mi4	E4	283	283	1	8	357	95	96		9.2
85	9	Fa4	F4	287	287	1	16	179	95	96		9.25
86	9	Sol4	G4	296	296	1	16	179	95	96		9.3
87	9	La4	A4	305	305	1	16	179	95	96		9.35
88	9	Sol4	G4	296	296	1	16	179	95	96		9.4
89	9	Fa4	F4	287	287	1	16	179	95	96		9.45
90	9	Mi4	E4	283	283	1	16	179	95	96		9.5
91	9	Mi4	E4	283	283	1	16	179	95	96		9.55
92	9	Re4	D4	274	274	1	16	179	95	96		9.6
93	9	Do4#4	C4#4	269	269	1	8	357	95	96		9.7
94	9	Re4	D4	274	274	1	4	714	95	96		9.9
95	9			-1	-1	1	8	357	100	0		10
