Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La5	A5	358	358	1	4	909	95	96	ARANAÐME 	0.25
2	9	Sol5	G5	349	349	1	4	909	95	96	.	0.5
3	9	Fa5#3	F5#4	343	344	1	4	909	95	96	.	0.75
4	9	Sol5	G5	349	349	1	4	909	95	96	.	1
5	9	La5	A5	358	358	1	4	909	95	96	.	1.25
6	9	La5	A5	358	358	1	4	909	95	96	.	1.5
7	9	La5	A5	358	358	1	8	455	95	96	.	1.625
8	9	Do6	C6	371	371	1	8	455	95	96	.	1.75
9	9	Si5b2	B5b1	365	366	1	8	455	95	96	.	1.875
10	9	La5	A5	358	358	1	8	455	95	96	.	2
11	9	La5	A5	358	358	1	8	455	95	96	.	2.125
12	9	Sol5	G5	349	349	1	16	227	95	96	.	2.1875
13	9	Fa5#3	F5#4	343	344	1	16	227	95	96	.	2.25
14	9	Si5b2	B5b1	365	366	1	16	227	95	96	.	2.3125
15	9	La5	A5	358	358	1	16	227	95	96	.	2.375
16	9	Sol5	G5	349	349	1	16	227	95	96	.	2.4375
17	9	Fa5#3	F5#4	343	344	1	16	227	95	96	.	2.5
18	9	Mi5	E5	336	336	1	4	909	95	96	.	2.75
19	9	Mi5	E5	336	336	1	8	455	95	96	.	2.875
20	9			-1	-1	1	8	455	100	0	.	3
21	9	Sol5	G5	349	349	1	4	909	95	96	.	3.25
22	9	Fa5#3	F5#4	343	344	1	4	909	95	96	.	3.5
23	9	Mi5	E5	336	336	1	4	909	95	96	.	3.75
24	9	Fa5#3	F5#4	343	344	3	16	682	95	96	.	3.9375
25	9	La5	A5	358	358	1	16	227	95	96	.	4
26	9	Sol5	G5	349	349	1	2	1818	95	96	.	4.5
27	9	La5	A5	358	358	1	8	455	95	96	.	4.625
28	9	Sol5	G5	349	349	1	8	455	95	96	.	4.75
29	9	Fa5	F5	340	340	1	8	455	95	96	.	4.875
30	9	Mi5	E5	336	336	1	8	455	95	96	.	5
31	9	Mi5	E5	336	336	3	16	682	95	96	.	5.1875
32	9	Re5	D5	327	327	1	16	227	95	96	.	5.25
33	9	Fa5	F5	340	340	1	16	227	95	96	.	5.3125
34	9	Mi5	E5	336	336	1	16	227	95	96	.	5.375
35	9	Re5	D5	327	327	1	16	227	95	96	.	5.4375
36	9	Mi5	E5	336	336	1	16	227	95	96	.	5.5
37	9	Re5	D5	327	327	1	4	909	95	96	.	5.75
38	9			-1	-1	1	8	455	100	0	.	5.875
39	9	Do5	C5	318	318	1	24	152	95	96	.	5.916667
40	9	Re5	D5	327	327	1	24	152	95	96	.	5.958333
41	9	Mi5	E5	336	336	1	24	152	95	96	.	6
42	9	Fa5	F5	340	340	1	4	909	95	96	.	6.25
43	9	Mi5	E5	336	336	1	4	909	95	96	.	6.5
44	9	Re5	D5	327	327	1	4	909	95	96	.	6.75
45	9	Do5	C5	318	318	1	4	909	95	96	.	7
46	9	Mi5	E5	336	336	1	4	909	95	96	.	7.25
47	9	Mi5	E5	336	336	1	4	909	95	96	.	7.5
