Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5#3	F5#4	343	344	1	16	250	95	96	ARANAÐME 	0.0625
2	9	Sol5	G5	349	349	1	16	250	95	96	.	0.125
3	9	La5	A5	358	358	1	4	1000	95	96	.	0.375
4	9	Fa5#3	F5#4	343	344	1	8	500	95	96	.	0.5
5	9	Sol5	G5	349	349	1	8	500	95	96	.	0.625
6	9	Mi5	E5	336	336	1	8	500	95	96	.	0.75
7	9	Fa5#3	F5#4	343	344	1	8	500	95	96	.	0.875
8	9	Re5	D5	327	327	1	8	500	95	96	.	1
9	9	Fa5#3	F5#4	343	344	1	16	250	95	96	.	1.0625
10	9	Sol5	G5	349	349	1	16	250	95	96	.	1.125
11	9	La5	A5	358	358	1	4	1000	95	96	.	1.375
12	9	Fa5#3	F5#4	343	344	1	8	500	95	96	.	1.5
13	9	Sol5	G5	349	349	1	8	500	95	96	.	1.625
14	9	Mi5	E5	336	336	1	8	500	95	96	.	1.75
15	9	Fa5#3	F5#4	343	344	1	8	500	95	96	.	1.875
16	9	Re5	D5	327	327	1	8	500	95	96	.	2
17	9	Fa5#3	F5#4	343	344	1	8	500	95	96	.	2.125
18	9	Sol5	G5	349	349	1	8	500	95	96	.	2.25
19	9	La5	A5	358	358	1	8	500	95	96	.	2.375
20	9	Si5b2	B5b1	365	366	1	8	500	95	96	.	2.5
21	9	Sol5	G5	349	349	1	4	1000	95	96	.	2.75
22	9	Do6	C6	371	371	1	8	500	95	96	.	2.875
23	9	Si5b2	B5b1	365	366	1	16	250	95	96	.	2.9375
24	9	La5	A5	358	358	1	16	250	95	96	.	3
25	9	La5	A5	358	358	3	8	1500	95	96	.	3.375
26	9	Sol5	G5	349	349	1	8	500	95	96	.	3.5
27	9	La5	A5	358	358	1	16	250	95	96	.	3.5625
28	9	Sol5	G5	349	349	1	16	250	95	96	.	3.625
29	9	Fa5#3	F5#4	343	344	1	16	250	95	96	.	3.6875
30	9	Sol5	G5	349	349	1	16	250	95	96	.	3.75
31	9	La5	A5	358	358	1	4	1000	95	96	.	4
32	9	La5	A5	358	358	1	12	333	95	96	.	4.083333
33	9	Sol5	G5	349	349	1	12	333	95	96	.	4.166667
34	9	La5	A5	358	358	1	12	333	95	96	.	4.25
35	9	Mi5	E5	336	336	1	4	1000	95	96	.	4.5
36	9	Fa5	F5	340	340	1	12	333	95	96	.	4.583333
37	9	Mi5	E5	336	336	1	12	333	95	96	.	4.666667
38	9	Fa5	F5	340	340	1	12	333	95	96	.	4.75
39	9	Re5	D5	327	327	1	4	1000	95	96	.	5
40	9	Mi5	E5	336	336	3	16	750	95	96	.	5.1875
41	9	Re5	D5	327	327	1	16	250	95	96	.	5.25
42	9	Do5	C5	318	318	1	8	500	95	96	.	5.375
43	9	Re5	D5	327	327	1	8	500	95	96	.	5.5
44	9	Do5	C5	318	318	1	16	250	95	96	.	5.5625
45	9	Si4b2	B4b1	312	313	1	16	250	95	96	.	5.625
46	9	Si4b2	B4b1	312	313	1	16	250	95	96	.	5.6875
47	9	La4	A4	305	305	1	16	250	95	96	.	5.75
48	9	La4	A4	305	305	3	16	750	95	96	.	5.9375
49	9	Sol4	G4	296	296	1	16	250	95	96	.	6
50	9	Mi5	E5	336	336	3	16	750	95	96	.	6.1875
51	9	Re5	D5	327	327	1	16	250	95	96	.	6.25
52	9	Sol5	G5	349	349	1	16	250	95	96	.	6.3125
53	9	Fa5	F5	340	340	1	16	250	95	96	.	6.375
54	9	Mi5	E5	336	336	1	16	250	95	96	.	6.4375
55	9	Re5	D5	327	327	1	16	250	95	96	.	6.5
56	9	Do5	C5	318	318	3	16	750	95	96	.	6.6875
57	9	Si4b2	B4b1	312	313	1	16	250	95	96	.	6.75
58	9	Do5	C5	318	318	1	16	250	95	96	.	6.8125
59	9	Si4b2	B4b1	312	313	1	16	250	95	96	.	6.875
60	9	Si4b2	B4b1	312	313	1	16	250	95	96	.	6.9375
61	9	La4	A4	305	305	1	16	250	95	96	.	7
62	9	La4	A4	305	305	3	8	1500	95	96	.	7.375
63	9	Re5	D5	327	327	1	16	250	95	96	.	7.4375
64	9	Do5	C5	318	318	1	16	250	95	96	.	7.5
65	9	Do5	C5	318	318	1	16	250	95	96	.	7.5625
66	9	Si4b2	B4b1	312	313	1	16	250	95	96	.	7.625
67	9	Si4b2	B4b1	312	313	1	16	250	95	96	.	7.6875
68	9	La4	A4	305	305	1	16	250	95	96	.	7.75
69	9	La4	A4	305	305	1	4	1000	95	96	 	8
70	52			0	0	1	4	0	60	0		8.25
