Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	400	100	0		0.25
2	9	Re5	D5	327	327	1	16	200	95	96	ARANAÐME	0.375
3	9	Re5	D5	327	327	1	16	200	95	96	.	0.5
4	9	Re5	D5	327	327	1	16	200	95	96	.	0.625
5	9	Re5	D5	327	327	1	16	200	95	96	.	0.75
6	9	Re5	D5	327	327	1	8	400	95	96	.	1
7	9	Re5	D5	327	327	3	32	300	95	96	.	1.1875
8	9	Do5	C5	318	318	1	32	100	95	96	.	1.25
9	9	Re5	D5	327	327	1	16	200	95	96	.	1.375
10	9	Re5	D5	327	327	1	16	200	95	96	.	1.5
11	9	Re5	D5	327	327	1	16	200	95	96	.	1.625
12	9	Do5	C5	318	318	1	16	200	95	96	.	1.75
13	9	Mi5	E5	336	336	1	8	400	95	96	.	2
14	9	Mi5	E5	336	336	1	8	400	95	96	.	2.25
15	9	Re5	D5	327	327	1	16	200	95	96	.	2.375
16	9	Si4b2	B4b1	312	313	1	16	200	95	96	.	2.5
17	9	Do5	C5	318	318	1	8	400	95	96	.	2.75
18	9	Do5	C5	318	318	1	16	200	95	96	.	2.875
19	9	Si4b2	B4b1	312	313	1	16	200	95	96	.	3
20	32	Si4b2	B4b1	312	313	1	4	800	95	96	.	3.5
21	9	La4	A4	305	305	1	16	200	95	96	.	3.625
22	9	La4	A4	305	305	1	16	200	95	96	.	3.75
23	9	La4	A4	305	305	1	8	400	95	96	.	4
24	52			0	0	1	4	0	75	0		4.5
25	9			-1	-1	1	8	400	100	0		4.75
26	9	Re5	D5	327	327	1	16	200	95	96	ARANAÐME	4.875
27	9	Re5	D5	327	327	1	16	200	95	96	.	5
28	9	Re5	D5	327	327	1	16	200	95	96	.	5.125
29	9	Re5	D5	327	327	1	16	200	95	96	.	5.25
30	9	Re5	D5	327	327	1	8	400	95	96	.	5.5
31	9	Re5	D5	327	327	3	32	300	95	96	.	5.6875
32	9	Do5	C5	318	318	1	32	100	95	96	.	5.75
33	9	Re5	D5	327	327	1	16	200	95	96	.	5.875
34	9	Re5	D5	327	327	1	16	200	95	96	.	6
35	9	Re5	D5	327	327	1	16	200	95	96	.	6.125
36	9	Do5	C5	318	318	1	16	200	95	96	.	6.25
37	9	Mi5	E5	336	336	1	8	400	95	96	.	6.5
38	9	Mi5	E5	336	336	1	8	400	95	96	.	6.75
39	9	Re5	D5	327	327	1	16	200	95	96	.	6.875
40	9	Si4b2	B4b1	312	313	1	16	200	95	96	.	7
41	9	Do5	C5	318	318	1	8	400	95	96	.	7.25
42	9	Do5	C5	318	318	1	16	200	95	96	.	7.375
43	9	Si4b2	B4b1	312	313	1	16	200	95	96	.	7.5
44	32	Si4b2	B4b1	312	313	1	4	800	95	96	.	8
45	9	La4	A4	305	305	1	16	200	95	96	.	8.125
46	9	La4	A4	305	305	1	16	200	95	96	.	8.25
47	9	La4	A4	305	305	1	8	400	95	96	.	8.5
48	9			-1	-1	1	8	400	100	0		8.75
49	9	Fa5#3	F5#4	343	344	1	16	200	95	96	Bir 	8.875
50	9	Sol5	G5	349	349	1	16	200	95	96	na	9
51	9	La5	A5	358	358	1	16	200	95	96	zar_	9.125
52	9	La5	A5	358	358	3	16	600	95	96	ey	9.5
53	9	La5	A5	358	358	1	16	200	95	96	le	9.625
54	9	La5	A5	358	358	3	16	600	95	96	dim 	10
55	9	La5	A5	358	358	1	8	400	95	96	hoþ 	10.25
56	9	La5	A5	358	358	1	8	400	95	96	ce	10.5
57	9	La5	A5	358	358	1	16	200	99	96	mâ	10.625
58	9	Sol5	G5	349	349	1	16	200	95	96		10.75
59	9	Si5b2	B5b1	365	366	1	16	200	95	96	li	10.875
60	9	La5	A5	358	358	1	16	200	99	96	ne  	11
61	9	La5	A5	358	358	1	16	200	99	96		11.125
62	9	Sol5	G5	349	349	1	8	400	99	96		11.375
63	9	Fa5#3	F5#4	343	344	1	16	200	95	96		11.5
64	9			-1	-1	1	8	400	100	0		11.75
65	9	Fa5#3	F5#4	343	344	1	16	200	95	96	Yak	11.875
66	9	Sol5	G5	349	349	1	16	200	95	96	tý 	12
67	9	La5	A5	358	358	1	16	200	95	96	bu 	12.125
68	9	La5	A5	358	358	3	16	600	95	96	bað	12.5
69	9	La5	A5	358	358	1	16	200	95	96	rý	12.625
70	9	La5	A5	358	358	1	8	400	95	96	mý 	12.875
71	9	Sol5	G5	349	349	1	16	200	99	96	nâ	13
72	9	Sol5	G5	349	349	1	16	200	95	96		13.125
73	9	Fa5#3	F5#4	343	344	1	16	200	99	96	ra 	13.25
74	9	Sol5	G5	349	349	1	16	200	99	96		13.375
75	9	Fa5#3	F5#4	343	344	1	16	200	95	96		13.5
76	9	Mi5	E5	336	336	1	16	200	99	96	sev	13.625
77	9	Fa5#3	F5#4	343	344	1	8	400	99	96		13.875
78	9	Mi5	E5	336	336	1	16	200	99	96		14
79	9	Fa5#3	F5#4	343	344	1	16	200	99	96		14.125
80	9	Mi5	E5	336	336	1	8	400	99	96		14.375
81	9	Re5	D5	327	327	1	16	200	95	96		14.5
82	9	Re5	D5	327	327	1	16	200	95	96	di	14.625
83	9	Re5	D5	327	327	1	8	400	99	96	ðim  	14.875
84	9	Do5	C5	318	318	1	16	200	99	96		15
85	9	Re5	D5	327	327	1	16	200	99	96		15.125
86	9	Do5	C5	318	318	1	16	200	99	96		15.25
87	9	Mi5	E5	336	336	1	8	400	95	96		15.5
88	9	Mi5	E5	336	336	1	16	200	95	96	SAZ	15.625
89	9	Re5	D5	327	327	1	8	400	95	96	.	15.875
90	9	Si4b2	B4b1	312	313	1	16	200	95	96	.	16
91	10	Do5	C5	318	318	1	8	400	95	96	.	16.25
92	8	Re5	D5	327	327	0	0	0	95	96	.	16.25
93	10	Do5	C5	318	318	1	16	200	95	96	.	16.375
94	8	Re5	D5	327	327	0	0	0	95	96	.	16.375
95	9	Si4b2	B4b1	312	313	1	16	200	95	96	.	16.5
96	9	Si4b2	B4b1	312	313	1	4	800	95	96	.	17
97	9	La4	A4	305	305	1	16	200	95	96	.	17.125
98	9	La4	A4	305	305	1	16	200	95	96	.	17.25
99	9	La4	A4	305	305	1	8	400	95	96	.	17.5
100	9			-1	-1	1	8	400	100	0		17.75
101	9	Fa5#3	F5#4	343	344	1	16	200	95	96	Bir 	17.875
102	9	Sol5	G5	349	349	1	16	200	95	96	na	18
103	9	La5	A5	358	358	1	16	200	95	96	zar_	18.125
104	9	La5	A5	358	358	3	16	600	95	96	ey	18.5
105	9	La5	A5	358	358	1	16	200	95	96	le	18.625
106	9	La5	A5	358	358	3	16	600	95	96	dim 	19
107	9	La5	A5	358	358	1	8	400	95	96	hoþ 	19.25
108	9	La5	A5	358	358	1	8	400	95	96	ce	19.5
109	9	La5	A5	358	358	1	16	200	99	96	mâ	19.625
110	9	Sol5	G5	349	349	1	16	200	95	96		19.75
111	9	Si5b2	B5b1	365	366	1	16	200	95	96	li	19.875
