Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	4	1111	100	0		0.2222222
2	9	Sol4	G4	296	296	1	4	1111	95	96	Mey	0.4444444
3	9	Re5	D5	327	327	1	4	1111	95	96	ler 	0.6666667
4	9	Fa5#4	F5#4	344	344	1	16	278	99	96	sü	0.7222222
5	9	Mi5b5	E5b5	331	331	1	16	278	95	96		0.7777778
6	9	Mi5b5	E5b5	331	331	1	8	556	99	96	zül	0.8888889
7	8	Fa5#4	F5#4	344	344	0	0	0	99	96		0.8888889
8	9	Mi5b5	E5b5	331	331	1	16	278	99	96		0.9444444
9	9	Re5	D5	327	327	1	16	278	95	96		1
10	9	Re5	D5	327	327	3	16	833	99	96	sün 	1.166667
11	9	Do5	C5	318	318	1	16	278	95	96		1.222222
12	9	Do5	C5	318	318	3	16	833	99	96	mey	1.388889
13	9	Si4b5	B4b5	309	309	1	16	278	95	96		1.444444
14	9	Si4b5	B4b5	309	309	1	16	278	99	96	da	1.5
15	9	La4	A4	305	305	1	16	278	99	96		1.555556
16	9	Sol4	G4	296	296	1	16	278	99	96		1.611111
17	9	Fa4#4	F4#4	291	291	1	16	278	95	96		1.666667
18	9	Sol4	G4	296	296	3	8	1667	95	96	ne 	2
19	9	Re5	D5	327	327	3	16	833	99	96	gel	2.166667
20	9	Mi5b5	E5b5	331	331	1	16	278	99	96		2.222222
21	9	Fa5#4	F5#4	344	344	3	16	833	99	96		2.388889
22	9	Re5	D5	327	327	1	16	278	99	96		2.444444
23	9	Mi5b5	E5b5	331	331	3	16	833	99	96		2.611111
24	9	Do5	C5	318	318	1	16	278	99	96		2.666667
25	9	Re5	D5	327	327	1	4	1111	99	96		2.888889
26	9	Do5	C5	318	318	1	16	278	99	96		2.944444
27	9	Si4b5	B4b5	309	309	1	16	278	95	96		3
28	9	Do5	C5	318	318	1	8	556	99	96	sin  	3.111111
29	9	Re5	D5	327	327	1	4	1111	99	96		3.333333
30	8	Mi5b5	E5b5	331	331	0	0	0	99	96		3.333333
31	9	Re5	D5	327	327	1	16	278	99	96		3.388889
32	9	Do5	C5	318	318	1	16	278	99	96		3.444444
33	9	Do5	C5	318	318	1	16	278	99	96		3.5
34	9	Si4b5	B4b5	309	309	1	16	278	99	96		3.555556
35	9	Si4b5	B4b5	309	309	1	16	278	99	96		3.611111
36	9	La4	A4	305	305	1	16	278	99	96		3.666667
37	9	Si4b5	B4b5	309	309	1	4	1111	99	96		3.888889
38	9	Re5	D5	327	327	1	16	278	99	96		3.944444
39	9	Do5	C5	318	318	1	32	139	99	96		3.972222
40	9	Si4b5	B4b5	309	309	1	32	139	99	96		4
41	9	Si4b5	B4b5	309	309	1	8	556	95	96		4.111111
42	9			-1	-1	1	8	556	100	0		4.222222
43	9	Si4b5	B4b5	309	309	1	4	1111	95	96	Mec	4.444445
44	9	Fa5	F5	340	340	1	8	556	99	96	lis 	4.555555
45	9	Mi5b5	E5b5	331	331	1	16	278	99	96		4.611111
46	9	Re5	D5	327	327	1	16	278	95	96		4.666667
47	9	Sol5	G5	349	349	1	8	556	95	96	do	4.777778
48	9	Sol5	G5	349	349	1	16	278	99	96	nan	4.833333
49	9	Fa5	F5	340	340	1	16	278	99	96		4.888889
50	9	Fa5	F5	340	340	1	16	278	99	96		4.944445
51	9	Mi5b5	E5b5	331	331	1	16	278	95	96		5
52	9	Mi5b5	E5b5	331	331	3	16	833	99	96	sýn 	5.166667
53	9	Re5	D5	327	327	1	16	278	95	96		5.222222
54	9	Re5	D5	327	327	3	16	833	99	96	pey	5.388889
55	9	Do5	C5	318	318	1	16	278	95	96		5.444445
56	9	Do5	C5	318	318	1	16	278	99	96	ma	5.5
57	9	Si4b5	B4b5	309	309	1	32	139	99	96		5.527778
58	9	Do5	C5	318	318	1	32	139	99	96		5.555555
59	9	Re5	D5	327	327	1	16	278	99	96		5.611111
60	8	Mi5b5	E5b5	331	331	0	0	0	99	96		5.611111
61	9	Re5	D5	327	327	1	32	139	99	96		5.638889
62	9	Do5	C5	318	318	1	32	139	95	96		5.666667
63	9	Do5	C5	318	318	1	4	1111	95	96	ne 	5.888889
64	9			-1	-1	1	8	556	100	0		6
65	9	Si4b5	B4b5	309	309	3	16	833	99	96	gel	6.166667
66	9	Do5	C5	318	318	1	16	278	99	96		6.222222
67	9	Re5	D5	327	327	3	16	833	99	96		6.388889
68	9	Si4b5	B4b5	309	309	1	16	278	99	96		6.444445
69	9	Do5	C5	318	318	3	16	833	99	96		6.611111
70	9	La4	A4	305	305	1	16	278	99	96		6.666667
71	9	Si4b5	B4b5	309	309	1	4	1111	99	96		6.888889
72	9	La4	A4	305	305	1	16	278	99	96		6.944445
73	9	Sol4	G4	296	296	1	16	278	95	96		7
74	9	Sol4	G4	296	296	3	16	833	99	96	sin  	7.166667
75	9	La4	A4	305	305	1	16	278	99	96		7.222222
76	9	Si4b5	B4b5	309	309	1	8	556	99	96		7.333333
77	8	Do5	C5	318	318	0	0	0	99	96		7.333333
78	9	Si4b5	B4b5	309	309	1	16	278	99	96		7.388889
79	9	La4	A4	305	305	1	16	278	99	96		7.444445
80	9	La4	A4	305	305	1	16	278	99	96		7.5
81	9	Sol4	G4	296	296	1	16	278	99	96		7.555555
82	9	Sol4	G4	296	296	1	16	278	99	96		7.611111
83	9	Fa4#4	F4#4	291	291	1	16	278	99	96		7.666667
84	9	Sol4	G4	296	296	1	4	1111	95	96		7.888889
85	9			-1	-1	1	8	556	100	0		8
86	52			0	0	1	8	0	108	0		8.111111
87	9			-1	-1	1	4	1111	100	0		8.333333
88	9	Sol4	G4	296	296	1	4	1111	95	96	Mey	8.555555
89	9	Re5	D5	327	327	1	4	1111	95	96	ler 	8.777778
90	9	Fa5#4	F5#4	344	344	1	16	278	99	96	sü	8.833333
91	9	Mi5b5	E5b5	331	331	1	16	278	95	96		8.888889
92	9	Mi5b5	E5b5	331	331	1	8	556	99	96	zül	9
93	8	Fa5#4	F5#4	344	344	0	0	0	99	96		9
94	9	Mi5b5	E5b5	331	331	1	16	278	99	96		9.055555
95	9	Re5	D5	327	327	1	16	278	95	96		9.111111
96	9	Re5	D5	327	327	3	16	833	99	96	sün 	9.277778
97	9	Do5	C5	318	318	1	16	278	95	96		9.333333
98	9	Do5	C5	318	318	3	16	833	99	96	mey	9.5
99	9	Si4b5	B4b5	309	309	1	16	278	95	96		9.555555
100	9	Si4b5	B4b5	309	309	1	16	278	99	96	da	9.611111
101	9	La4	A4	305	305	1	16	278	99	96		9.666667
102	9	Sol4	G4	296	296	1	16	278	99	96		9.722222
103	9	Fa4#4	F4#4	291	291	1	16	278	95	96		9.777778
104	9	Sol4	G4	296	296	3	8	1667	95	96	ne 	10.11111
105	9	Re5	D5	327	327	3	16	833	99	96	gel	10.27778
106	9	Mi5b5	E5b5	331	331	1	16	278	99	96		10.33333
107	9	Fa5#4	F5#4	344	344	3	16	833	99	96		10.5
108	9	Re5	D5	327	327	1	16	278	99	96		10.55556
109	9	Mi5b5	E5b5	331	331	3	16	833	99	96		10.72222
110	9	Do5	C5	318	318	1	16	278	99	96		10.77778
111	9	Re5	D5	327	327	1	4	1111	99	96		11
112	9	Do5	C5	318	318	1	16	278	99	96		11.05556
113	9	Si4b5	B4b5	309	309	1	16	278	95	96		11.11111
114	9	Do5	C5	318	318	1	8	556	99	96	sin  	11.22222
115	9	Re5	D5	327	327	1	4	1111	99	96		11.44444
116	8	Mi5b5	E5b5	331	331	0	0	0	99	96		11.44444
117	9	Re5	D5	327	327	1	16	278	99	96		11.5
118	9	Do5	C5	318	318	1	16	278	99	96		11.55556
119	9	Do5	C5	318	318	1	16	278	99	96		11.61111
120	9	Si4b5	B4b5	309	309	1	16	278	99	96		11.66667
121	9	Si4b5	B4b5	309	309	1	16	278	99	96		11.72222
122	9	La4	A4	305	305	1	16	278	99	96		11.77778
123	9	Si4b5	B4b5	309	309	1	4	1111	99	96		12
124	9	Re5	D5	327	327	1	16	278	99	96		12.05556
125	9	Do5	C5	318	318	1	32	139	99	96		12.08333
126	9	Si4b5	B4b5	309	309	1	32	139	99	96		12.11111
127	9	Si4b5	B4b5	309	309	1	8	556	95	96		12.22222
128	9			-1	-1	1	8	556	100	0		12.33333
129	9	Si4b5	B4b5	309	309	1	4	1111	95	96	Mec	12.55556
130	9	Fa5	F5	340	340	1	8	556	99	96	lis 	12.66667
131	9	Mi5b5	E5b5	331	331	1	16	278	99	96		12.72222
132	9	Re5	D5	327	327	1	16	278	95	96		12.77778
133	9	Sol5	G5	349	349	1	8	556	95	96	do	12.88889
134	9	Sol5	G5	349	349	1	16	278	99	96	nan	12.94444
135	9	Fa5	F5	340	340	1	16	278	99	96		13
136	9	Fa5	F5	340	340	1	16	278	99	96		13.05556
137	9	Mi5b5	E5b5	331	331	1	16	278	95	96		13.11111
138	9	Mi5b5	E5b5	331	331	3	16	833	99	96	sýn 	13.27778
139	9	Re5	D5	327	327	1	16	278	95	96		13.33333
140	9	Re5	D5	327	327	3	16	833	99	96	pey	13.5
141	9	Do5	C5	318	318	1	16	278	95	96		13.55556
142	9	Do5	C5	318	318	1	16	278	99	96	ma	13.61111
143	9	Si4b5	B4b5	309	309	1	32	139	99	96		13.63889
144	9	Do5	C5	318	318	1	32	139	99	96		13.66667
145	9	Re5	D5	327	327	1	16	278	99	96		13.72222
146	8	Mi5b5	E5b5	331	331	0	0	0	99	96		13.72222
147	9	Re5	D5	327	327	1	32	139	99	96		13.75
148	9	Do5	C5	318	318	1	32	139	95	96		13.77778
149	9	Do5	C5	318	318	1	4	1111	95	96	ne 	14
150	9			-1	-1	1	8	556	100	0		14.11111
151	9	Si4b5	B4b5	309	309	3	16	833	99	96	gel	14.27778
152	9	Do5	C5	318	318	1	16	278	99	96		14.33333
153	9	Re5	D5	327	327	3	16	833	99	96		14.5
154	9	Si4b5	B4b5	309	309	1	16	278	99	96		14.55556
155	9	Do5	C5	318	318	3	16	833	99	96		14.72222
156	9	La4	A4	305	305	1	16	278	99	96		14.77778
157	9	Si4b5	B4b5	309	309	1	4	1111	99	96		15
158	9	La4	A4	305	305	1	16	278	99	96		15.05556
159	9	Sol4	G4	296	296	1	16	278	95	96		15.11111
160	9	Sol4	G4	296	296	3	16	833	99	96	sin  	15.27778
161	9	La4	A4	305	305	1	16	278	99	96		15.33333
162	9	Si4b5	B4b5	309	309	1	8	556	99	96		15.44444
163	8	Do5	C5	318	318	0	0	0	99	96		15.44444
164	9	Si4b5	B4b5	309	309	1	16	278	99	96		15.5
165	9	La4	A4	305	305	1	16	278	99	96		15.55556
166	9	La4	A4	305	305	1	16	278	99	96		15.61111
167	9	Sol4	G4	296	296	1	16	278	99	96		15.66667
168	9	Sol4	G4	296	296	1	16	278	99	96		15.72222
169	9	Fa4#4	F4#4	291	291	1	16	278	99	96		15.77778
170	9	Sol4	G4	296	296	1	4	1111	95	96		16
171	9			-1	-1	1	8	556	100	0		16.11111
172	9	Sol5	G5	349	349	3	16	833	99	96	Mah	16.27778
173	9	Fa5#4	F5#4	344	344	1	16	278	95	96		16.33333
174	9	Fa5#4	F5#4	344	344	3	16	833	99	96	mu	16.5
175	9	Mi5b5	E5b5	331	331	1	16	278	95	96		16.55556
176	9	Fa5#4	F5#4	344	344	1	16	278	99	96	mu 	16.61111
177	9	Mi5b5	E5b5	331	331	1	16	278	99	96		16.66667
178	9	Re5	D5	327	327	1	16	278	99	96		16.72222
179	9	Do5#4	C5#4	322	322	1	16	278	95	96		16.77778
180	9	Re5	D5	327	327	1	16	278	99	96	na	16.83333
181	9	Mi5b5	E5b5	331	331	1	16	278	99	96		16.88889
