Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	4	625	100	0		0.2
2	9	Re5	D5	327	327	1	8	312	95	96	Gü	0.3
3	9	Re5	D5	327	327	1	4	625	95	96	zel 	0.5
4	9	Re5	D5	327	327	1	4	625	95	96	bir 	0.7
5	9	Re5	D5	327	327	3	8	938	95	96	göz 	1
6	9			-1	-1	1	4	625	100	0		1.2
7	9	Re5	D5	327	327	1	8	312	95	96	be	1.3
8	9	Mi5b5	E5b5	331	331	1	8	312	99	96	ni 	1.4
9	9	Do5	C5	318	318	1	8	312	95	96		1.5
10	9	Si4b5	B4b5	309	309	1	4	625	95	96	at	1.7
11	9	Re5	D5	327	327	3	8	938	95	96	tý 	2
12	9			-1	-1	1	4	625	100	0		2.2
13	9	La4	A4	305	305	1	8	312	95	96	bu 	2.3
14	9	Si4b5	B4b5	309	309	1	8	312	99	96	de	2.4
15	9	Do5	C5	318	318	1	8	312	95	96		2.5
16	9	Re5	D5	327	327	3	16	469	99	96	rin 	2.65
17	9	Do5	C5	318	318	1	16	156	99	96		2.7
18	9	Si4b5	B4b5	309	309	1	8	312	99	96		2.8
19	9	La4	A4	305	305	1	8	312	99	96		2.9
20	9	Sol4	G4	296	296	1	8	312	95	96		3
21	9	Si4b5	B4b5	309	309	3	16	469	99	96	sev	3.15
22	9	La4	A4	305	305	1	16	156	99	96		3.2
23	9	Sol4	G4	296	296	1	8	312	95	96		3.3
24	9	Sol4	G4	296	296	1	8	312	99	96	da	3.4
25	9	Fa4#4	F4#4	291	291	1	8	312	95	96		3.5
26	9	Sol4	G4	296	296	5	8	1563	95	96	ya  	4
27	9	Re5	D5	327	327	5	4	3125	95	96	Ah 	5
28	9	Re5	D5	327	327	1	4	625	99	96	ah 	5.2
29	9	Fa5	F5	340	340	1	8	312	99	96		5.3
30	9	Mi5b5	E5b5	331	331	1	8	312	99	96		5.4
31	9	Re5	D5	327	327	1	8	312	99	96		5.5
32	9	Do5	C5	318	318	1	8	312	99	96		5.6
33	9	Si4	B4	314	314	1	8	312	99	96		5.7
34	9	Do5	C5	318	318	3	8	938	95	96		6
35	9			-1	-1	1	4	625	100	0		6.2
36	9	Re5	D5	327	327	1	8	312	95	96	bu 	6.3
37	9	Mi5b1	E5b1	335	335	1	8	312	99	96	de	6.4
38	9	Fa5	F5	340	340	1	8	312	95	96		6.5
39	9	Sol5	G5	349	349	1	8	312	99	96	rin 	6.6
40	9	La5	A5	358	358	1	8	312	99	96		6.7
41	9	Fa5	F5	340	340	1	8	312	99	96		6.8
42	9	Mi5b1	E5b1	335	335	1	8	312	99	96		6.9
43	9	Re5	D5	327	327	1	8	312	95	96		7
44	9	Sol5	G5	349	349	3	16	469	99	96	sev	7.15
45	9	Fa5	F5	340	340	1	16	156	99	96		7.2
46	9	Mi5b5	E5b5	331	331	1	8	312	95	96		7.3
47	9	Mi5b5	E5b5	331	331	1	8	312	99	96	da	7.4
48	9	Re5	D5	327	327	1	8	312	95	96		7.5
49	9	Re5	D5	327	327	5	8	1563	95	96	ya  	8
50	9	Re5	D5	327	327	1	4	625	95	96	SAZ	8.2
51	9	Mi5b5	E5b5	331	331	1	8	312	95	96	.	8.3
52	9	Re5	D5	327	327	1	8	312	95	96	.	8.4
53	9	Do5	C5	318	318	1	8	312	95	96	.	8.5
54	9	Si4b5	B4b5	309	309	1	8	312	95	96	.	8.6
55	9	La4	A4	305	305	1	8	312	95	96	.	8.7
56	9	Sol4	G4	296	296	3	8	938	95	96	.	9
57	52			0	0	1	8	0	127	65		9.1
58	9			-1	-1	1	4	625	100	0		9.3
59	9	Re5	D5	327	327	1	8	312	95	96	Gü	9.4
60	9	Re5	D5	327	327	1	4	625	95	96	zel 	9.6
61	9	Re5	D5	327	327	1	4	625	95	96	bir 	9.8
