Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	3	8	938	50	96	ARANAÐME 	0.3
2	9	Si4b5	B4b5	309	309	1	4	625	50	96	.	0.5
3	9	La4	A4	305	305	1	4	625	50	96	.	0.7
4	9	Re5	D5	327	327	3	8	938	50	96	.	1
5	9	Si4b5	B4b5	309	309	1	8	312	95	96	.	1.1
6	9	La4	A4	305	305	1	8	312	95	96	.	1.2
7	9	Sol4	G4	296	296	1	4	625	95	96	.	1.4
8	9	Fa4#4	F4#4	291	291	1	8	312	95	96	.	1.5
9	9	Sol4	G4	296	296	1	2	1250	95	96	.	1.9
10	9			-1	-1	1	8	312	100	0	.	2
11	9	Re5	D5	327	327	3	8	938	50	96	.	2.3
12	9	Fa5	F5	340	340	1	4	625	50	96	.	2.5
13	9	Mi5b5	E5b5	331	331	1	4	625	50	96	.	2.7
14	9	Sol5	G5	349	349	3	8	938	50	96	.	3
15	9	La5	A5	358	358	1	8	312	95	96	.	3.1
16	9	Sol5	G5	349	349	1	8	312	95	96	.	3.2
17	9	Fa5	F5	340	340	1	4	625	95	96	.	3.4
18	9	Mi5b5	E5b5	331	331	1	8	312	95	96	.	3.5
19	9	Re5	D5	327	327	1	2	1250	95	96	.	3.9
20	9			-1	-1	1	8	312	100	0		4
21	9	Re5	D5	327	327	1	4	625	95	96	.	4.2
22	9	Si5b5	B5b5	362	362	3	8	938	95	96	.	4.5
23	9	La5	A5	358	358	1	4	625	95	96	.	4.7
24	9	Sol5	G5	349	349	1	4	625	95	96	.	4.9
25	9	Fa5	F5	340	340	1	8	312	95	96	.	5
26	9	Sol5	G5	349	349	1	8	312	95	96	.	5.1
27	9	Fa5	F5	340	340	1	8	312	95	96	.	5.2
28	9	Mi5b5	E5b5	331	331	1	4	625	95	96	.	5.4
29	9	Re5	D5	327	327	1	8	312	95	96	.	5.5
30	9	Mi5b5	E5b5	331	331	1	2	1250	95	96	.	5.9
31	9			-1	-1	1	8	312	100	0	.	6
32	9	Re5	D5	327	327	1	8	312	95	96	.	6.1
33	9	Si4b5	B4b5	309	309	1	8	312	95	96	.	6.2
