Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	417	100	0		0.125
2	9	Sol4	G4	296	296	1	8	417	95	96	ARANAÐME 	0.25
3	9	La4	A4	305	305	1	8	417	95	96	.	0.375
4	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	0.5
5	9	Sol4	G4	296	296	1	8	417	95	96	.	0.625
6	9	La4	A4	305	305	1	8	417	95	96	.	0.75
7	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	0.875
8	9	Do5	C5	318	318	1	8	417	95	96	.	1
9	9	Do5	C5	318	318	1	16	208	95	96	.	1.0625
10	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	1.125
11	9	La4	A4	305	305	5	8	2083	95	96	.	1.75
12	9			-1	-1	1	4	833	100	0	.	2
13	9			-1	-1	1	8	417	100	0	.	2.125
14	9	La4	A4	305	305	1	8	417	95	96	.	2.25
15	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	2.375
16	9	Do5	C5	318	318	1	8	417	95	96	.	2.5
17	9	La4	A4	305	305	1	8	417	95	96	.	2.625
18	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	2.75
19	9	Do5	C5	318	318	1	8	417	95	96	.	2.875
20	9	Re5	D5	327	327	1	8	417	95	96	.	3
21	9	Fa5	F5	340	340	1	16	208	95	96	.	3.0625
22	9	Mi5b5	E5b5	331	331	1	16	208	95	96	.	3.125
23	9	Re5	D5	327	327	3	8	1250	95	96	.	3.5
24	9			-1	-1	1	2	1667	100	0	.	4
25	9			-1	-1	1	8	417	100	0	.	4.125
26	9	Sol5	G5	349	349	1	8	417	95	96	.	4.25
27	9	La5	A5	358	358	1	8	417	95	96	.	4.375
28	9	Si5b5	B5b5	362	362	1	8	417	95	96	.	4.5
29	9			-1	-1	1	8	417	100	0	.	4.625
30	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	4.75
31	9	Fa5	F5	340	340	1	8	417	95	96	.	4.875
32	9	Sol5	G5	349	349	1	8	417	95	96	.	5
33	9			-1	-1	1	8	417	100	0	.	5.125
34	9	Re5	D5	327	327	1	8	417	95	96	.	5.25
35	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	5.375
36	9	Fa5	F5	340	340	1	8	417	95	96	.	5.5
37	9			-1	-1	1	8	417	100	0	.	5.625
38	9	Do5	C5	318	318	1	8	417	95	96	.	5.75
39	9	Re5	D5	327	327	1	8	417	95	96	.	5.875
40	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	6
41	9			-1	-1	1	8	417	100	0	.	6.125
42	9	La4	A4	305	305	1	8	417	95	96	.	6.25
43	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	6.375
44	9	Do5	C5	318	318	1	8	417	95	96	.	6.5
45	9	Re5	D5	327	327	1	8	417	95	96	.	6.625
46	9	La4	A4	305	305	1	8	417	95	96	.	6.75
47	9	Si4b5	B4b5	309	309	1	4	833	95	96	.	7
48	9	Fa4#4	F4#4	291	291	1	8	417	95	96	.	7.125
49	9	Sol4	G4	296	296	5	8	2083	95	96	.	7.75
50	9			-1	-1	1	4	833	100	0	.	8
51	52			0	0	1	8	0	127	17		8.125
52	9			-1	-1	1	8	417	100	0		8.25
53	9	Sol4	G4	296	296	1	8	417	95	96	ARANAÐME 	8.375
54	9	La4	A4	305	305	1	8	417	95	96	.	8.5
55	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	8.625
56	9	Sol4	G4	296	296	1	8	417	95	96	.	8.75
57	9	La4	A4	305	305	1	8	417	95	96	.	8.875
58	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	9
59	9	Do5	C5	318	318	1	8	417	95	96	.	9.125
60	9	Do5	C5	318	318	1	16	208	95	96	.	9.1875
61	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	9.25
62	9	La4	A4	305	305	5	8	2083	95	96	.	9.875
63	9			-1	-1	1	4	833	100	0	.	10.125
64	9			-1	-1	1	8	417	100	0	.	10.25
65	9	La4	A4	305	305	1	8	417	95	96	.	10.375
66	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	10.5
67	9	Do5	C5	318	318	1	8	417	95	96	.	10.625
68	9	La4	A4	305	305	1	8	417	95	96	.	10.75
69	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	10.875
70	9	Do5	C5	318	318	1	8	417	95	96	.	11
71	9	Re5	D5	327	327	1	8	417	95	96	.	11.125
72	9	Fa5	F5	340	340	1	16	208	95	96	.	11.1875
73	9	Mi5b5	E5b5	331	331	1	16	208	95	96	.	11.25
74	9	Re5	D5	327	327	3	8	1250	95	96	.	11.625
75	9			-1	-1	1	2	1667	100	0	.	12.125
76	9			-1	-1	1	8	417	100	0	.	12.25
77	9	Sol5	G5	349	349	1	8	417	95	96	.	12.375
78	9	La5	A5	358	358	1	8	417	95	96	.	12.5
79	9	Si5b5	B5b5	362	362	1	8	417	95	96	.	12.625
80	9			-1	-1	1	8	417	100	0	.	12.75
81	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	12.875
82	9	Fa5	F5	340	340	1	8	417	95	96	.	13
83	9	Sol5	G5	349	349	1	8	417	95	96	.	13.125
84	9			-1	-1	1	8	417	100	0	.	13.25
85	9	Re5	D5	327	327	1	8	417	95	96	.	13.375
86	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	13.5
87	9	Fa5	F5	340	340	1	8	417	95	96	.	13.625
88	9			-1	-1	1	8	417	100	0	.	13.75
89	9	Do5	C5	318	318	1	8	417	95	96	.	13.875
90	9	Re5	D5	327	327	1	8	417	95	96	.	14
91	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	14.125
92	9			-1	-1	1	8	417	100	0	.	14.25
93	9	La4	A4	305	305	1	8	417	95	96	.	14.375
94	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	14.5
95	9	Do5	C5	318	318	1	8	417	95	96	.	14.625
96	9	Re5	D5	327	327	1	8	417	95	96	.	14.75
97	9	La4	A4	305	305	1	8	417	95	96	.	14.875
98	9	Si4b5	B4b5	309	309	1	4	833	95	96	.	15.125
99	9	Fa4#4	F4#4	291	291	1	8	417	95	96	.	15.25
100	9	Sol4	G4	296	296	5	8	2083	95	96	.	15.875
101	9			-1	-1	1	4	833	100	0	.	16.125
102	9	Sol4	G4	296	296	1	8	417	95	96	.	16.25
103	9	Sol4	G4	296	296	1	8	417	95	96	Ay	16.375
104	9	La4	A4	305	305	1	8	417	95	96	rý	16.5
105	9	Si4b5	B4b5	309	309	1	8	417	95	96	lýk 	16.625
106	9	Do5	C5	318	318	1	8	417	95	96	bü	16.75
107	9	Re5	D5	327	327	1	8	417	95	96	kü	16.875
108	9	Mi5b5	E5b5	331	331	1	16	208	99	96	ver	16.9375
109	9	Fa5	F5	340	340	1	16	208	99	96		17
110	9	Mi5b5	E5b5	331	331	1	16	208	99	96		17.0625
111	9	Re5	D5	327	327	1	16	208	95	96		17.125
112	9	Re5	D5	327	327	3	4	2500	95	96	di 	17.875
113	9			-1	-1	1	4	833	100	0		18.125
114	9			-1	-1	1	8	417	100	0		18.25
115	9	Sol5	G5	349	349	1	4	833	99	96	boy	18.5
116	9	Fa5	F5	340	340	1	8	417	99	96		18.625
117	9	Mi5b5	E5b5	331	331	1	8	417	99	96		18.75
118	9	Re5	D5	327	327	1	8	417	99	96		18.875
