Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	8	417	95	96	SAZ	5.555556E-02
2	7	Sol5	G5	349	349	8	32	833	95	96	.	0.1666667
3	9	Sol5	G5	349	349	1	8	417	50	96	.	0.2222222
4	9	Fa5	F5	340	340	1	16	208	95	96	.	0.25
5	9	Mi5	E5	336	336	1	16	208	95	96	.	0.2777778
6	9	Fa5	F5	340	340	1	16	208	95	96	.	0.3055556
7	9	Sol5	G5	349	349	1	16	208	95	96	.	0.3333333
8	9	Mi5	E5	336	336	1	4	833	95	96	.	0.4444444
9	10	Mi5	E5	336	336	1	8	417	95	96	.	0.5
10	8	Sol5	G5	349	349	0	0	0	95	96	.	0.5
11	10	Fa5	F5	340	340	1	16	208	95	96	.	0.5277778
12	8	Sol5	G5	349	349	0	0	0	95	96	.	0.5277778
13	9	Mi5	E5	336	336	1	16	208	95	96	.	0.5555556
14	9	Fa5	F5	340	340	1	8	417	95	96	.	0.6111111
15	9	Sol5	G5	349	349	1	8	417	95	96	.	0.6666667
16	10	Mi5	E5	336	336	1	8	417	95	96	.	0.7222222
17	8	Sol5	G5	349	349	0	0	0	95	96	.	0.7222222
18	10	Fa5	F5	340	340	1	16	208	95	96	.	0.75
19	8	Sol5	G5	349	349	0	0	0	95	96	.	0.75
20	9	Mi5	E5	336	336	1	16	208	95	96	.	0.7777778
21	9	Re5	D5	327	327	1	4	833	95	96	.	0.8888889
22	9	Mi5	E5	336	336	1	8	417	95	96	.	0.9444444
23	9	Mi5	E5	336	336	1	16	208	95	96	.	0.9722222
24	9	Sol5	G5	349	349	1	16	208	95	96	.	1
25	9	Fa5	F5	340	340	1	8	417	95	96	.	1.055556
26	9	Mi5	E5	336	336	1	8	417	95	96	.	1.111111
27	9	Re5	D5	327	327	1	16	208	95	96	.	1.138889
28	9	Do5#4	C5#4	322	322	1	16	208	95	96	.	1.166667
29	9	Re5	D5	327	327	1	16	208	95	96	.	1.194444
30	9	Mi5	E5	336	336	1	16	208	95	96	.	1.222222
31	9	Do5#4	C5#4	322	322	1	4	833	95	96	.	1.333333
32	10	Mi5	E5	336	336	1	8	417	95	96	.	1.388889
33	8	Sol5	G5	349	349	0	0	0	95	96	.	1.388889
34	10	Fa5	F5	340	340	1	16	208	95	96	.	1.416667
35	8	Sol5	G5	349	349	0	0	0	95	96	.	1.416667
36	9	Mi5	E5	336	336	1	16	208	95	96	.	1.444444
37	10	Re5	D5	327	327	1	8	417	95	96	.	1.5
38	8	Mi5	E5	336	336	0	0	0	95	96	.	1.5
39	10	Re5	D5	327	327	1	16	208	95	96	.	1.527778
40	8	Mi5	E5	336	336	0	0	0	95	96	.	1.527778
41	9	Do5#4	C5#4	322	322	1	16	208	95	96	.	1.555556
42	9	Si4b4	B4b4	310	310	1	4	833	95	96	.	1.666667
43	9			-1	-1	1	8	417	100	0	.	1.722222
44	9	Re5	D5	327	327	1	16	208	50	96	.	1.75
45	9	Do5#4	C5#4	322	322	1	16	208	50	96	.	1.777778
46	9	Si4b4	B4b4	310	310	1	4	833	95	96	.	1.888889
47	9			-1	-1	1	4	833	100	0	.	2
48	10	Re5	D5	327	327	1	8	417	95	96	.	2.055556
49	8	Fa5	F5	340	340	0	0	0	95	96	.	2.055556
50	9	Mi5	E5	336	336	1	16	208	50	96	.	2.083333
51	9	Re5	D5	327	327	1	16	208	50	96	.	2.111111
52	9	Mi5	E5	336	336	1	8	417	50	96	.	2.166667
53	9	Mi5	E5	336	336	1	8	417	50	96	.	2.222222
54	9	Re5	D5	327	327	1	16	208	95	96	.	2.25
55	9	Do5#4	C5#4	322	322	1	16	208	95	96	.	2.277778
56	9	Re5	D5	327	327	1	16	208	95	96	.	2.305556
57	9	Mi5	E5	336	336	1	16	208	95	96	.	2.333333
58	9	Do5#4	C5#4	322	322	1	4	833	95	96	.	2.444444
59	10	Re5	D5	327	327	1	8	417	95	96	.	2.5
60	8	Mi5	E5	336	336	0	0	0	95	96	.	2.5
61	9	Re5	D5	327	327	1	16	208	95	96	.	2.527778
62	9	Do5#4	C5#4	322	322	1	16	208	95	96	.	2.555556
63	9	Re5	D5	327	327	1	8	417	95	96	.	2.611111
64	9	Mi5	E5	336	336	1	8	417	95	96	.	2.666667
