Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	8	417	99	96	Bil	0.05
2	9	Mi5	E5	336	336	1	4	833	99	96		0.15
3	9	Fa5#5	F5#5	345	345	1	8	417	95	96		0.2
4	9	Sol5	G5	349	349	1	8	417	99	96	mem 	0.25
5	9	Fa5#5	F5#5	345	345	1	8	417	99	96		0.3
6	9	Mi5	E5	336	336	1	8	417	99	96		0.35
7	9	Re5	D5	327	327	1	8	417	99	96		0.4
8	10	Mi5	E5	336	336	1	8	417	99	96		0.45
9	8	Sol5	G5	349	349	0	0	0	99	96		0.45
10	9	Fa5#5	F5#5	345	345	1	16	208	99	96		0.475
11	11	Mi5	E5	336	336	1	16	208	99	96		0.5
12	9	Mi5	E5	336	336	1	4	833	95	96		0.6
13	9	Re5	D5	327	327	1	8	417	95	96	ki 	0.65
14	9	Mi5	E5	336	336	1	16	208	99	96	ne 	0.675
15	9	Fa5#5	F5#5	345	345	1	16	208	95	96		0.7
16	9	Mi5	E5	336	336	1	16	208	99	96	yap	0.725
17	9	Re5	D5	327	327	1	16	208	99	96		0.75
18	9	Do5#3	C5#4	321	322	1	16	208	99	96		0.775
19	9	Si4	B4	314	314	1	16	208	99	96		0.8
20	9	Do5#3	C5#4	321	322	3	8	1250	95	96		0.95
21	9			-1	-1	1	8	417	100	0		1
22	9	La4	A4	305	305	3	16	625	99	96	tým 	1.075
23	9	Si4	B4	314	314	1	16	208	99	96		1.1
24	9	Do5#3	C5#4	321	322	1	8	417	99	96		1.15
25	9	Re5	D5	327	327	1	8	417	99	96		1.2
26	9	Do5#3	C5#4	321	322	1	8	417	99	96		1.25
27	9	Re5	D5	327	327	1	16	208	99	96		1.275
28	9	Do5#3	C5#4	321	322	1	16	208	99	96		1.3
29	9	Si4	B4	314	314	1	4	833	99	96		1.4
30	9	Si4	B4	314	314	1	8	417	99	96		1.45
31	9	La4	A4	305	305	1	16	208	99	96		1.475
32	9	Si4	B4	314	314	1	16	208	95	96		1.5
33	9	Do5#3	C5#4	321	322	1	8	417	95	96	sa	1.55
34	9	Si4	B4	314	314	1	16	208	99	96	na 	1.575
35	11	La4	A4	305	305	1	16	208	95	96		1.6
36	9	La4	A4	305	305	3	4	2500	95	96	ben 	1.9
37	9			-1	-1	1	4	833	100	0		2
38	9	La4	A4	305	305	1	16	208	99	96	ney	2.025
39	9	Si4	B4	314	314	1	16	208	99	96		2.05
40	9	Do5#3	C5#4	321	322	1	16	208	99	96		2.075
41	9	Re5	D5	327	327	1	16	208	99	96		2.1
42	9	Do5#3	C5#4	321	322	1	8	417	99	96		2.15
43	9	Re5	D5	327	327	1	16	208	99	96		2.175
44	9	Mi5	E5	336	336	1	16	208	99	96		2.2
45	9	Re5	D5	327	327	1	8	417	99	96		2.25
46	9	Mi5	E5	336	336	1	16	208	99	96		2.275
47	9	Fa5#5	F5#5	345	345	1	16	208	99	96		2.3
48	9	Mi5	E5	336	336	1	16	208	99	96		2.325
49	9	Re5	D5	327	327	1	16	208	99	96		2.35
50	9	Do5#3	C5#4	321	322	1	16	208	99	96		2.375
51	9	Re5	D5	327	327	1	16	208	99	96		2.4
52	9	Mi5	E5	336	336	3	8	1250	95	96		2.55
53	9			-1	-1	1	8	417	100	0		2.6
54	9	Mi5	E5	336	336	1	8	417	95	96	le	2.65
55	9	Mi5	E5	336	336	1	8	417	95	96	dim_	2.7
56	9	Mi5	E5	336	336	1	8	417	99	96	â	2.75
57	9	Re5	D5	327	327	1	8	417	99	96		2.8
58	9	Do5#3	C5#4	321	322	1	8	417	99	96		2.85
59	9	Si4	B4	314	314	1	8	417	99	96		2.9
60	9	Do5#3	C5#4	321	322	1	8	417	99	96		2.95
61	9	Re5	D5	327	327	1	16	208	99	96		2.975
62	9	Mi5	E5	336	336	1	16	208	95	96		3
63	9	Mi5	E5	336	336	1	16	208	99	96	yâ 	3.025
64	9	Re5	D5	327	327	1	16	208	99	96		3.05
65	9	Do5#3	C5#4	321	322	1	16	208	99	96		3.075
66	9	Si4	B4	314	314	1	16	208	99	96		3.1
67	9	Do5#3	C5#4	321	322	3	8	1250	95	96		3.25
68	9			-1	-1	1	8	417	100	0		3.3
69	9	Mi5	E5	336	336	3	16	625	99	96	gel 	3.375
70	9	Re5	D5	327	327	1	16	208	99	96		3.4
71	9	Do5#3	C5#4	321	322	3	16	625	99	96		3.475
72	9	Si4	B4	314	314	1	16	208	99	96		3.5
73	9	La4	A4	305	305	1	4	833	95	96		3.6
74	9	Do5#3	C5#4	321	322	1	8	417	99	96	câ	3.65
75	9	Re5	D5	327	327	1	16	208	99	96		3.675
76	9	Mi5	E5	336	336	1	16	208	95	96		3.7
77	9	Re5	D5	327	327	1	8	417	99	96	ným  	3.75
78	9	Mi5	E5	336	336	3	8	1250	95	96		3.9
79	9			-1	-1	1	4	833	100	0		4
80	9	Mi5	E5	336	336	1	8	417	99	96	Câ	4.05
81	9	Fa5#5	F5#5	345	345	1	4	833	99	96		4.15
82	9	Mi5	E5	336	336	1	8	417	95	96		4.2
83	9	Mi5	E5	336	336	3	16	625	99	96	ným 	4.275
84	9	Re5	D5	327	327	1	16	208	99	96		4.3
85	9	Do5#3	C5#4	321	322	1	4	833	99	96		4.4
86	9	Mi5	E5	336	336	1	8	417	99	96		4.45
87	9	Re5	D5	327	327	1	8	417	99	96		4.5
88	9	Do5#3	C5#4	321	322	1	8	417	99	96		4.55
89	9	Si4	B4	314	314	1	8	417	95	96		4.6
90	9	Do5#3	C5#4	321	322	1	8	417	95	96	ye 	4.65
91	9	Re5	D5	327	327	1	8	417	95	96	le 	4.7
92	9	Mi5	E5	336	336	1	2	1667	95	96	lel 	4.9
93	9			-1	-1	1	4	833	100	0		5
94	9	Mi5	E5	336	336	3	16	625	95	96	lel 	5.075
95	9	Fa5#5	F5#5	345	345	1	16	208	95	96	le 	5.1
96	9	Mi5	E5	336	336	1	8	417	99	96	lel 	5.15
97	9	Re5	D5	327	327	1	8	417	99	96		5.2
98	9	Do5#3	C5#4	321	322	1	8	417	99	96		5.25
99	9	Si4	B4	314	314	1	8	417	99	96		5.3
100	9	Do5#3	C5#4	321	322	1	4	833	95	96		5.4
101	9			-1	-1	1	4	833	100	0		5.5
102	9	Re5	D5	327	327	3	16	625	95	96	lel 	5.575
103	9	Mi5	E5	336	336	1	16	208	95	96	le 	5.6
104	9	Re5	D5	327	327	1	8	417	99	96	lel 	5.65
105	9	Do5#3	C5#4	321	322	1	8	417	99	96		5.7
106	9	Si4	B4	314	314	1	8	417	99	96		5.75
107	9	La4	A4	305	305	1	8	417	99	96		5.8
108	9	Si4	B4	314	314	1	4	833	95	96		5.9
109	9			-1	-1	1	4	833	100	0		6
110	9			-1	-1	1	8	417	100	0		6.05
111	9	La4	A4	305	305	1	4	833	95	96	le 	6.15
112	9	Si4	B4	314	314	1	8	417	95	96	le 	6.2
113	9	Do5#3	C5#4	321	322	1	8	417	99	96	lel 	6.25
114	9	Re5	D5	327	327	1	8	417	99	96		6.3
115	9	Do5#3	C5#4	321	322	1	8	417	99	96		6.35
116	9	Re5	D5	327	327	1	8	417	99	96		6.4
117	9	Do5#3	C5#4	321	322	1	8	417	99	96		6.45
118	9	Si4	B4	314	314	1	8	417	95	96		6.5
119	9	Do5#3	C5#4	321	322	3	16	625	99	96	lel 	6.575
120	9	Si4	B4	314	314	1	16	208	95	96		6.6
121	10	Si4	B4	314	314	1	8	417	95	96	le 	6.65
122	8	Do5#3	C5#4	321	322	0	0	0	95	96		6.65
123	9	Si4	B4	314	314	1	16	208	99	96	li 	6.675
124	11	La4	A4	305	305	1	16	208	95	96		6.7
125	9	La4	A4	305	305	3	4	2500	95	96	yâr  	7
126	9	Mi5	E5	336	336	1	4	833	95	96	Mî	7.1
127	9	Mi5	E5	336	336	1	4	833	95	96	rim 	7.2
128	9	Mi5	E5	336	336	1	8	417	95	96	te 	7.25
129	9	Fa5#5	F5#5	345	345	1	8	417	95	96	re 	7.3
130	9	Mi5	E5	336	336	1	4	833	50	96	lel 	7.4
131	9	Do5#3	C5#4	321	322	1	8	417	50	96	le 	7.45
132	9	Re5	D5	327	327	1	8	417	50	96	le 	7.5
133	9	Mi5	E5	336	336	1	4	833	50	96	lel 	7.6
134	9	Mi5	E5	336	336	1	8	417	50	96	le 	7.65
135	9	Re5	D5	327	327	1	8	417	50	96	le 	7.7
136	9	Do5#3	C5#4	321	322	1	4	833	50	96	lel 	7.8
137	9	Si4	B4	314	314	1	8	417	50	96	le 	7.85
138	9	Do5#3	C5#4	321	322	1	8	417	50	96	le 	7.9
