Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La5	A5	358	358	1	4	417	95	96	ARANAÐME	0.2222222
2	9	Sol5#3	G5#4	352	353	1	4	417	95	96	.	0.4444444
3	9	La5	A5	358	358	1	4	417	95	96	.	0.6666667
4	9	Do6#3	C6#4	374	375	1	8	208	95	96	.	0.7777778
5	9	Si5	B5	367	367	1	8	208	95	96	.	0.8888889
6	9	La5	A5	358	358	1	8	208	95	96	.	1
7	9	Fa5#5	F5#5	345	345	1	1	1667	95	96	.	1.888889
8	9			-1	-1	1	8	208	100	0	.	2
9	9	Sol5#3	G5#4	352	353	1	4	417	95	96	.	2.222222
10	9	Fa5#5	F5#5	345	345	1	4	417	95	96	.	2.444444
11	9	Sol5#3	G5#4	352	353	1	4	417	95	96	.	2.666667
12	9	Si5	B5	367	367	1	8	208	95	96	.	2.777778
13	9	La5	A5	358	358	1	8	208	95	96	.	2.888889
14	9	Fa5#5	F5#5	345	345	1	8	208	95	96	.	3
15	9	Mi5	E5	336	336	1	1	1667	95	96	.	3.888889
16	9			-1	-1	1	8	208	100	0		4
17	9	Re5	D5	327	327	1	4	417	95	96	.	4.222222
18	9	Do5#3	C5#4	321	322	1	4	417	95	96	.	4.444445
19	9	Re5	D5	327	327	1	4	417	95	96	.	4.666667
20	9	Mi5	E5	336	336	1	8	208	95	114	.	4.777778
21	9	Fa5#5	F5#5	345	345	1	8	208	95	115	.	4.888889
22	9	Sol5#3	G5#4	352	353	1	8	208	95	115	.	5
23	9	Do5#4	C5#4	322	322	1	4	417	95	116	.	5.222222
24	9	Si4#3	C5b1	317	317	1	4	417	95	116	.	5.444445
25	9	Do5#4	C5#4	322	322	1	4	417	95	117	.	5.666667
26	9	Re5	D5	327	327	1	8	208	95	118	.	5.777778
27	9	Mi5	E5	336	336	1	8	208	95	118	.	5.888889
28	9	Fa5#5	F5#5	345	345	1	8	208	95	119	.	6
29	9	Si4	B4	314	314	1	4	417	95	119	.	6.222222
30	9	La4#4	A4#4	309	309	1	4	417	95	120	.	6.444445
31	9	Si4	B4	314	314	1	4	417	95	121	.	6.666667
32	9	Do5#3	C5#4	321	322	1	8	208	95	121	.	6.777778
33	9	Si4	B4	314	314	1	8	208	95	122	.	6.888889
34	9	Do5#3	C5#4	321	322	1	8	208	95	122	.	7
35	9	La4	A4	305	305	1	2	833	95	123	.	7.444445
36	9			-1	-1	1	4	417	100	124	.	7.666667
37	9	Mi4	E4	283	283	1	8	208	95	124	.	7.777778
38	9	Sol4#3	G4#4	299	300	1	8	208	95	125	.	7.888889
39	9	Si4	B4	314	314	1	8	208	95	125	.	8
40	52			0	0	1	8	0	127	126		8.111111
41	9	Re5	D5	327	327	1	4	417	95	96	.	8.333333
42	9	Do5#3	C5#4	321	322	1	4	417	95	96	.	8.555555
43	9	Re5	D5	327	327	1	4	417	95	96	.	8.777778
44	9	Mi5	E5	336	336	1	8	208	95	96	.	8.888889
