Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	3	8	833	95	96	Â	0.3
2	9	Sol4	G4	296	296	1	4	556	95	96	þýk 	0.5
3	9	Sol4	G4	296	296	1	4	556	99	96	ol	0.7
4	9	Si4b1	B4b1	313	313	1	4	556	99	96		0.9
5	9	La4	A4	305	305	1	8	278	95	96		1
6	9	La4	A4	305	305	1	4	556	99	96	dur 	1.2
7	9	Si4b1	B4b1	313	313	1	4	556	99	96		1.4
8	9	La4	A4	305	305	1	8	278	99	96		1.5
9	9	Sol4	G4	296	296	1	4	556	99	96		1.7
10	9	Mi5	E5	336	336	1	4	556	99	96		1.9
11	9	Re5	D5	327	327	1	8	278	66	96		2
12	9	Re5	D5	327	327	1	4	556	99	96	kim 	2.2
13	9	Do5	C5	318	318	1	8	278	95	96		2.3
14	9	Do5	C5	318	318	1	8	278	99	96	ký	2.4
15	9	Si4b1	B4b1	313	313	1	8	278	95	96		2.5
16	9	Si4b1	B4b1	313	313	1	8	278	99	96	lar 	2.6
17	9	La4	A4	305	305	1	8	278	99	96		2.7
18	9	La4	A4	305	305	1	4	556	99	96		2.9
19	9	Sol4	G4	296	296	1	8	278	95	96		3
20	9	Sol4	G4	296	296	5	4	2778	95	96	câ	4
21	9	Do5	C5	318	318	1	4	556	99	96	nýn 	4.2
22	9	Si4b1	B4b1	313	313	1	8	278	95	96		4.3
23	9	Do5	C5	318	318	1	4	556	95	96	fe	4.5
24	9	Re5	D5	327	327	1	2	1112	95	96	dâ 	4.9
25	9			-1	-1	1	8	278	100	0		5
26	9	Mi5b4	E5b4	332	332	1	8	278	99	96	câ	5.1
27	9	Re5	D5	327	327	1	8	278	99	96		5.2
28	9	Mi5b4	E5b4	332	332	1	8	278	99	96		5.3
29	9	Fa5#4	F5#4	344	344	1	4	556	99	96		5.5
30	9	Re5	D5	327	327	1	8	278	99	96		5.6
31	9	Do5	C5	318	318	1	8	278	99	96		5.7
32	9	Si4b1	B4b1	313	313	3	8	833	95	96		6
33	10	Do5	C5	318	318	1	4	556	99	96	nâ	6.2
34	8	Re5	D5	327	327	0	0	0	99	96		6.2
35	9	Do5	C5	318	318	1	8	278	99	96		6.3
36	9	Re5	D5	327	327	1	4	556	99	96		6.5
37	9	Re5	D5	327	327	1	8	278	99	96		6.6
38	9	Do5	C5	318	318	1	8	278	99	96		6.7
39	9	Do5	C5	318	318	1	4	556	95	96		6.9
40	9	Si4b1	B4b1	313	313	1	8	278	95	96	ný	7
41	9	Si4b1	B4b1	313	313	1	4	556	95	96	na  	7.2
42	9	Mi5	E5	336	336	1	8	278	95	96	SAZ	7.3
43	9	Re5	D5	327	327	1	8	278	95	96	.	7.4
44	9	Do5	C5	318	318	1	8	278	95	96	.	7.5
45	9	Si4b1	B4b1	313	313	1	8	278	95	96	.	7.6
46	9	La4	A4	305	305	1	8	278	95	96	.	7.7
47	9	Sol4	G4	296	296	1	4	556	95	96	.	7.9
48	9			-1	-1	1	8	278	100	0		8
49	52			0	0	1	8	0	127	89		8.1
50	9	Sol4	G4	296	296	3	8	833	95	96	Â	8.4
51	9	Sol4	G4	296	296	1	4	556	95	96	þýk 	8.6
52	9	Sol4	G4	296	296	1	4	556	99	96	ol	8.8
53	9	Si4b1	B4b1	313	313	1	4	556	99	96		9
54	9	La4	A4	305	305	1	8	278	95	96		9.1
55	9	La4	A4	305	305	1	4	556	99	96	dur 	9.3
56	9	Si4b1	B4b1	313	313	1	4	556	99	96		9.5
57	9	La4	A4	305	305	1	8	278	99	96		9.6
58	9	Sol4	G4	296	296	1	4	556	99	96		9.8
59	9	Mi5	E5	336	336	1	4	556	99	96		10
60	9	Re5	D5	327	327	1	8	278	66	96		10.1
61	9	Re5	D5	327	327	1	4	556	99	96	kim 	10.3
62	9	Do5	C5	318	318	1	8	278	95	96		10.4
63	9	Do5	C5	318	318	1	8	278	99	96	ký	10.5
64	9	Si4b1	B4b1	313	313	1	8	278	95	96		10.6
65	9	Si4b1	B4b1	313	313	1	8	278	99	96	lar 	10.7
66	9	La4	A4	305	305	1	8	278	99	96		10.8
67	9	La4	A4	305	305	1	4	556	99	96		11
68	9	Sol4	G4	296	296	1	8	278	95	96		11.1
69	9	Sol4	G4	296	296	5	4	2778	95	96	câ	12.1
70	9	Do5	C5	318	318	1	4	556	99	96	nýn 	12.3
71	9	Si4b1	B4b1	313	313	1	8	278	95	96		12.4
72	9	Do5	C5	318	318	1	4	556	95	96	fe	12.6
73	9	Re5	D5	327	327	1	2	1112	95	96	dâ 	13
74	9			-1	-1	1	8	278	100	0		13.1
75	9	Mi5b4	E5b4	332	332	1	8	278	99	96	câ	13.2
76	9	Re5	D5	327	327	1	8	278	99	96		13.3
77	9	Mi5b4	E5b4	332	332	1	8	278	99	96		13.4
78	9	Fa5#4	F5#4	344	344	1	4	556	99	96		13.6
79	9	Re5	D5	327	327	1	8	278	99	96		13.7
80	9	Do5	C5	318	318	1	8	278	99	96		13.8
81	9	Si4b1	B4b1	313	313	3	8	833	95	96		14.1
82	10	Do5	C5	318	318	1	4	556	99	96	nâ	14.3
83	8	Re5	D5	327	327	0	0	0	99	96		14.3
84	9	Do5	C5	318	318	1	8	278	99	96		14.4
85	9	Re5	D5	327	327	1	4	556	99	96		14.6
86	9	Re5	D5	327	327	1	8	278	99	96		14.7
87	9	Do5	C5	318	318	1	8	278	99	96		14.8
88	9	Do5	C5	318	318	1	4	556	95	96		15
89	9	Si4b1	B4b1	313	313	1	8	278	95	96	ný	15.1
90	9	Si4b1	B4b1	313	313	1	4	556	95	96	na  	15.3
91	9	Mi5	E5	336	336	1	8	278	95	96	SAZ	15.4
92	9	Re5	D5	327	327	1	8	278	95	96	.	15.5
93	9	Do5	C5	318	318	1	8	278	95	96	.	15.6
94	9	Si4b1	B4b1	313	313	1	8	278	95	96	.	15.7
95	9	Do5	C5	318	318	1	8	278	95	96	.	15.8
96	9	Re5	D5	327	327	1	4	556	95	96	.	16
97	9			-1	-1	1	8	278	100	0		16.1
98	9	Do5	C5	318	318	3	8	833	95	96	Meyl_	16.4
99	9	Re5	D5	327	327	1	4	556	95	96	i 	16.6
100	9	Re5	D5	327	327	1	4	556	99	96	câ	16.8
101	9	Do5	C5	318	318	1	4	556	99	96		17
102	9	Si4b1	B4b1	313	313	1	8	278	95	96		17.1
103	9	Do5	C5	318	318	3	8	833	99	96	nân 	17.4
104	9	Do5	C5	318	318	1	8	278	99	96		17.5
105	9	Si4b1	B4b1	313	313	1	8	278	99	96		17.6
106	9	Si4b1	B4b1	313	313	1	8	278	99	96		17.7
107	9	La4	A4	305	305	1	2	1112	66	96		18.1
108	9	Si4b1	B4b1	313	313	1	4	556	99	96	et	18.3
109	9	La4	A4	305	305	1	8	278	95	96		18.4
110	9	Si4b1	B4b1	313	313	1	4	556	95	96	me	18.6
111	9	Do5	C5	318	318	1	4	556	99	96	sin 	18.8
112	9	Re5	D5	327	327	1	4	556	99	96		19
113	9	Do5	C5	318	318	1	8	278	95	96		19.1
114	9	Si4b1	B4b1	313	313	3	8	833	99	96	her 	19.4
115	9	Si4b1	B4b1	313	313	1	8	278	99	96		19.5
116	9	La4	A4	305	305	1	8	278	99	96		19.6
117	9	La4	A4	305	305	1	8	278	99	96		19.7
118	9	Sol4	G4	296	296	1	8	278	99	96		19.8
119	9	Sol4	G4	296	296	1	4	556	95	96		20
120	9			-1	-1	1	8	278	100	0		20.1
121	9	Sol4	G4	296	296	3	8	833	95	96	kim 	20.4
122	9	La4	A4	305	305	1	4	556	95	96	ki 	20.6
123	9	Si4b1	B4b1	313	313	1	4	556	99	96	kýy	20.8
124	9	La4	A4	305	305	1	4	556	99	96		21
125	9	Sol4	G4	296	296	1	8	278	95	96		21.1
126	9	Do5	C5	318	318	3	8	833	99	96	maz 	21.4
127	9	Re5	D5	327	327	1	4	556	99	96		21.6
128	9	Si4b1	B4b1	313	313	1	8	278	99	96		21.7
129	9	La4	A4	305	305	1	8	278	99	96		21.8
130	9	Sol4	G4	296	296	1	4	556	95	96		22
131	9			-1	-1	1	8	278	100	0		22.1
132	9	Re5	D5	327	327	1	2	1111	99	96	câ	22.5
133	9	Do5#4	C5#4	322	322	1	16	139	99	96		22.55
134	11	Si4b4	B4b4	310	310	1	16	139	99	96		22.6
135	9	Si4b4	B4b4	310	310	1	2	1111	95	96		23
136	9	La4	A4	305	305	1	16	139	95	96	ný	23.05
137	11	Sol4	G4	296	296	1	16	139	95	96		23.1
138	9	Sol4	G4	296	296	5	8	1389	95	96	na  	23.6
139	9	Si4b1	B4b1	313	313	1	8	278	95	96	SAZ	23.7
140	9	Do5	C5	318	318	1	8	278	95	96	.	23.8
141	9	Re5	D5	327	327	1	4	556	95	96	.	24
142	9			-1	-1	1	8	278	100	0		24.1
143	9	Do5	C5	318	318	3	8	833	95	96	Meyl_	24.4
144	9	Re5	D5	327	327	1	4	556	95	96	i 	24.6
145	9	Re5	D5	327	327	1	4	556	99	96	câ	24.8
146	9	Do5	C5	318	318	1	4	556	99	96		25
147	9	Si4b1	B4b1	313	313	1	8	278	95	96		25.1
148	9	Do5	C5	318	318	3	8	833	99	96	nân 	25.4
149	9	Do5	C5	318	318	1	8	278	99	96		25.5
150	9	Si4b1	B4b1	313	313	1	8	278	99	96		25.6
151	9	Si4b1	B4b1	313	313	1	8	278	99	96		25.7
152	9	La4	A4	305	305	1	2	1112	66	96		26.1
