Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	909	95	96	Eh	0.2857143
2	9	La4	A4	305	305	1	8	455	95	96	li	0.4285714
3	9	Si4b1	B4b1	313	313	1	8	455	99	96	dil	0.5714286
4	9	Do5	C5	318	318	1	8	455	99	96		0.7142857
5	8	Re5	D5	327	327	0	0	0	95	96		0.7142857
6	9	Do5	C5	318	318	1	16	227	99	96	i	0.7857143
7	9	Si4b1	B4b1	313	313	1	8	455	99	96		0.9285714
8	9	La4	A4	305	305	1	16	227	95	96		1
9	9	Si4b1	B4b1	313	313	1	16	227	99	96	sen	1.071429
10	9	La4	A4	305	305	1	16	227	99	96		1.142857
11	9	Sol4	G4	296	296	1	8	455	99	96		1.285714
12	9	La4	A4	305	305	1	8	455	99	96		1.428571
13	9	Si4b1	B4b1	313	313	1	8	455	99	96		1.571429
14	9	Do5	C5	318	318	1	8	455	99	96		1.714286
15	9	Si4b1	B4b1	313	313	3	16	682	99	96		1.928571
16	9	La4	A4	305	305	1	16	227	95	96		2
17	9	Re5	D5	327	327	3	16	682	99	96	ken	2.214286
18	9	Do5	C5	318	318	1	16	227	95	96		2.285714
19	9	Do5	C5	318	318	1	16	227	99	96	di	2.357143
20	9	Si4b1	B4b1	313	313	1	16	227	95	96		2.428571
21	9	Si4b1	B4b1	313	313	3	16	682	99	96	ne	2.642857
22	9	La4	A4	305	305	1	16	227	99	96		2.714286
23	9	La4	A4	305	305	1	32	114	99	96		2.75
24	9	Sol4	G4	296	296	1	32	114	99	96		2.785714
25	9	La4	A4	305	305	1	32	114	99	96		2.821429
26	9	Si4b1	B4b1	313	313	1	32	114	99	96		2.857143
27	9	La4	A4	305	305	1	16	227	99	96		2.928571
28	9	Sol4	G4	296	296	1	16	227	95	96		3
29	9	Sol4	G4	296	296	3	4	2728	95	96	zevk	3.857143
30	9			-1	-1	1	8	455	100	0		4
31	9	Sol4	G4	296	296	1	8	455	99	96	ey 	4.142857
32	9	La4	A4	305	305	1	8	455	99	96		4.285714
33	9	Si4b1	B4b1	313	313	1	8	455	99	96		4.428571
34	9	Do5	C5	318	318	3	16	682	99	96		4.642857
35	9	Si4b1	B4b1	313	313	1	16	227	99	96		4.714286
36	9	Si4b1	B4b1	313	313	3	32	341	99	96		4.821429
37	9	La4	A4	305	305	1	32	114	99	96		4.857143
38	9	Si4b1	B4b1	313	313	1	16	227	99	96		4.928571
39	9	Do5	C5	318	318	1	16	227	99	96		5
40	9	Si4b1	B4b1	313	313	1	8	455	99	96		5.142857
41	9	Do5	C5	318	318	1	8	455	99	96		5.285714
42	9	Re5	D5	327	327	1	8	455	99	96		5.428571
43	9	Mi5b4	E5b4	332	332	1	32	114	99	96		5.464286
44	9	Re5	D5	327	327	1	32	114	99	96		5.5
45	9	Mi5b4	E5b4	332	332	1	32	114	99	96		5.535714
46	9	Fa5#4	F5#4	344	344	1	32	114	99	96		5.571429
47	9	Mi5b4	E5b4	332	332	1	16	227	99	96		5.642857
48	9	Re5	D5	327	327	1	16	227	99	96		5.714286
49	9	Re5	D5	327	327	1	16	227	99	96		5.785714
50	9	Do5	C5	318	318	1	16	227	99	96		5.857143
51	9	Do5	C5	318	318	1	16	227	99	96		5.928571
52	9	Si4b1	B4b1	313	313	1	16	227	95	96		6
53	9	Fa5#4	F5#4	344	344	3	16	682	99	96	ey	6.214286
54	9	Mi5b4	E5b4	332	332	1	16	227	95	96		6.285714
55	9	Mi5b4	E5b4	332	332	1	16	227	99	96	le	6.357143
56	9	Re5	D5	327	327	1	16	227	95	96		6.428571
57	9	Re5	D5	327	327	3	16	682	99	96	ce	6.642857
58	9	Mi5b4	E5b4	332	332	1	16	227	95	96		6.714286
59	9	Re5	D5	327	327	1	16	227	99	96	fâ	6.785714
60	9	Do5	C5	318	318	1	16	227	99	96		6.857143
61	9	Si4b1	B4b1	313	313	1	16	227	99	96		6.928571
62	9	Do5	C5	318	318	1	16	227	95	96		7
63	9	Re5	D5	327	327	3	4	2728	95	96	yý 	7.857143
64	9			-1	-1	1	8	455	100	0		8
65	9	Re5	D5	327	327	1	4	909	99	96	Mih	8.285714
66	9	Sol5	G5	349	349	1	8	455	95	96		8.428572
67	9	Sol5	G5	349	349	3	16	682	99	96	net	8.642858
