Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	8	294	95	96	ARANAÐME 	0.125
2	9	Re5	D5	327	327	1	16	147	95	96	.	0.1875
3	9	Mi5	E5	336	336	1	16	147	95	96	.	0.25
4	9	Do5	C5	318	318	1	16	147	95	96	.	0.3125
5	9	Re5	D5	327	327	1	16	147	95	96	.	0.375
6	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	0.4375
7	9	Do5	C5	318	318	1	16	147	95	96	.	0.5
8	9	La4	A4	305	305	1	4	588	95	96	.	0.75
9	9			-1	-1	1	4	588	100	0	.	1
10	9	Si4b1	B4b1	313	313	1	8	294	95	96	.	1.125
11	9	Do5	C5	318	318	1	16	147	95	96	.	1.1875
12	9	Re5	D5	327	327	1	16	147	95	96	.	1.25
13	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	1.3125
14	9	Do5	C5	318	318	1	16	147	95	96	.	1.375
15	9	La4	A4	305	305	1	16	147	95	96	.	1.4375
16	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	1.5
17	9	Sol4	G4	296	296	1	4	588	95	96	.	1.75
18	9			-1	-1	1	4	588	100	0	.	2
19	9	Re4	D4	274	274	1	8	294	95	96	.	2.125
20	9	Sol4	G4	296	296	1	4	588	95	96	.	2.375
21	9	La4	A4	305	305	1	8	294	95	96	.	2.5
22	9	Si4b1	B4b1	313	313	1	4	588	95	96	.	2.75
23	9	Do5	C5	318	318	1	4	588	95	96	.	3
24	9	Re5	D5	327	327	1	8	294	95	96	.	3.125
25	9	Do5	C5	318	318	1	8	294	95	96	.	3.25
26	9	Si4b1	B4b1	313	313	1	8	294	95	96	.	3.375
27	9	La4#4	A4#4	309	309	1	8	294	95	96	.	3.5
28	9	Si4b1	B4b1	313	313	1	4	588	95	96	.	3.75
29	9			-1	-1	1	4	588	100	0	.	4
30	9	Do5	C5	318	318	1	8	294	95	96	.	4.125
31	9	Re5	D5	327	327	1	16	147	95	96	.	4.1875
32	9	Mi5	E5	336	336	1	16	147	95	96	.	4.25
33	9	Do5	C5	318	318	1	16	147	95	96	.	4.3125
34	9	Re5	D5	327	327	1	16	147	95	96	.	4.375
35	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	4.4375
36	9	Do5	C5	318	318	1	16	147	95	96	.	4.5
37	9	La4	A4	305	305	1	4	588	95	96	.	4.75
38	9			-1	-1	1	4	588	100	0	.	5
39	9	Si4b1	B4b1	313	313	1	8	294	95	96	.	5.125
40	9	Do5	C5	318	318	1	16	147	95	96	.	5.1875
41	9	Re5	D5	327	327	1	16	147	95	96	.	5.25
42	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	5.3125
43	9	Do5	C5	318	318	1	16	147	95	96	.	5.375
44	9	La4	A4	305	305	1	16	147	95	96	.	5.4375
45	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	5.5
46	9	Sol4	G4	296	296	1	4	588	95	96	.	5.75
47	9			-1	-1	1	4	588	100	0	.	6
48	9	Re5	D5	327	327	1	8	294	95	96	.	6.125
49	9	Sol5	G5	349	349	1	8	294	95	96	.	6.25
50	9	Fa5	F5	340	340	1	8	294	95	96	.	6.375
51	9	Mi5	E5	336	336	1	8	294	95	96	.	6.5
52	9	Re5	D5	327	327	1	8	294	95	96	.	6.625
53	9	Do5	C5	318	318	1	8	294	95	96	.	6.75
54	9	Si4b1	B4b1	313	313	1	8	294	95	96	.	6.875
55	9	La4	A4	305	305	1	8	294	95	96	.	7
56	9	Re5	D5	327	327	1	8	294	95	96	.	7.125
57	9	Do5	C5	318	318	1	8	294	95	96	.	7.25
58	9	Si4b1	B4b1	313	313	1	8	294	95	96	.	7.375
59	9	La4	A4	305	305	1	8	294	95	96	.	7.5
60	9	Sol4	G4	296	296	1	2	1176	95	96	.	8
61	52			0	0	1	4	0	102	0		8.25
62	9	Do5	C5	318	318	1	8	294	95	96	ARANAÐME 	8.375
63	9	Re5	D5	327	327	1	16	147	95	96	.	8.4375
64	9	Mi5	E5	336	336	1	16	147	95	96	.	8.5
65	9	Do5	C5	318	318	1	16	147	95	96	.	8.5625
66	9	Re5	D5	327	327	1	16	147	95	96	.	8.625
67	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	8.6875
68	9	Do5	C5	318	318	1	16	147	95	96	.	8.75
69	9	La4	A4	305	305	1	4	588	95	96	.	9
70	9			-1	-1	1	4	588	100	0	.	9.25
71	9	Si4b1	B4b1	313	313	1	8	294	95	96	.	9.375
72	9	Do5	C5	318	318	1	16	147	95	96	.	9.4375
73	9	Re5	D5	327	327	1	16	147	95	96	.	9.5
74	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	9.5625
75	9	Do5	C5	318	318	1	16	147	95	96	.	9.625
76	9	La4	A4	305	305	1	16	147	95	96	.	9.6875
77	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	9.75
78	9	Sol4	G4	296	296	1	4	588	95	96	.	10
79	9			-1	-1	1	4	588	100	0	.	10.25
80	9	Re4	D4	274	274	1	8	294	95	96	.	10.375
81	9	Sol4	G4	296	296	1	4	588	95	96	.	10.625
82	9	La4	A4	305	305	1	8	294	95	96	.	10.75
83	9	Si4b1	B4b1	313	313	1	4	588	95	96	.	11
84	9	Do5	C5	318	318	1	4	588	95	96	.	11.25
85	9	Re5	D5	327	327	1	8	294	95	96	.	11.375
86	9	Do5	C5	318	318	1	8	294	95	96	.	11.5
87	9	Si4b1	B4b1	313	313	1	8	294	95	96	.	11.625
88	9	La4#4	A4#4	309	309	1	8	294	95	96	.	11.75
89	9	Si4b1	B4b1	313	313	1	4	588	95	96	.	12
90	9			-1	-1	1	4	588	100	0	.	12.25
91	9	Do5	C5	318	318	1	8	294	95	96	.	12.375
92	9	Re5	D5	327	327	1	16	147	95	96	.	12.4375
93	9	Mi5	E5	336	336	1	16	147	95	96	.	12.5
