Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5#4	C5#4	322	322	3	8	1184	95	96	1. HANE	0.375
2	8	Fa5#4	F5#4	344	344	0	0	0	95	96		0.375
3	9	Mi5b4	E5b4	332	332	1	8	395	95	96		0.5
4	9	Re5	D5	327	327	1	2	1579	100	96		1
5	9	Re5	D5	327	327	1	4	789	95	96		1.25
6	9	Mi5b4	E5b4	332	332	1	8	395	95	96		1.375
7	9	Fa5#4	F5#4	344	344	1	8	395	95	96		1.5
8	9	Mi5b4	E5b4	332	332	1	4	789	95	96		1.75
9	9	Re5	D5	327	327	1	4	789	95	96		2
10	9	Mi5b4	E5b4	332	332	3	16	592	95	96		2.1875
11	9	Re5	D5	327	327	1	16	197	95	90		2.25
12	9	Do5#4	C5#4	322	322	1	8	395	95	96		2.375
13	9	Re5	D5	327	327	1	8	395	95	96		2.5
14	9	Do5#4	C5#4	322	322	1	8	395	95	96		2.625
15	9	Re5	D5	327	327	1	8	395	95	96		2.75
16	9	Si4b4	B4b4	310	310	1	4	789	95	96		3
17	9	Do5#4	C5#4	322	322	1	8	395	95	96		3.125
18	9	Re5	D5	327	327	1	8	395	95	96		3.25
19	9	Si4b4	B4b4	310	310	1	8	395	95	96		3.375
20	9	Do5#4	C5#4	322	322	1	8	395	95	96		3.5
21	9	Re5	D5	327	327	1	8	395	95	96		3.625
22	9	Mi5b4	E5b4	332	332	1	8	395	95	96		3.75
23	9	Re5	D5	327	327	1	8	395	95	96		3.875
24	9	Do5#4	C5#4	322	322	1	8	395	95	96		4
25	9	Si4b4	B4b4	310	310	3	16	592	95	96		4.1875
26	9	La4	A4	305	305	1	16	197	95	90		4.25
27	9	Sol4	G4	296	296	1	8	395	95	96		4.375
28	9	Re5	D5	327	327	1	8	395	95	96		4.5
29	9	Do5#4	C5#4	322	322	1	4	789	95	96		4.75
30	9	Re5	D5	327	327	1	4	789	100	96		5
31	9	Re5	D5	327	327	1	8	395	95	96		5.125
32	9			-1	-1	1	8	395	100	0		5.25
33	9	Mi5b4	E5b4	332	332	1	8	395	95	96		5.375
34	9	Fa5#4	F5#4	344	344	1	8	395	95	96		5.5
35	9	Mi5b4	E5b4	332	332	1	8	395	95	96		5.625
36	9	Re5	D5	327	327	1	4	789	95	96		5.875
37	9	Mi5b4	E5b4	332	332	1	8	395	95	96		6
38	9	Re5	D5	327	327	1	16	197	95	96		6.0625
39	9	Do5#4	C5#4	322	322	1	16	197	95	90		6.125
40	9	Si4b4	B4b4	310	310	1	8	395	95	96		6.25
41	9	Do5#4	C5#4	322	322	1	8	395	95	96		6.375
42	9	Re5	D5	327	327	1	8	395	95	96		6.5
43	9	Do5#4	C5#4	322	322	3	8	1184	95	96		6.875
44	9	Si4b4	B4b4	310	310	1	8	395	95	96		7
45	9	Re5	D5	327	327	1	2	1579	95	96		7.5
46	9			-1	-1	1	4	789	100	0		7.75
47	9	Mi5b4	E5b4	332	332	1	8	395	95	96		7.875
48	9	Fa5#4	F5#4	344	344	1	8	395	95	96		8
49	9	Re5	D5	327	327	1	4	789	95	96		8.25
50	9			-1	-1	1	4	789	100	0		8.5
51	9	Mi5b4	E5b4	332	332	1	8	395	95	96		8.625
52	9	Fa5#4	F5#4	344	344	1	8	395	95	96		8.75
53	9	Mi5b4	E5b4	332	332	1	8	395	95	96		8.875
54	9	Re5	D5	327	327	1	8	395	95	96		9
55	9	Mi5b4	E5b4	332	332	1	8	395	95	96		9.125
56	9	Fa5#4	F5#4	344	344	1	8	395	95	96		9.25
57	9	Sol5	G5	349	349	1	8	395	95	96		9.375
58	9	La5	A5	358	358	1	8	395	95	96		9.5
59	9	Fa5#4	F5#4	344	344	1	4	789	95	96		9.75
60	8	La5	A5	358	358	0	0	0	95	96		9.75
61	9	Sol5	G5	349	349	1	4	789	95	96		10
62	9	Fa5#4	F5#4	344	344	3	8	1184	95	96		10.375
63	9	La5	A5	358	358	1	8	395	95	96		10.5
64	9	Sol5	G5	349	349	3	8	1184	95	96		10.875
65	9	Fa5#4	F5#4	344	344	1	8	395	95	96		11
66	9	Sol5	G5	349	349	1	8	395	95	96		11.125
67	8	La5	A5	358	358	0	0	0	95	96		11.125
68	9	Sol5	G5	349	349	1	16	197	95	96		11.1875
69	9	Fa5#4	F5#4	344	344	1	16	197	95	90		11.25
70	9	Mi5b4	E5b4	332	332	1	8	395	95	96		11.375
71	8	Fa5#4	F5#4	344	344	0	0	0	95	96		11.375
72	9	Mi5b4	E5b4	332	332	1	16	197	95	96		11.4375
73	9	Re5	D5	327	327	1	16	197	95	90		11.5
74	9	Do5	C5	318	318	1	4	789	95	96		11.75
75	9	Fa5#4	F5#4	344	344	1	8	395	95	96		11.875
76	9	Mi5b4	E5b4	332	332	1	16	197	95	96		11.9375
77	9	Fa5#4	F5#4	344	344	1	16	197	95	90		12
78	9	Sol5	G5	349	349	1	4	789	95	96		12.25
79	9	Fa5#4	F5#4	344	344	1	8	395	95	96		12.375
80	9	Sol5	G5	349	349	1	8	395	95	96		12.5
81	9	La5	A5	358	358	1	8	395	95	96		12.625
82	9	Si5b4	B5b4	363	363	1	8	395	95	96		12.75
83	9	La5	A5	358	358	1	8	395	95	96		12.875
84	9	Sol5	G5	349	349	1	8	395	95	96		13
85	9	La5	A5	358	358	1	16	197	95	96		13.0625
86	9	Sol5	G5	349	349	1	16	197	95	90		13.125
87	9	Fa5#4	F5#4	344	344	1	16	197	95	96		13.1875
88	9	Mi5b4	E5b4	332	332	1	16	197	95	90		13.25
89	9	Re5	D5	327	327	1	16	197	95	96		13.3125
90	9	Mi5b4	E5b4	332	332	1	16	197	95	90		13.375
91	9	Fa5#4	F5#4	344	344	1	16	197	95	96		13.4375
92	9	Sol5	G5	349	349	1	16	197	95	90		13.5
93	9	Mi5b4	E5b4	332	332	3	16	592	95	96		13.6875
94	9	Sol5	G5	349	349	1	16	197	95	90		13.75
95	9	Fa5#4	F5#4	344	344	1	4	789	95	96		14
96	9	Fa5#4	F5#4	344	344	3	16	592	95	96		14.1875
97	9	Mi5b4	E5b4	332	332	1	16	197	95	90		14.25
98	9	Re5	D5	327	327	1	8	395	95	96		14.375
99	9	Mi5b4	E5b4	332	332	1	8	395	95	96		14.5
100	9	Fa5#4	F5#4	344	344	1	8	395	95	96		14.625
101	9	Sol5	G5	349	349	1	8	395	95	96		14.75
102	9	La5	A5	358	358	1	8	395	95	96		14.875
103	9	Si5b4	B5b4	363	363	1	8	395	95	96		15
104	9	La5	A5	358	358	1	12	263	95	96		15.08333
105	9	Sol5	G5	349	349	1	12	263	95	90		15.16667
106	9	La5	A5	358	358	1	12	263	95	96		15.25
107	9	Sol5	G5	349	349	1	12	263	95	96		15.33333
108	9	Fa5#4	F5#4	344	344	1	12	263	95	90		15.41667
109	9	Sol5	G5	349	349	1	12	263	95	96		15.5
110	9	Fa5#4	F5#4	344	344	1	12	263	95	96		15.58333
111	9	Mi5b4	E5b4	332	332	1	12	263	95	90		15.66667
112	9	Fa5#4	F5#4	344	344	1	12	263	95	96		15.75
113	9	Mi5b4	E5b4	332	332	1	12	263	95	96		15.83333
114	9	Re5	D5	327	327	1	12	263	95	90		15.91667
115	9	Do5#4	C5#4	322	322	1	12	263	95	96		16
116	9	Re5	D5	327	327	1	4	789	95	96		16.25
117	9	La5	A5	358	358	1	8	395	95	96		16.375
118	9	Sol5	G5	349	349	1	8	395	95	96		16.5
119	9	La5	A5	358	358	1	8	395	95	96		16.625
120	9	Do6	C6	371	371	1	8	395	95	96		16.75
121	9	Si5b4	B5b4	363	363	1	4	789	95	96		17
122	9	La5	A5	358	358	1	4	789	95	96		17.25
123	9	Sol5	G5	349	349	1	4	789	95	96		17.5
124	9	Fa5#4	F5#4	344	344	3	16	592	95	96		17.6875
125	9	Mi5b4	E5b4	332	332	1	16	197	95	90		17.75
126	9	Re5	D5	327	327	1	8	395	95	96		17.875
127	9	Mi5b4	E5b4	332	332	1	8	395	95	96		18
128	9	Fa5#4	F5#4	344	344	1	8	395	95	96		18.125
129	9	La5	A5	358	358	1	8	395	95	96		18.25
130	9	Sol5	G5	349	349	1	8	395	95	96		18.375
131	9	Fa5#4	F5#4	344	344	1	8	395	95	96		18.5
132	9	Mi5b4	E5b4	332	332	3	16	592	95	96		18.6875
133	9	Re5	D5	327	327	1	16	197	95	90		18.75
134	9	Do5#4	C5#4	322	322	1	8	395	95	96		18.875
135	9	Re5	D5	327	327	1	8	395	95	96		19
136	9	Do5#4	C5#4	322	322	1	8	395	95	96		19.125
137	9	Fa5#4	F5#4	344	344	1	4	789	95	96		19.375
138	9	Mi5b4	E5b4	332	332	1	16	197	95	96		19.4375
139	9	Re5	D5	327	327	1	16	197	95	90		19.5
140	8	Mi5b4	E5b4	332	332	0	0	0	95	96		19.5
141	9	Re5	D5	327	327	1	4	789	95	96		19.75
142	9			-1	-1	1	4	789	100	0		20
143	9	Sol4	G4	296	296	1	4	789	95	96	TESLÝM	20.25
144	9	Re5	D5	327	327	1	4	789	95	96		20.5
145	9	Re5	D5	327	327	3	16	592	95	96		20.6875
146	9	Do5	C5	318	318	1	16	197	95	90		20.75
147	9	Si4b4	B4b4	310	310	1	16	197	95	96		20.8125
148	9	Do5	C5	318	318	1	16	197	95	90		20.875
149	9	Re5	D5	327	327	1	16	197	95	96		20.9375
150	9	Re5#4	D5#4	331	331	1	16	197	95	90		21
151	9	Do5	C5	318	318	1	8	395	95	96		21.125
152	9	Re5	D5	327	327	1	4	789	95	96		21.375
153	9	Do5	C5	318	318	1	8	395	95	96		21.5
154	9	Mi5b4	E5b4	332	332	3	16	592	95	96		21.6875
155	9	Re5	D5	327	327	1	16	197	95	90		21.75
156	9	Do5	C5	318	318	1	4	789	100	96		22
157	9	Do5	C5	318	318	1	4	789	95	96		22.25
