Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si4b1	B4b1	313	313	1	16	147	99	108	ARANAÐME	0.0625
2	9	Do5	C5	318	318	1	16	147	95	96	.	0.125
3	9	Re5	D5	327	327	1	16	147	99	96	.	0.1875
4	9	Do5	C5	318	318	1	16	147	95	96	.	0.25
5	12	Re5	D5	327	327	1	8	294	95	108	.	0.375
6	9	Do5	C5	318	318	1	16	147	99	96	.	0.4375
7	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	0.5
8	9	La4	A4	305	305	1	8	294	95	96	.	0.625
9	9	Mi5b1	E5b1	335	335	1	8	294	95	96	.	0.75
10	12	Mi5b1	E5b1	335	335	1	8	294	95	96	.	0.875
11	9	Re5	D5	327	327	1	8	294	95	96	.	1
12	9	Mi5b1	E5b1	335	335	1	8	294	50	84	.	1.125
13	9	Re5	D5	327	327	1	8	294	50	96	.	1.25
14	12	Re5	D5	327	327	1	8	294	95	96	.	1.375
15	9	Do5	C5	318	318	1	16	147	99	96	.	1.4375
16	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	1.5
17	9	La4#3	A4#4	308	309	1	8	294	50	84	.	1.625
18	9	Si4b1	B4b1	313	313	1	8	294	50	96	.	1.75
19	9	Si4b1	B4b1	313	313	1	4	588	50	96	.	2
20	52			0	0	1	4	0	102	0		2.25
21	9	Si4b1	B4b1	313	313	1	16	147	99	108	ARANAÐME	2.3125
22	9	Do5	C5	318	318	1	16	147	95	96	.	2.375
23	9	Re5	D5	327	327	1	16	147	99	96	.	2.4375
24	9	Do5	C5	318	318	1	16	147	95	96	.	2.5
25	12	Re5	D5	327	327	1	8	294	95	108	.	2.625
26	9	Do5	C5	318	318	1	16	147	99	96	.	2.6875
27	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	2.75
28	9	La4	A4	305	305	1	8	294	95	96	.	2.875
29	9	Mi5b1	E5b1	335	335	1	8	294	95	96	.	3
30	12	Mi5b1	E5b1	335	335	1	8	294	95	96	.	3.125
31	9	Re5	D5	327	327	1	8	294	95	96	.	3.25
32	9	Mi5b1	E5b1	335	335	1	8	294	50	84	.	3.375
33	9	Re5	D5	327	327	1	8	294	50	96	.	3.5
34	12	Re5	D5	327	327	1	8	294	95	96	.	3.625
35	9	Do5	C5	318	318	1	16	147	99	96	.	3.6875
36	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	3.75
37	9	La4#3	A4#4	308	309	1	8	294	50	84	.	3.875
38	9	Si4b1	B4b1	313	313	1	8	294	50	96	.	4
39	9	Si4b1	B4b1	313	313	1	4	588	50	96	.	4.25
40	9	Fa5#4	F5#4	344	344	1	8	294	95	84	Oy 	4.375
41	9	Fa5#4	F5#4	344	344	1	16	147	99	96	ke	4.4375
42	9	Sol5	G5	349	349	1	16	147	95	96		4.5
43	12	Sol5	G5	349	349	1	8	294	95	96	men	4.625
44	9	Sol5	G5	349	349	1	16	147	99	96	çe 	4.6875
45	9	Fa5#4	F5#4	344	344	1	16	147	95	96		4.75
46	9	Mi5b1	E5b1	335	335	1	8	294	95	96	ke	4.875
47	9	Fa5#4	F5#4	344	344	1	8	294	95	96	men	5
48	9	Fa5#4	F5#4	344	344	1	8	294	95	96	çe 	5.125
49	9	Mi5b1	E5b1	335	335	1	16	147	99	96	de  	5.1875
50	9	Re5	D5	327	327	1	16	147	95	96		5.25
51	9	Re5	D5	327	327	1	8	294	95	108	Ne	5.375
52	9	Re5	D5	327	327	1	8	294	95	96	re	5.5
53	9	Sol5	G5	349	349	1	16	147	99	96	dey	5.5625
54	9	La5	A5	358	358	1	16	147	95	96		5.625
55	9	Sol5	G5	349	349	1	16	147	99	96	din 	5.6875
56	9	Fa5#4	F5#4	344	344	1	16	147	95	96		5.75
57	9	Mi5b1	E5b1	335	335	1	8	294	50	96	dün 	5.875
58	12	Fa5#4	F5#4	344	344	1	8	294	50	96	ge	6
59	9	Fa5#4	F5#4	344	344	1	8	294	50	96	ce  	6.125
60	9			-1	-1	1	8	294	100	0		6.25
61	9	Fa5#4	F5#4	344	344	1	8	294	95	84	Oy 	6.375
62	9	Fa5#4	F5#4	344	344	1	16	147	99	96	ke	6.4375
63	9	Sol5	G5	349	349	1	16	147	95	96		6.5
64	12	Sol5	G5	349	349	1	8	294	95	96	men	6.625
65	9	Sol5	G5	349	349	1	16	147	99	96	çe 	6.6875
66	9	Fa5#4	F5#4	344	344	1	16	147	95	96		6.75
67	9	Mi5b1	E5b1	335	335	1	8	294	95	96	ke	6.875
68	9	Fa5#4	F5#4	344	344	1	8	294	95	96	men	7
69	9	Fa5#4	F5#4	344	344	1	8	294	95	96	çe 	7.125
70	9	Mi5b1	E5b1	335	335	1	16	147	99	96	de  	7.1875
71	9	Re5	D5	327	327	1	16	147	95	96		7.25
72	9	Re5	D5	327	327	1	8	294	95	108	Ne	7.375
73	9	Re5	D5	327	327	1	8	294	95	96	re	7.5
74	9	Sol5	G5	349	349	1	16	147	99	96	dey	7.5625
75	9	La5	A5	358	358	1	16	147	95	96		7.625
