Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi5	E5	336	336	1	4	833	95	96		0.25
2	9	Do6	C6	371	371	1	16	208	95	96		0.3125
3	9	Si5	B5	367	367	1	16	208	95	96		0.375
4	9	La5	A5	358	358	1	8	417	95	96		0.5
5	9	La5	A5	358	358	1	4	833	95	96		0.75
6	9			-1	-1	1	4	833	100	0		1
7	9	Sol5#4	G5#4	353	353	1	4	833	95	96		1.25
8	9	La5	A5	358	358	1	8	417	95	96		1.375
9	9	Si5	B5	367	367	1	4	833	95	96		1.625
10	9	La5	A5	358	358	1	16	208	95	96		1.6875
11	9	Sol5#4	G5#4	353	353	1	16	208	95	96		1.75
12	9	Fa5#1	F5#1	341	341	1	16	208	95	96		1.8125
13	9	Mi5	E5	336	336	1	8	417	95	96		1.9375
14	9			-1	-1	1	8	417	100	0		2.0625
15	9	Re5#4	D5#4	331	331	1	16	208	95	96		2.125
16	9	Mi5	E5	336	336	1	16	208	95	96		2.1875
17	9	Fa5#1	F5#1	341	341	1	16	208	95	96		2.25
18	9	Sol5#4	G5#4	353	353	1	16	208	95	96		2.3125
19	9	La5	A5	358	358	1	16	208	95	96		2.375
20	9	Si5	B5	367	367	1	16	208	95	96		2.4375
21	9	Sol5#4	G5#4	353	353	1	16	208	95	96		2.5
22	9	Fa5#1	F5#1	341	341	1	16	208	95	96		2.5625
23	9	Mi5	E5	336	336	1	16	208	95	96		2.625
24	9	Re5#4	D5#4	331	331	1	64	52	95	96		2.640625
25	9			-1	-1	1	64	52	100	0		2.65625
26	9	Mi5	E5	336	336	1	8	417	95	96		2.78125
27	9	Re5#4	D5#4	331	331	1	8	417	95	96		2.90625
28	9	Mi5	E5	336	336	1	8	417	95	96		3.03125
29	9	Fa5#1	F5#1	341	341	1	16	208	95	96		3.09375
30	9	Sol5#4	G5#4	353	353	3	16	625	95	96		3.28125
31	9	Sol5#4	G5#4	353	353	1	16	208	95	96		3.34375
32	9	Fa5#1	F5#1	341	341	1	16	208	95	96		3.40625
33	9	Mi5	E5	336	336	1	16	208	95	96		3.46875
34	9	Mi5	E5	336	336	1	8	417	95	96		3.59375
35	9	Do6	C6	371	371	1	16	208	95	96		3.65625
36	9	Si5	B5	367	367	1	16	208	95	96		3.71875
37	9	La5	A5	358	358	1	16	208	95	96		3.78125
38	9	Sol5#4	G5#4	353	353	1	16	208	95	96		3.84375
39	9	Fa5#1	F5#1	341	341	1	16	208	95	96		3.90625
40	9	Mi5	E5	336	336	1	16	208	95	96		3.96875
41	9	Re5#4	D5#4	331	331	1	16	208	95	96		4.03125
42	9	Mi5	E5	336	336	1	16	208	95	96		4.09375
43	9	Fa5#1	F5#1	341	341	1	16	208	95	96		4.15625
44	9	Sol5#4	G5#4	353	353	1	16	208	95	96		4.21875
45	9	La5	A5	358	358	1	8	417	95	96		4.34375
46	9	Sol5#4	G5#4	353	353	1	16	208	95	96		4.40625
47	9	Fa5#1	F5#1	341	341	1	16	208	95	96		4.46875
48	9	Fa5#1	F5#1	341	341	1	16	208	95	96		4.53125
49	9	Fa5#1	F5#1	341	341	1	16	208	95	96		4.59375
50	9	Mi5	E5	336	336	1	32	104	95	96		4.625
51	9			-1	-1	1	32	104	100	0		4.65625
52	9	Mi5	E5	336	336	1	4	833	99	96		4.90625
53	9	Mi5	E5	336	336	1	4	833	95	96		5.15625
54	9			-1	-1	1	4	833	100	0		5.40625
55	9	La4	A4	305	305	3	16	625	95	96		5.59375
56	9	La4	A4	305	305	1	16	208	95	96		5.65625
57	9	Mi5	E5	336	336	1	4	833	95	96		5.90625
58	9	Mi5	E5	336	336	1	4	833	95	96		6.15625
59	9	Mi5	E5	336	336	1	4	833	95	96		6.40625
60	9	Mi5	E5	336	336	1	4	833	95	96		6.65625
61	9	Mi5	E5	336	336	1	4	833	95	96		6.90625
62	9	Mi5	E5	336	336	1	4	833	95	96		7.15625
63	9	Fa5#1	F5#1	341	341	1	4	833	95	96		7.40625
64	9	Mi5	E5	336	336	1	4	833	95	96		7.65625
65	9	Mi5	E5	336	336	1	16	208	95	96		7.71875
66	9	Sol5#4	G5#4	353	353	1	16	208	95	96		7.78125
67	9	Fa5#1	F5#1	341	341	1	16	208	95	96		7.84375
68	9	Mi5	E5	336	336	1	16	208	95	96		7.90625
69	9	Re5#4	D5#4	331	331	1	16	208	95	96		7.96875
70	9	Mi5	E5	336	336	1	16	208	95	96		8.03125
71	9	Fa5#1	F5#1	341	341	1	16	208	95	96		8.09375
72	9	Sol5#4	G5#4	353	353	1	16	208	95	96		8.15625
73	9	La5	A5	358	358	1	16	208	95	96		8.21875
74	9	Si5	B5	367	367	1	16	208	95	96		8.28125
75	9	Sol5#4	G5#4	353	353	1	16	208	95	96		8.34375
76	9	Fa5#1	F5#1	341	341	1	16	208	95	96		8.40625
77	9	Mi5	E5	336	336	1	16	208	95	96		8.46875
78	9	Re5#4	D5#4	331	331	1	16	208	95	96		8.53125
79	9	Mi5	E5	336	336	1	16	208	95	96		8.59375
80	9	Fa5#1	F5#1	341	341	1	16	208	95	96		8.65625
81	9	Sol5#4	G5#4	353	353	1	16	208	95	96		8.71875
82	9	La5	A5	358	358	1	4	833	95	96		8.96875
83	9	La5	A5	358	358	1	16	208	95	96		9.03125
84	9	Sol5#4	G5#4	353	353	1	16	208	95	96		9.09375
85	9	Fa5#1	F5#1	341	341	1	16	208	95	96		9.15625
86	9	Mi5	E5	336	336	3	16	625	95	96		9.34375
87	9	Mi5	E5	336	336	1	8	417	95	96		9.46875
88	9	Do6	C6	371	371	1	16	208	95	96		9.53125
89	9	Si5	B5	367	367	1	4	833	95	96		9.78125
90	9	Si5	B5	367	367	1	16	208	95	96		9.84375
91	9	Si5	B5	367	367	1	16	208	95	96		9.90625
92	9	La5	A5	358	358	1	8	417	95	96		10.03125
93	9	La5	A5	358	358	1	16	208	95	96		10.09375
94	9	Sol5#4	G5#4	353	353	3	16	625	95	96		10.28125
95	9	Sol5#4	G5#4	353	353	1	16	208	95	96		10.34375
96	9	Fa5#1	F5#1	341	341	3	16	625	95	96		10.53125
97	9	Fa5#1	F5#1	341	341	1	16	208	95	96		10.59375
98	9	Mi5	E5	336	336	3	16	625	95	96		10.78125
99	9	Mi5	E5	336	336	1	16	208	95	96		10.84375
100	9	Re5#4	D5#4	331	331	3	16	625	95	96		11.03125
101	9	Re5#4	D5#4	331	331	1	16	208	95	96		11.09375
102	9	Do5	C5	318	318	3	16	625	95	96		11.28125
103	9	Do5	C5	318	318	1	16	208	95	96		11.34375
104	9	Si4	B4	314	314	1	16	208	95	96		11.40625
105	9	Do5	C5	318	318	1	16	208	95	96		11.46875
