Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	16	200	95	96	Me	0.05
2	9	Re5	D5	327	327	1	16	200	95	96		0.1
3	9	Re5	D5	327	327	1	8	400	95	96	nev	0.2
4	9	Re5	D5	327	327	1	8	400	95	96	þe 	0.3
5	9	Re5	D5	327	327	3	16	600	99	96	bul	0.45
6	9	Do5#4	C5#4	322	322	1	16	200	95	96		0.5
7	9	Re5	D5	327	327	1	8	400	95	96	dum 	0.6
8	9	Do5#4	C5#4	322	322	1	8	400	95	96	de	0.7
9	9	Si4	B4	314	314	1	8	400	95	96	re	0.8
10	9	La4	A4	305	305	1	4	800	95	96	de  	1
11	9	La4	A4	305	305	1	8	400	95	96	Me	1.1
12	9	Re5	D5	327	327	1	8	400	95	96	nev	1.2
13	9	Re5	D5	327	327	1	8	400	95	96	þe 	1.3
14	9	Re5	D5	327	327	3	16	600	99	96	bul	1.45
15	9	Do5#4	C5#4	322	322	1	16	200	95	96		1.5
16	9	Re5	D5	327	327	1	8	400	95	96	dum 	1.6
17	9	Do5#4	C5#4	322	322	1	8	400	95	96	de	1.7
18	9	Si4	B4	314	314	1	8	400	95	96	re	1.8
19	9	La4	A4	305	305	1	4	800	95	96	de  	2
20	9	Sol4	G4	296	296	1	8	400	95	96	Sor	2.1
21	9	La4	A4	305	305	1	8	400	95	96	dum 	2.2
22	9	Sol4	G4	296	296	1	8	400	95	96	ev	2.3
23	9	Si4	B4	314	314	3	16	600	99	96	le	2.45
24	9	Sol4	G4	296	296	1	16	200	95	96		2.5
25	9	La4	A4	305	305	1	8	400	95	96	ri 	2.6
26	9	Sol4	G4	296	296	1	8	400	95	96	ne	2.7
27	9	Fa4#5	F4#5	292	292	1	8	400	95	96	re	2.8
28	9	Sol4	G4	296	296	1	4	800	95	96	de  	3
29	9	Sol4	G4	296	296	1	8	400	95	96	Sor	3.1
30	9	La4	A4	305	305	1	8	400	95	96	dum 	3.2
31	9	Sol4	G4	296	296	1	8	400	95	96	ev	3.3
32	9	Si4	B4	314	314	3	16	600	99	96	le	3.45
33	9	Sol4	G4	296	296	1	16	200	95	96		3.5
34	9	La4	A4	305	305	1	8	400	95	96	ri 	3.6
35	9	Sol4	G4	296	296	1	8	400	95	96	ne	3.7
36	9	Fa4#5	F4#5	292	292	1	8	400	95	96	re	3.8
37	9	Sol4	G4	296	296	1	4	800	95	96	de  	4
38	9	La4	A4	305	305	1	16	200	99	96	Üç 	4.05
39	9	Re5	D5	327	327	1	16	200	95	96		4.1
40	9	Re5	D5	327	327	1	8	400	95	96	beþ 	4.2
41	9	Re5	D5	327	327	1	8	400	95	96	gü	4.3
42	9	Re5	D5	327	327	3	16	600	99	96	zel 	4.45
43	9	Do5#4	C5#4	322	322	1	16	200	95	96		4.5
44	9	Re5	D5	327	327	1	8	400	95	96	bir_	4.6
45	9	Do5#4	C5#4	322	322	1	8	400	95	96	a	4.7
46	9	Si4	B4	314	314	1	8	400	95	96	ra	4.8
47	9	La4	A4	305	305	1	4	800	95	96	da  	5
48	9	La4	A4	305	305	1	8	400	95	96	Üç 	5.1
49	9	Re5	D5	327	327	1	8	400	95	96	beþ 	5.2
50	9	Re5	D5	327	327	1	8	400	95	96	gü	5.3
51	9	Re5	D5	327	327	3	16	600	99	96	zel 	5.45
52	9	Do5#4	C5#4	322	322	1	16	200	95	96		5.5
53	9	Re5	D5	327	327	1	8	400	95	96	bir_	5.6
54	9	Do5#4	C5#4	322	322	1	8	400	95	96	a	5.7
55	9	Si4	B4	314	314	1	8	400	95	96	ra	5.8
56	9	La4	A4	305	305	1	4	800	95	96	da  	6
57	9	Sol4	G4	296	296	1	8	400	95	96	Dil	6.1
58	9	La4	A4	305	305	1	8	400	95	96	ber 	6.2
59	9	Sol4	G4	296	296	1	8	400	95	96	dil	6.3
60	9	Si4	B4	314	314	3	16	600	99	96	ber 	6.45
61	9	Sol4	G4	296	296	1	16	200	95	96		6.5
62	9	La4	A4	305	305	1	8	400	95	96	ca	6.6
63	9	Sol4	G4	296	296	1	8	400	95	96	ným 	6.7
64	9	Fa4#5	F4#5	292	292	1	8	400	95	96	dil	6.8
65	9	Sol4	G4	296	296	1	4	800	95	96	ber  	7
66	9	Sol4	G4	296	296	1	8	400	95	96	Ca	7.1
67	9	La4	A4	305	305	1	8	400	95	96	ný	7.2
68	9	Sol4	G4	296	296	1	8	400	95	96	mýn 	7.3
69	9	Si4	B4	314	314	3	16	600	99	96	yay	7.45
70	9	Sol4	G4	296	296	1	16	200	95	96		7.5
71	9	La4	A4	305	305	1	8	400	95	96	la	7.6
72	9	Sol4	G4	296	296	1	8	400	95	96	sý 	7.7
73	9	Fa4#5	F4#5	292	292	1	8	400	95	96	dil	7.8
74	9	Sol4	G4	296	296	1	4	800	95	96	ber  	8
75	9	Sol4	G4	296	296	1	8	400	95	96	Gön	8.1
76	9	La4	A4	305	305	1	8	400	95	96	lü	8.2
77	9	Sol4	G4	296	296	1	8	400	95	96	mün_	8.3
78	9	Si4	B4	314	314	3	16	600	99	96	ey	8.45
79	9	Sol4	G4	296	296	1	16	200	95	96		8.5
80	9	La4	A4	305	305	1	8	400	95	96	le	8.6
81	9	Sol4	G4	296	296	1	8	400	95	96	si 	8.7
82	9	Fa4#5	F4#5	292	292	1	8	400	95	96	dil	8.8
83	9	Sol4	G4	296	296	1	4	800	95	96	ber  	9
