Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	526	100	76		0.1428571
2	8	Sol5	G5	349	349	0	0	0	95	77		0.1428571
3	9	Fa5#3	F5#4	343	344	1	16	263	95	78	A	0.2142857
4	9	Sol5	G5	349	349	1	16	263	95	96	þa	0.2857143
5	9	La5	A5	358	358	1	8	526	95	96	ðý	0.4285714
6	9	La5	A5	358	358	1	8	526	95	96	dan 	0.5714286
7	9	La5	A5	358	358	1	16	263	99	96	ge	0.6428571
8	9	Do6	C6	371	371	1	16	263	95	96		0.7142857
9	9	Si5b2	B5b1	365	366	1	16	263	99	96	lir 	0.7857143
10	9	La5	A5	358	358	1	8	526	99	96		0.9285714
11	9	Sol5	G5	349	349	1	16	263	95	96		1
12	8	Fa5#3	F5#4	343	344	0	0	0	95	96		1
13	9	La5	A5	358	358	1	16	263	99	96	e	1.071429
14	9	Sol5	G5	349	349	1	16	263	95	96		1.142857
15	9	La5	A5	358	358	1	16	263	99	96	li 	1.214286
16	9	Fa5#3	F5#4	343	344	1	16	263	95	96		1.285714
17	9	Sol5	G5	349	349	1	16	263	99	96	de	1.357143
18	9	Mi5	E5	336	336	1	8	526	99	96		1.5
19	9	Re5	D5	327	327	1	16	263	95	96		1.571429
20	9	Re5	D5	327	327	1	16	263	99	96	ve	1.642857
21	9	La5	A5	358	358	1	16	263	95	72		1.714286
22	11	Sol5	G5	349	349	1	16	263	99	73	li  	1.785714
23	10	Fa5#3	F5#4	343	344	1	16	263	99	74		1.857143
24	8	La5	A5	358	358	0	0	0	99	74		1.857143
25	9	Sol5	G5	349	349	1	8	526	95	75		2
26	52			0	0	1	8	0	114	76		2.142857
27	9			-1	-1	1	8	526	100	76		2.285714
28	8	Sol5	G5	349	349	0	0	0	95	77		2.285714
29	9	Fa5#3	F5#4	343	344	1	16	263	95	78	A	2.357143
30	9	Sol5	G5	349	349	1	16	263	95	96	þa	2.428571
31	9	La5	A5	358	358	1	8	526	95	96	ðý	2.571429
32	9	La5	A5	358	358	1	8	526	95	96	dan 	2.714286
33	9	La5	A5	358	358	1	16	263	99	96	ge	2.785714
34	9	Do6	C6	371	371	1	16	263	95	96		2.857143
35	9	Si5b2	B5b1	365	366	1	16	263	99	96	lir 	2.928571
36	9	La5	A5	358	358	1	8	526	99	96		3.071429
37	9	Sol5	G5	349	349	1	16	263	95	96		3.142857
38	8	Fa5#3	F5#4	343	344	0	0	0	95	96		3.142857
39	9	La5	A5	358	358	1	16	263	99	96	e	3.214286
40	9	Sol5	G5	349	349	1	16	263	95	96		3.285714
41	9	La5	A5	358	358	1	16	263	99	96	li 	3.357143
42	9	Fa5#3	F5#4	343	344	1	16	263	95	96		3.428571
43	9	Sol5	G5	349	349	1	16	263	99	96	de	3.5
44	9	Mi5	E5	336	336	1	8	526	99	96		3.642857
45	9	Re5	D5	327	327	1	16	263	95	96		3.714286
46	9	Re5	D5	327	327	1	16	263	99	96	ve	3.785714
47	9	La5	A5	358	358	1	16	263	95	96		3.857143
48	11	Sol5	G5	349	349	1	16	263	99	96	li  	3.928571
49	10	Fa5#3	F5#4	343	344	1	16	263	99	96		4
50	8	La5	A5	358	358	0	0	0	99	96		4
51	9	Sol5	G5	349	349	1	8	526	95	96		4.142857
52	9	Fa5#3	F5#4	343	344	1	16	263	99	96	De	4.214286
53	9	La5	A5	358	358	1	32	132	99	96		4.25
54	9	Sol5	G5	349	349	1	32	132	95	96		4.285714
55	9	La5	A5	358	358	1	16	263	99	72	ve	4.357143
56	9	Fa5#3	F5#4	343	344	1	16	263	95	76		4.428571
57	9	Sol5	G5	349	349	1	16	263	99	80	si	4.5
58	9	Mi5	E5	336	336	1	16	263	95	83		4.571429
59	9	Mi5	E5	336	336	1	16	263	99	87	nin 	4.642857
60	9	Re5	D5	327	327	1	16	263	95	91		4.714286
61	9	Re5	D5	327	327	1	16	263	99	95	boy	4.785714
62	9	Sol5	G5	349	349	1	16	263	95	99		4.857143
63	9	Sol5	G5	349	349	1	16	263	99	103	nu 	4.928571
64	9	Mi5	E5	336	336	1	8	526	99	106		5.071429
65	9	Re5	D5	327	327	1	16	263	95	110		5.142857
66	23	Re5	D5	327	327	1	8	526	95	114	al	5.285714
67	9	Mi5	E5	336	336	1	16	263	99	96	tun 	5.357143
68	9	Do5	C5	318	318	1	16	263	95	96		5.428571
69	9	Re5	D5	327	327	1	16	263	99	96	lâ	5.5
70	9	Si4b2	B4b1	312	313	1	16	263	99	96		5.571429
71	8	Re5	D5	327	327	0	0	0	99	96		5.571429
72	9	Do5	C5	318	318	1	8	526	95	96		5.714286
73	9	Re5	D5	327	327	1	8	526	95	96	le	5.857143
74	9	Mi5	E5	336	336	1	16	263	99	96	li  	5.928571
75	9	Do5	C5	318	318	1	16	263	99	96		6
76	8	Mi5	E5	336	336	0	0	0	99	96		6
77	9	Re5	D5	327	327	1	8	526	95	96		6.142857
78	23	Re5	D5	327	327	1	8	526	95	96	De	6.285714
79	9	Mi5	E5	336	336	1	16	263	99	96	ve	6.357143
80	9	Do5	C5	318	318	1	16	263	95	96		6.428571
81	9	Do5	C5	318	318	1	16	263	99	96	si	6.5
82	9	Si4b2	B4b1	312	313	1	16	263	95	96		6.571429
83	9	Si4b2	B4b1	312	313	1	16	263	99	96	nin 	6.642857
84	9	La4	A4	305	305	1	16	263	95	96		6.714286
85	9	La4	A4	305	305	1	16	263	99	96	boy	6.785714
86	9	Re5	D5	327	327	1	16	263	95	96		6.857143
87	9	Do5	C5	318	318	1	16	263	99	96	nu 	6.928571
88	9	Si4b2	B4b1	312	313	1	16	263	99	96		7
89	9	Do5	C5	318	318	1	16	263	99	96		7.071429
90	9	Si4b2	B4b1	312	313	1	16	263	95	96		7.142857
91	9	La4	A4	305	305	1	16	263	99	96	al	7.214286
92	9	Si4b2	B4b1	312	313	1	16	263	95	96		7.285714
93	9	Do5	C5	318	318	1	16	263	99	96	tun 	7.357143
94	9	Re5	D5	327	327	1	16	263	95	96		7.428571
95	9	Do5	C5	318	318	1	16	263	99	96	lâ	7.5
96	9	Si4b2	B4b1	312	313	1	8	526	99	96		7.642857
97	9	La4	A4	305	305	1	16	263	95	96		7.714286
98	9	Do5	C5	318	318	1	16	263	99	96	le	7.785714
99	9	Si4b2	B4b1	312	313	1	16	263	95	96		7.857143
100	9	La4	A4	305	305	1	4	1053	95	96	li  	8.142858
101	9			-1	-1	1	8	526	100	0		8.285714
102	8	Sol5	G5	349	349	0	0	0	95	96		8.285714
103	9	Fa5#3	F5#4	343	344	1	16	263	95	96	Kýz 	8.357142
104	9	Sol5	G5	349	349	1	16	263	95	96	ge	8.428572
105	9	La5	A5	358	358	1	8	526	95	96	lin_	8.571428
106	9	La5	A5	358	358	1	8	526	95	96	o	8.714286
107	9	La5	A5	358	358	1	16	263	99	96	la	8.785714
108	9	Do6	C6	371	371	1	16	263	95	96		8.857142
109	9	Si5b2	B5b1	365	366	1	16	263	99	72	lý 	8.928572
110	9	La5	A5	358	358	1	8	526	99	73		9.071428
111	9	Sol5	G5	349	349	1	16	263	95	74		9.142858
112	8	Fa5#3	F5#4	343	344	0	0	0	95	74		9.142858
113	9	La5	A5	358	358	1	16	263	99	75	bur	9.214286
114	9	Sol5	G5	349	349	1	16	263	95	76		9.285714
115	9	La5	A5	358	358	1	16	263	99	76	nun 	9.357142
116	9	Fa5#3	F5#4	343	344	1	16	263	95	77		9.428572
117	9	Sol5	G5	349	349	1	16	263	99	78	ha	9.5
118	9	Mi5	E5	336	336	1	8	526	99	96		9.642858
119	9	Re5	D5	327	327	1	16	263	95	96		9.714286
120	9	Re5	D5	327	327	1	16	263	99	96	va	9.785714
121	9	La5	A5	358	358	1	16	263	95	96		9.857142
122	11	Sol5	G5	349	349	1	16	263	99	96	lý  	9.928572
123	10	Fa5#3	F5#4	343	344	1	16	263	99	96		10
124	8	La5	A5	358	358	0	0	0	99	96		10
125	9	Sol5	G5	349	349	1	8	526	95	96		10.14286
126	9			-1	-1	1	8	526	100	0		10.28571
127	8	Sol5	G5	349	349	0	0	0	95	96		10.28571
128	9	Fa5#3	F5#4	343	344	1	16	263	95	96	Kýz 	10.35714
129	9	Sol5	G5	349	349	1	16	263	95	96	ge	10.42857
130	9	La5	A5	358	358	1	8	526	95	96	lin_	10.57143
131	9	La5	A5	358	358	1	8	526	95	96	o	10.71429
132	9	La5	A5	358	358	1	16	263	99	96	la	10.78571
133	9	Do6	C6	371	371	1	16	263	95	96		10.85714
134	9	Si5b2	B5b1	365	366	1	16	263	99	72	lý 	10.92857
135	9	La5	A5	358	358	1	8	526	99	73		11.07143
136	9	Sol5	G5	349	349	1	16	263	95	74		11.14286
137	8	Fa5#3	F5#4	343	344	0	0	0	95	74		11.14286
138	9	La5	A5	358	358	1	16	263	99	75	bur	11.21429
139	9	Sol5	G5	349	349	1	16	263	95	76		11.28571
140	9	La5	A5	358	358	1	16	263	99	76	nun 	11.35714
141	9	Fa5#3	F5#4	343	344	1	16	263	95	77		11.42857
142	9	Sol5	G5	349	349	1	16	263	99	78	ha	11.5
143	9	Mi5	E5	336	336	1	8	526	99	96		11.64286
144	9	Re5	D5	327	327	1	16	263	95	96		11.71429
145	9	Re5	D5	327	327	1	16	263	99	96	va	11.78571
146	9	La5	A5	358	358	1	16	263	95	96		11.85714
147	11	Sol5	G5	349	349	1	16	263	99	96	lý  	11.92857
148	10	Fa5#3	F5#4	343	344	1	16	263	99	96		12
149	8	La5	A5	358	358	0	0	0	99	96		12
150	9	Sol5	G5	349	349	1	8	526	95	96		12.14286
151	9	Fa5#3	F5#4	343	344	1	16	263	99	84	Ben 	12.21429
152	9	La5	A5	358	358	1	32	132	99	84		12.25
153	9	Sol5	G5	349	349	1	32	132	95	84		12.28571
154	9	La5	A5	358	358	1	16	263	99	84	se	12.35714
155	9	Fa5#3	F5#4	343	344	1	16	263	95	84		12.42857
156	9	Sol5	G5	349	349	1	16	263	99	84	ni 	12.5
157	9	Mi5	E5	336	336	1	16	263	95	84		12.57143
158	9	Mi5	E5	336	336	1	16	263	99	84	kýz_	12.64286
159	9	Re5	D5	327	327	1	16	263	95	84		12.71429
160	9	Re5	D5	327	327	1	16	263	99	84	i	12.78571
161	9	Sol5	G5	349	349	1	16	263	95	84		12.85714
162	9	Sol5	G5	349	349	1	16	263	99	84	ken 	12.92857
163	9	Mi5	E5	336	336	1	8	526	99	84		13.07143
164	9	Re5	D5	327	327	1	16	263	95	84		13.14286
165	23	Re5	D5	327	327	1	8	526	95	84	se	13.28571
166	9	Mi5	E5	336	336	1	16	263	99	84	ven_	13.35714
167	9	Do5	C5	318	318	1	16	263	95	84		13.42857
168	9	Re5	D5	327	327	1	16	263	99	84	oð	13.5
169	9	Si4b2	B4b1	312	313	1	16	263	99	84		13.57143
170	8	Re5	D5	327	327	0	0	0	99	84		13.57143
171	9	Do5	C5	318	318	1	8	526	95	84		13.71429
172	9	Re5	D5	327	327	1	8	526	95	84	la	13.85714
173	9	Mi5	E5	336	336	1	16	263	99	84	ným  	13.92857
174	9	Do5	C5	318	318	1	16	263	99	84		14
