Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	4	714	100	0		0.25
2	9	Do5	C5	318	318	1	8	357	95	96	ARANAÐME 	0.375
3	9	Re5	D5	327	327	1	8	357	95	96	.	0.5
4	9	Mi5	E5	336	336	1	4	714	95	96	.	0.75
5	9	Mi5	E5	336	336	1	4	714	95	96	.	1
6	9	Mi5	E5	336	336	1	16	179	95	96	.	1.0625
7	9	Fa5	F5	340	340	1	16	179	95	96	.	1.125
8	9	Mi5	E5	336	336	1	16	179	95	96	.	1.1875
9	9	Re5	D5	327	327	1	16	179	95	96	.	1.25
10	9	Re5	D5	327	327	1	8	357	95	96	.	1.375
11	9	Fa5	F5	340	340	1	8	357	95	96	.	1.5
12	9	Mi5	E5	336	336	1	16	179	95	96	.	1.5625
13	9	Fa5	F5	340	340	1	16	179	95	96	.	1.625
14	9	Mi5	E5	336	336	1	16	179	95	96	.	1.6875
15	9	Re5	D5	327	327	1	16	179	95	96	.	1.75
16	9	Re5	D5	327	327	1	16	179	95	96	.	1.8125
17	9	Mi5	E5	336	336	1	16	179	95	96	.	1.875
18	9	Re5	D5	327	327	1	16	179	95	96	.	1.9375
19	9	Do5	C5	318	318	1	16	179	95	96	.	2
20	9			-1	-1	1	8	357	100	0	.	2.125
21	9	Re5	D5	327	327	1	8	357	95	96	.	2.25
22	9	Do5	C5	318	318	1	8	357	95	96	.	2.375
23	9	Mi5	E5	336	336	1	8	357	95	96	.	2.5
24	9	Re5	D5	327	327	1	16	179	95	96	.	2.5625
25	9	Mi5	E5	336	336	1	16	179	95	96	.	2.625
26	9	Re5	D5	327	327	1	16	179	95	96	.	2.6875
27	9	Do5	C5	318	318	1	16	179	95	96	.	2.75
28	9	Do5	C5	318	318	1	16	179	95	96	.	2.8125
29	9	Re5	D5	327	327	1	16	179	95	96	.	2.875
30	9	Do5	C5	318	318	1	16	179	95	96	.	2.9375
31	9	Si4b2	B4b1	312	313	1	16	179	95	96	.	3
32	9			-1	-1	1	8	357	100	0	.	3.125
33	9	Do5	C5	318	318	1	8	357	95	96	.	3.25
34	9	Si4b2	B4b1	312	313	1	8	357	95	96	.	3.375
35	9	Re5	D5	327	327	1	8	357	95	96	.	3.5
36	9	Do5	C5	318	318	1	16	179	95	96	.	3.5625
37	9	Re5	D5	327	327	1	16	179	95	96	.	3.625
38	9	Do5	C5	318	318	1	16	179	95	96	.	3.6875
39	9	Si4b2	B4b1	312	313	1	16	179	95	96	.	3.75
40	9	Si4b2	B4b1	312	313	1	16	179	95	96	.	3.8125
41	9	Do5	C5	318	318	1	16	179	95	96	.	3.875
42	9	Si4b2	B4b1	312	313	1	16	179	95	96	.	3.9375
43	9	La4	A4	305	305	1	16	179	95	96	.	4
44	9			-1	-1	1	8	357	100	0	.	4.125
45	9	Si4b2	B4b1	312	313	1	8	357	95	96	.	4.25
46	9	La4	A4	305	305	1	8	357	95	96	.	4.375
47	9	Do5	C5	318	318	1	8	357	95	96	.	4.5
48	9	Si4b2	B4b1	312	313	1	16	179	95	96	.	4.5625
49	9	Do5	C5	318	318	1	16	179	95	96	.	4.625
50	9	Si4b2	B4b1	312	313	1	16	179	95	96	.	4.6875
51	9	La4	A4	305	305	1	16	179	95	96	.	4.75
52	9	Si4b2	B4b1	312	313	1	16	179	95	96	.	4.8125
53	9	La4	A4	305	305	1	16	179	95	96	.	4.875
54	9	La4	A4	305	305	1	8	357	95	96	.	5
55	14			-1	-1	0	0	0	0	0		5
56	9	La4	A4	305	305	1	8	357	95	96	.	5.125
57	9	La4	A4	305	305	1	16	179	95	96	.	5.1875
58	9	La4	A4	305	305	1	16	179	95	96	.	5.25
59	9	La4	A4	305	305	1	8	357	95	96	.	5.375
60	9	Si4b2	B4b1	312	313	1	8	357	95	96	.	5.5
61	9	Do5	C5	318	318	1	8	357	95	96	.	5.625
62	9	Re5	D5	327	327	1	8	357	95	96	.	5.75
63	9	Mi5	E5	336	336	1	4	714	95	96	.	6
64	52			0	0	1	4	0	84	0		6.25
65	9			-1	-1	1	4	714	100	0		6.5
66	9	Do5	C5	318	318	1	8	357	95	96	ARANAÐME 	6.625
67	9	Re5	D5	327	327	1	8	357	95	96	.	6.75
68	9	Mi5	E5	336	336	1	4	714	95	96	.	7
69	9	Mi5	E5	336	336	1	4	714	95	96	.	7.25
70	9	Mi5	E5	336	336	1	16	179	95	96	.	7.3125
71	9	Fa5	F5	340	340	1	16	179	95	96	.	7.375
72	9	Mi5	E5	336	336	1	16	179	95	96	.	7.4375
73	9	Re5	D5	327	327	1	16	179	95	96	.	7.5
74	9	Re5	D5	327	327	1	8	357	95	96	.	7.625
