Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5	F5	340	340	1	2	1667	95	96		0.5
2	9	Fa5	F5	340	340	3	8	1250	95	96		0.875
3	9	Mi5	E5	336	336	1	8	417	95	96		1
4	9			-1	-1	1	8	417	100	0		1.125
5	9	Do5	C5	318	318	1	4	833	95	96		1.375
6	9	Do5	C5	318	318	1	8	417	95	96		1.5
7	9	Re5	D5	327	327	1	8	417	95	96		1.625
8	9	Do5	C5	318	318	1	16	208	95	96		1.6875
9	9	Re5	D5	327	327	1	16	208	95	96		1.75
10	9	Mi5	E5	336	336	1	8	417	95	96		1.875
11	9	Re5	D5	327	327	1	16	208	95	96		1.9375
12	9	Mi5	E5	336	336	1	16	208	95	96		2
13	9	Fa5	F5	340	340	1	8	417	95	96		2.125
14	9	Mi5	E5	336	336	1	16	208	95	96		2.1875
15	9	Fa5	F5	340	340	1	16	208	95	96		2.25
16	9	Sol5	G5	349	349	1	8	417	95	96		2.375
17	9	La5	A5	358	358	1	8	417	95	96		2.5
18	9	Sol5	G5	349	349	3	16	625	95	96		2.6875
19	9	Fa5	F5	340	340	1	16	208	95	96		2.75
20	9	Mi5	E5	336	336	1	8	417	95	96		2.875
21	9	Fa5	F5	340	340	1	8	417	95	96		3
22	9	Mi5	E5	336	336	1	4	833	95	96		3.25
23	9	Fa5	F5	340	340	1	4	833	95	96		3.5
24	9			-1	-1	1	4	833	100	0		3.75
25	9	Fa5	F5	340	340	1	4	833	95	96		4
26	9	Fa5	F5	340	340	3	8	1250	95	96		4.375
27	9	Mi5	E5	336	336	1	8	417	95	96		4.5
28	9			-1	-1	1	8	417	100	0		4.625
29	9	Mi5	E5	336	336	1	4	833	95	96		4.875
30	9	Re5	D5	327	327	1	8	417	95	96		5
31	9	Re5	D5	327	327	1	8	417	95	96		5.125
32	9	Mi5	E5	336	336	1	8	417	95	96		5.25
33	9	Re5	D5	327	327	1	8	417	95	96		5.375
34	9	Do5	C5	318	318	1	8	417	95	96		5.5
35	9	Re5	D5	327	327	1	8	417	95	96		5.625
36	9	Fa5	F5	340	340	1	8	417	95	96		5.75
37	9	Mi5	E5	336	336	1	8	417	95	96		5.875
38	9	Re5	D5	327	327	1	8	417	95	96		6
39	9	Re5	D5	327	327	3	16	625	95	96		6.1875
40	9	Do5	C5	318	318	1	16	208	95	96		6.25
41	9	Si4b1	B4b1	313	313	1	8	417	95	96		6.375
42	9	Do5	C5	318	318	1	8	417	95	96		6.5
43	9	Si4b1	B4b1	313	313	1	4	833	95	96		6.75
44	9	Do5	C5	318	318	1	4	833	95	96		7
45	9			-1	-1	1	4	833	100	0		7.25
46	9	Re5	D5	327	327	1	8	417	95	96		7.375
47	9	Mi5	E5	336	336	1	8	417	95	96		7.5
48	9	Re5	D5	327	327	1	4	833	95	96		7.75
49	9	Do5#4	C5#4	322	322	1	4	833	95	96		8
50	9	Do5#4	C5#4	322	322	1	8	417	95	96		8.125
51	9	Re5	D5	327	327	1	4	833	95	96		8.375
52	9	Mi5	E5	336	336	1	8	417	95	96		8.5
53	9	Sol5	G5	349	349	1	16	208	95	96		8.5625
54	9	Fa5	F5	340	340	1	16	208	95	96		8.625
55	9	Fa5	F5	340	340	1	16	208	95	96		8.6875
56	9	Mi5	E5	336	336	1	16	208	95	96		8.75
57	9	Re5	D5	327	327	1	8	417	95	96		8.875
58	9	Sol5	G5	349	349	1	8	417	95	96		9
59	9	Sol5	G5	349	349	1	16	208	95	96		9.0625
60	9	Fa5	F5	340	340	1	8	417	95	96		9.1875
61	9	Mi5	E5	336	336	1	16	208	95	96		9.25
62	9	Mi5	E5	336	336	1	16	208	95	96		9.3125
63	9	Re5	D5	327	327	1	16	208	95	96		9.375
64	9	Re5	D5	327	327	1	16	208	95	96		9.4375
65	9	Do5#4	C5#4	322	322	1	16	208	95	96		9.5
66	9	Re5	D5	327	327	3	8	1250	95	96		9.875
67	9	La5	A5	358	358	1	8	417	95	96		10
68	9	La5	A5	358	358	1	16	208	95	96		10.0625
69	9	Sol5	G5	349	349	1	16	208	95	96		10.125
70	9	Fa5	F5	340	340	1	16	208	95	96		10.1875
71	9	Mi5	E5	336	336	1	16	208	95	96		10.25
72	9	Fa5	F5	340	340	1	4	833	95	96		10.5
73	9			-1	-1	1	4	833	100	0		10.75
74	9	Mi5	E5	336	336	1	8	417	95	96		10.875
75	9	Fa5	F5	340	340	1	8	417	95	96		11
76	9	Sol5	G5	349	349	1	8	417	95	96		11.125
77	9	La5	A5	358	358	1	8	417	95	96		11.25
78	9	Sol5	G5	349	349	1	8	417	95	96		11.375
79	9	La5	A5	358	358	1	8	417	95	96		11.5
80	9	Fa5	F5	340	340	1	4	833	95	96		11.75
81	9	La5	A5	358	358	1	4	833	95	96		12
82	9	La5	A5	358	358	1	8	417	95	96		12.125
83	9	Sol5	G5	349	349	1	16	208	95	96		12.1875
84	9	Si5b5	B5b5	362	362	1	16	208	95	96		12.25
85	9	La5	A5	358	358	1	8	417	95	96		12.375
86	9	Sol5	G5	349	349	1	8	417	95	96		12.5
87	9	Fa5	F5	340	340	3	16	625	95	96		12.6875
88	9	Mi5	E5	336	336	1	16	208	95	96		12.75
