Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	3	16	652	95	96	ARANAÐME	8.333334E-02
2	9	Si4b2	B4b1	312	313	1	16	217	95	96	.	0.1111111
3	9	Do5	C5	318	318	1	8	435	95	96	.	0.1666667
4	9	Re5	D5	327	327	1	8	435	95	96	.	0.2222222
5	9	Mi5	E5	336	336	1	8	435	95	96	.	0.2777778
6	9	Fa5	F5	340	340	1	16	217	95	96	.	0.3055556
7	9	Sol5	G5	349	349	1	16	217	95	96	.	0.3333333
8	9	Fa5	F5	340	340	1	16	217	95	96	.	0.3611111
9	9	Mi5	E5	336	336	1	16	217	95	96	.	0.3888889
10	9	Re5	D5	327	327	1	8	435	95	96	.	0.4444444
11	9	Mi5	E5	336	336	3	16	652	95	96	.	0.5277778
12	9	Re5	D5	327	327	1	16	217	95	96	.	0.5555556
13	9	Do5	C5	318	318	1	8	435	95	96	.	0.6111111
14	9	Mi5	E5	336	336	1	8	435	95	96	.	0.6666667
15	9	Re5	D5	327	327	1	2	1739	95	96	.	0.8888889
16	9			-1	-1	1	4	870	100	0	.	1
17	9	Mi5	E5	336	336	1	8	435	95	96	.	1.055556
18	9	Fa5	F5	340	340	1	8	435	95	96	.	1.111111
19	9	Mi5	E5	336	336	1	8	435	95	96	.	1.166667
20	9	Fa5	F5	340	340	1	8	435	95	96	.	1.222222
21	9	La5	A5	358	358	1	8	435	95	96	.	1.277778
22	9	Sol5	G5	349	349	1	8	435	95	96	.	1.333333
23	9	Fa5	F5	340	340	1	8	435	95	96	.	1.388889
24	9	Mi5	E5	336	336	1	8	435	95	96	.	1.444444
25	9	Re5	D5	327	327	3	16	652	95	96	.	1.527778
26	9	Do5	C5	318	318	1	16	217	95	96	.	1.555556
27	9	Si4b2	B4b1	312	313	1	8	435	95	96	.	1.611111
28	9	Re5	D5	327	327	1	8	435	95	96	.	1.666667
29	9	Do5	C5	318	318	1	8	435	95	96	.	1.722222
30	9	Re5	D5	327	327	1	8	435	95	96	.	1.777778
31	9	Do5	C5	318	318	1	4	870	95	96	.	1.888889
32	9	Si4b2	B4b1	312	313	1	4	870	95	96	.	2
33	9	Sol4	G4	296	296	1	8	435	95	96	.	2.055556
34	9	La4	A4	305	305	1	4	870	95	96	.	2.166667
35	9	La5	A5	358	358	1	8	435	95	96	.	2.222222
36	9	La5	A5	358	358	3	16	652	95	96	.	2.305556
37	9	Sol5	G5	349	349	1	16	217	95	96	.	2.333333
38	9	Sol5	G5	349	349	3	16	652	95	96	.	2.416667
39	9	Fa5	F5	340	340	1	16	217	95	96	.	2.444444
40	9	Fa5	F5	340	340	3	16	652	95	96	.	2.527778
41	9	Mi5	E5	336	336	1	16	217	95	96	.	2.555556
42	9	Mi5	E5	336	336	3	16	652	95	96	.	2.638889
43	9	Re5	D5	327	327	1	16	217	95	96	.	2.666667
44	9	Re5	D5	327	327	3	16	652	95	96	.	2.75
45	9	Do5	C5	318	318	1	16	217	95	96	.	2.777778
46	9	Si4b2	B4b1	312	313	1	8	435	95	96	.	2.833333
47	9	La4	A4	305	305	1	8	435	95	96	.	2.888889
48	9	Sol4	G4	296	296	1	4	870	95	96	.	3
49	9	La4	A4	305	305	3	16	652	95	96	.	3.083333
50	9	Si4b2	B4b1	312	313	1	16	217	95	96	.	3.111111
51	9	Do5	C5	318	318	1	8	435	95	96	.	3.166667
52	9	Re5	D5	327	327	1	8	435	95	96	.	3.222222
53	9	Mi5	E5	336	336	1	8	435	95	96	.	3.277778
