Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	8	455	95	96	ARANAÐME	0.125
2	9	Do5	C5	318	318	1	4	909	95	96	.	0.375
3	9	Si4	B4	314	314	1	8	455	95	96	.	0.5
4	9	Do5	C5	318	318	1	16	227	95	96	.	0.5625
5	9	Re5	D5	327	327	1	16	227	95	96	.	0.625
6	9	Do5	C5	318	318	1	16	227	95	96	.	0.6875
7	9	Si4	B4	314	314	1	16	227	95	96	.	0.75
8	9	Do5	C5	318	318	1	8	455	95	96	.	0.875
9	9	Re5	D5	327	327	1	8	455	95	96	.	1
10	10	Mi5	E5	336	336	1	8	455	95	96	.	1.125
11	8	Fa5	F5	340	340	0	0	0	95	96	.	1.125
12	9	Mi5	E5	336	336	1	16	227	95	96	.	1.1875
13	9	Fa5	F5	340	340	1	16	227	95	96	.	1.25
14	9	Mi5	E5	336	336	1	8	455	95	96	.	1.375
15	9	Re5	D5	327	327	1	8	455	95	96	.	1.5
16	9	Mi5	E5	336	336	1	16	227	95	96	.	1.5625
17	9	Re5	D5	327	327	1	16	227	95	96	.	1.625
18	9	Do5	C5	318	318	1	16	227	95	96	.	1.6875
19	9	Re5	D5	327	327	1	16	227	95	96	.	1.75
20	10	Mi5	E5	336	336	1	8	455	95	96	.	1.875
21	8	Fa5	F5	340	340	0	0	0	95	96	.	1.875
22	9	Mi5	E5	336	336	1	16	227	95	96	.	1.9375
23	9	Re5	D5	327	327	1	16	227	95	96	.	2
24	9	Sol5	G5	349	349	1	16	227	95	96	.	2.0625
25	9	Fa5#4	F5#4	344	344	1	16	227	95	96	.	2.125
26	9	Mi5b4	E5b4	332	332	1	16	227	95	96	.	2.1875
27	9	Re5	D5	327	327	1	16	227	95	96	.	2.25
28	9	Re5	D5	327	327	1	16	227	95	96	.	2.3125
29	9	Do5	C5	318	318	1	16	227	95	96	.	2.375
30	9	Do5	C5	318	318	1	16	227	95	96	.	2.4375
31	9	Si4	B4	314	314	1	16	227	95	96	.	2.5
32	9	Do5	C5	318	318	1	4	909	95	96	.	2.75
33	9			-1	-1	1	16	227	100	0	.	2.8125
34	9	Do5	C5	318	318	1	16	227	95	96	.	2.875
35	9	Si4	B4	314	314	1	16	227	95	96	.	2.9375
36	9	La4	A4	305	305	1	16	227	95	96	.	3
37	9	Sol4	G4	296	296	1	8	455	95	114	.	3.125
38	10	Do5	C5	318	318	1	4	909	95	113	.	3.375
39	8	Re5	D5	327	327	0	0	0	95	113	.	3.375
40	9	Do5	C5	318	318	1	16	227	95	112	.	3.4375
41	9	Si4	B4	314	314	1	16	227	95	112	.	3.5
42	9	Si4	B4	314	314	1	16	227	95	111	.	3.5625
43	9	Do5	C5	318	318	1	16	227	95	111	.	3.625
44	9	Si4	B4	314	314	1	16	227	95	110	.	3.6875
45	9	Do5	C5	318	318	1	16	227	95	110	.	3.75
46	9	Si4	B4	314	314	1	16	227	95	109	.	3.8125
47	9	Do5	C5	318	318	1	16	227	95	109	.	3.875
48	9	Si4	B4	314	314	1	16	227	95	108	.	3.9375
49	9	La4	A4	305	305	1	16	227	95	107	.	4
50	9			-1	-1	1	8	455	100	107	.	4.125
51	9	Fa5	F5	340	340	1	8	455	95	106	.	4.25
52	9	Mi5	E5	336	336	1	8	455	95	106	.	4.375
53	10	Re5	D5	327	327	1	8	455	95	105	.	4.5
54	8	Mi5	E5	336	336	0	0	0	95	105	.	4.5
55	9	Re5	D5	327	327	1	16	227	95	104	.	4.5625
56	9	Do5	C5	318	318	1	16	227	95	104	.	4.625
57	9	Do5	C5	318	318	1	16	227	95	103	.	4.6875
58	9	Si4	B4	314	314	1	16	227	95	103	.	4.75
59	9	Si4	B4	314	314	1	16	227	95	102	.	4.8125
60	9	La4	A4	305	305	1	16	227	95	101	.	4.875
61	9	La4	A4	305	305	1	16	227	95	101	.	4.9375
62	9	Sol4#4	G4#4	300	300	1	16	227	95	100	.	5
63	7	La4	A4	305	305	3	8	1364	50	100	.	5.375
64	9	Mi4	E4	283	283	1	8	455	95	99	.	5.5
65	9	Do5	C5	318	318	1	16	227	95	99	.	5.5625
