Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	10	Fa5	F5	340	340	1	8	333	95	96	ARANAÐME 	0.125
2	8	Sol5	G5	349	349	0	0	0	95	96		0.125
3	9	Fa5	F5	340	340	1	16	167	95	96	.	0.1875
4	9	Mi5	E5	336	336	1	16	167	95	96	.	0.25
5	9	Re5	D5	327	327	1	8	333	95	96	.	0.375
6	9	Re5	D5	327	327	1	8	333	95	96	.	0.5
7	9	Mi5	E5	336	336	3	16	500	95	96	.	0.6875
8	9	Re5	D5	327	327	1	16	167	95	96	.	0.75
9	9	Do5#4	C5#4	322	322	1	4	667	95	96	.	1
10	9	Re5	D5	327	327	1	8	333	95	96	.	1.125
11	8	Mi5	E5	336	336	0	0	0	95	96	.	1.125
12	9	Re5	D5	327	327	1	16	167	95	96	.	1.1875
13	9	Do5#4	C5#4	322	322	1	16	167	95	96	.	1.25
14	9	Do5#4	C5#4	322	322	1	16	167	95	96	.	1.3125
15	9	Si4b4	B4b4	310	310	1	16	167	95	96	.	1.375
16	9	Si4b4	B4b4	310	310	1	16	167	95	96	.	1.4375
17	9	La4	A4	305	305	1	16	167	95	96	.	1.5
18	9	La4	A4	305	305	1	16	167	95	96	.	1.5625
19	9	Si4b4	B4b4	310	310	1	16	167	95	96	.	1.625
20	9	Do5#4	C5#4	322	322	1	16	167	95	96	.	1.6875
21	9	Re5	D5	327	327	1	16	167	95	96	.	1.75
22	9	Mi5	E5	336	336	1	4	667	95	96	.	2
23	10	Fa5	F5	340	340	1	8	333	95	96	.	2.125
24	8	Sol5	G5	349	349	0	0	0	95	96	.	2.125
25	9	Fa5	F5	340	340	1	16	167	95	96	.	2.1875
26	9	Mi5	E5	336	336	1	16	167	95	96	.	2.25
27	9	Re5	D5	327	327	1	8	333	95	96	.	2.375
28	9	Re5	D5	327	327	1	8	333	95	96	.	2.5
29	9	Mi5	E5	336	336	3	16	500	95	96	.	2.6875
30	9	Re5	D5	327	327	1	16	167	95	96	.	2.75
31	9	Do5#4	C5#4	322	322	1	4	667	95	96	.	3
32	9	Re5	D5	327	327	3	16	500	95	96	.	3.1875
33	9	Do5#4	C5#4	322	322	1	16	167	95	96	.	3.25
34	9	Do5#4	C5#4	322	322	1	16	167	95	96	.	3.3125
35	9	Si4b4	B4b4	310	310	1	16	167	95	96	.	3.375
36	9	Si4b4	B4b4	310	310	1	16	167	95	96	.	3.4375
37	9	La4	A4	305	305	1	16	167	95	96	.	3.5
38	9	La4	A4	305	305	1	2	1333	95	96	.	4
39	52			0	0	1	4	0	90	0		4.25
40	10	Fa5	F5	340	340	1	8	333	95	96	ARANAÐME 	4.375
41	8	Sol5	G5	349	349	0	0	0	95	96		4.375
42	9	Fa5	F5	340	340	1	16	167	95	96	.	4.4375
43	9	Mi5	E5	336	336	1	16	167	95	96	.	4.5
44	9	Re5	D5	327	327	1	8	333	95	96	.	4.625
45	9	Re5	D5	327	327	1	8	333	95	96	.	4.75
46	9	Mi5	E5	336	336	3	16	500	95	96	.	4.9375
47	9	Re5	D5	327	327	1	16	167	95	96	.	5
48	9	Do5#4	C5#4	322	322	1	4	667	95	96	.	5.25
49	9	Re5	D5	327	327	1	8	333	95	96	.	5.375
50	8	Mi5	E5	336	336	0	0	0	95	96	.	5.375
51	9	Re5	D5	327	327	1	16	167	95	96	.	5.4375
52	9	Do5#4	C5#4	322	322	1	16	167	95	96	.	5.5
53	9	Do5#4	C5#4	322	322	1	16	167	95	96	.	5.5625
54	9	Si4b4	B4b4	310	310	1	16	167	95	96	.	5.625
55	9	Si4b4	B4b4	310	310	1	16	167	95	96	.	5.6875
56	9	La4	A4	305	305	1	16	167	95	96	.	5.75
57	9	La4	A4	305	305	1	16	167	95	96	.	5.8125
58	9	Si4b4	B4b4	310	310	1	16	167	95	96	.	5.875
59	9	Do5#4	C5#4	322	322	1	16	167	95	96	.	5.9375
60	9	Re5	D5	327	327	1	16	167	95	96	.	6
61	9	Mi5	E5	336	336	1	4	667	95	96	.	6.25
62	10	Fa5	F5	340	340	1	8	333	95	96	.	6.375
63	8	Sol5	G5	349	349	0	0	0	95	96	.	6.375
64	9	Fa5	F5	340	340	1	16	167	95	96	.	6.4375
65	9	Mi5	E5	336	336	1	16	167	95	96	.	6.5
66	9	Re5	D5	327	327	1	8	333	95	96	.	6.625
67	9	Re5	D5	327	327	1	8	333	95	96	.	6.75
68	9	Mi5	E5	336	336	3	16	500	95	96	.	6.9375
69	9	Re5	D5	327	327	1	16	167	95	96	.	7
70	9	Do5#4	C5#4	322	322	1	4	667	95	96	.	7.25
71	9	Re5	D5	327	327	3	16	500	95	96	.	7.4375
72	9	Do5#4	C5#4	322	322	1	16	167	95	96	.	7.5
73	9	Do5#4	C5#4	322	322	1	16	167	95	96	.	7.5625
74	9	Si4b4	B4b4	310	310	1	16	167	95	96	.	7.625
75	9	Si4b4	B4b4	310	310	1	16	167	95	96	.	7.6875
76	9	La4	A4	305	305	1	16	167	95	96	.	7.75
77	9	La4	A4	305	305	3	16	500	95	96	.	7.9375
78	9	Re5	D5	327	327	1	16	167	95	96	.	8
79	9	Do5#4	C5#4	322	322	1	16	167	95	96	.	8.0625
80	9	Re5	D5	327	327	1	16	167	95	96	.	8.125
81	9	Mi5	E5	336	336	1	8	333	95	96	.	8.25
82	9			-1	-1	1	8	333	100	0		8.375
83	9	Do5#4	C5#4	322	322	1	16	167	95	96	Þu 	8.4375
84	9	Re5	D5	327	327	1	16	167	95	96	ge	8.5
85	9	Mi5	E5	336	336	1	8	333	95	96	len 	8.625
86	9	Mi5	E5	336	336	1	8	333	95	96	at	8.75
87	9	Mi5	E5	336	336	1	8	333	95	96	lý 	8.875
88	9	Mi5	E5	336	336	1	8	333	95	96	mý	9
89	9	La5	A5	358	358	1	4	667	95	96	dýr  	9.25
90	9	Sol5	G5	349	349	1	8	333	95	96	Yav	9.375
91	9	La5	A5	358	358	1	16	167	99	96	rum 	9.4375
92	9	Sol5	G5	349	349	1	16	167	95	96		9.5
93	9	Fa5	F5	340	340	1	16	167	99	96	so	9.5625
94	9	Mi5	E5	336	336	1	16	167	95	96		9.625
95	9	Re5	D5	327	327	1	8	333	95	96	run 	9.75
96	9	Mi5	E5	336	336	3	16	500	99	96	Bað	9.9375
97	9	Re5	D5	327	327	1	16	167	95	96		10
98	9	Do5#4	C5#4	322	322	1	4	667	95	96	dat	10.25
99	9	Re5	D5	327	327	3	16	500	99	96	lý 	10.4375
100	9	Do5#4	C5#4	322	322	1	16	167	95	96		10.5
101	9	Do5#4	C5#4	322	322	1	16	167	99	96	mý	10.5625
102	9	Si4b4	B4b4	310	310	1	16	167	99	96		10.625
103	9	Si4b4	B4b4	310	310	1	16	167	99	96		10.6875
104	9	La4	A4	305	305	1	16	167	95	96		10.75
105	9	La4	A4	305	305	1	16	167	99	96	dýr  	10.8125
106	9	Si4b4	B4b4	310	310	1	16	167	99	96		10.875
107	9	Do5#4	C5#4	322	322	1	16	167	99	96		10.9375
108	9	Re5	D5	327	327	1	16	167	99	96		11
109	9	Mi5	E5	336	336	1	4	667	95	96		11.25
110	9	Fa5	F5	340	340	1	8	333	95	96	A	11.375
111	8	Sol5	G5	349	349	0	0	0	95	96		11.375
112	9	Fa5	F5	340	340	1	16	167	99	96	man 	11.4375
113	9	Mi5	E5	336	336	1	16	167	95	96		11.5
114	9	Re5	D5	327	327	1	8	333	95	96	so	11.625
115	9	Re5	D5	327	327	1	8	333	95	96	run 	11.75
116	9	Mi5	E5	336	336	3	16	500	99	96	Bað	11.9375
117	9	Re5	D5	327	327	1	16	167	95	96		12
118	9	Do5#4	C5#4	322	322	1	4	667	95	96	dat	12.25
119	9	Re5	D5	327	327	3	16	500	99	96	lý 	12.4375
120	9	Do5#4	C5#4	322	322	1	16	167	95	96		12.5
121	9	Do5#4	C5#4	322	322	1	16	167	99	96	mý	12.5625
122	9	Si4b4	B4b4	310	310	1	16	167	99	96		12.625
