Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	417	100	0		0.125
2	9	Sol5	G5	349	349	1	8	417	95	96	ARANAÐME 	0.25
3	9	Sol5	G5	349	349	1	8	417	95	96	.	0.375
4	9	Sol5	G5	349	349	1	8	417	95	96	.	0.5
5	9	Sol5	G5	349	349	1	2	1667	95	96	.	1
6	9			-1	-1	1	8	417	100	0	.	1.125
7	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.	1.1875
8	9	Sol5	G5	349	349	1	16	208	95	96	.	1.25
9	9	La5	A5	358	358	1	16	208	95	96	.	1.3125
10	9	Sol5	G5	349	349	1	16	208	95	96	.	1.375
11	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.	1.4375
12	9	Sol5	G5	349	349	1	16	208	95	96	.	1.5
13	9	La5	A5	358	358	1	2	1667	95	96	.	2
14	9			-1	-1	1	8	417	100	0	.	2.125
15	9	Fa5#4	F5#4	344	344	1	8	417	95	96	.	2.25
16	9	Fa5#4	F5#4	344	344	1	8	417	95	96	.	2.375
17	9	Fa5#4	F5#4	344	344	1	8	417	95	96	.	2.5
18	9	Fa5#4	F5#4	344	344	1	2	1667	95	96	.	3
19	9			-1	-1	1	8	417	100	0	.	3.125
20	9	Mi5	E5	336	336	1	16	208	95	96	.	3.1875
21	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.	3.25
22	9	Sol5	G5	349	349	1	16	208	95	96	.	3.3125
23	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.	3.375
24	9	Mi5	E5	336	336	1	16	208	95	96	.	3.4375
25	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.	3.5
26	9	Re5	D5	327	327	1	2	1667	95	96	.	4
27	9			-1	-1	1	8	417	100	0	.	4.125
28	9	Do5#4	C5#4	322	322	1	8	417	95	96	.	4.25
29	9	Re5	D5	327	327	1	8	417	95	96	.	4.375
30	9	Mi5	E5	336	336	1	8	417	95	96	.	4.5
31	9	Fa5	F5	340	340	1	2	1667	95	96	.	5
32	9			-1	-1	1	8	417	100	0	.	5.125
33	9	Mi5	E5	336	336	1	16	208	95	96	.	5.1875
34	9	Fa5#1	F5#1	341	341	1	16	208	95	96	.	5.25
35	9	Sol5	G5	349	349	1	16	208	95	96	.	5.3125
36	9	Fa5	F5	340	340	1	16	208	95	96	.	5.375
37	9	Mi5	E5	336	336	1	16	208	95	96	.	5.4375
38	9	Re5	D5	327	327	1	16	208	95	96	.	5.5
39	9	Do5#4	C5#4	322	322	1	2	1667	95	96	.	6
40	9			-1	-1	1	8	417	100	0	.	6.125
41	9	La4	A4	305	305	1	8	417	95	96	.	6.25
42	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	6.375
43	9	Do5#4	C5#4	322	322	1	8	417	95	96	.	6.5
44	9	La4	A4	305	305	1	8	417	95	96	.	6.625
45	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	6.75
46	9	Do5#4	C5#4	322	322	1	8	417	95	96	.	6.875
47	9	Re5	D5	327	327	1	8	417	95	96	.	7
48	9	Re5	D5	327	327	1	16	208	95	96	.	7.0625
49	9	Do5#4	C5#4	322	322	1	16	208	95	96	.	7.125
50	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	7.25
51	9	Do5#4	C5#4	322	322	1	16	208	95	96	.	7.3125
52	9	Si4b4	B4b4	310	310	1	16	208	95	96	.	7.375
53	9	La4	A4	305	305	1	8	417	95	96	.	7.5
54	9	La4	A4	305	305	1	2	1667	95	96	.	8
55	52			0	0	1	8	0	127	17		8.125
56	9			-1	-1	1	8	417	100	0		8.25
57	9	Sol5	G5	349	349	1	8	417	95	96	ARANAÐME 	8.375
58	9	Sol5	G5	349	349	1	8	417	95	96	.	8.5
59	9	Sol5	G5	349	349	1	8	417	95	96	.	8.625
60	9	Sol5	G5	349	349	1	2	1667	95	96	.	9.125
61	9			-1	-1	1	8	417	100	0	.	9.25
62	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.	9.3125
63	9	Sol5	G5	349	349	1	16	208	95	96	.	9.375
64	9	La5	A5	358	358	1	16	208	95	96	.	9.4375
65	9	Sol5	G5	349	349	1	16	208	95	96	.	9.5
66	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.	9.5625
