Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	357	100	0		0.125
2	9	Mi5	E5	336	336	1	16	179	95	96	ARANAÐME 	0.1875
3	9	Fa5#4	F5#4	344	344	1	16	179	95	96	.	0.25
4	9	Sol5	G5	349	349	1	16	179	95	96	.	0.3125
5	9	Fa5#4	F5#4	344	344	1	16	179	95	96	.	0.375
6	9	Mi5	E5	336	336	1	8	357	95	96	.	0.5
7	9			-1	-1	1	8	357	100	0	.	0.625
8	9	Mi5	E5	336	336	1	16	179	95	96	.	0.6875
9	9	Fa5#4	F5#4	344	344	1	16	179	95	96	.	0.75
10	9	Sol5	G5	349	349	1	16	179	95	96	.	0.8125
11	9	Fa5#4	F5#4	344	344	1	16	179	95	96	.	0.875
12	9	Mi5	E5	336	336	1	8	357	95	96	.	1
13	9	Si5	B5	367	367	3	16	536	95	96	.	1.1875
14	9	La5	A5	358	358	1	16	179	95	96	.	1.25
15	9	Sol5	G5	349	349	3	16	536	95	96	.	1.4375
16	9	Fa5#4	F5#4	344	344	1	16	179	95	96	.	1.5
17	9	Mi5	E5	336	336	1	4	714	95	96	.	1.75
18	9			-1	-1	1	4	714	100	0		2
19	52			0	0	1	8	0	127	41		2.125
20	9			-1	-1	1	8	357	100	0		2.25
21	9	Mi5	E5	336	336	1	16	179	95	96	ARANAÐME 	2.3125
22	9	Fa5#4	F5#4	344	344	1	16	179	95	96	.	2.375
23	9	Sol5	G5	349	349	1	16	179	95	96	.	2.4375
24	9	Fa5#4	F5#4	344	344	1	16	179	95	96	.	2.5
25	9	Mi5	E5	336	336	1	8	357	95	96	.	2.625
26	9			-1	-1	1	8	357	100	0	.	2.75
27	9	Mi5	E5	336	336	1	16	179	95	96	.	2.8125
28	9	Fa5#4	F5#4	344	344	1	16	179	95	96	.	2.875
29	9	Sol5	G5	349	349	1	16	179	95	96	.	2.9375
30	9	Fa5#4	F5#4	344	344	1	16	179	95	96	.	3
31	9	Mi5	E5	336	336	1	8	357	95	96	.	3.125
32	9	La5	A5	358	358	3	16	536	95	96	.	3.3125
33	9	Sol5	G5	349	349	1	16	179	95	96	.	3.375
34	9	Fa5	F5	340	340	3	16	536	95	96	.	3.5625
35	9	Mi5	E5	336	336	1	16	179	95	96	.	3.625
36	9	Re5	D5	327	327	1	4	714	95	96	.	3.875
37	9			-1	-1	1	4	714	100	0		4.125
38	9			-1	-1	1	8	357	100	0		4.25
39	9	Re5	D5	327	327	1	16	179	95	96	.	4.3125
40	9	Mi5	E5	336	336	1	16	179	95	96	.	4.375
41	9	Fa5	F5	340	340	1	16	179	95	96	.	4.4375
42	9	Mi5	E5	336	336	1	16	179	95	96	.	4.5
43	9	Re5	D5	327	327	1	8	357	95	96	.	4.625
44	9			-1	-1	1	8	357	100	0	.	4.75
45	9	Re5	D5	327	327	1	16	179	95	96	.	4.8125
46	9	Mi5	E5	336	336	1	16	179	95	96	.	4.875
