Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do6	C6	371	371	1	8	385	95	96	SAZ	0.1111111
2	9	Si5b5	B5b5	362	362	1	16	192	95	96	.	0.1666667
3	9	La5	A5	358	358	1	16	192	95	96	.	0.2222222
4	9	La5	A5	358	358	1	16	192	95	96	.	0.2777778
5	9	Sol5	G5	349	349	1	16	192	95	96	.	0.3333333
6	9	Sol5	G5	349	349	1	16	192	95	96	.	0.3888889
7	9	Fa5#4	F5#4	344	344	1	16	192	95	96	.	0.4444444
8	9	Sol5	G5	349	349	1	8	385	95	96	.	0.5555556
9	9			-1	-1	1	8	385	100	0		0.6666667
10	9	Sol5	G5	349	349	1	4	769	95	96	Ge	0.8888889
11	9	Sol5	G5	349	349	1	8	385	95	96	ce 	1
12	9	Sol5	G5	349	349	1	4	769	95	96	gün	1.222222
13	9	Sol5	G5	349	349	1	16	192	99	96	düz 	1.277778
14	9	Fa5#4	F5#4	344	344	1	16	192	99	96		1.333333
15	9	Sol5	G5	349	349	1	16	192	99	96		1.388889
16	9	La5	A5	358	358	1	16	192	99	96		1.444444
17	9	Sol5	G5	349	349	1	8	385	95	96		1.555556
18	9			-1	-1	1	8	385	100	0		1.666667
19	9	Si5b5	B5b5	362	362	1	4	769	95	96	hep 	1.888889
20	9	Si5b5	B5b5	362	362	1	16	192	99	96	ha	1.944444
21	9	La5	A5	358	358	1	16	192	95	96		2
22	9	La5	A5	358	358	1	16	192	99	96	yâ	2.055556
23	9	Si5b5	B5b5	362	362	1	16	192	99	96		2.111111
24	9	La5	A5	358	358	1	16	192	99	96		2.166667
25	9	Sol5	G5	349	349	1	16	192	95	96		2.222222
26	9	Sol5	G5	349	349	1	16	192	99	96	lin 	2.277778
27	9	La5	A5	358	358	1	16	192	99	96		2.333333
28	9	Sol5	G5	349	349	1	16	192	99	96		2.388889
29	11	Fa5#4	F5#4	344	344	1	16	192	99	96		2.444444
30	9	Fa5#4	F5#4	344	344	1	4	769	95	96		2.666667
31	9	Sol5	G5	349	349	1	4	769	95	96	göz	2.888889
32	9	Fa5#4	F5#4	344	344	1	8	385	95	96	le	3
33	9	Sol5	G5	349	349	1	16	192	99	96	rim 	3.055556
34	9	Fa5#4	F5#4	344	344	1	16	192	99	96		3.111111
35	9	Sol5	G5	349	349	1	16	192	99	96		3.166667
36	9	Si5b5	B5b5	362	362	1	16	192	99	96		3.222222
37	9	La5	A5	358	358	1	8	385	99	96		3.333333
38	9	Sol5	G5	349	349	1	8	385	99	96		3.444444
39	9	Fa5#4	F5#4	344	344	1	8	385	95	96		3.555556
40	9			-1	-1	1	8	385	100	0		3.666667
41	9	La5	A5	358	358	1	16	192	99	96	göz	3.722222
42	9	Sol5	G5	349	349	1	16	192	99	96		3.777778
43	9	Fa5#4	F5#4	344	344	1	16	192	99	96		3.833333
44	9	Mi5b4	E5b4	332	332	1	16	192	95	96		3.888889
45	9	Mi5b4	E5b4	332	332	1	16	192	99	96	le	3.944444
46	11	Re5	D5	327	327	1	16	192	95	96		4
47	9	Re5	D5	327	327	1	2	1538	95	96	rim  	4.444445
48	9			-1	-1	1	4	769	100	0		4.666667
49	9	Sol5	G5	349	349	1	4	769	95	96	Ge	4.888889
50	9	Sol5	G5	349	349	1	8	385	95	96	ce 	5
51	52			0	0	1	8	0	127	29		5.111111
52	9	Sol5	G5	349	349	1	4	769	95	96	gün	5.333333
53	9	Sol5	G5	349	349	1	16	192	99	96	düz 	5.388889
54	9	Fa5#4	F5#4	344	344	1	16	192	99	96		5.444445
55	9	Sol5	G5	349	349	1	16	192	99	96		5.5
56	9	La5	A5	358	358	1	16	192	99	96		5.555555
57	9	Sol5	G5	349	349	1	8	385	95	96		5.666667
58	9			-1	-1	1	8	385	100	0		5.777778
59	9	Si5b5	B5b5	362	362	1	4	769	95	96	hep 	6
60	9	Si5b5	B5b5	362	362	1	16	192	99	96	ha	6.055555
61	9	La5	A5	358	358	1	16	192	95	96		6.111111
62	9	La5	A5	358	358	1	16	192	99	96	yâ	6.166667
63	9	Si5b5	B5b5	362	362	1	16	192	99	96		6.222222
64	9	La5	A5	358	358	1	16	192	99	96		6.277778
65	9	Sol5	G5	349	349	1	16	192	95	96		6.333333
66	9	Sol5	G5	349	349	1	16	192	99	96	lin 	6.388889
67	9	La5	A5	358	358	1	16	192	99	96		6.444445
68	9	Sol5	G5	349	349	1	16	192	99	96		6.5
69	11	Fa5#4	F5#4	344	344	1	16	192	99	96		6.555555
70	9	Fa5#4	F5#4	344	344	1	4	769	95	96		6.777778
71	9	Sol5	G5	349	349	1	4	769	95	96	göz	7
72	9	Fa5#4	F5#4	344	344	1	8	385	95	96	le	7.111111
73	9	Sol5	G5	349	349	1	16	192	99	96	rim 	7.166667
74	9	Fa5#4	F5#4	344	344	1	16	192	99	96		7.222222
75	9	Sol5	G5	349	349	1	16	192	99	96		7.277778
76	9	Si5b5	B5b5	362	362	1	16	192	99	96		7.333333
77	9	La5	A5	358	358	1	8	385	99	96		7.444445
78	9	Sol5	G5	349	349	1	8	385	99	96		7.555555
79	9	Fa5#4	F5#4	344	344	1	8	385	95	96		7.666667
80	9			-1	-1	1	8	385	100	0		7.777778
81	9	La5	A5	358	358	1	16	192	99	96	göz	7.833333
82	9	Sol5	G5	349	349	1	16	192	99	96		7.888889
83	9	Fa5#4	F5#4	344	344	1	16	192	99	96		7.944445
84	9	Mi5b4	E5b4	332	332	1	16	192	95	96		8
85	9	Mi5b4	E5b4	332	332	1	16	192	99	96	le	8.055555
86	11	Re5	D5	327	327	1	16	192	95	96		8.111111
87	9	Re5	D5	327	327	1	2	1538	95	96	rim  	8.555555
88	9			-1	-1	1	4	769	100	0		8.777778
89	9	Sol5	G5	349	349	1	4	769	95	96	Yü	9
90	9	Sol5	G5	349	349	1	16	192	99	96	re	9.055555
91	9	Fa5	F5	340	340	1	16	192	95	96		9.111111
92	9	Fa5	F5	340	340	1	16	192	99	96	ci	9.166667
93	9	Mi5b4	E5b4	332	332	1	16	192	99	96		9.222222
94	9	Mi5b4	E5b4	332	332	1	16	192	99	96		9.277778
95	9	Re5	D5	327	327	1	16	192	95	96		9.333333
96	9	Do5	C5	318	318	1	16	192	99	96	ðim 	9.388889
97	9	Si4b1	B4b1	313	313	1	16	192	99	96		9.444445
98	9	Do5	C5	318	318	1	16	192	99	96		9.5
99	9	Re5	D5	327	327	1	16	192	99	96		9.555555
100	9	Mi5b4	E5b4	332	332	1	8	385	95	96		9.666667
101	9			-1	-1	1	8	385	100	0		9.777778
102	9	Mi5b4	E5b4	332	332	1	16	192	99	96	ya	9.833333
103	9	Fa5#4	F5#4	344	344	1	16	192	99	96		9.888889
104	9	Mi5b4	E5b4	332	332	1	8	385	95	96		10
105	9	Re5	D5	327	327	1	8	385	95	96	kýp 	10.11111
106	9	Do5	C5	318	318	1	16	192	99	96	se	10.16667
107	9	Si4b1	B4b1	313	313	1	16	192	99	96		10.22222
108	9	Do5	C5	318	318	1	16	192	99	96		10.27778
109	9	Mi5b4	E5b4	332	332	1	16	192	99	96		10.33333
110	9	Re5	D5	327	327	1	8	385	99	96		10.44444
111	9	Do5	C5	318	318	1	8	385	95	96		10.55556
112	9	Si4b1	B4b1	313	313	1	4	769	95	96	ni 	10.77778
113	9	Do5	C5	318	318	1	4	769	95	96	öz	11
